run_date,run_id,signal_quality_id,canonical_project_id,canonical_project_name,market,submarket,gp_or_developer,residential_sector,source_quality_score,multi_source_confirmation_score,specificity_score,lifecycle_consistency_score,persistence_score,overall_signal_quality_score,signal_quality_label,institutional_confidence_label,false_positive_risk,signal_decay_risk,supporting_source_count,recurring_observation_count,lifecycle_consistency_flag,multi_source_confirmation_flag,recommended_signal_action,evidence_summary,confidence_reason
2026-08-11,20260811-234049-01f9b98d,SQ-20260811-001,PRJ-20260811-0149,Refinancing - Seattle - JLL Arranges $42M Fannie Mae Refinancing for Portland-Area Multifamily,Seattle,Seattle,JLL,Apartment,95,100,95,75,100,93,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,9,11,Consistent,Confirmed,Immediate strategic review,"9 source file(s), 11 observation(s), latest stage Refinancing / Recapitalization, identity confidence 100",multi-source confirmation; persistent observations; specific project / sponsor / location clues
2026-08-11,20260811-234049-01f9b98d,SQ-20260811-003,PRJ-20260811-0162,Refinancing - Washington DC - JLL Secures $40.5M Refinancing for Portland’s Lloyd District Multifamily Gem Amid Pacific...,Unknown,Washington DC,JLL,Multifamily,95,100,95,75,100,93,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,9,13,Consistent,Confirmed,Immediate strategic review,"9 source file(s), 13 observation(s), latest stage Refinancing / Recapitalization, identity confidence 100",multi-source confirmation; persistent observations; specific project / sponsor / location clues
2026-08-11,20260811-234049-01f9b98d,SQ-20260811-016,PRJ-20260811-0105,Refinancing - Nevada - Newmark Arranges $33.5M Agency Loan for Refinancing of Reno Multifamily Property,Unknown,Nevada,Fannie Mae,Multifamily,95,100,95,75,90,92,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,8,10,Consistent,Confirmed,Immediate strategic review,"8 source file(s), 10 observation(s), latest stage Refinancing / Recapitalization, identity confidence 100",multi-source confirmation; persistent observations; specific project / sponsor / location clues
2026-08-11,20260811-234049-01f9b98d,SQ-20260811-028,PRJ-20260811-0158,Entitlement / Permitting - Texas - Completion nears for mixed-use project at 939 W. Manchester Blvd. in Inglewood,Texas,Unknown,JPI,Affordable Housing,95,100,85,95,86,92,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,7,8,Consistent,Confirmed,Immediate strategic review,"7 source file(s), 8 observation(s), latest stage Delivery / Opening, identity confidence 100",multi-source confirmation; persistent observations; specific project / sponsor / location clues
2026-08-11,20260811-234049-01f9b98d,SQ-20260811-006,PRJ-20260811-0047,"Acquisition - California - Jackson Square Properties Acquires Multifamily Community in Marina del Rey, California for...",California,California,JLL,Apartment,95,100,95,60,100,91,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,9,11,Needs Review,Confirmed,Immediate strategic review,"9 source file(s), 11 observation(s), latest stage Unknown Stage, identity confidence 100",multi-source confirmation; persistent observations; specific project / sponsor / location clues
2026-08-11,20260811-234049-01f9b98d,SQ-20260811-002,PRJ-20260811-0099,Construction Financing - Miami / Florida - Coastland Residential Lands $85M to Build Miami-Dade Rental,Unknown,Miami,IPA,Apartment,95,100,85,75,100,91,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,5,5,Consistent,Confirmed,Immediate strategic review,"5 source file(s), 5 observation(s), latest stage Site Acquisition / Site Control, identity confidence 100",multi-source confirmation; persistent observations; specific project / sponsor / location clues
2026-08-11,20260811-234049-01f9b98d,SQ-20260811-007,PRJ-20260811-0049,Disposition / Exit - California - Costa Mesa Multifamily Changes Hands for Value-Add Repositioning,California,California,Marcus & Millichap,Apartment,95,100,95,60,100,91,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,9,10,Needs Review,Confirmed,Immediate strategic review,"9 source file(s), 10 observation(s), latest stage Unknown Stage, identity confidence 100",multi-source confirmation; persistent observations; specific project / sponsor / location clues
2026-08-11,20260811-234049-01f9b98d,SQ-20260811-005,PRJ-20260811-0057,Refinancing - Dallas / Texas - New 300-Unit Dallas Apartment Community Receives Financing,Unknown,Dallas,JLL,Affordable Housing,95,100,85,75,100,91,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,5,7,Consistent,Confirmed,Immediate strategic review,"5 source file(s), 7 observation(s), latest stage Refinancing / Recapitalization, identity confidence 100",multi-source confirmation; persistent observations; specific project / sponsor / location clues
2026-08-11,20260811-234049-01f9b98d,SQ-20260811-010,PRJ-20260811-0071,"JV / Partnership - Houston / Texas - Hines, Harris Land to Develop Mixed-Use Campus in Charlotte’s SouthPark District",Unknown,Houston,Hines,Mixed-Use Residential,95,100,85,75,94,90,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,5,5,Consistent,Confirmed,Immediate strategic review,"5 source file(s), 5 observation(s), latest stage Site Acquisition / Site Control, identity confidence 100",multi-source confirmation; persistent observations; specific project / sponsor / location clues
2026-08-11,20260811-234049-01f9b98d,SQ-20260811-021,PRJ-20260811-0044,Acquisition - California - Bascom Acquires Buena Park Apartments as Value-Add Deal,California,California,Bascom Group,Apartment,95,100,95,60,88,89,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,9,10,Needs Review,Confirmed,Immediate strategic review,"9 source file(s), 10 observation(s), latest stage Unknown Stage, identity confidence 100",multi-source confirmation; persistent observations; specific project / sponsor / location clues
