run_date,run_id,run_timestamp,la_submarket,article_count,deal_count,entitlement_signal_count,opportunity_count,distress_signal_count,timing_signal_count,residential_sector_focus,entitlement_theme,site_strategy_theme,local_gp_or_developer,project_or_deal_reference,la_opportunity_score,la_execution_risk_score,entitlement_precedent_signal,potential_woomi_site_strategy,recommended_local_follow_up,confidence_level
2026-07-28,20260728-235943-eac269a1,2026-07-28 23:59:43,Los Angeles,11,9,7,2,0,1,Affordable Housing,Planning Approval,Mixed-use corridor,Unknown,93 apartments approved for 8465 Glenoaks Ave. in Sun Valley; Acquisition - California - Marcus & Millichap Closes $12.5M Sale of La Mesa Seniors Housing; Beverly Hills Planning Commission approves Builder's Remedy project at 140 S. Camden Dr.; Checking in on Alexan West End at 600 Broadway in Long Beach; City Planning Commission signs off on mixed-use project at 2800 W. Jefferson Blvd.,100,77,Yes,Monitor only,Track local planning docket and entitlement precedent,High
2026-07-28,20260728-235943-eac269a1,2026-07-28 23:59:43,Santa Monica,1,1,1,1,0,1,Multifamily,Office-to-Residential Conversion,Office conversion corridor,Unknown,"Graffiti tower cleanup begins, Homeless population grows, and more; Office-to-Residential Conversion - Santa Monica / California - Graffiti tower cleanup begins, Homeless population grows, and more",68,55,Yes,Monitor only,Track local planning docket and entitlement precedent,Medium
2026-07-28,20260728-235943-eac269a1,2026-07-28 23:59:43,Orange County,4,1,0,1,0,0,Apartment,General Entitlement Signal,General submarket monitoring,Unknown,"Bascom Acquires Buena Park Apartments as Value-Add Deal; C&C Development Opens Affordable Housing in Irvine; Disposition / Exit - California - Marcus & Millichap Facilitate Sale of a 41-Unit Orange County Multifamily Property; Marcus & Millichap Facilitate Sale of a 41-Unit Orange County Multifamily Property; Milhaus Merges with SRG Residential, Will Acquire Broadshore Capital",65,30,No,Orange County suburban apartment watch,Review potential acquisition pipeline,Medium
2026-07-28,20260728-235943-eac269a1,2026-07-28 23:59:43,Riverside,2,2,0,1,0,0,Affordable Housing,General Entitlement Signal,General submarket monitoring,Unknown,C&C Development Opens Affordable Housing in Irvine; Disposition / Exit - Riverside / California - Elme reaches deal to sell last property for $250M; Elme reaches deal to sell last property for $250M; JV / Partnership - Riverside / California - C&C Development Opens Affordable Housing in Irvine,63,30,No,Inland Empire BTR / rental housing watch,Review potential acquisition pipeline,Medium
2026-07-28,20260728-235943-eac269a1,2026-07-28 23:59:43,Long Beach,1,1,0,1,0,0,Apartment,General Entitlement Signal,Downtown infill,Unknown,Checking in on Alexan West End at 600 Broadway in Long Beach; General Project Signal - Southeast - Checking in on Alexan West End at 600 Broadway in Long Beach,62,30,No,Long Beach mixed-use residential watch,Review potential acquisition pipeline,Medium
2026-07-28,20260728-235943-eac269a1,2026-07-28 23:59:43,Irvine,1,1,0,1,0,0,Affordable Housing,General Entitlement Signal,General submarket monitoring,Unknown,C&C Development Opens Affordable Housing in Irvine; JV / Partnership - Riverside / California - C&C Development Opens Affordable Housing in Irvine,55,30,No,Orange County suburban apartment watch,Review potential acquisition pipeline,Medium
2026-07-28,20260728-235943-eac269a1,2026-07-28 23:59:43,California,0,3,0,0,0,0,Apartment,General Entitlement Signal,General submarket monitoring,Unknown,Acquisition - California - Bascom Acquires Buena Park Apartments as Value-Add Deal; Disposition / Exit - California - Marcus & Millichap Palo Alto Office Brokers Value-Add Sale of Multifamily Property; Disposition / Exit - San Francisco / California - Sares Regis Trades South San Francisco Multifamily to Bell Partners,24,20,No,Monitor only,Monitor only,Low
2026-07-28,20260728-235943-eac269a1,2026-07-28 23:59:43,Costa Mesa,1,0,0,0,0,0,Apartment,General Entitlement Signal,General submarket monitoring,Unknown,Marcus & Millichap Facilitate Sale of a 41-Unit Orange County Multifamily Property,12,30,No,Orange County suburban apartment watch,Monitor only,Low
2026-07-28,20260728-235943-eac269a1,2026-07-28 23:59:43,Wilshire,1,0,0,0,0,0,Affordable Housing,General Entitlement Signal,General submarket monitoring,Unknown,Beverly Hills Planning Commission approves Builder's Remedy project at 140 S. Camden Dr.,12,30,No,Koreatown multifamily watch,Monitor only,Low
2026-07-28,20260728-235943-eac269a1,2026-07-28 23:59:43,Southern California,0,1,0,0,0,0,General Residential,General Entitlement Signal,General submarket monitoring,Unknown,Acquisition - California - Ventas Buys Senior Living Community in SoCal for $57M,8,20,No,Monitor only,Monitor only,Low
