run_date,run_id,file_name,file_type,category,generated_status,row_count_or_section_count,last_updated,short_description,recommended_reader
2026-05-19,20260519-101015-3b20d522,articles.csv,CSV,Raw Collection,Generated,53,2026-05-19 10:10:15,All saved articles above the relevance threshold.,Strategy Team
2026-05-19,20260519-101015-3b20d522,high_priority_articles.csv,CSV,Strategy Briefing,Generated,29,2026-05-19 10:10:15,Must Read and Review articles.,Executive
2026-05-19,20260519-101015-3b20d522,market_signals.csv,CSV,Strategy Briefing,Generated,20,2026-05-19 10:10:15,Articles with numeric market signals.,Strategy Team
2026-05-19,20260519-101015-3b20d522,strategy_briefing.csv,CSV,Strategy Briefing,Generated,31,2026-05-19 10:10:15,Core briefing dataset for strategic review.,Executive
2026-05-19,20260519-101015-3b20d522,daily_strategy_briefing.md,Markdown,Strategy Briefing,Generated,114,2026-05-19 10:10:15,Human-readable daily strategy briefing.,Executive
2026-05-19,20260519-101015-3b20d522,weekly_strategy_memo.md,Markdown,Strategy Briefing,Generated,39,2026-05-19 10:10:20,"Weekly memo with trends, regimes, and strategic implications.",Executive
2026-05-19,20260519-101015-3b20d522,executive_dashboard_brief.md,Markdown,Executive Dashboard,Generated,11,2026-05-19 10:10:20,Concise dashboard-ready executive brief.,Executive
2026-05-19,20260519-101015-3b20d522,executive_dashboard_brief_ko.md,Markdown,Executive Dashboard,Generated,7,2026-05-19 10:10:20,Korean executive dashboard briefing.,Executive
2026-05-19,20260519-101015-3b20d522,weekly_strategy_memo_ko.md,Markdown,Strategy Briefing,Generated,6,2026-05-19 10:10:20,Korean weekly strategy memo.,Executive
2026-05-19,20260519-101015-3b20d522,executive_priority_brief_ko.md,Markdown,Executive Dashboard,Generated,4,2026-05-19 10:10:20,Korean executive priority brief.,Executive
2026-05-19,20260519-101015-3b20d522,opportunity_radar_report_ko.md,Markdown,Opportunity / Distress,Generated,5,2026-05-19 10:10:20,Korean opportunity radar report.,Investment Team
2026-05-19,20260519-101015-3b20d522,distress_watchlist_report_ko.md,Markdown,Opportunity / Distress,Generated,5,2026-05-19 10:10:20,Korean distress watchlist report.,Investment Team
2026-05-19,20260519-101015-3b20d522,high_confidence_watchlist_report_ko.md,Markdown,Quality Control,Generated,4,2026-05-19 10:10:20,Korean high-confidence watchlist report.,Executive
2026-05-19,20260519-101015-3b20d522,la_asset_watch_report_ko.md,Markdown,Deal / Asset Intelligence,Generated,5,2026-05-19 10:10:20,Korean LA asset watch report.,US Local Team
2026-05-19,20260519-101015-3b20d522,la_entitlement_watch_report_ko.md,Markdown,Entitlement / Lifecycle Intelligence,Generated,5,2026-05-19 10:10:20,Korean LA entitlement watch report.,US Local Team
2026-05-19,20260519-101015-3b20d522,la_development_lifecycle_watch_report_ko.md,Markdown,Entitlement / Lifecycle Intelligence,Generated,4,2026-05-19 10:10:20,Korean LA development lifecycle watch report.,US Local Team
2026-05-19,20260519-101015-3b20d522,gp_watchlist_report_ko.md,Markdown,GP / Institutional Intelligence,Generated,5,2026-05-19 10:10:20,Korean GP watchlist report.,Strategy Team
2026-05-19,20260519-101015-3b20d522,korean_reporting_index.md,Markdown,Strategy Briefing,Generated,4,2026-05-19 10:10:20,Index and reading order for Korean reports.,Executive
2026-05-19,20260519-101015-3b20d522,dashboard_summary.csv,CSV,Executive Dashboard,Generated,1,2026-05-19 10:10:20,One-row run summary for future dashboard metrics.,Technical / Maintenance
2026-05-19,20260519-101015-3b20d522,dashboard_cards.csv,CSV,Executive Dashboard,Generated,38,2026-05-19 10:10:20,Dashboard-ready card data.,Technical / Maintenance
2026-05-19,20260519-101015-3b20d522,dashboard_watchlists.csv,CSV,Executive Dashboard,Generated,88,2026-05-19 10:10:20,Dashboard-ready watchlist data.,Technical / Maintenance
2026-05-19,20260519-101015-3b20d522,high_confidence_watchlist.csv,CSV,Quality Control,Generated,22,2026-05-19 10:10:20,Highest-confidence strategic signals.,Executive
2026-05-19,20260519-101015-3b20d522,signal_quality.csv,CSV,Quality Control,Generated,101,2026-05-19 10:10:20,Signal confidence and false-positive risk scoring.,Strategy Team
2026-05-19,20260519-101015-3b20d522,source_health.csv,CSV,Source Management,Generated,152,2026-05-19 10:10:15,Feed status and source usefulness.,Technical / Maintenance
2026-05-19,20260519-101015-3b20d522,source_coverage_report.csv,CSV,Source Management,Generated,25,2026-05-19 10:10:15,Site / Parcel feed coverage diagnostics.,Technical / Maintenance
2026-05-19,20260519-101015-3b20d522,source_activation.csv,CSV,Source Management,Generated,152,2026-05-19 10:10:15,Validated source activation and source quality scoring.,Technical / Maintenance
2026-05-19,20260519-101015-3b20d522,source_health_report.md,Markdown,Source Management,Generated,9,2026-05-19 10:10:15,Readable source health report.,Technical / Maintenance
2026-05-19,20260519-101015-3b20d522,source_coverage_report.md,Markdown,Source Management,Generated,4,2026-05-19 10:10:15,Readable Site / Parcel source coverage report.,Technical / Maintenance
2026-05-19,20260519-101015-3b20d522,source_activation_report.md,Markdown,Source Management,Generated,11,2026-05-19 10:10:15,Readable source activation report.,Technical / Maintenance
2026-05-19,20260519-101015-3b20d522,opportunity_radar.csv,CSV,Opportunity / Distress,Generated,40,2026-05-19 10:10:20,"Acquisition, recapitalization, JV, and market-entry opportunities.",Investment Team
2026-05-19,20260519-101015-3b20d522,distress_watchlist.csv,CSV,Opportunity / Distress,Generated,5,2026-05-19 10:10:20,"Refinancing stress, stalled project, and distress signals.",Investment Team
2026-05-19,20260519-101015-3b20d522,deal_pipeline.csv,CSV,Deal / Asset Intelligence,Generated,41,2026-05-19 10:10:20,Extracted deal and project pipeline signals.,Investment Team
