run_date,run_id,run_timestamp,canonical_source_entity,canonical_target_entity,relationship_type,market,deal_type,first_seen_date,last_seen_date,repeat_interaction_count,relationship_persistence_score,partnership_stability_label,strategic_relationship_label,capital_alignment_label,relationship_momentum,current_run_signal_count
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Acquisition - Arizona - Bascom Arizona Ventures Buys Multifamily Community in Tucson for $45.5M,Arizona,Acquisition / Buyer,Arizona,Acquisition,2026-05-22,2026-05-26,6,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Acquisition - Florida - Aventon to Build 270-Unit Port Richey Rental Community,Florida,Acquisition / Buyer,Florida,Acquisition,2026-05-29,2026-06-01,8,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Acquisition - Other / Unknown - Altmark Group Sells Mott Haven Lots Destined for 99-Unit Redevelopment for $22M,Acquisition - Other / Unknown - Altmark Group Sells Mott Haven Lots Destined for 99-Unit Redevelopment for $22M,Acquisition / Buyer,Other / Unknown,Acquisition,2026-06-19,2026-06-22,4,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,"Acquisition - Other / Unknown - Avison Young Negotiates $19.1M Sale of Apartment Building in Wethersfield, Connecticut","Acquisition - Other / Unknown - Avison Young Negotiates $19.1M Sale of Apartment Building in Wethersfield, Connecticut",Acquisition / Buyer,Other / Unknown,Acquisition,2026-05-29,2026-06-01,8,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Acquisition - Other / Unknown - Connect Midwest Multifamily Trends 2026: Navigating Capital Flow & Deal Dynamics,Acquisition - Other / Unknown - Connect Midwest Multifamily Trends 2026: Navigating Capital Flow & Deal Dynamics,Acquisition / Buyer,Other / Unknown,Acquisition,2026-06-26,2026-06-29,4,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Acquisition - Washington DC - Sentinel Real Estate Acquires Luxury Apartment Community in Potomac,Washington DC,Acquisition / Buyer,Washington DC,Acquisition,2026-06-13,2026-06-16,4,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Acquisition - Washington DC - Sentinel Real Estate Acquires Luxury Apartment Community in Potomac,Washington Dc,Acquisition / Buyer,Washington DC,Acquisition,2026-06-13,2026-06-16,4,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Affinius Capital,New York,Financing Relationship,New York City / New York,Construction Financing,2026-06-25,2026-06-26,6,100,Durable,Strategic Relationship Watch,Aligned Capital Relationship,Fading,0
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Affinius Capital,Sun Belt,Financing Relationship,Tampa / Florida,Construction Financing,2026-06-30,2026-07-01,6,100,Durable,Strategic Relationship Watch,Aligned Capital Relationship,Fading,0
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Alliance Residential,California,JV / Partnership,Riverside / California,JV / Partnership,2026-06-01,2026-06-08,30,100,Durable,Repeat JV Partnership,Aligned Capital Relationship,Fading,0
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Alliance Residential,Sun Belt,Acquisition / Buyer,Phoenix / Arizona,Acquisition,2026-06-23,2026-07-05,33,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Stable,3
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Alliance Residential,California,JV / Partnership,California,JV / Partnership,2026-05-29,2026-06-01,20,100,Durable,Repeat JV Partnership,Aligned Capital Relationship,Fading,0
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Alliance Residential,Riverside,JV / Partnership,Riverside / California,JV / Partnership,2026-06-01,2026-06-08,15,100,Durable,Repeat JV Partnership,Aligned Capital Relationship,Fading,0
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,AvalonBay,equity residential,Capital Flow,National,General Project Signal,2026-05-21,2026-05-27,10,100,Durable,Strategic Relationship Watch,Aligned Capital Relationship,Fading,0
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,AvalonBay,Los Angeles,Pricing / Valuation Signal,National,General Project Signal,2026-05-21,2026-05-27,10,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,AvalonBay,National,Market Expansion,National,General Project Signal,2026-05-21,2026-05-27,10,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,AvalonBay,New York,Market Expansion,New York,General Project Signal,2026-05-25,2026-05-26,6,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,BGO,Sun Belt,Acquisition / Buyer,Sun Belt,Acquisition,2026-05-20,2026-05-20,6,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,BHI,Office-to-Residential Conversion - Other / Unknown - BHI Lends $170M on Third Avenue Office-to-Resi Conversion,General Association,Other / Unknown,Office-to-Residential Conversion,2026-06-02,2026-06-02,4,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,"BTR / Build-to-Rent - National - House Passes BTR-Friendly Housing Bill, But Senate Fight Looms",National,Market Expansion,National,BTR / Build-to-Rent,2026-05-20,2026-05-27,10,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,BTR / Build-to-Rent - Other / Unknown - Build-to-rent sale mandate cut from House’s ROAD to Housing bill,BTR / Build-to-Rent - Other / Unknown - Build-to-rent sale mandate cut from House’s ROAD to Housing bill,Innovation / Construction Strategy,Other / Unknown,BTR / Build-to-Rent,2026-05-19,2026-05-20,4,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Basis Investment Group,Washington DC,Financing Relationship,Washington DC,Construction Financing,2026-06-02,2026-06-02,4,100,Durable,Strategic Relationship Watch,Aligned Capital Relationship,Fading,0
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Basis Investment Group,Washington Dc,Financing Relationship,Washington DC,Construction Financing,2026-06-02,2026-06-02,4,100,Durable,Strategic Relationship Watch,Aligned Capital Relationship,Fading,0
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Basis Investment Group,Los Angeles,Financing Relationship,Washington DC,Construction Financing,2026-06-02,2026-06-02,4,100,Durable,Strategic Relationship Watch,Aligned Capital Relationship,Fading,0
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Berkadia,Berkadia,Financing Relationship,Other / Unknown,Refinancing,2026-05-20,2026-06-15,6,100,Durable,Strategic Relationship Watch,Aligned Capital Relationship,Fading,0
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Berkadia,Sun Belt,Financing Relationship,Miami / Florida,Refinancing,2026-06-05,2026-06-26,37,100,Durable,Strategic Relationship Watch,Aligned Capital Relationship,Fading,0
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Berkadia,Sun Belt,JV / Partnership,Miami / Florida,JV / Partnership,2026-06-08,2026-06-18,24,100,Durable,Repeat JV Partnership,Aligned Capital Relationship,Fading,0
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Berkadia,Berkadia,JV / Partnership,Miami / Florida,JV / Partnership,2026-06-08,2026-06-18,12,100,Durable,Repeat JV Partnership,Aligned Capital Relationship,Fading,0
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Berkadia,Berkadia,Financing Relationship,Florida,Refinancing,2026-06-27,2026-06-29,6,100,Durable,Strategic Relationship Watch,Aligned Capital Relationship,Fading,0
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Berkadia,Sun Belt,Pricing / Valuation Signal,Miami / Florida,General Project Signal,2026-06-02,2026-06-02,4,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Berkadia,South Florida,JV / Partnership,Miami / Florida,JV / Partnership,2026-06-08,2026-06-18,12,100,Durable,Repeat JV Partnership,Aligned Capital Relationship,Fading,0
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Berkadia,Sarasota,Financing Relationship,Sarasota / Florida,Refinancing,2026-06-01,2026-06-04,7,100,Durable,Strategic Relationship Watch,Aligned Capital Relationship,Fading,0
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Berkadia,Sarasota / Florida,Financing Relationship,Sarasota / Florida,Refinancing,2026-06-01,2026-06-04,7,100,Durable,Strategic Relationship Watch,Aligned Capital Relationship,Fading,0
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Berkadia,Houston / Texas,Acquisition / Buyer,Houston / Texas,Acquisition,2026-06-02,2026-06-15,15,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Berkadia,Berkadia,Financing Relationship,Sarasota / Florida,Refinancing,2026-06-01,2026-06-04,13,100,Durable,Strategic Relationship Watch,Aligned Capital Relationship,Fading,0
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Berkadia,South Florida,Financing Relationship,Miami / Florida,Construction Financing,2026-06-13,2026-06-23,11,100,Durable,Strategic Relationship Watch,Aligned Capital Relationship,Fading,0
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Berkadia,Freddie Mac,Financing Relationship,Other / Unknown,Refinancing,2026-06-08,2026-06-15,5,100,Durable,Strategic Relationship Watch,Aligned Capital Relationship,Fading,0
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Berkadia,Houston,Acquisition / Buyer,Houston / Texas,Acquisition,2026-06-02,2026-06-15,15,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Berkadia,Berkadia,Financing Relationship,Houston / Texas,Acquisition,2026-06-02,2026-06-15,16,100,Durable,Strategic Relationship Watch,Aligned Capital Relationship,Fading,0
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Berkadia,Acquisition - Houston / Texas - Interurban Offloads 180-Unit Houston Rental Community,Acquisition / Buyer,Houston / Texas,Acquisition,2026-06-12,2026-06-15,4,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Berkadia,Los Angeles,Acquisition / Buyer,Houston / Texas,Acquisition,2026-06-02,2026-06-02,4,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Berkadia,Sun Belt,Market Expansion,Miami / Florida,General Project Signal,2026-06-02,2026-06-02,4,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Berkadia,Berkadia,Financing Relationship,Sun Belt,Acquisition,2026-06-11,2026-06-25,4,100,Durable,Strategic Relationship Watch,Aligned Capital Relationship,Fading,0
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Berkadia,Berkadia,Financing Relationship,Miami / Florida,Refinancing,2026-06-02,2026-06-26,20,100,Durable,Strategic Relationship Watch,Aligned Capital Relationship,Fading,0
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Berkadia,South Florida,Market Expansion,Miami / Florida,General Project Signal,2026-06-02,2026-06-02,4,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Berkadia,Berkadia,Acquisition / Buyer,Houston / Texas,Acquisition,2026-06-05,2026-06-11,7,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Berkshire Hathaway,Los Angeles,Innovation / Construction Strategy,Phoenix / Arizona,BTR / Build-to-Rent,2026-06-02,2026-06-05,8,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Berkshire Hathaway,Sun Belt,Market Expansion,Phoenix / Arizona,BTR / Build-to-Rent,2026-06-02,2026-06-05,8,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Berkshire Hathaway,Los Angeles,Financing Relationship,Los Angeles / California,Construction Financing,2026-06-04,2026-06-05,6,100,Durable,Strategic Relationship Watch,Aligned Capital Relationship,Fading,0
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Berkshire Hathaway,Scottsdale,Market Expansion,Phoenix / Arizona,BTR / Build-to-Rent,2026-06-02,2026-06-05,8,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Blackstone,New York,Market Expansion,New York,General Project Signal,2026-05-19,2026-05-20,4,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Blackstone,Sun Belt,Market Expansion,Sun Belt,Operational / Property Management Tech,2026-05-20,2026-05-27,11,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Blackstone,Blackstone,JV / Partnership,New York,JV / Partnership,2026-05-19,2026-05-28,30,100,Durable,Repeat JV Partnership,Aligned Capital Relationship,Fading,0
2026-07-05,20260705-000252-290c6e5e,2026-07-05 00:02:52,Blackstone,New York,JV / Partnership,New York,JV / Partnership,2026-05-19,2026-05-28,15,100,Durable,Repeat JV Partnership,Aligned Capital Relationship,Fading,0
