run_date,run_id,canonical_project_id,canonical_project_name,project_identity_confidence,lifecycle_transition_id,canonical_asset_or_project_name,market,city_or_submarket,residential_sector,gp_or_developer,previous_stage,current_stage,previous_stage_rank,current_stage_rank,transition_type,stage_change,days_since_first_seen,days_since_last_seen,observation_count,progression_score,stall_risk_score,execution_momentum_label,woomi_timing_relevance,recommended_transition_follow_up,evidence_article_title,source,url,confidence_level
2026-07-05,20260705-000252-290c6e5e,PRJ-20260705-0068,General Project Signal - Houston / Texas - Fairfield Completes 14-Story Houston Multifamily Tower,100,LCT-20260705-012,Fairfield Completes 14-Story Houston Multifamily Tower,Houston / Texas,Houston,Apartment,Fairfield Residential,Delivery / Opening,Delivery / Opening,13,13,Mature / Operating,0,1,1,2,71,11,Mature,Relevant to construction timing,"Use as delivery, lease-up, and underwriting benchmark",Fairfield Completes 14-Story Houston Multifamily Tower,Connect CRE Texas,https://www.connectcre.com/stories/fairfield-completes-14-story-houston-multifamily-tower/,Medium
2026-07-05,20260705-000252-290c6e5e,PRJ-20260705-0089,Entitlement / Permitting - Los Angeles / California - Developer revises proposal for apartments at 4728 San Fernando Rd. in Glendale,80,LCT-20260705-031,Affordable housing completed at 3300 Washington Blvd. in Arlington Heights,Other / Unknown,Los Angeles,Affordable Housing,,Delivery / Opening,Delivery / Opening,13,13,Mature / Operating,0,1,1,2,70,11,Mature,Relevant to construction timing,"Use as delivery, lease-up, and underwriting benchmark",Affordable housing completed at 3300 Washington Blvd. in Arlington Heights,Urbanize LA,https://la.urbanize.city/post/affordable-housing-completed-3300-washington-blvd-arlington-heights,Medium
2026-07-05,20260705-000252-290c6e5e,PRJ-20260705-0099,Construction Financing - Miami / Florida - LCOR Inks $192.5M Construction Loan for Biscayne Bay Apartments,80,LCT-20260705-036,LCOR Inks $192.5M Construction Loan for Biscayne Bay Apartments,Miami / Florida,Unknown,Apartment,Unknown,Vertical Construction,Vertical Construction,11,11,Same Stage Persistence,0,1,1,2,69,27,Stable,Relevant to construction timing,Monitor for another run to confirm lifecycle direction,LCOR Inks $192.5M Construction Loan for Biscayne Bay Apartments,Connect CRE Apartments,https://www.connectcre.com/stories/lcor-inks-192-5m-construction-loan-for-biscayne-bay-apartments/,Medium
2026-07-05,20260705-000252-290c6e5e,PRJ-20260705-0157,Construction Financing - Miami / Florida - LCOR Inks $192.5M Construction Loan for Biscayne Bay Apartments,80,LCT-20260705-054,Development Start - Miami / Florida - Developer Begins Work on 476-Unit Delray Beach Rental Community,Unknown,South Florida,Apartment,Unknown,Vertical Construction,Vertical Construction,11,11,Same Stage Persistence,0,1,1,2,69,13,Stable,Relevant to construction timing,Monitor for another run to confirm lifecycle direction,Developer Begins Work on 476-Unit Delray Beach Rental Community,Connect CRE South Florida,https://www.connectcre.com/stories/developer-begins-work-on-476-unit-delray-beach-rental-community/,Medium
2026-07-05,20260705-000252-290c6e5e,PRJ-20260705-0170,Operational / Property Management Tech - Other / Unknown - Beyond efficiency: How leading multifamily operators are putting AI to work,80,LCT-20260705-068,Entitlement / Permitting - Other / Unknown - Affordable housing completed at 3300 Washington Blvd. in Arlington Heights,Unknown,Unknown,Affordable Housing,Unknown,Delivery / Opening,Delivery / Opening,13,13,Mature / Operating,0,1,1,2,67,13,Mature,Relevant to construction timing,"Use as delivery, lease-up, and underwriting benchmark",Affordable housing completed at 3300 Washington Blvd. in Arlington Heights,Urbanize LA,https://la.urbanize.city/post/affordable-housing-completed-3300-washington-blvd-arlington-heights,Medium
2026-07-05,20260705-000252-290c6e5e,PRJ-20260705-0166,"Development Start - Texas - Core Spaces Advancing 2,201-Bed Texas A&M Student Housing Venture",80,LCT-20260705-071,"Development Start - Texas - Core Spaces Advancing 2,201-Bed Texas A&M Student Housing Venture",Texas,Texas,Student Housing,Unknown,Vertical Construction,Vertical Construction,11,11,Same Stage Persistence,0,1,1,2,67,12,Stable,Relevant to construction timing,Monitor for another run to confirm lifecycle direction,"Core Spaces Advancing 2,201-Bed Texas A&M Student Housing Venture",Connect CRE Texas,https://www.connectcre.com/stories/core-spaces-advancing-2201-bed-texas-am-student-housing-venture/,Medium
2026-07-05,20260705-000252-290c6e5e,PRJ-20260705-0109,Construction Financing - New York - Transit-Oriented Fair Lawn Multifamily Scores $67M Construction Loan,100,LCT-20260705-001,Construction Financing - New York - Transit-Oriented Fair Lawn Multifamily Scores $67M Construction Loan,New York,New York,Apartment,PCCP,Refinancing / Recapitalization,Refinancing / Recapitalization,16,16,Same Stage Persistence,0,1,1,2,65,29,Stable,Relevant to refinancing / recap timing,"Track maturity, lender, recapitalization need, and potential JV angle",Transit-Oriented Fair Lawn Multifamily Scores $67M Construction Loan,Connect CRE,https://www.connectcre.com/stories/transit-oriented-fair-lawn-multifamily-scores-67m-construction-loan/,Medium
2026-07-05,20260705-000252-290c6e5e,PRJ-20260705-0171,"Refinancing - Riverside / California - PCCP Provides $61.3M Loan to Refinance 287-Unit Apartment Community in Washington, D.C.",100,LCT-20260705-002,"Refinancing - Riverside / California - PCCP Provides $61.3M Loan to Refinance 287-Unit Apartment Community in Washington, D.C.",Unknown,"Washington, D.C.",Apartment,Kennedy Wilson,Refinancing / Recapitalization,Refinancing / Recapitalization,16,16,Same Stage Persistence,0,1,1,2,65,29,Stable,Relevant to refinancing / recap timing,"Track maturity, lender, recapitalization need, and potential JV angle","PCCP Provides $61.3M Loan to Refinance 287-Unit Apartment Community in Washington, D.C.",REBusiness Online,https://rebusinessonline.com/pccp-provides-61-3m-loan-to-refinance-287-unit-apartment-community-in-washington-d-c/,Medium
2026-07-05,20260705-000252-290c6e5e,PRJ-20260705-0083,Construction commences for mixed-use project at 2025 and 2051 Wilshire in Santa Monica,100,LCT-20260705-018,Construction commences for mixed-use project at 2025 and 2051 Wilshire in Santa Monica,Santa Monica / California,Los Angeles,Affordable Housing,Cypress Equity Investments,Refinancing / Recapitalization,Refinancing / Recapitalization,16,16,Same Stage Persistence,0,1,1,2,64,28,Stable,Relevant to refinancing / recap timing,"Track maturity, lender, recapitalization need, and potential JV angle",Construction commences for mixed-use project at 2025 and 2051 Wilshire in Santa Monica,Urbanize LA,https://la.urbanize.city/post/construction-commences-mixed-use-project-2025-and-2051-wilshire-santa-monica,Medium
2026-07-05,20260705-000252-290c6e5e,PRJ-20260705-0146,"Entitlement / Permitting - San Francisco / California - New Building Permits Filed For 4148 24th Street, San Francisco",80,LCT-20260705-015,"Entitlement / Permitting - San Francisco / California - New Building Permits Filed For 4148 24th Street, San Francisco",Unknown,San Francisco,Mixed-Use Residential,Unknown,Building Permit / Construction Permit,Building Permit / Construction Permit,8,8,Same Stage Persistence,0,1,1,2,64,13,Stable,Relevant to construction timing,Monitor for another run to confirm lifecycle direction,"New Building Permits Filed For 4148 24th Street, San Francisco",SF YIMBY,https://sfyimby.com/2026/07/new-building-permits-filed-for-4148-24th-street-san-francisco.html,Medium
