run_date,run_id,la_transition_watch_id,project_or_asset_name,la_submarket,gp_or_developer,residential_sector,previous_stage,current_stage,transition_type,progression_score,stall_risk_score,execution_momentum_label,la_entry_timing_signal,potential_woomi_site_strategy,recommended_local_follow_up,evidence_article_title,url,confidence_level
2026-07-27,20260727-000045-568389d6,LAT-20260727-001,Disposition / Exit - Los Angeles / California - 1929-Vintage Los Feliz Apartments Sell to Dream Street Capital,Los Angeles,Marcus & Millichap,Apartment,Delivery / Opening,Delivery / Opening,Mature / Operating,80,11,Mature,Delivery / lease-up benchmark,Monitor only,"Use as delivery, lease-up, and underwriting benchmark",1929-Vintage Los Feliz Apartments Sell to Dream Street Capital,https://www.connectcre.com/stories/1929-vintage-los-feliz-apartments-sell-to-dream-street-capital/,High
2026-07-27,20260727-000045-568389d6,LAT-20260727-002,Refinancing - California - Lightstone Capital Refis San Diego Apartments With $34M Loan,California,Unknown,Apartment,Delivery / Opening,Delivery / Opening,Mature / Operating,78,29,Mature,Delivery / lease-up benchmark,Monitor only,"Use as delivery, lease-up, and underwriting benchmark",Lightstone Capital Refis San Diego Apartments With $34M Loan,https://commercialobserver.com/2026/07/lightstone-capital-san-diego-apartments/,High
2026-07-27,20260727-000045-568389d6,LAT-20260727-003,Development Start - Los Angeles / California - Logos Faith Development Sets 15 Groundbreakings Over the Next Three Years,Los Angeles,Unknown,Affordable Housing,Construction Started,Construction Started,Same Stage Persistence,78,13,Stable,Construction start watch,Monitor only,Monitor for another run to confirm lifecycle direction,Logos Faith Development Sets 15 Groundbreakings Over the Next Three Years,https://www.connectcre.com/stories/logos-faith-development-sets-15-groundbreakings-over-the-next-three-years/,High
2026-07-27,20260727-000045-568389d6,LAT-20260727-004,Development Start - Other / Unknown - Housing Development in North Lawndale Breaks Ground,Los Angeles,Unknown,Apartment,Vertical Construction,Vertical Construction,Same Stage Persistence,77,12,Stable,Construction start watch,Monitor only,Monitor for another run to confirm lifecycle direction,Housing Development in North Lawndale Breaks Ground,https://www.connectcre.com/stories/housing-development-in-north-lawndale-breaks-ground/,High
2026-07-27,20260727-000045-568389d6,LAT-20260727-005,1929-Vintage Los Feliz Apartments Sell to Dream Street Capital,Los Angeles,Marcus & Millichap,Apartment,Delivery / Opening,Delivery / Opening,Mature / Operating,72,11,Mature,Delivery / lease-up benchmark,Monitor only,"Use as delivery, lease-up, and underwriting benchmark",1929-Vintage Los Feliz Apartments Sell to Dream Street Capital,https://www.connectcre.com/stories/1929-vintage-los-feliz-apartments-sell-to-dream-street-capital/,Medium
2026-07-27,20260727-000045-568389d6,LAT-20260727-006,Refinancing - Los Angeles / California - Walker & Dunlop Arranges $28.9M Loan for Refinancing of Affordable Housing Complex in Los...,Los Angeles,Walker & Dunlop,Affordable Housing,Refinancing / Recapitalization,Refinancing / Recapitalization,Same Stage Persistence,65,29,Stable,Refinancing / recap timing watch,Monitor refinancing or recap timing,"Track maturity, lender, recapitalization need, and potential JV angle",Walker & Dunlop Arranges $28.9M Loan for Refinancing of Affordable Housing Complex in Los Angeles,https://rebusinessonline.com/walker-dunlop-arranges-28-9m-loan-for-refinancing-of-affordable-housing-complex-in-los-angeles/,Medium
2026-07-27,20260727-000045-568389d6,LAT-20260727-007,Development Start - Atlanta / Georgia - Financing Secured for Centennial Yards Mixed-Use Project,Los Angeles,CIM Group,Mixed-Use Residential,Construction Ready,Construction Ready,Same Stage Persistence,65,11,Stable,Construction start watch,Monitor permit-to-start conversion,Monitor for another run to confirm lifecycle direction,Financing Secured for Centennial Yards Mixed-Use Project,https://www.connectcre.com/stories/financing-secured-for-centennial-yards-mixed-use-project/,Medium
2026-07-27,20260727-000045-568389d6,LAT-20260727-008,Office-to-Residential Conversion - Santa Monica / California - Kennedy Wilson plans 133 apartments at 700 Colorado Ave. in Santa Monica,Los Angeles,Kennedy Wilson,Office-to-Residential Conversion,Early Site Signal,Early Site Signal,Same Stage Persistence,50,37,Stable,Monitor only,Monitor only,Monitor for another run to confirm lifecycle direction,Kennedy Wilson plans 133 apartments at 700 Colorado Ave. in Santa Monica,https://la.urbanize.city/post/kennedy-wilson-plans-133-apartments-700-colorado-ave-santa-monica,Medium
2026-07-27,20260727-000045-568389d6,LAT-20260727-009,"Construction Financing - Miami / Florida - Fort Lauderdale Developer Inks Financing for Condos, Apartments, Retail",Los Angeles,IPA,Apartment,Unknown Stage,Unknown Stage,Unknown Transition,50,34,Unknown,Monitor only,Monitor only,Monitor for another run to confirm lifecycle direction,"Fort Lauderdale Developer Inks Financing for Condos, Apartments, Retail",https://www.connectcre.com/stories/fort-lauderdale-developer-inks-financing-for-condos-apartments-retail/,Medium
2026-07-27,20260727-000045-568389d6,LAT-20260727-010,Acquisition - Atlanta / Georgia - Walton Communities Offloads Two Atlanta Rental Properties,Los Angeles,JLL,Affordable Housing,Unknown Stage,Unknown Stage,Unknown Transition,50,31,Unknown,Monitor only,Monitor only,Monitor for another run to confirm lifecycle direction,Walton Communities Offloads Two Atlanta Rental Properties,https://www.connectcre.com/stories/walton-lakes-offloads-two-atlanta-rental-properties/,Medium
