run_date,run_id,run_timestamp,entity_type,entity_name,signal_type,market_or_region,residential_sector,first_seen_date,last_seen_date,observation_count,current_run_signal_count,persistence_score,momentum_direction,signal_acceleration,recurring_signal_label,historical_importance_score,longitudinal_conviction_score,institutional_persistence_score,capital_flow_strength_score
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Relationship Edge,Quarterra -> JLL,Financing Relationship,Los Angeles,,2026-05-18,2026-05-19,26,1,100,Stable,0,Persistent,84,94,92,89
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Institutional Capital Partner,Quarterra,Capital Inflow,Los Angeles,Apartment,2026-05-18,2026-05-19,26,1,100,Stable,0,Persistent,83,93,92,69
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Lender / Debt Provider,JLL,Disposition / Exit,Los Angeles,Apartment,2026-05-18,2026-05-19,26,1,98,Stable,0,Persistent,82,92,92,68
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Lender / Debt Provider,JLL,Construction Financing,Los Angeles,General Residential,2026-05-18,2026-05-18,19,0,93,Weakening,0,Fading,82,89,89,86
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Relationship Edge,JLL -> JLL,Financing Relationship,Los Angeles,,2026-05-18,2026-05-18,17,0,93,Weakening,0,Fading,82,89,89,86
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Relationship Edge,Los Angeles -> California,Financing Relationship,Los Angeles,,2026-05-18,2026-05-18,19,0,93,Weakening,0,Fading,82,89,89,86
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Relationship Edge,Los Angeles -> JLL,Financing Relationship,Los Angeles,,2026-05-18,2026-05-18,19,0,93,Weakening,0,Fading,82,89,89,86
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Relationship Edge,Los Angeles -> Los Angeles,Financing Relationship,Los Angeles,,2026-05-18,2026-05-18,38,0,93,Weakening,0,Fading,82,89,89,86
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Deal / Project,Construction Financing - Los Angeles - Lendlease and Aware Super Open Mixed-Use Multifamily Community in Los Angeles,Construction Financing,Los Angeles,Mixed-Use Residential,2026-05-18,2026-05-18,19,0,92,Weakening,0,Fading,79,87,68,78
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Relationship Edge,California -> cushman,Financing Relationship,California,,2026-05-19,2026-05-19,7,1,82,Stable,0,Persistent,78,80,84,82
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Relationship Edge,Los Angeles -> walker & dunlop,Financing Relationship,Los Angeles,,2026-05-19,2026-05-19,7,1,80,Stable,0,Persistent,77,79,82,81
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Relationship Edge,Quarterra -> California,Disposition / Seller,Los Angeles,,2026-05-18,2026-05-19,26,1,97,Stable,0,Persistent,76,89,91,68
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Relationship Edge,Quarterra -> Los Angeles,Disposition / Seller,Los Angeles,,2026-05-18,2026-05-19,52,2,97,Stable,0,Persistent,76,89,91,68
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Lender / Debt Provider,cushman,Office-to-Residential Conversion,California,Office-to-Residential Conversion,2026-05-19,2026-05-19,7,1,82,Stable,0,Persistent,76,80,84,62
