run_date,run_id,timing_signal_id,timing_signal_type,market,residential_sector,gp_or_developer,lender_or_capital_provider,related_project_or_deal,timing_reference,estimated_timing_bucket,timing_urgency_score,timing_confidence,evidence_signals,source_article_title,source,url,potential_woomi_action,recommended_monitoring_frequency
2026-06-08,20260608-230157-81fea293,TIM-20260608-002,Refinancing / Maturity Window,California,Multifamily,JLL,JLL,Refinancing - California - Affinius Capital Provides $120M Refi for San Diego Luxury Multifamily Complex,No explicit timing reference,Unknown Timing,79,Medium,Refinancing / Maturity Window,Affinius Capital Provides $120M Refi for San Diego Luxury Multifamily Complex,Commercial Observer,https://commercialobserver.com/2026/06/affinius-capital-120m-refi-san-diego-elowen/,"Track maturity, refinancing options, lender appetite, and recapitalization timing",Biweekly
2026-06-08,20260608-230157-81fea293,TIM-20260608-003,Refinancing / Maturity Window,California,Apartment,JLL,JLL,Refinancing - California - Affinius Lends $120M to Refinance Kearny Mesa Luxury Apartments,No explicit timing reference,Unknown Timing,79,Medium,Refinancing / Maturity Window; refinance,Affinius Lends $120M to Refinance Kearny Mesa Luxury Apartments,Connect CRE,https://www.connectcre.com/stories/487331-2/,"Track maturity, refinancing options, lender appetite, and recapitalization timing",Biweekly
2026-06-08,20260608-230157-81fea293,TIM-20260608-037,Acquisition Window,California,Affordable Housing,Freddie Mac,Freddie Mac,"Acquisition - California - HVPG Acquires Affordable Housing Community in Elk Grove, California, for $83.6M",No explicit timing reference,Unknown Timing,72,Medium,Acquisition Window,"HVPG Acquires Affordable Housing Community in Elk Grove, California, for $83.6M",REBusiness Online,https://rebusinessonline.com/hvpg-acquires-affordable-housing-community-in-elk-grove-california-for-83-6m/,Monitor pricing evidence and possible acquisition outreach timing,Biweekly
2026-06-08,20260608-230157-81fea293,TIM-20260608-001,Construction Completion / Delivery,California,Affordable Housing,Freddie Mac,Freddie Mac,"Acquisition - California - HVPG Acquires Affordable Housing Community in Elk Grove, California, for $83.6M",No explicit timing reference,Unknown Timing,71,Medium,Construction Completion / Delivery; completed,"HVPG Acquires Affordable Housing Community in Elk Grove, California, for $83.6M",REBusiness Online,https://rebusinessonline.com/hvpg-acquires-affordable-housing-community-in-elk-grove-california-for-83-6m/,"Monitor delivery, lease-up, concession, and supply pipeline timing",Biweekly
2026-06-08,20260608-230157-81fea293,TIM-20260608-004,Refinancing / Maturity Window,New York City / New York,Multifamily,JLL,Freddie Mac,Refinancing - New York City / New York - JLL Capital Markets arranges $70M Refinance for Multifamily Property in the Heart of Manha...,No explicit timing reference,Unknown Timing,71,Medium,Refinancing / Maturity Window; refinance,JLL Capital Markets arranges $70M Refinance for Multifamily Property in the Heart of Manhattan’s West Village,Yield PRO,https://yieldpro.com/2026/06/100-jane-street/,"Track maturity, refinancing options, lender appetite, and recapitalization timing",Biweekly
2026-06-08,20260608-230157-81fea293,TIM-20260608-007,Refinancing / Maturity Window,Other / Unknown,Apartment,Berkadia,Freddie Mac,Refinancing - Other / Unknown - Berkadia Provides $35M Refi for Detroit-Area Multifamily Apartment Complex,No explicit timing reference,Unknown Timing,71,Medium,Refinancing / Maturity Window,Berkadia Provides $35M Refi for Detroit-Area Multifamily Apartment Complex,Commercial Observer,https://commercialobserver.com/2026/06/berkadia-35m-refi-detroit-multifamily-apartment/,"Track maturity, refinancing options, lender appetite, and recapitalization timing",Biweekly
2026-06-08,20260608-230157-81fea293,TIM-20260608-030,Construction Start,Other / Unknown,Multifamily,Unknown,Unknown,Development Start - Other / Unknown - First Quarter 2026 Multifamily Construction Data,2026,Immediate / 0-3 Months,70,Medium,Construction Start,First Quarter 2026 Multifamily Construction Data,NAHB Eye on Housing - Multifamily,https://eyeonhousing.org/2026/05/first-quarter-2026-multifamily-construction-data/,"Monitor delivery, lease-up, concession, and supply pipeline timing",Weekly
2026-06-08,20260608-230157-81fea293,TIM-20260608-031,Construction Start,Other / Unknown,Multifamily,Unknown,Unknown,Development Start - Other / Unknown - Fourth Quarter 2025 Multifamily Construction Data,2025,Immediate / 0-3 Months,70,Medium,Construction Start,Fourth Quarter 2025 Multifamily Construction Data,NAHB Eye on Housing - Multifamily,https://eyeonhousing.org/2026/03/fourth-quarter-2025-multifamily-construction-data/,"Monitor delivery, lease-up, concession, and supply pipeline timing",Weekly
2026-06-08,20260608-230157-81fea293,TIM-20260608-032,Construction Start,Other / Unknown,Multifamily,Unknown,Unknown,Development Start - Other / Unknown - Overall Housing Starts Inch Lower in 2025,in 2025,Immediate / 0-3 Months,70,Medium,Construction Start; starts in,Overall Housing Starts Inch Lower in 2025,NAHB Eye on Housing - Multifamily,https://eyeonhousing.org/2026/02/overall-housing-starts-inch-lower-in-2025/,"Monitor delivery, lease-up, concession, and supply pipeline timing",Weekly
2026-06-08,20260608-230157-81fea293,TIM-20260608-033,Construction Start,Other / Unknown,Multifamily,Unknown,Unknown,Development Start - Other / Unknown - Third Quarter 2025 Multifamily Construction Data,2025,Immediate / 0-3 Months,70,Medium,Construction Start,Third Quarter 2025 Multifamily Construction Data,NAHB Eye on Housing - Multifamily,https://eyeonhousing.org/2026/01/third-quarter-2025-multifamily-construction-data/,"Monitor delivery, lease-up, concession, and supply pipeline timing",Weekly
2026-06-08,20260608-230157-81fea293,TIM-20260608-041,Distress Sale Timing,California,Apartment,JLL,JLL,Construction Financing - California - JLL Lines Up $144M Construction Loan for Santa Ana Multifamily,No explicit timing reference,Unknown Timing,70,Medium,Distress Sale Timing,JLL Lines Up $144M Construction Loan for Santa Ana Multifamily,,https://www.connectcre.com/stories/jll-lines-up-144m-construction-loan-for-santa-ana-multifamily/,"Prepare sponsor, lender, and rescue-capital watchlist",Biweekly
2026-06-08,20260608-230157-81fea293,TIM-20260608-042,Distress Sale Timing,California,Multifamily,JLL,JLL,Refinancing - California - Affinius Capital Provides $120M Refi for San Diego Luxury Multifamily Complex,No explicit timing reference,Unknown Timing,70,Medium,Distress Sale Timing,Affinius Capital Provides $120M Refi for San Diego Luxury Multifamily Complex,,https://commercialobserver.com/2026/06/affinius-capital-120m-refi-san-diego-elowen/,"Prepare sponsor, lender, and rescue-capital watchlist",Biweekly
2026-06-08,20260608-230157-81fea293,TIM-20260608-009,Recapitalization Timing,California,Affordable Housing,PEF Advisors,Unknown,"Recapitalization - California - PEF Advisors, Freestone Capital Form JV to Recapitalize Affordable Properties",No explicit timing reference,Unknown Timing,70,Medium,Recapitalization Timing; recapitalization,"PEF Advisors, Freestone Capital Form JV to Recapitalize Affordable Properties",Connect CRE Orange County,https://www.connectcre.com/stories/pef-advisors-freestone-capital-form-jv-to-recapitalize-affordable-properties/,"Prepare sponsor, lender, and rescue-capital watchlist",Biweekly
2026-06-08,20260608-230157-81fea293,TIM-20260608-006,Acquisition Window,Los Angeles / California,Apartment,Marcus & Millichap,Unknown,Acquisition - Los Angeles / California - Marcus & Millichap Brokers $47M Sale of Multifamily Property in Los Angeles,No explicit timing reference,Unknown Timing,67,Medium,Acquisition Window,Marcus & Millichap Brokers $47M Sale of Multifamily Property in Los Angeles,REBusiness Online,https://rebusinessonline.com/marcus-millichap-brokers-47m-sale-of-multifamily-property-in-los-angeles/,Monitor pricing evidence and possible acquisition outreach timing,Biweekly
2026-06-08,20260608-230157-81fea293,TIM-20260608-012,Acquisition Window,Seattle,Apartment,Unknown,Unknown,Acquisition - Seattle - Everett Washington Residential Multifamily Community Acquired by New Owner in $53M Deal,No explicit timing reference,Unknown Timing,66,Medium,Acquisition Window,Everett Washington Residential Multifamily Community Acquired by New Owner in $53M Deal,Yield PRO,https://yieldpro.com/2026/06/waterford-apartments/,Monitor pricing evidence and possible acquisition outreach timing,Biweekly
2026-06-08,20260608-230157-81fea293,TIM-20260608-043,Distress Sale Timing,California,Affordable Housing,PEF Advisors,Unknown,"Recapitalization - California - PEF Advisors, Freestone Capital Form JV to Recapitalize Affordable Properties",No explicit timing reference,Unknown Timing,66,Medium,Distress Sale Timing; recapitalization,"PEF Advisors, Freestone Capital Form JV to Recapitalize Affordable Properties",,https://www.connectcre.com/stories/pef-advisors-freestone-capital-form-jv-to-recapitalize-affordable-properties/,"Prepare sponsor, lender, and rescue-capital watchlist",Biweekly
