run_date,run_id,firm_name,strategic_tier,strategic_weight,residential_sector,detected_markets,detected_source_categories,detected_platform_types,detected_activity_types,article_count,highest_relevance_score,average_relevance_score,capital_flow_signal,relationship_signal,partnership_relevance_to_woomi,california_la_relevance,institutional_relationship_score,recommended_follow_up
2026-06-17,20260617-001813-7e028cca,Brookfield,Tier 1 / Immediate Strategic Importance,100,Affordable Housing,Los Angeles / California,Regional / California / LA Sources,Other,acquisition; entitlement; operational technology / AI adoption,1,100,100.0,Capital Inflow,GP Capability Benchmark Signal,competitive pressure indicator,High,100,Review California / LA capital and developer activity
2026-06-17,20260617-001813-7e028cca,CBRE,Tier 3 / Growth and Market Signal Watch,50,Apartment,California,Site / Parcel Source Expansion,Other,acquisition; disposition / exit; operational technology / AI adoption,2,100,78.5,Capital Inflow,GP Capability Benchmark Signal,competitive pressure indicator,High,100,Review California / LA capital and developer activity
2026-06-17,20260617-001813-7e028cca,JLL,Tier 3 / Growth and Market Signal Watch,50,Senior Housing,California; Denver / Colorado; Houston / Texas; New York,Core Multifamily News; Site / Parcel Source Expansion,Other,acquisition; disposition / exit; refinancing; JV / partnership; capital raise; operational technology / AI adoption,5,100,76.2,Capital Inflow,Potential JV / Partnership Signal,potential JV partnership signal,High,100,Map potential GP / JV relationship and monitor partnership activity
2026-06-17,20260617-001813-7e028cca,Marcus & Millichap,Tier 3 / Growth and Market Signal Watch,50,Mixed-Use Residential,Beverly Hills / California; California,Regional / California / LA Sources; Site / Parcel Source Expansion,Other,acquisition; disposition / exit; refinancing; entitlement; operational technology / AI adoption,2,100,100.0,Capital Inflow,GP Capability Benchmark Signal,competitive pressure indicator,High,100,Review California / LA capital and developer activity
2026-06-17,20260617-001813-7e028cca,Genton Property Group,Tier 3 / Growth and Market Signal Watch,50,Affordable Housing,Los Angeles / California,Regional / California / LA Sources,Other,entitlement; JV / partnership; operational technology / AI adoption,1,100,100.0,Development Capital Deployment,Potential JV / Partnership Signal,potential JV partnership signal,High,99,Map potential GP / JV relationship and monitor partnership activity
2026-06-17,20260617-001813-7e028cca,Berkadia,Tier 3 / Growth and Market Signal Watch,50,Apartment,Miami / Florida,Site / Parcel Source Expansion,Other,refinancing; JV / partnership; operational technology / AI adoption,2,100,100.0,Refinancing / Recapitalization,Potential JV / Partnership Signal,potential JV partnership signal,Low,98,Map potential GP / JV relationship and monitor partnership activity
2026-06-17,20260617-001813-7e028cca,Greystar,Tier 1 / Immediate Strategic Importance,100,Apartment,Miami / Florida,Site / Parcel Source Expansion,Other,operational technology / AI adoption,1,98,98.0,Operational / Platform Investment,GP Capability Benchmark Signal,competitive pressure indicator,Low,95,Monitor only
2026-06-17,20260617-001813-7e028cca,Freestone Capital,Tier 3 / Growth and Market Signal Watch,50,Affordable Housing,California,Site / Parcel Source Expansion,Other,recapitalization; JV / partnership; capital raise; operational technology / AI adoption,1,84,84.0,Capital Inflow,Potential JV / Partnership Signal,potential JV partnership signal,High,93,Map potential GP / JV relationship and monitor partnership activity
2026-06-17,20260617-001813-7e028cca,PEF Advisors,Tier 3 / Growth and Market Signal Watch,50,Affordable Housing,California,Site / Parcel Source Expansion,Other,recapitalization; JV / partnership; capital raise; operational technology / AI adoption,1,84,84.0,Capital Inflow,Potential JV / Partnership Signal,potential JV partnership signal,High,93,Map potential GP / JV relationship and monitor partnership activity
2026-06-17,20260617-001813-7e028cca,Douglas Final Phase 13th Floor Investments,Tier 3 / Growth and Market Signal Watch,50,Apartment,Miami / Florida,Site / Parcel Source Expansion,Other,refinancing; JV / partnership; operational technology / AI adoption,1,100,100.0,Refinancing / Recapitalization,Potential JV / Partnership Signal,potential JV partnership signal,Low,91,Map potential GP / JV relationship and monitor partnership activity
2026-06-17,20260617-001813-7e028cca,Millichap Capital,Tier 3 / Growth and Market Signal Watch,50,Mixed-Use Residential,Beverly Hills / California,Regional / California / LA Sources,Other,refinancing; entitlement; operational technology / AI adoption,1,100,100.0,Refinancing / Recapitalization,GP Capability Benchmark Signal,competitive pressure indicator,High,91,Review California / LA capital and developer activity
2026-06-17,20260617-001813-7e028cca,Beacon Bank,Tier 3 / Growth and Market Signal Watch,50,Apartment,Other / Unknown,Core Multifamily News; Site / Parcel Source Expansion,Other,refinancing; operational technology / AI adoption,2,100,100.0,Refinancing / Recapitalization,GP Capability Benchmark Signal,competitive pressure indicator,Low,90,Track refinancing or recapitalization pipeline
