run_date,run_id,watchlist_id,canonical_project_id,canonical_project_name,market,submarket,gp_or_developer,residential_sector,latest_lifecycle_stage,opportunity_score,risk_score,overall_signal_quality_score,institutional_confidence_label,supporting_source_count,recurring_observation_count,strategic_theme,woomi_relevance,recommended_executive_action,supporting_evidence_summary
2026-09-04,20260904-004955-4e2acade,HCW-20260904-001,PRJ-20260904-0156,Disposition / Exit - Miami / Florida - Cortland Offloads 812 West Palm Beach Apartment Units for $208M,Unknown,South Florida,Fairfield Residential,Apartment,Site Acquisition / Site Control,85,36,94,Strong Institutional Signal,5,5,Institutional capital movement,Priority Asset Watch,Review immediately,"5 source file(s), 5 observation(s), latest stage Site Acquisition / Site Control, identity confidence 100"
2026-09-04,20260904-004955-4e2acade,HCW-20260904-002,PRJ-20260904-0057,Construction Financing - California - CEDARst Cos. Obtains $80M Construction Loan for The Samuel Multifamily Property in San Die...,California,California,JLL,Apartment,Refinancing / Recapitalization,100,60,93,Strong Institutional Signal,10,24,Refinancing opportunity,Priority Asset Watch,Review immediately,"10 source file(s), 24 observation(s), latest stage Refinancing / Recapitalization, identity confidence 100"
2026-09-04,20260904-004955-4e2acade,HCW-20260904-003,PRJ-20260904-0123,Construction Financing - New York - Namdar Group Lands $390M Construction Loan in Jersey City,New York,New York,Walker & Dunlop,Apartment,Refinancing / Recapitalization,100,41,93,Strong Institutional Signal,9,11,Refinancing opportunity,Priority Asset Watch,Review immediately,"9 source file(s), 11 observation(s), latest stage Refinancing / Recapitalization, identity confidence 100"
2026-09-04,20260904-004955-4e2acade,HCW-20260904-004,PRJ-20260904-0120,Disposition / Exit - New York - CBRE Announces $64.3M Sale of 51 South Apartments in White Plains New York,New York,New York,CBRE,Apartment,Delivery / Opening,100,18,93,Strong Institutional Signal,8,10,Institutional capital movement,Priority Asset Watch,Review immediately,"8 source file(s), 10 observation(s), latest stage Delivery / Opening, identity confidence 100"
2026-09-04,20260904-004955-4e2acade,HCW-20260904-005,PRJ-20260904-0053,"JV / Partnership - California - Gilbane, CBRE IM Complete 484-Bed Student Housing Project Near University of California, B...",California,California,CBRE,Student Housing,Delivery / Opening,97,24,93,Strong Institutional Signal,9,14,Institutional capital movement,Priority Asset Watch,Review immediately,"9 source file(s), 14 observation(s), latest stage Delivery / Opening, identity confidence 100"
2026-09-04,20260904-004955-4e2acade,HCW-20260904-006,PRJ-20260904-0066,Refinancing - Florida - Newmark Facilitates $215.8M in Refinancing for Waypoint Residential Multifamily Portfolio...,Florida,Florida,Benefit Street Partners,Multifamily,Refinancing / Recapitalization,78,43,92,Strong Institutional Signal,8,9,Refinancing opportunity,Priority Asset Watch,Review immediately,"8 source file(s), 9 observation(s), latest stage Refinancing / Recapitalization, identity confidence 100"
2026-09-04,20260904-004955-4e2acade,HCW-20260904-007,PRJ-20260904-0056,Acquisition - California - Tishman Speyer Acquires 376-Unit Anaheim Rental Community,California,California,Freddie Mac,Apartment,Unknown Stage,98,31,91,Strong Institutional Signal,9,11,LA urban infill opportunity,Priority Asset Watch,Review immediately,"9 source file(s), 11 observation(s), latest stage Unknown Stage, identity confidence 100"
2026-09-04,20260904-004955-4e2acade,HCW-20260904-008,PRJ-20260904-0121,"JV / Partnership - New York - CIM Group, Hulic Pick Up White Plains Apartment Building for $64M",New York,New York,CIM Group,Apartment,Unknown Stage,90,21,91,Strong Institutional Signal,8,10,Institutional capital movement,Priority Asset Watch,Review immediately,"8 source file(s), 10 observation(s), latest stage Unknown Stage, identity confidence 100"
2026-09-04,20260904-004955-4e2acade,HCW-20260904-009,PRJ-20260904-0155,"Construction Financing - Miami / Florida - Gatsby Florida Inks $118.6M Construction Loan for Palm Beach Gardens Offices, Retail",Unknown,South Florida,Berkadia,General Residential,Refinancing / Recapitalization,69,42,91,Strong Institutional Signal,4,4,Refinancing opportunity,Strategic Asset Watch,Review immediately,"4 source file(s), 4 observation(s), latest stage Refinancing / Recapitalization, identity confidence 100"
2026-09-04,20260904-004955-4e2acade,HCW-20260904-010,PRJ-20260904-0105,Disposition / Exit - Miami / Florida - Cortland Offloads 812 West Palm Beach Apartment Units for $208M,Miami / Florida,Unknown,Fairfield Residential,Apartment,Site Acquisition / Site Control,50,36,90,Strong Institutional Signal,5,7,Institutional capital movement,Priority Asset Watch,Review immediately,"5 source file(s), 7 observation(s), latest stage Site Acquisition / Site Control, identity confidence 100"
