run_date,run_id,run_timestamp,gp_name,canonical_gp_name,gp_activity_score,institutional_relationship_score,capital_flow_score,regional_relevance_score,residential_sector_score,partnership_signal_score,innovation_signal_score,california_la_relevance_score,execution_signal_score,momentum_signal_score,emerging_gp_score,gp_tier,primary_market,residential_sector_focus,source_platform_types,institutional_partners,capital_sources,detected_strategies,innovation_signals,execution_signals,california_la_presence,partnership_signal,momentum_label,likely_growth_direction,potential_woomi_use_case,recommended_follow_up,confidence_level,special_labels
2026-08-28,20260828-064739-a33475f2,2026-08-28 06:47:39,Hyatt Regency Savannah Sale JLL Capital,JLL,100,100,90,100,90,100,0,100,25,74,82,Tier 2 High Potential GP,Other / Unknown,Multifamily,Other,jll,jll,Capital Inflow; JV / Partnership; Office-to-Residential Conversion; acquisition; disposition / exit; office-to-residential conversion; JV / partnership; operational technology / AI adoption; operational efficiency push,None detected,completed,High,Strong partnership signal,Accelerating,Institutional-backed regional expansion,Potential GP partnership candidate,Track JV and capital partner activity,High,Institutional Capital Magnet; LA Strategic Watch; Operational Excellence Signal
2026-08-28,20260828-064739-a33475f2,2026-08-28 06:47:39,JLL,JLL,100,100,90,100,90,100,0,100,25,74,82,Tier 2 High Potential GP,Other / Unknown,Multifamily,Other,jll,jll,Capital Inflow; JV / Partnership; Office-to-Residential Conversion; acquisition; disposition / exit; office-to-residential conversion; JV / partnership; operational technology / AI adoption; operational efficiency push,None detected,completed,High,Strong partnership signal,Accelerating,Institutional-backed regional expansion,Potential GP partnership candidate,Track JV and capital partner activity,High,Institutional Capital Magnet; LA Strategic Watch; Operational Excellence Signal
2026-08-28,20260828-064739-a33475f2,2026-08-28 06:47:39,IPA,IPA,100,100,90,100,90,100,0,100,0,67,81,Tier 2 High Potential GP,California,Apartment,Other,None detected,None detected,Capital Inflow; Disposition / Exit; JV / Partnership; acquisition; disposition / exit; JV / partnership; operational technology / AI adoption; operational efficiency push,None detected,None detected,High,Strong partnership signal,Accelerating,Institutional-backed regional expansion,Potential GP partnership candidate,Track JV and capital partner activity,Medium,Institutional Capital Magnet; LA Strategic Watch
2026-08-28,20260828-064739-a33475f2,2026-08-28 06:47:39,Marcus & Millichap,Marcus & Millichap,100,100,90,100,90,100,0,100,0,67,81,Tier 2 High Potential GP,California,Apartment,Other,None detected,None detected,Capital Inflow; Disposition / Exit; acquisition; disposition / exit; JV / partnership; operational technology / AI adoption; operational efficiency push,None detected,None detected,High,Strong partnership signal,Accelerating,Institutional-backed regional expansion,Potential GP partnership candidate,Track JV and capital partner activity,Medium,Institutional Capital Magnet; LA Strategic Watch
2026-08-28,20260828-064739-a33475f2,2026-08-28 06:47:39,Fannie Mae,Fannie Mae,83,96,90,100,90,100,0,100,0,60,80,Tier 2 High Potential GP,California,Apartment,Other,fannie mae,fannie mae,JV / Partnership; Refinancing / Recapitalization; operational efficiency push; refinancing; JV / partnership; operational technology / AI adoption,None detected,None detected,High,Strong partnership signal,Accelerating,Institutional-backed regional expansion,Potential GP partnership candidate,Track JV and capital partner activity,Medium,Institutional Capital Magnet; LA Strategic Watch; Distressed Opportunity Candidate
2026-08-28,20260828-064739-a33475f2,2026-08-28 06:47:39,Affinius Capital,Affinius Capital,83,96,75,100,90,100,0,100,0,56,77,Tier 2 High Potential GP,California,Apartment,Other,None detected,None detected,JV / Partnership; JV / partnership; operational technology / AI adoption; Operational / Platform Investment; operational efficiency push,None detected,None detected,High,Strong partnership signal,Accelerating,Institutional-backed regional expansion,Potential GP partnership candidate,Track JV and capital partner activity,Medium,Institutional Capital Magnet; LA Strategic Watch
2026-08-28,20260828-064739-a33475f2,2026-08-28 06:47:39,Alliance Residential,Alliance Residential,99,100,75,100,55,100,0,100,25,70,76,Tier 2 High Potential GP,California,Senior Housing,Other,jll,jll,Capital Outflow / Exit; JV / Partnership; disposition / exit; JV / partnership; operational technology / AI adoption; operational efficiency push,None detected,completed,High,Strong partnership signal,Accelerating,Institutional-backed regional expansion,Potential GP partnership candidate,Track JV and capital partner activity,High,Institutional Capital Magnet; LA Strategic Watch; Operational Excellence Signal
2026-08-28,20260828-064739-a33475f2,2026-08-28 06:47:39,AvalonBay,AvalonBay,81,100,90,100,90,70,0,100,0,59,76,Tier 2 High Potential GP,California,Apartment,Other,equity residential,equity residential,Acquisition; California entitlement positioning; Capital Inflow; acquisition,None detected,None detected,High,Moderate partnership signal,Accelerating,Institutional-backed regional expansion,Capital market and pricing discovery reference,Review LA / California development activity,Medium,Institutional Capital Magnet; LA Strategic Watch
2026-08-28,20260828-064739-a33475f2,2026-08-28 06:47:39,CBRE,CBRE,100,100,90,100,30,65,0,100,25,74,71,Tier 2 High Potential GP,California,General Residential,Other,cbre,cbre,Acquisition; Capital Inflow; Refinancing; acquisition; disposition / exit; refinancing; operational technology / AI adoption; operational efficiency push,None detected,completed,High,Moderate partnership signal,Accelerating,Institutional-backed regional expansion,Capital market and pricing discovery reference,Review LA / California development activity,High,Institutional Capital Magnet; LA Strategic Watch; Operational Excellence Signal
2026-08-28,20260828-064739-a33475f2,2026-08-28 06:47:39,Equity Residential,Equity Residential,73,100,90,100,90,0,0,100,0,56,65,Tier 3 Monitoring GP,California,Apartment,Other,None detected,None detected,California entitlement positioning; Capital Inflow; acquisition,None detected,None detected,High,No clear partnership signal,Improving,Institutional-backed regional expansion,Capital market and pricing discovery reference,Review LA / California development activity,Medium,Institutional Capital Magnet; LA Strategic Watch
