run_date,run_id,collected_at,source,source_category,platform_type,residential_sector,published,relevance_score,priority,action_level,market_focus,strategic_angle,decision_use,strategic_implication,woomi_relevance,recommended_next_step,reason_for_inclusion,market_signal,extracted_numbers,article_text_sample,llm_analysis_prompt,llm_prompt_quality_score,llm_prompt_quality_label,missing_prompt_context,gpt_strategic_analysis,topics,matched_keywords,title,url,previously_seen_article
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:08:38,Multifamily Executive,Core Multifamily News,Other,Multifamily,"Tue, 05 May 2026 15:14:42 +0000",100,High,Must Read,National,Financing Risk; Rent Growth / Demand,Track Financing Conditions; Track Rent / Vacancy Trend,"Monitor financing conditions because the article includes concession, concessions, construction and no specific number, which may affect construction loans, refinancing risk, and exit cap rates.",High relevance to US residential developer strategy,Read full article,"Included because it scored 100 and mentions concession, concessions, construction, with a Financing Risk; Rent Growth / Demand angle for National.",No Clear Numeric Signal,,"Webinar The Market Data that Matters for the rest of 2026: A Chat with Zillow’s Chief Economist Jun 29, 2026 1:00pm ET 60 Minutes Join Zillow Rentals and Zillow’s Chief Economist, Mischa Fisher, for a look back at the market in the first half of 2026, and what the forecast may hold for the rest of 2026. In less than 30-minutes, we’ll dig into what the data says about demand, pricing and concession rates across the country. Plus, we’ll explore what changes in employment, hiring or interest rates ","You are a strategic research analyst for Woomi / Woomi Global.
Analyze the following US multifamily housing article for developer strategy.

Article context:
- Title: The Market Data that Matters for the rest of 2026: A Chat with Zillow’s Chief Economist
- Source: Multifamily Executive
- URL: https://www.multifamilyexecutive.com/premium/webinar/752676
- Market focus: National
- Strategic angle: Financing Risk; Rent Growth / Demand
- Market signal: No Clear Numeric Signal
- Extracted numbers: None detected
- Strategic implication: Monitor financing conditions because the article includes concession, concessions, construction and no specific number, which may affect construction loans, refinancing risk, and exit cap rates.
- Woomi relevance: High relevance to US residential developer strategy

Please answer in concise bullet points:
1. Why does this article matter for a US multifamily developer?
2. What is the implication for Woomi / Woomi Global?
3. What risk or opportunity does this indicate?
4. What follow-up question should the strategy team ask?",82,Good,missing extracted numbers; missing market signal,GPT analysis not enabled,Macro & Financing; Supply & Demand; Development Strategy,concession; concessions; construction; financing; interest rate; migration; multifamily; rent growth; renter; renters,The Market Data that Matters for the rest of 2026: A Chat with Zillow’s Chief Economist,https://www.multifamilyexecutive.com/premium/webinar/752676,Yes
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:08:49,Yield PRO,Core Multifamily News,Other,Multifamily,"Mon, 18 May 2026 19:19:09 +0000",100,High,Must Read,New York,Financing Risk; Institutional Flow; Developer Strategy,Track Financing Conditions; Track Institutional Capital Flow; Track Developer Strategy,"Monitor financing conditions because the article includes capital markets, development, financing and $141.8m, $141.817 million, which may affect construction loans, refinancing risk, and exit cap rates.",High relevance to US residential developer strategy,Read full article,"Included because it scored 100 and mentions capital markets, development, financing, with a Financing Risk; Institutional Flow; Developer Strategy angle for New York.",No Clear Numeric Signal,$141.8m; $141.817 million,"Deal boom Midwest-North region News Facebook Twitter Linkedin JLL Capital Markets announced that it has arranged a $141.817 million refinancing for Wolf Point West , a best-in-class luxury multifamily property in Chicago’s River North neighborhood. JLL represented the borrower, Hines, in partnership with AFL-CIO Building Investment Trust (advised by DWS Group), Magellan Development Group and the Joseph P Kennedy Trust, in securing the three-year, floating-rate loan through New York Life Insuranc","You are a strategic research analyst for Woomi / Woomi Global.
Analyze the following US multifamily housing article for developer strategy.

Article context:
- Title: JLL Capital Markets Announced They Arranged a $141.8M Refinancing for Premier Luxury Riverfront Multifamily Tower Wolf Point West in Chicago
- Source: Yield PRO
- URL: https://yieldpro.com/2026/05/wolf-point-west/
- Market focus: New York
- Strategic angle: Financing Risk; Institutional Flow; Developer Strategy
- Market signal: No Clear Numeric Signal
- Extracted numbers: $141.8m; $141.817 million
- Strategic implication: Monitor financing conditions because the article includes capital markets, development, financing and $141.8m, $141.817 million, which may affect construction loans, refinancing risk, and exit cap rates.
- Woomi relevance: High relevance to US residential developer strategy

Please answer in concise bullet points:
1. Why does this article matter for a US multifamily developer?
2. What is the implication for Woomi / Woomi Global?
3. What risk or opportunity does this indicate?
4. What follow-up question should the strategy team ask?",90,Excellent,missing market signal,GPT analysis not enabled,Macro & Financing; Supply & Demand; Development Strategy; Market Players & Deals,capital markets; development; financing; jll; loan; midwest; multifamily; refinancing,JLL Capital Markets Announced They Arranged a $141.8M Refinancing for Premier Luxury Riverfront Multifamily Tower Wolf Point West in Chicago,https://yieldpro.com/2026/05/wolf-point-west/,Yes
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:08:53,Yield PRO,Core Multifamily News,Other,Apartment,"Mon, 18 May 2026 18:57:43 +0000",100,High,Must Read,Other / Unknown,Regulation Risk; Developer Strategy,Track Regulation Risk; Track Developer Strategy,"Monitor regulation risk because the article may affect entitlement, zoning, rent rules, affordability requirements, or permitting strategy.",High relevance to US residential developer strategy,Read full article,"Included because it scored 100 and mentions apartment, camden property trust, construction, with a Regulation Risk; Developer Strategy angle for a broad or unspecified market.",No Clear Numeric Signal,,"Deal boom Midwest-South region News Facebook Twitter Linkedin High Street Residential (HSR) , the residential subsidiary of Trammell Crow Company (TCC) , announced a strategic collaboration with Camden Property Trust (Camden) to advance a planned multifamily community on Hopson Road in Durham, North Carolina. The 400-unit multifamily community has been guided by HSR through key predevelopment milestones, including rezoning and site plan approvals with the City of Durham. Under Camden’s leadershi","You are a strategic research analyst for Woomi / Woomi Global.
Analyze the following US multifamily housing article for developer strategy.

Article context:
- Title: High Street Residential and Camden Property Trust Advance Durham North Carolina Apartment Community Toward Construction
- Source: Yield PRO
- URL: https://yieldpro.com/2026/05/hopson-road/
- Market focus: Other / Unknown
- Strategic angle: Regulation Risk; Developer Strategy
- Market signal: No Clear Numeric Signal
- Extracted numbers: None detected
- Strategic implication: Monitor regulation risk because the article may affect entitlement, zoning, rent rules, affordability requirements, or permitting strategy.
- Woomi relevance: High relevance to US residential developer strategy

Please answer in concise bullet points:
1. Why does this article matter for a US multifamily developer?
2. What is the implication for Woomi / Woomi Global?
3. What risk or opportunity does this indicate?
4. What follow-up question should the strategy team ask?",74,Good,missing extracted numbers; missing market focus; missing market signal,GPT analysis not enabled,Supply & Demand; Development Strategy; Market Players & Deals,apartment; camden property trust; construction; development; midwest; multifamily; zoning,High Street Residential and Camden Property Trust Advance Durham North Carolina Apartment Community Toward Construction,https://yieldpro.com/2026/05/hopson-road/,Yes
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:09:09,Bisnow,Core Multifamily News,Other,Apartment,"Thu, 14 May 2026 13:07:12 -0400",100,High,Must Read,Los Angeles,Institutional Flow,Track Institutional Capital Flow,"Review this as a supply risk signal because it references new deliveries, starts, pipeline, or permits in Los Angeles.",High relevance to US residential developer strategy,Read full article,"Included because it scored 100 and mentions apartment, apartments, jll, with a Institutional Flow angle for Los Angeles.",Supply / Starts Signal,"4,000 apartments; 3,746 units","News Quarterra Seeks Buyers For Almost 4,000 Apartments National Multifamily View count: National Multifamily May 14, 2026 | 2:10 p.m. ET Bianca Barragán, Southern California Google Maps The Mitchell, a 434-unit apartment complex in White Plains, New York, is part of the for-sale portfolio. Lennar ’s multifamily business, Quarterra , is shopping a nearly 4,000-unit portfolio with units across eight states. Quarterra has hired JLL to market 3,746 units across 10 buildings. It is looking for someo","You are a strategic research analyst for Woomi / Woomi Global.
Analyze the following US multifamily housing article for developer strategy.

Article context:
- Title: Quarterra Seeks Buyers For Almost 4,000 Apartments
- Source: Bisnow
- URL: https://www.bisnow.com/national/news/multifamily/quarterra-seeks-buyers-for-almost-4000-apartments-134586
- Market focus: Los Angeles
- Strategic angle: Institutional Flow
- Market signal: Supply / Starts Signal
- Extracted numbers: 4,000 apartments; 3,746 units
- Strategic implication: Review this as a supply risk signal because it references new deliveries, starts, pipeline, or permits in Los Angeles.
- Woomi relevance: High relevance to US residential developer strategy

Please answer in concise bullet points:
1. Why does this article matter for a US multifamily developer?
2. What is the implication for Woomi / Woomi Global?
3. What risk or opportunity does this indicate?
4. What follow-up question should the strategy team ask?",98,Excellent,None,GPT analysis not enabled,Macro & Financing; Market Players & Deals,apartment; apartments; jll; multifamily; quarterra; sale,"Quarterra Seeks Buyers For Almost 4,000 Apartments",https://www.bisnow.com/national/news/multifamily/quarterra-seeks-buyers-for-almost-4000-apartments-134586,Yes
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:09:13,Commercial Observer,Core Multifamily News,Other,Affordable Housing,"Mon, 18 May 2026 14:50:12 +0000",100,High,Must Read,New York,Financing Risk; Institutional Flow,Track Financing Conditions; Track Institutional Capital Flow,"Monitor financing conditions because the article includes acquisition, affordable housing, apartment and $42m, $41.5 million, $10 million, which may affect construction loans, refinancing risk, and exit cap rates.",High relevance to US residential developer strategy,Read full article,"Included because it scored 100 and mentions acquisition, affordable housing, apartment, with a Financing Risk; Institutional Flow angle for New York.",Deal Size Signal,$42m; $41.5 million; $10 million,"Residential · Multifamily Brooklyn Finance · Acquisition Merchants Capital, New York City Provide $42M for Brooklyn Affordable Housing Tredway will acquire the 138-unit building and invest $10 million for capital improvements By Brian Pascus May 18, 2026 10:50 am reprints Tredway's Adam Sussi and Restore Housing at 260 Herkimer Street, Brooklyn. PHOTOS: Courtesy Tredway Tredway has secured $41.5 million in acquisition and construction financing to purchase and renovate Restore Housing , a 138-un","You are a strategic research analyst for Woomi / Woomi Global.
Analyze the following US multifamily housing article for developer strategy.

Article context:
- Title: Merchants Capital, New York City Provide $42M for Brooklyn Affordable Housing
- Source: Commercial Observer
- URL: https://commercialobserver.com/2026/05/merchants-capital-new-york-city-42m-brooklyn-affordable-housing/
- Market focus: New York
- Strategic angle: Financing Risk; Institutional Flow
- Market signal: Deal Size Signal
- Extracted numbers: $42m; $41.5 million; $10 million
- Strategic implication: Monitor financing conditions because the article includes acquisition, affordable housing, apartment and $42m, $41.5 million, $10 million, which may affect construction loans, refinancing risk, and exit cap rates.
- Woomi relevance: High relevance to US residential developer strategy

Please answer in concise bullet points:
1. Why does this article matter for a US multifamily developer?
2. What is the implication for Woomi / Woomi Global?
3. What risk or opportunity does this indicate?
4. What follow-up question should the strategy team ask?",98,Excellent,None,GPT analysis not enabled,Macro & Financing; Development Strategy; Policy & Regulation; Market Players & Deals,acquisition; affordable housing; apartment; construction; financing; multifamily,"Merchants Capital, New York City Provide $42M for Brooklyn Affordable Housing",https://commercialobserver.com/2026/05/merchants-capital-new-york-city-42m-brooklyn-affordable-housing/,Yes
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:09:40,Urbanize LA,Regional / California / LA Sources,Other,Affordable Housing,"Mon, 18 May 2026 13:05:00 +0000",100,High,Must Read,Los Angeles,Developer Strategy,Track Developer Strategy,"Review this as a supply risk signal because it references new deliveries, starts, pipeline, or permits in Los Angeles.",High relevance to US residential developer strategy,Read full article,"Included because it scored 100 and mentions affordable housing, apartment, apartments, with a Developer Strategy angle for Los Angeles.",Supply / Starts Signal,150 units; 106 apartments,"New proposal emerges for affordable housing at 1316 Linwood Ave. in Westlake | Urbanize LA Skip to main content Advertisement Advertisement New plans have emerged for the construction of an affordable housing complex just west of the 110 Freeway in Westlake. Rendering of 1316 Linwood Holos Communities The property, located at 1316 Linwood Avenue, was previously poised to see the construction of an eight-story building featuring 150 units of permanent supportive housing, priced at the low- and ve","You are a strategic research analyst for Woomi / Woomi Global.
Analyze the following US multifamily housing article for developer strategy.

Article context:
- Title: New proposal emerges for affordable housing at 1316 Linwood Ave. in Westlake
- Source: Urbanize LA
- URL: https://la.urbanize.city/post/new-proposal-emerges-affordable-housing-1316-linwood-ave-westlake
- Market focus: Los Angeles
- Strategic angle: Developer Strategy
- Market signal: Supply / Starts Signal
- Extracted numbers: 150 units; 106 apartments
- Strategic implication: Review this as a supply risk signal because it references new deliveries, starts, pipeline, or permits in Los Angeles.
- Woomi relevance: High relevance to US residential developer strategy

Please answer in concise bullet points:
1. Why does this article matter for a US multifamily developer?
2. What is the implication for Woomi / Woomi Global?
3. What risk or opportunity does this indicate?
4. What follow-up question should the strategy team ask?",98,Excellent,None,GPT analysis not enabled,Development Strategy; Policy & Regulation,affordable housing; apartment; apartments; construction; development,New proposal emerges for affordable housing at 1316 Linwood Ave. in Westlake,https://la.urbanize.city/post/new-proposal-emerges-affordable-housing-1316-linwood-ave-westlake,Yes
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:09:44,Urbanize LA,Regional / California / LA Sources,Other,Mixed-Use Residential,"Fri, 15 May 2026 13:10:00 +0000",100,High,Must Read,Los Angeles,Regulation Risk; Developer Strategy,Track Regulation Risk; Track Developer Strategy,"Track rent and vacancy conditions because the article points to demand, occupancy, rent, vacancy, or concession signals in Los Angeles.",High relevance to US residential developer strategy,Read full article,"Included because it scored 100 and mentions apartment, apartments, development, with a Regulation Risk; Developer Strategy angle for Los Angeles.",Rent Growth Signal,96 apartments; 15 apartments,"96 apartments + retail proposed at 8871 W. Venice Blvd. | Urbanize LA Skip to main content Advertisement Advertisement Small buildings located across the street from Apple's new office complex on the L.A. - Culver City border are set to give way to a mixed-use residential development, according to an application recently filed with the Department of City Planning. 8871 W. Venice Boulevard Google Street View The proposed project from Venice Apple Project, LLC, slated for a corner lot at 8871-8879","You are a strategic research analyst for Woomi / Woomi Global.
Analyze the following US multifamily housing article for developer strategy.

Article context:
- Title: 96 apartments + retail proposed at 8871 W. Venice Blvd.
- Source: Urbanize LA
- URL: https://la.urbanize.city/post/96-apartments-retail-proposed-8871-w-venice-blvd
- Market focus: Los Angeles
- Strategic angle: Regulation Risk; Developer Strategy
- Market signal: Rent Growth Signal
- Extracted numbers: 96 apartments; 15 apartments
- Strategic implication: Track rent and vacancy conditions because the article points to demand, occupancy, rent, vacancy, or concession signals in Los Angeles.
- Woomi relevance: High relevance to US residential developer strategy

Please answer in concise bullet points:
1. Why does this article matter for a US multifamily developer?
2. What is the implication for Woomi / Woomi Global?
3. What risk or opportunity does this indicate?
4. What follow-up question should the strategy team ask?",98,Excellent,None,GPT analysis not enabled,Development Strategy,apartment; apartments; development; entitlement; permit; permitting,96 apartments + retail proposed at 8871 W. Venice Blvd.,https://la.urbanize.city/post/96-apartments-retail-proposed-8871-w-venice-blvd,Yes
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:09:45,Urbanize LA,Regional / California / LA Sources,Other,Affordable Housing,"Fri, 15 May 2026 13:05:00 +0000",100,High,Must Read,Los Angeles,Financing Risk; Regulation Risk; Institutional Flow; Developer Strategy,Track Financing Conditions; Track Regulation Risk; Track Institutional Capital Flow; Track Developer Strategy,"Monitor financing conditions because the article includes affordable housing, apartment, apartments and $35, which may affect construction loans, refinancing risk, and exit cap rates.",High relevance to US residential developer strategy,Read full article,"Included because it scored 100 and mentions affordable housing, apartment, apartments, with a Financing Risk; Regulation Risk; Institutional Flow; Developer Strategy angle for Los Angeles.",Supply / Starts Signal,$35,"Site prep underway for affordable housing at 4301 S. Vermont Ave. | Urbanize LA Skip to main content Advertisement Advertisement Site prep has commenced for a new affordable housing development from SoLa Impact in the Vermont Square neighborhood. The project, located at 4301 S. Vermont Avenue , calls for the construction of a five-story, 188-unit apartment complex on a site previously occupied by a commercial building and parking. As a fully affordable housing development with one-bedroom apartm","You are a strategic research analyst for Woomi / Woomi Global.
Analyze the following US multifamily housing article for developer strategy.

Article context:
- Title: Site prep underway for affordable housing at 4301 S. Vermont Ave.
- Source: Urbanize LA
- URL: https://la.urbanize.city/post/site-prep-underway-affordable-housing-4301-s-vermont-ave
- Market focus: Los Angeles
- Strategic angle: Financing Risk; Regulation Risk; Institutional Flow; Developer Strategy
- Market signal: Supply / Starts Signal
- Extracted numbers: $35
- Strategic implication: Monitor financing conditions because the article includes affordable housing, apartment, apartments and $35, which may affect construction loans, refinancing risk, and exit cap rates.
- Woomi relevance: High relevance to US residential developer strategy

Please answer in concise bullet points:
1. Why does this article matter for a US multifamily developer?
2. What is the implication for Woomi / Woomi Global?
3. What risk or opportunity does this indicate?
4. What follow-up question should the strategy team ask?",98,Excellent,None,GPT analysis not enabled,Macro & Financing; Development Strategy; Policy & Regulation,affordable housing; apartment; apartments; construction; density bonus; developer; development; loan; permit; zoning,Site prep underway for affordable housing at 4301 S. Vermont Ave.,https://la.urbanize.city/post/site-prep-underway-affordable-housing-4301-s-vermont-ave,Yes
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:09:49,Urbanize LA,Regional / California / LA Sources,Other,Affordable Housing,"Thu, 14 May 2026 13:10:00 +0000",100,High,Must Read,Other / Unknown,Financing Risk; Developer Strategy,Track Financing Conditions; Track Developer Strategy,"Monitor financing conditions because the article includes affordable housing, apartment, apartments and $170m, $170, 600 apartments, which may affect construction loans, refinancing risk, and exit cap rates.",High relevance to US residential developer strategy,Read full article,"Included because it scored 100 and mentions affordable housing, apartment, apartments, with a Financing Risk; Developer Strategy angle for a broad or unspecified market.",Supply / Starts Signal,$170m; $170; 600 apartments; 320 apartments,"Cypress Equity Investments gets $170M loan for two Santa Monica projects | Urbanize LA Skip to main content Advertisement Advertisement Cypress Equity Investments has secured a $170-million construction loan for the construction of two mixed-use apartment buildings in Santa Monica. The funding, announced earlier this week, will allow CEI to move forward with projects slated to replace commercial buildings near Douglas Park. They include: 2025 Wilshire Boulevard Rendering of 2025 Wilshire Blvd. D","You are a strategic research analyst for Woomi / Woomi Global.
Analyze the following US multifamily housing article for developer strategy.

Article context:
- Title: Cypress Equity Investments gets $170M loan for two Santa Monica projects
- Source: Urbanize LA
- URL: https://la.urbanize.city/post/cypress-equity-investments-gets-170m-loan-two-santa-monica-projects
- Market focus: Other / Unknown
- Strategic angle: Financing Risk; Developer Strategy
- Market signal: Supply / Starts Signal
- Extracted numbers: $170m; $170; 600 apartments; 320 apartments
- Strategic implication: Monitor financing conditions because the article includes affordable housing, apartment, apartments and $170m, $170, 600 apartments, which may affect construction loans, refinancing risk, and exit cap rates.
- Woomi relevance: High relevance to US residential developer strategy

Please answer in concise bullet points:
1. Why does this article matter for a US multifamily developer?
2. What is the implication for Woomi / Woomi Global?
3. What risk or opportunity does this indicate?
4. What follow-up question should the strategy team ask?",90,Excellent,missing market focus,GPT analysis not enabled,Macro & Financing; Development Strategy; Policy & Regulation,affordable housing; apartment; apartments; construction; density bonus; development; loan; permit,Cypress Equity Investments gets $170M loan for two Santa Monica projects,https://la.urbanize.city/post/cypress-equity-investments-gets-170m-loan-two-santa-monica-projects,Yes
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:04,REBusiness Online,Site / Parcel Source Expansion,Other,Office-to-Residential Conversion,2026-05-18T13:44:30Z,100,High,Must Read,California,Financing Risk; Developer Strategy,Track Financing Conditions; Track Developer Strategy,"Monitor financing conditions because the article includes apartment, apartments, conversion and $74.1m, $74.1 million, which may affect construction loans, refinancing risk, and exit cap rates.",High relevance to US residential developer strategy,Read full article,"Included because it scored 100 and mentions apartment, apartments, conversion, with a Financing Risk; Developer Strategy angle for California.",No Clear Numeric Signal,$74.1m; $74.1 million,"The 13-story office tower at 12 S. 1st St. in downtown San Jose, Calif., will be redeveloped into a 126,000-square-foot multifamily and commercial property. California Development Loans Multifamily Office Western Silicon Valley Initiative Partnership Receives $74.1M in Financing for Office-to-Residential Conversion Project in San Jose by Amy Works May 18, 2026 May 18, 2026 3 SAN JOSE, CALIF. — Silicon Valley Initiative Partnership has received $74.1 million in financing for the conversion of the","You are a strategic research analyst for Woomi / Woomi Global.
Analyze the following US multifamily housing article for developer strategy.

Article context:
- Title: Silicon Valley Initiative Partnership Receives $74.1M in Financing for Office-to-Residential Conversion Project in San Jose
- Source: REBusiness Online
- URL: https://rebusinessonline.com/silicon-valley-initiative-partnership-receives-74-1m-in-financing-for-office-to-residential-conversion-project-in-san-jose/
- Market focus: California
- Strategic angle: Financing Risk; Developer Strategy
- Market signal: No Clear Numeric Signal
- Extracted numbers: $74.1m; $74.1 million
- Strategic implication: Monitor financing conditions because the article includes apartment, apartments, conversion and $74.1m, $74.1 million, which may affect construction loans, refinancing risk, and exit cap rates.
- Woomi relevance: High relevance to US residential developer strategy

Please answer in concise bullet points:
1. Why does this article matter for a US multifamily developer?
2. What is the implication for Woomi / Woomi Global?
3. What risk or opportunity does this indicate?
4. What follow-up question should the strategy team ask?",90,Excellent,missing market signal,GPT analysis not enabled,Macro & Financing; Development Strategy; Market Players & Deals,apartment; apartments; conversion; cushman; development; financing; loan; multifamily; office-to-residential,Silicon Valley Initiative Partnership Receives $74.1M in Financing for Office-to-Residential Conversion Project in San Jose,https://rebusinessonline.com/silicon-valley-initiative-partnership-receives-74-1m-in-financing-for-office-to-residential-conversion-project-in-san-jose/,Yes
