run_date,run_id,canonical_project_id,canonical_project_name,project_identity_confidence,run_timestamp,canonical_article_id,article_integrity_status,primary_display_section,secondary_display_sections,repeat_exposure_status,freshness_score,access_status,project_or_deal_name,deal_type,asset_type,residential_sector,market,city_or_submarket,state_or_region,gp_or_developer,canonical_gp_or_developer,institutional_partner,lender_or_debt_provider,canonical_lender_or_debt_provider,capital_partner,canonical_capital_partner,canonical_market,unit_count,dollar_amount,loan_amount,acquisition_price,development_cost,cap_rate,rent_growth,vacancy_rate,concession_signal,construction_start_or_delivery_timing,entitlement_or_permitting_stage,deal_signal_score,deal_priority_label,potential_woomi_use,source_article_title,source,url,relevance_score,deal_fingerprint_id,fingerprint_confidence,canonical_deal_name,canonical_event_name,duplicate_cluster_id,duplicate_count
2026-09-04,20260904-004955-4e2acade,PRJ-20260904-0057,Construction Financing - California - CEDARst Cos. Obtains $80M Construction Loan for The Samuel Multifamily Property in San Die...,100,2026-09-04 00:49:55,art_d32dbb14c0548558,valid,Development Activity,GP / Capital Activity,new_or_fresh,100,open,Construction Financing - California - CEDARst Cos. Obtains $80M Construction Loan for The Samuel Multifamily Property in San Die...,Construction Financing,Apartment,Apartment,California,California,California,JLL,JLL,Unknown,jll,JLL,Unknown,Unknown,California,,$80M; $80 million; $80M,$80M,,,,,,,,,93,High Deal Intelligence,Capital market signal,CEDARst Cos. Obtains $80M Construction Loan for The Samuel Multifamily Property in San Diego,REBusiness Online,https://rebusinessonline.com/cedarst-cos-obtains-80m-construction-loan-for-the-samuel-multifamily-property-in-san-diego/,100,DFP-2343AC3CC9,90,Construction Financing - Construction Financing - California - CEDARst Cos. Obtains $80M Construction Loan for The Samuel Multifamily Property in San Die...,Construction Financing - JLL - JLL - California,DCL-20260904-001,1
2026-09-04,20260904-004955-4e2acade,PRJ-20260904-0057,Construction Financing - California - CEDARst Cos. Obtains $80M Construction Loan for The Samuel Multifamily Property in San Die...,100,2026-09-04 00:49:55,art_9f560a8d5f788047,valid,Development Activity,GP / Capital Activity,new_or_fresh,100,open,Construction Financing - California - CEDARst Snags $80M Construction Loan for San Diego Apartments,Construction Financing,Apartment,Apartment,California,California,California,JLL,JLL,Unknown,jll,JLL,Unknown,Unknown,California,,$80M; $80M; $80 million,$80M,,,,,,,,,93,High Deal Intelligence,Capital market signal,CEDARst Snags $80M Construction Loan for San Diego Apartments,Connect CRE,https://www.connectcre.com/stories/cedarst-snags-80m-construction-loan-for-san-diego-apartments/,100,DFP-19F73F0EC9,90,Construction Financing - Construction Financing - California - CEDARst Snags $80M Construction Loan for San Diego Apartments,Construction Financing - JLL - JLL - California,DCL-20260904-002,1
2026-09-04,20260904-004955-4e2acade,PRJ-20260904-0053,"JV / Partnership - California - Gilbane, CBRE IM Complete 484-Bed Student Housing Project Near University of California, B...",100,2026-09-04 00:49:55,art_1587cc5ce825984d,valid,Development Activity,GP / Capital Activity,new_or_fresh,100,open,"JV / Partnership - California - Gilbane, CBRE IM Complete 484-Bed Student Housing Project Near University of California, B...",JV / Partnership,Student Housing,Student Housing,California,California,California,CBRE,CBRE,Unknown,cbre,CBRE,Unknown,Unknown,California,53 units,,,,,,,,,completed,,93,High Deal Intelligence,GP partnership reference,"Gilbane, CBRE IM Complete 484-Bed Student Housing Project Near University of California, Berkeley",REBusiness Online,https://rebusinessonline.com/gilbane-cbre-im-complete-484-bed-student-housing-project-near-university-of-california-berkeley/,100,DFP-D46F894D38,90,"JV / Partnership - JV / Partnership - California - Gilbane, CBRE IM Complete 484-Bed Student Housing Project Near University of California, B...",JV / Partnership - CBRE - California,DCL-20260904-003,1
2026-09-04,20260904-004955-4e2acade,PRJ-20260904-0055,JV / Partnership - California - Newmark Arranges Fannie Mae Loan on San Clemente Active-Adult Complex,100,2026-09-04 00:49:55,art_22a15f6c44643113,valid,Development Activity,GP / Capital Activity,repeat_penalized,5,open,JV / Partnership - California - Newmark Arranges Fannie Mae Loan on San Clemente Active-Adult Complex,JV / Partnership,Apartment,Apartment,California,California,California,Fannie Mae,Fannie Mae,Unknown,fannie mae,Fannie Mae,Unknown,Unknown,California,,$58; $58,$58,,,,,,,,,90,High Deal Intelligence,Capital market signal,Newmark Arranges Fannie Mae Loan on San Clemente Active-Adult Complex,Connect CRE Orange County,https://www.connectcre.com/stories/newmark-arranges-fannie-mae-loan-on-san-clemente-active-adult/,91,DFP-B273300EB5,90,JV / Partnership - JV / Partnership - California - Newmark Arranges Fannie Mae Loan on San Clemente Active-Adult Complex,JV / Partnership - Fannie Mae - California,DCL-20260904-004,1
2026-09-04,20260904-004955-4e2acade,PRJ-20260904-0056,Acquisition - California - Tishman Speyer Acquires 376-Unit Anaheim Rental Community,100,2026-09-04 00:49:55,art_bdb55363e81b79f1,valid,Development Activity,GP / Capital Activity,acceptable_repeat,74,open,Acquisition - California - Tishman Speyer Acquires 376-Unit Anaheim Rental Community,Acquisition,Apartment,Apartment,California,California,California,Freddie Mac,Freddie Mac,Unknown,freddie mac,Freddie Mac,Unknown,Unknown,California,,$88 million,$88 million,$88 million,,,,,,,,89,High Deal Intelligence,Pricing benchmark,Tishman Speyer Acquires 376-Unit Anaheim Rental Community,Connect CRE Orange County,https://www.connectcre.com/stories/tishman-speyer-acquires-376-unit-anaheim-rental-community/,89,DFP-7BF2FDE2D0,90,Acquisition - Acquisition - California - Tishman Speyer Acquires 376-Unit Anaheim Rental Community,Acquisition - Freddie Mac - California,DCL-20260904-005,1
2026-09-04,20260904-004955-4e2acade,PRJ-20260904-0160,Disposition / Exit - California - Apartment cap rates inched up to 5.6% in July: MSCI,100,2026-09-04 00:49:55,art_75f136a48c17c202,valid,GP / Capital Activity,,new_or_fresh,100,open,Disposition / Exit - California - Apartment cap rates inched up to 5.6% in July: MSCI,Disposition / Exit,Apartment,Apartment,California,Southern California,California,Camden Property Trust,Camden Property Trust,camden,Unknown,Unknown,camden,camden,California,,$12.4 billion; $12.4 billion; $12.4 billion,$12.4 billion,,,,,,,,,89,High Deal Intelligence,Capital market signal,Apartment cap rates inched up to 5.6% in July: MSCI,Multifamily Dive,https://www.multifamilydive.com/news/apartment-cap-rates-multifamily-sales/829320/,100,DFP-F29A4EC01B,80,Disposition / Exit - Disposition / Exit - California - Apartment cap rates inched up to 5.6% in July: MSCI,Disposition / Exit - Camden Property Trust - California,DCL-20260904-006,1
2026-09-04,20260904-004955-4e2acade,PRJ-20260904-0140,"Acquisition - Phoenix / Arizona - Evergreen Building Mesa Apartments, Retail",100,2026-09-04 00:49:55,art_3cb36cf22ed5bb0c,valid,Development Activity,GP / Capital Activity,new_or_fresh,100,open,"Acquisition - Phoenix / Arizona - Evergreen Building Mesa Apartments, Retail",Acquisition,Mixed-Use Residential,Mixed-Use Residential,Phoenix / Arizona,Phoenix,Unknown,Brookfield,Brookfield,brookfield,Unknown,Unknown,brookfield,Brookfield,Sun Belt,261 units,,,,,,,,,,,85,High Deal Intelligence,Underwriting benchmark,"Evergreen Building Mesa Apartments, Retail",Connect CRE Apartments,https://www.connectcre.com/stories/evergreen-building-mesa-apartments-retail/,100,DFP-0CE58C85A9,80,"Acquisition - Acquisition - Phoenix / Arizona - Evergreen Building Mesa Apartments, Retail",Acquisition - Brookfield - Sun Belt,DCL-20260904-007,1
2026-09-04,20260904-004955-4e2acade,PRJ-20260904-0123,Construction Financing - New York - Namdar Group Lands $390M Construction Loan in Jersey City,100,2026-09-04 00:49:55,art_e1dde576989796a8,valid,Development Activity,GP / Capital Activity,new_or_fresh,100,open,Construction Financing - New York - Namdar Group Lands $390M Construction Loan in Jersey City,Construction Financing,Apartment,Apartment,New York,New York,New York,Walker & Dunlop,Walker & Dunlop,Unknown,walker & dunlop,walker & dunlop,Unknown,Unknown,New York,,$390M; $390M; $390 million,$390M,,,,,,,,,85,High Deal Intelligence,Capital market signal,Namdar Group Lands $390M Construction Loan in Jersey City,Connect CRE Apartments,https://www.connectcre.com/stories/namdar-group-lands-390m-construction-loan-in-jersey-city/,100,DFP-C89294932F,90,Construction Financing - Construction Financing - New York - Namdar Group Lands $390M Construction Loan in Jersey City,Construction Financing - Walker & Dunlop - walker & dunlop - New York,DCL-20260904-008,1
2026-09-04,20260904-004955-4e2acade,PRJ-20260904-0120,Disposition / Exit - New York - CBRE Announces $64.3M Sale of 51 South Apartments in White Plains New York,100,2026-09-04 00:49:55,art_727e2344b00cadf0,valid,Development Activity,GP / Capital Activity,new_or_fresh,100,open,Disposition / Exit - New York - CBRE Announces $64.3M Sale of 51 South Apartments in White Plains New York,Disposition / Exit,Apartment,Apartment,New York,New York,New York,CBRE,CBRE,Unknown,cbre,CBRE,Unknown,Unknown,New York,,$64.3M; $64.3 million; $64.3m,,,,,,,,Completed,,81,High Deal Intelligence,Underwriting benchmark,CBRE Announces $64.3M Sale of 51 South Apartments in White Plains New York,Yield PRO,https://yieldpro.com/2026/09/51-south-apartments/,100,DFP-A7A61161B1,90,Disposition / Exit - Disposition / Exit - New York - CBRE Announces $64.3M Sale of 51 South Apartments in White Plains New York,Disposition / Exit - CBRE - New York,DCL-20260904-009,1
2026-09-04,20260904-004955-4e2acade,PRJ-20260904-0154,Disposition / Exit - Seattle - Fourth Avenue Capital Acquires 87-Unit Apartments in Bend,100,2026-09-04 00:49:55,art_33780a4d75e9caf5,valid,Development Activity,GP / Capital Activity,new_or_fresh,100,open,Disposition / Exit - Seattle - Fourth Avenue Capital Acquires 87-Unit Apartments in Bend,Disposition / Exit,Apartment,Apartment,Seattle,Seattle,Seattle,CBRE,CBRE,Unknown,cbre,CBRE,Unknown,Unknown,Seattle,,$20 million; $20 million,,,,,,,,,,81,High Deal Intelligence,Underwriting benchmark,Fourth Avenue Capital Acquires 87-Unit Apartments in Bend,Connect CRE Apartments,https://www.connectcre.com/stories/fourth-avenue-capital-acquires-87-unit-apartments-in-bend/,100,DFP-470E6B3B87,90,Disposition / Exit - Disposition / Exit - Seattle - Fourth Avenue Capital Acquires 87-Unit Apartments in Bend,Disposition / Exit - CBRE - Seattle,DCL-20260904-010,1
