run_date,run_id,canonical_project_id,canonical_project_name,project_identity_confidence,asset_signal_id,canonical_article_id,title,original_url,published,summary,article_integrity_status,article_integrity_reason,primary_display_section,secondary_display_sections,repeat_exposure_status,has_project_anchor,project_anchor_reason,project_anchor_confidence,development_lifecycle_hint,published_date_normalized,collected_date_normalized,article_age_days,freshness_bucket,freshness_status,freshness_reason,freshness_score,access_status,canonical_asset_or_project_name,raw_project_or_property_name,address_or_location_clue,intersection_or_corridor,neighborhood_or_submarket,city,state_or_region,residential_sector,asset_type,gp_or_developer,owner_or_sponsor,lender_or_capital_partner,entitlement_status,permit_status,construction_status,delivery_or_timing_reference,unit_count,dollar_amount,site_size_or_area,deal_or_project_type,asset_strategy_signal,site_control_signal,execution_stage,primary_development_category,primary_category_reason,asset_opportunity_score,asset_risk_score,woomi_asset_relevance,recommended_asset_follow_up,evidence_article_title,source,url,confidence_level
2026-07-14,20260714-235420-7185f37b,PRJ-20260714-0061,Construction Financing - California - Dwight Provides Largest Construction Loan in Company History for Gilroy Multifamily,100,AST-20260714-029,art_24f5697d3015774c,Dwight Provides Largest Construction Loan in Company History for Gilroy Multifamily,https://www.connectcre.com/stories/dwight-provides-largest-construction-loan-in-company-history-for-gilroy-multifamily/,"Fri, 10 Jul 2026 19:35:38 +0000","California CRE News In Your Inbox. Sign up for Connect emails to stay informed with CRE stories that are 150 words or less. California + Bay Area + Apartments | July 10, 2026 By: Paul Bubny Dwight Provides Largest Construction Loan in Company History for Gilroy Multifamily Dwight Mortgage Trust, the affiliate REIT of Dwight Capital, has provided a $183-million construction loan for a 530-unit luxury multifamily community in Gilroy, marking the largest construction financing in Dwight’s history. ",valid,title/source/url metadata are internally consistent,Development Activity,GP / Capital Activity,acceptable_repeat,,,,,2026-07-10,2026-07-14,4,fresh_0_3d,fresh,published date parsed; article age 4 day(s),66,open,Construction Financing - California - Dwight Provides Largest Construction Loan in Company History for Gilroy Multifamily,Construction Financing - California - Dwight Provides Largest Construction Loan in Company History for Gilroy Multifamily,California,General submarket monitoring,California,Los Angeles,California,Apartment,Apartment,Dwight Mortgage Trust,Dwight Mortgage Trust,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,,$183; $183,,Construction Financing,Refinancing / Recapitalization,Unknown site control,Unknown,excluded,transaction / capital guard: loan,100,59,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",Dwight Provides Largest Construction Loan in Company History for Gilroy Multifamily,Connect CRE California,https://www.connectcre.com/stories/dwight-provides-largest-construction-loan-in-company-history-for-gilroy-multifamily/,Medium
2026-07-14,20260714-235420-7185f37b,PRJ-20260714-0063,Refinancing - California - Northmarq Secures $34M Refinance Loan for Owner of Upland California Apartment Community,100,AST-20260714-024,art_b213ec7f47e5073c,Northmarq Secures $34M Refinance Loan for Owner of Upland California Apartment Community,https://yieldpro.com/2026/07/northwoods-apartments/,"Tue, 14 Jul 2026 18:38:12 +0000","Deal boom News Pacific region Facebook Twitter Linkedin Northmarq’s San Diego Debt + Equity team led by Conor Freeman and Aaron Beck successfully arranged $34 million refinance of Northwoods Apartments , a 324-unit garden-style multifamily community located at 1662 W. Arrow Highway in Upland, California. Northmarq arranged the permanent-fixed financing on behalf of the borrower through the firm’s relationship with Freddie Mac. The permanent fixed-rate loan is structured as a 10-year term, with f",valid,title/source/url metadata are internally consistent,Development Activity,GP / Capital Activity,new_or_fresh,,,,,2026-07-14,2026-07-14,,fresh_0_3d,fresh,published date parsed; article age 0 day(s),100,open,Refinancing - California - Northmarq Secures $34M Refinance Loan for Owner of Upland California Apartment Community,Refinancing - California - Northmarq Secures $34M Refinance Loan for Owner of Upland California Apartment Community,California,General submarket monitoring,California,Los Angeles,California,Apartment,Apartment,Freddie Mac,Freddie Mac,Freddie Mac,Unknown,Unknown,Unknown,No explicit timing reference,,$34M; $34 million; $34m,,Refinancing,Refinancing / Recapitalization,Land / parcel referenced,Site Search / Early Signal,excluded,transaction / capital guard: refinance,100,52,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",Northmarq Secures $34M Refinance Loan for Owner of Upland California Apartment Community,Yield PRO,https://yieldpro.com/2026/07/northwoods-apartments/,Medium
2026-07-14,20260714-235420-7185f37b,PRJ-20260714-0060,Disposition / Exit - California - Garden-Style Apartments Go for $78M in North County San Diego,100,AST-20260714-025,art_d7cdfd56f4ab4cc6,Garden-Style Apartments Go for $78M in North County San Diego,https://www.connectcre.com/stories/garden-style-apartments-go-for-78m-in-north-county-san-diego/,"Tue, 14 Jul 2026 20:57:04 +0000","California CRE News In Your Inbox. Sign up for Connect emails to stay informed with CRE stories that are 150 words or less. California + San Diego + Apartments | July 14, 2026 By: Paul Bubny Garden-Style Apartments Go for $78M in North County San Diego CBRE facilitated the $77.5-million sale of Sunterra, a 240-unit multifamily community located at 3851 Sherbourne Dr. in Oceanside. The firm’s Rachel Parsons, Derrek Ostrzyzek, Mike Murphy and Kenji Thomas advised the seller, 29th Street Capital. D",valid,title/source/url metadata are internally consistent,Development Activity,GP / Capital Activity,new_or_fresh,,,,,2026-07-14,2026-07-14,,fresh_0_3d,fresh,published date parsed; article age 0 day(s),100,open,Disposition / Exit - California - Garden-Style Apartments Go for $78M in North County San Diego,Disposition / Exit - California - Garden-Style Apartments Go for $78M in North County San Diego,California,General submarket monitoring,California,Los Angeles,California,Apartment,Apartment,CBRE,CBRE,CBRE,Unknown,Unknown,Unknown,No explicit timing reference,,$78M; $78M; $77.5,,Disposition / Exit,General Asset Signal,Existing asset sale,Unknown,excluded,transaction / capital guard: disposition,100,32,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",Garden-Style Apartments Go for $78M in North County San Diego,Connect CRE,https://www.connectcre.com/stories/garden-style-apartments-go-for-78m-in-north-county-san-diego/,Medium
2026-07-14,20260714-235420-7185f37b,PRJ-20260714-0025,"General Project Signal - California - Final Approval For 3896 Stevens Creek Boulevard, San Jose",100,AST-20260714-038,art_00037b2d97fcf677,"Final Approval For 3896 Stevens Creek Boulevard, San Jose",https://sfyimby.com/2026/07/final-approval-for-3896-stevens-creek-boulevard-san-jose.html,"Mon, 13 Jul 2026 12:00:14 +0000","3896 Stevens Creek Boulevard view overlooking Saratoga Avenue, rendering by TCA Architects By: Andrew Nelson 5:00 am on July 13, 2026 Final approval has been granted for a large apartment complex at 3896 Stevens Creek Boulevard in San Jose’s Meridian neighborhood. The development is expected to replace a small retail center with 575 apartments. Holland Partner Group is the project sponsor. Construction will produce two eight-story structures totaling 575 units, a slight increase over the previou",valid,title/source/url metadata are internally consistent,Development Activity,,acceptable_repeat,,,,,2026-07-13,2026-07-14,1,fresh_0_3d,fresh,published date parsed; article age 1 day(s),66,access_limited,"General Project Signal - California - Final Approval For 3896 Stevens Creek Boulevard, San Jose","General Project Signal - California - Final Approval For 3896 Stevens Creek Boulevard, San Jose",3896 Stevens Creek Boulevard,General submarket monitoring,San Jose,Los Angeles,California,Apartment,Apartment,Holland Partner Group,Holland Partner Group,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,575 apartments,,,General Project Signal,General Asset Signal,Unknown site control,Unknown,approval_watch,matched approval,100,32,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent","Final Approval For 3896 Stevens Creek Boulevard, San Jose",SF YIMBY,https://sfyimby.com/2026/07/final-approval-for-3896-stevens-creek-boulevard-san-jose.html,High
2026-07-14,20260714-235420-7185f37b,PRJ-20260714-0168,"Acquisition - Miami / Florida - Avalon Bay Planning Apartments, Retail in South Miami",100,AST-20260714-027,art_c639cfebdbbe5edf,"Avalon Bay Planning Apartments, Retail in South Miami",https://www.connectcre.com/stories/avalon-bay-planning-apartments-retail-in-south-miami/,"Wed, 08 Jul 2026 14:36:56 +0000","Florida & Gulf Coast CRE News In Your Inbox. Sign up for Connect emails to stay informed with CRE stories that are 150 words or less. Florida & Gulf Coast + South Florida + Apartments | July 8, 2026 By: Mike Boyd Avalon Bay Planning Apartments, Retail in South Miami Avalon Bay Communities purchased a full city block in South Miami, clearing the way for a mixed-use community. AvalonBay acquired the approximately 1.18-acre site from longtime owner Robins Plaza for a base purchase price of $22 mill",valid,title/source/url metadata are internally consistent,Development Activity,GP / Capital Activity,acceptable_repeat,,,,,2026-07-08,2026-07-14,6,fresh_0_3d,fresh,published date parsed; article age 6 day(s),62,open,"Acquisition - Miami / Florida - Avalon Bay Planning Apartments, Retail in South Miami","Acquisition - Miami / Florida - Avalon Bay Planning Apartments, Retail in South Miami",South Florida,General submarket monitoring,South Florida,Los Angeles,Unknown,Mixed-Use Residential,Mixed-Use Residential,AvalonBay,AvalonBay,cushman,Unknown,Unknown,Unknown,No explicit timing reference,,$22 m; $22 million; $22,,Acquisition,Entitlement Play,Existing asset sale,Unknown,excluded,transaction / capital guard: acquisition,100,26,Relevant to entitlement monitoring,"Track entitlement, permit, density bonus, and construction-readiness milestones","Avalon Bay Planning Apartments, Retail in South Miami",Connect CRE South Florida,https://www.connectcre.com/stories/avalon-bay-planning-apartments-retail-in-south-miami/,Medium
2026-07-14,20260714-235420-7185f37b,PRJ-20260714-0049,Disposition / Exit - Atlanta / Georgia - UDR Offloads Nashville Apartments After 31-Year Hold,100,AST-20260714-032,art_2fe7fa67804ad370,UDR Offloads Nashville Apartments After 31-Year Hold,https://www.connectcre.com/stories/covenant/,"Mon, 13 Jul 2026 15:00:34 +0000","Atlanta & Southeast News In Your Inbox Sign up for Connect emails to stay informed with CRE stories that are 150 words or less. Atlanta & Southeast + Tennessee + Texas + Apartments | July 13, 2026 By: Mike Boyd UDR Offloads Nashville Apartments After 31-Year Hold Covenant Capital Group paid $41.5 million for Legacy Hill, a 206-unit multifamily community in Nashville. Multihousing News reports UDR sold the property after 31 years of ownership. Walker & Dunlop facilitated the transaction through a",valid,title/source/url metadata are internally consistent,Development Activity,GP / Capital Activity,acceptable_repeat,,,,,2026-07-13,2026-07-14,1,fresh_0_3d,fresh,published date parsed; article age 1 day(s),78,open,Disposition / Exit - Atlanta / Georgia - UDR Offloads Nashville Apartments After 31-Year Hold,Disposition / Exit - Atlanta / Georgia - UDR Offloads Nashville Apartments After 31-Year Hold,Atlanta,General submarket monitoring,Atlanta,Los Angeles,Unknown,Apartment,Apartment,UDR,UDR,Freddie Mac,Unknown,Unknown,Unknown,No explicit timing reference,,$41.5 million; $41.5 million; $29.4 million,,Disposition / Exit,General Asset Signal,Existing asset sale,Unknown,excluded,transaction / capital guard: disposition,99,26,Relevant to underwriting benchmark,Monitor asset-level signal for repeated confirmation,UDR Offloads Nashville Apartments After 31-Year Hold,Connect CRE Texas,https://www.connectcre.com/stories/covenant/,Medium
2026-07-14,20260714-235420-7185f37b,PRJ-20260714-0048,Development Start - Atlanta / Georgia - Financing Secured for Centennial Yards Mixed-Use Project,100,AST-20260714-026,art_d7d8176bdd750a59,Financing Secured for Centennial Yards Mixed-Use Project,https://www.connectcre.com/stories/financing-secured-for-centennial-yards-mixed-use-project/,"Mon, 13 Jul 2026 14:23:26 +0000","Atlanta & Southeast News In Your Inbox Sign up for Connect emails to stay informed with CRE stories that are 150 words or less. Atlanta & Southeast + Atlanta + Apartments | July 13, 2026 By: Mike Boyd Financing Secured for Centennial Yards Mixed-Use Project Centennial Yards Co. plans to build a 12-story building with approximately 280 apartments, 62,000 square feet of retail space and a 509-space parking garage. A CIM Group subsidiary is still ironing out last minute details before construction ",valid,title/source/url metadata are internally consistent,Development Activity,GP / Capital Activity,acceptable_repeat,,,,,2026-07-13,2026-07-14,1,fresh_0_3d,fresh,published date parsed; article age 1 day(s),78,open,Development Start - Atlanta / Georgia - Financing Secured for Centennial Yards Mixed-Use Project,Development Start - Atlanta / Georgia - Financing Secured for Centennial Yards Mixed-Use Project,Atlanta,Mixed-use corridor,Atlanta,Los Angeles,Unknown,Mixed-Use Residential,Mixed-Use Residential,CIM Group,CIM Group,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,280 apartments,$5 billion,,Development Start,Development Start,Unknown site control,Unknown,excluded,transaction / capital guard: financing,98,26,Relevant to underwriting benchmark,Monitor asset-level signal for repeated confirmation,Financing Secured for Centennial Yards Mixed-Use Project,Connect CRE Atlanta,https://www.connectcre.com/stories/financing-secured-for-centennial-yards-mixed-use-project/,High
2026-07-14,20260714-235420-7185f37b,PRJ-20260714-0169,"Construction Financing - Miami / Florida - Fort Lauderdale Developer Inks Financing for Condos, Apartments, Retail",100,AST-20260714-035,art_b790074cb338b620,"Fort Lauderdale Developer Inks Financing for Condos, Apartments, Retail",https://www.connectcre.com/stories/fort-lauderdale-developer-inks-financing-for-condos-apartments-retail/,"Mon, 13 Jul 2026 14:07:28 +0000","Florida & Gulf Coast CRE News In Your Inbox. Sign up for Connect emails to stay informed with CRE stories that are 150 words or less. Florida & Gulf Coast + South Florida + Apartments | July 13, 2026 By: Mike Boyd Fort Lauderdale Developer Inks Financing for Condos, Apartments, Retail Dependable Equities, an affiliate of Sky Equity Group , secured $54 million in pre-construction financing from CDK, with Valley National Bank serving as a participating lender to advance a residential development s",valid,title/source/url metadata are internally consistent,Development Activity,GP / Capital Activity,acceptable_repeat,,,,,2026-07-13,2026-07-14,1,fresh_0_3d,fresh,published date parsed; article age 1 day(s),78,open,"Construction Financing - Miami / Florida - Fort Lauderdale Developer Inks Financing for Condos, Apartments, Retail","Construction Financing - Miami / Florida - Fort Lauderdale Developer Inks Financing for Condos, Apartments, Retail",South Florida,General submarket monitoring,South Florida,Los Angeles,Unknown,Apartment,Apartment,IPA,IPA,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,,$54 million; $54 million,,Construction Financing,General Asset Signal,Unknown site control,Unknown,excluded,transaction / capital guard: financing,96,46,Relevant to underwriting benchmark,Monitor asset-level signal for repeated confirmation,"Fort Lauderdale Developer Inks Financing for Condos, Apartments, Retail",Connect CRE South Florida,https://www.connectcre.com/stories/fort-lauderdale-developer-inks-financing-for-condos-apartments-retail/,Medium
2026-07-14,20260714-235420-7185f37b,PRJ-20260714-0030,"Entitlement / Permitting - California - Meeting Tomorrow For 470 West San Carlos Street, San Jose",80,AST-20260714-039,art_d2b8c550722455dd,"Meeting Tomorrow For 470 West San Carlos Street, San Jose",https://sfyimby.com/2026/07/meeting-tomorrow-for-470-west-san-carlos-street-san-jose.html,"Tue, 14 Jul 2026 12:00:23 +0000","470 West San Carlos Street, rendering by BDE Architecture By: Andrew Nelson 5:00 am on July 14, 2026 The San Jose Planning Director’s Hearing is scheduled tomorrow morning to review the site development permits for the eight-story residential project at 470 West San Carlos Street just outside Downtown San Jose , Santa Clara County . The project could add 276 apartments and parking to a cleared parcel, formerly occupied by an auto shop and three single-family houses. Urban Catalyst is responsible",valid,title/source/url metadata are internally consistent,Development Activity,,new_or_fresh,,,,,2026-07-14,2026-07-14,,fresh_0_3d,fresh,published date parsed; article age 0 day(s),88,access_limited,"Entitlement / Permitting - California - Meeting Tomorrow For 470 West San Carlos Street, San Jose","Entitlement / Permitting - California - Meeting Tomorrow For 470 West San Carlos Street, San Jose",470 West San Carlos Street,General submarket monitoring,San Jose,Los Angeles,California,Apartment,Apartment,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,276 apartments,,,Entitlement / Permitting,Entitlement Play,Project under entitlement,Unknown,approval_watch,matched permit,95,40,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent","Meeting Tomorrow For 470 West San Carlos Street, San Jose",SF YIMBY,https://sfyimby.com/2026/07/meeting-tomorrow-for-470-west-san-carlos-street-san-jose.html,High
2026-07-14,20260714-235420-7185f37b,PRJ-20260714-0059,"Acquisition - California - Bascom Group Acquires Value-Add Apartment Community in Buena Park, California for $53.1 mi...",100,AST-20260714-031,art_a432de3e6da6d034,"Bascom Group Acquires Value-Add Apartment Community in Buena Park, California for $53.1 million",https://rebusinessonline.com/bascom-group-acquires-value-add-apartment-community-in-buena-park-california-for-53-1-million/,2026-07-14T13:33:58Z,"Castlewood Park Apartments in Buena Park, Calif., features 183 two-, three- and four-bedroom apartments. Acquisitions California Multifamily Western Bascom Group Acquires Value-Add Apartment Community in Buena Park, California for $53M by Amy Works July 14, 2026 July 14, 2026 10 BUENA PARK, CALIF. — The Bascom Group has acquired Castlewood Park Apartments, a 183-unit value-add multifamily property in Buena Park, for $53 million, or $290,301 per unit. Brian Eisendrath, Cameron Chalfant, Jesse Zar",valid,title/source/url metadata are internally consistent,Development Activity,GP / Capital Activity,new_or_fresh,,,,,2026-07-14,2026-07-14,,fresh_0_3d,fresh,published date parsed; article age 0 day(s),100,open,"Acquisition - California - Bascom Group Acquires Value-Add Apartment Community in Buena Park, California for $53.1 mi...","Acquisition - California - Bascom Group Acquires Value-Add Apartment Community in Buena Park, California for $53.1 mi...",California,General submarket monitoring,California,Los Angeles,California,Apartment,Apartment,Bascom Group,Bascom Group,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,,$53.1 million; $53M; $53 million,,Acquisition,General Asset Signal,Existing asset sale,Unknown,excluded,transaction / capital guard: acquisition,95,30,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent","Bascom Group Acquires Value-Add Apartment Community in Buena Park, California for $53.1 million",REBusiness Online,https://rebusinessonline.com/bascom-group-acquires-value-add-apartment-community-in-buena-park-california-for-53-1-million/,Medium
