run_date,run_id,la_lifecycle_watch_id,project_or_asset_name,la_submarket,gp_or_developer,residential_sector,current_lifecycle_stage,lifecycle_risk_score,lifecycle_opportunity_score,timing_bucket,entitlement_complexity_flag,financing_dependency_flag,potential_woomi_site_strategy,recommended_local_follow_up,evidence_signals,source_article_title,url,confidence_level
2026-09-11,20260911-005121-ae902a35,LALC-20260911-001,Acquisition - California - MMCC Arranges Financing for Orange Multifamily Acquisition,California,Marcus & Millichap,Apartment,Unknown Stage,23,100,Unknown Timing,Unknown,Unknown,Monitor only,Monitor lifecycle status for repeated confirmation,Unknown Stage; General Asset Signal; No explicit timing reference,MMCC Arranges Financing for Orange Multifamily Acquisition,https://www.connectcre.com/stories/mmcc-arranges-financing-for-orange-multifamily-acquisition/,High
2026-09-11,20260911-005121-ae902a35,LALC-20260911-002,Acquisition - California - Tishman Speyer Acquires 376-Unit Anaheim Rental Community,California,Freddie Mac,Apartment,Unknown Stage,22,100,Unknown Timing,Unknown,Unknown,Monitor only,Monitor lifecycle status for repeated confirmation,Unknown Stage; General Asset Signal; No explicit timing reference,Tishman Speyer Acquires 376-Unit Anaheim Rental Community,https://www.connectcre.com/stories/tishman-speyer-acquires-376-unit-anaheim-rental-community/,High
2026-09-11,20260911-005121-ae902a35,LALC-20260911-003,JV / Partnership - Atlanta / Georgia - Kennedy Wilson in Partnership with Shimizu Corp Announce Plans for 382-Unit Luxury Multifa...,Los Angeles,Kennedy Wilson,Multifamily,Early Site Signal,12,100,Unknown Timing,Low,Low,Monitor only,Monitor lifecycle status for repeated confirmation,Early Site Signal; General Asset Signal; No explicit timing reference,Kennedy Wilson in Partnership with Shimizu Corp Announce Plans for 382-Unit Luxury Multifamily Community in Sandy Springs Georgia,https://yieldpro.com/2026/09/caldwell-sandy-springs/,High
2026-09-11,20260911-005121-ae902a35,LALC-20260911-004,Acquisition - Las Vegas / Nevada - BWE Secures $71M in Acquisition Financing for Las Vegas Multifamily Portfolio,Los Angeles,Freddie Mac,Multifamily,Unknown Stage,20,98,Unknown Timing,Unknown,Unknown,Monitor only,Monitor lifecycle status for repeated confirmation,Unknown Stage; General Asset Signal; No explicit timing reference,BWE Secures $71M in Acquisition Financing for Las Vegas Multifamily Portfolio,https://rebusinessonline.com/bwe-secures-71m-in-acquisition-financing-for-las-vegas-multifamily-portfolio/,High
2026-09-11,20260911-005121-ae902a35,LALC-20260911-005,Waterton Acquires 482-Unit Reserve at Chino Hills Apartments in Chino Hills California,Los Angeles,Waterton,Apartment,Site Acquisition / Site Control,8,97,Unknown Timing,Low,Low,Review acquisition / JV timing,Monitor lifecycle status for repeated confirmation,Site Acquisition / Site Control; General Asset Signal; No explicit timing reference,Waterton Acquires 482-Unit Reserve at Chino Hills Apartments in Chino Hills California,https://yieldpro.com/2026/09/reserve-at-chino-hills/,High
2026-09-11,20260911-005121-ae902a35,LALC-20260911-006,Disposition / Exit - Los Angeles / California - Marcus & Millichap Arranges $5.4M Sale and $3.8M Financing of 20-Unit Multifamily Property...,Los Angeles,Marcus & Millichap,Multifamily,Unknown Stage,20,96,Unknown Timing,Unknown,Unknown,Monitor only,Monitor lifecycle status for repeated confirmation,Unknown Stage; General Asset Signal; No explicit timing reference,Marcus & Millichap Arranges $5.4M Sale and $3.8M Financing of 20-Unit Multifamily Property in Los Angeles,https://yieldpro.com/2026/09/1534-shenandoah/,High
2026-09-11,20260911-005121-ae902a35,LALC-20260911-007,MMCC Arranges Financing for Orange Multifamily Acquisition,Orange County,Marcus & Millichap,Apartment,Unknown Stage,23,95,Unknown Timing,Unknown,Unknown,Monitor only,Monitor lifecycle status for repeated confirmation,Unknown Stage; General Asset Signal; 2026,MMCC Arranges Financing for Orange Multifamily Acquisition,https://www.connectcre.com/stories/mmcc-arranges-financing-for-orange-multifamily-acquisition/,High
2026-09-11,20260911-005121-ae902a35,LALC-20260911-008,"Office-to-Residential Conversion - Colorado - JLL Negotiates $41.2M Sale of Stanley Marketplace in Aurora, Colorado",Los Angeles,JLL,Office-to-Residential Conversion,Unknown Stage,23,95,Unknown Timing,Unknown,Unknown,Monitor only,Monitor lifecycle status for repeated confirmation,Unknown Stage; Office-to-Residential Conversion; No explicit timing reference,"JLL Negotiates $41.2M Sale of Stanley Marketplace in Aurora, Colorado",https://rebusinessonline.com/jll-negotiates-41-2m-sale-of-stanley-marketplace-in-aurora-colorado/,High
2026-09-11,20260911-005121-ae902a35,LALC-20260911-009,S3 Capital Lends $45M to Build Williamsburg Apartments on Church Land,Los Angeles,S3 Capital,Affordable Housing,Site Acquisition / Site Control,24,92,Unknown Timing,Low,Low,Review acquisition / JV timing,Monitor lifecycle status for repeated confirmation,Site Acquisition / Site Control; Acquisition / Site Control; 2026,S3 Capital Lends $45M to Build Williamsburg Apartments on Church Land,https://commercialobserver.com/2026/09/s3-capital-williamsburg-brooklyn-apartments-church/,High
2026-09-11,20260911-005121-ae902a35,LALC-20260911-010,Marcus & Millichap Arranges $5.4M Sale and $3.8M Financing of 20-Unit Multifamily Property in Los Angeles,Los Angeles,Marcus & Millichap,Multifamily,Unknown Stage,20,92,Unknown Timing,Unknown,Unknown,Monitor only,Monitor lifecycle status for repeated confirmation,Unknown Stage; General Asset Signal; No explicit timing reference,Marcus & Millichap Arranges $5.4M Sale and $3.8M Financing of 20-Unit Multifamily Property in Los Angeles,https://yieldpro.com/2026/09/1534-shenandoah/,High
2026-09-11,20260911-005121-ae902a35,LALC-20260911-011,Acquisition - New York - Kite Realty Trust Trades Grocery-Anchored White Plains Retail for $50M,Los Angeles,JLL,General Residential,Unknown Stage,19,92,Unknown Timing,Unknown,Unknown,Monitor only,Monitor lifecycle status for repeated confirmation,Unknown Stage; General Asset Signal; No explicit timing reference,Kite Realty Trust Trades Grocery-Anchored White Plains Retail for $50M,https://www.connectcre.com/stories/kite-realty-trust-trades-grocery-anchored-white-plains-retail-for-50m/,High
2026-09-11,20260911-005121-ae902a35,LALC-20260911-012,Construction Financing - New York City / New York - S3 Capital Lends $45M to Build Williamsburg Apartments on Church Land,Los Angeles,Unknown,Affordable Housing,Site Acquisition / Site Control,42,87,Unknown Timing,Low,Low,Review acquisition / JV timing,Monitor lifecycle status for repeated confirmation,Site Acquisition / Site Control; Acquisition / Site Control; No explicit timing reference,S3 Capital Lends $45M to Build Williamsburg Apartments on Church Land,https://commercialobserver.com/2026/09/s3-capital-williamsburg-brooklyn-apartments-church/,High
2026-09-11,20260911-005121-ae902a35,LALC-20260911-013,BTR / Build-to-Rent - Dallas / Texas - Dominium to Build 350 Affordable BTR Units in Terrell,Los Angeles,Unknown,BTR / Single-Family Rental,Site Acquisition / Site Control,21,87,Unknown Timing,Low,Low,Review acquisition / JV timing,Monitor lifecycle status for repeated confirmation,Site Acquisition / Site Control; Affordable / Density Bonus Strategy; No explicit timing reference,Dominium to Build 350 Affordable BTR Units in Terrell,https://www.connectcre.com/stories/dominium-to-build-350-affordable-btr-units-in-terrell/,High
2026-09-11,20260911-005121-ae902a35,LALC-20260911-014,Acquisition - Los Angeles / California - Waterton Acquires 482-Unit Reserve at Chino Hills Apartments in Chino Hills California,Los Angeles,Waterton,Apartment,Unknown Stage,19,87,Unknown Timing,Unknown,Unknown,Monitor only,Monitor lifecycle status for repeated confirmation,Unknown Stage; General Asset Signal; No explicit timing reference,Waterton Acquires 482-Unit Reserve at Chino Hills Apartments in Chino Hills California,https://yieldpro.com/2026/09/reserve-at-chino-hills/,High
2026-09-11,20260911-005121-ae902a35,LALC-20260911-015,Development Start - Los Angeles / California - Construction begins for affordable housing at former MacLaren Hall site in El Monte,Los Angeles,Unknown,Affordable Housing,Vertical Construction,21,86,Unknown Timing,Low,Low,Monitor only,Track construction progress and delivery timeline,Vertical Construction; Construction started; Affordable / Density Bonus Strategy; broke ground,Construction begins for affordable housing at former MacLaren Hall site in El Monte,https://la.urbanize.city/post/construction-begins-affordable-housing-former-maclaren-hall-site-el-monte,High
2026-09-11,20260911-005121-ae902a35,LALC-20260911-016,Laramar Group Acquires 656-Unit Apartment Tower in Chicago,Los Angeles,Laramar Group,Apartment,Site Acquisition / Site Control,12,86,Unknown Timing,Low,Low,Review acquisition / JV timing,Monitor lifecycle status for repeated confirmation,Site Acquisition / Site Control; General Asset Signal; 2026,Laramar Group Acquires 656-Unit Apartment Tower in Chicago,https://rebusinessonline.com/laramar-group-acquires-656-unit-apartment-tower-in-chicago/,High
2026-09-11,20260911-005121-ae902a35,LALC-20260911-017,Construction begins for affordable housing at former MacLaren Hall site in El Monte,Los Angeles,,Affordable Housing,Vertical Construction,10,84,Unknown Timing,Low,Low,Monitor only,Track construction progress and delivery timeline,Vertical Construction; Construction started; Affordable / Density Bonus Strategy; No explicit timing reference,Construction begins for affordable housing at former MacLaren Hall site in El Monte,https://la.urbanize.city/post/construction-begins-affordable-housing-former-maclaren-hall-site-el-monte,High
2026-09-11,20260911-005121-ae902a35,LALC-20260911-018,Infill housing coming to 1030 N. Sierra Bonita Ave. in West Hollywood,Los Angeles,,Apartment,Entitlement Under Review,23,81,Unknown Timing,Medium,Low,Track early entitlement precedent,"Track local planning docket, CEQA exposure, and sponsor response",Entitlement Under Review; Under planning review; Entitlement Play; No explicit timing reference,Infill housing coming to 1030 N. Sierra Bonita Ave. in West Hollywood,https://la.urbanize.city/post/infill-housing-coming-1030-n-sierra-bonita-ave-west-hollywood,High
2026-09-11,20260911-005121-ae902a35,LALC-20260911-019,"Oxbow Greenlit for Tobin Hill Apartments, Office Space",Los Angeles,,Apartment,Site Acquisition / Site Control,9,81,Unknown Timing,Low,Low,Review acquisition / JV timing,Monitor lifecycle status for repeated confirmation,Site Acquisition / Site Control; Entitlement Play; 2026,"Oxbow Greenlit for Tobin Hill Apartments, Office Space",https://www.connectcre.com/stories/oxbow-greenlit-for-tobin-hill-apartments-office-space/,High
2026-09-11,20260911-005121-ae902a35,LALC-20260911-020,Senior affordable housing wraps up work at 1041 N. Martel Ave. in West Hollywood,Los Angeles,,Affordable Housing,Delivery / Opening,9,80,Unknown Timing,Low,Low,Benchmark delivery / lease-up timing,Monitor lifecycle status for repeated confirmation,Delivery / Opening; Completed / opened; Affordable / Density Bonus Strategy; No explicit timing reference,Senior affordable housing wraps up work at 1041 N. Martel Ave. in West Hollywood,https://la.urbanize.city/post/senior-affordable-housing-wraps-work-1041-n-martel-ave-west-hollywood,High
2026-09-11,20260911-005121-ae902a35,LALC-20260911-021,Mixed-use building starts to rise at 8025 Santa Monica Blvd. in West Hollywood,Los Angeles,Unknown,Workforce Housing,Refinancing / Recapitalization,53,79,Unknown Timing,Low,High,Review acquisition / JV timing,"Review lender exposure, sponsor stress, and possible JV or rescue-capital angle",Refinancing / Recapitalization; Refinancing / Recapitalization; No explicit timing reference,Mixed-use building starts to rise at 8025 Santa Monica Blvd. in West Hollywood,https://la.urbanize.city/post/mixed-use-building-starts-rise-8025-santa-monica-blvd-west-hollywood,High
2026-09-11,20260911-005121-ae902a35,LALC-20260911-022,"Refinancing - Florida - Pebb Capital Obtains $223M Loan for Refinancing of Sundy Village in Delray Beach, Florida",Los Angeles,Unknown,Mixed-Use Residential,Refinancing / Recapitalization,55,78,Unknown Timing,Low,High,Review acquisition / JV timing,"Review lender exposure, sponsor stress, and possible JV or rescue-capital angle",Refinancing / Recapitalization; Refinancing / Recapitalization; No explicit timing reference,"Pebb Capital Obtains $223M Loan for Refinancing of Sundy Village in Delray Beach, Florida",https://rebusinessonline.com/pebb-capital-obtains-223m-loan-for-refinancing-of-sundy-village-in-delray-beach-florida/,High
2026-09-11,20260911-005121-ae902a35,LALC-20260911-023,"Zoning Adjustment Board Meeting Tomorrow For 2955 Shattuck Avenue, Berkeley",Los Angeles,,Apartment,Entitlement Under Review,22,78,Unknown Timing,Medium,Low,Track early entitlement precedent,"Track local planning docket, CEQA exposure, and sponsor response",Entitlement Under Review; Zoning / rezoning signal; Entitlement Play; 2026,"Zoning Adjustment Board Meeting Tomorrow For 2955 Shattuck Avenue, Berkeley",https://sfyimby.com/2026/09/zoning-adjustment-board-meeting-tomorrow-for-2955-shattuck-avenue-berkeley.html,High
