run_date,run_id,canonical_project_id,canonical_project_name,project_identity_confidence,source_entity,canonical_source_entity,source_entity_type,target_entity,canonical_target_entity,target_entity_type,relationship_type,market,deal_type,evidence_article_title,url,relationship_strength_score,entity_resolution_confidence,canonical_relationship_event_count,relationship_repeat_strength,confirmed_multi_source_relationship,woomi_strategic_relevance,recommended_follow_up
2026-06-23,20260623-235839-1625a2df,PRJ-20260623-0042,Disposition / Exit - California - Berkadia Negotiates $6M Multifamily Sale in Lawndale California,100,Berkadia,Berkadia,Developer / GP,berkadia,Berkadia,Lender / Debt Provider,Financing Relationship,California,Disposition / Exit,Berkadia Negotiates $6M Multifamily Sale in Lawndale California,https://yieldpro.com/2026/06/grevillea-avenue/,100,75,1,100,No,Relevant to LA / California strategy,Track GP relationship history
2026-06-23,20260623-235839-1625a2df,PRJ-20260623-0161,Refinancing - Texas - Berkadia Arranges $124.6M Loan for Refinancing of Irving Mixed-Use Property,100,Blackstone,Blackstone,Developer / GP,berkadia,Berkadia,Lender / Debt Provider,Financing Relationship,Texas,Refinancing,Berkadia Arranges $124.6M Loan for Refinancing of Irving Mixed-Use Property,https://rebusinessonline.com/berkadia-arranges-124-6m-loan-for-refinancing-of-irving-mixed-use-property/,100,75,1,100,No,Relevant to capital markets monitoring,Track GP relationship history
2026-06-23,20260623-235839-1625a2df,PRJ-20260623-0161,Refinancing - Texas - Berkadia Arranges $124.6M Loan for Refinancing of Irving Mixed-Use Property,100,Blackstone,Blackstone,Developer / GP,blackstone,Blackstone,Institutional Capital,Financing Relationship,Texas,Refinancing,Berkadia Arranges $124.6M Loan for Refinancing of Irving Mixed-Use Property,https://rebusinessonline.com/berkadia-arranges-124-6m-loan-for-refinancing-of-irving-mixed-use-property/,100,75,1,100,No,Relevant to capital markets monitoring,Track GP relationship history
2026-06-23,20260623-235839-1625a2df,PRJ-20260623-0044,Disposition / Exit - California - Former Bank Branch Positioned as Development Opportunity in Garden Grove Sale,100,CBRE,CBRE,Developer / GP,cbre,CBRE,Lender / Debt Provider,Financing Relationship,California,Disposition / Exit,Yorba Linda Parking Lot Sells for Townhome Redevelopment,https://www.connectcre.com/stories/yorba-linda-parking-lot-sells-for-townhome-redevelopment/,100,75,1,100,No,Relevant to LA / California strategy,Track GP relationship history
2026-06-23,20260623-235839-1625a2df,PRJ-20260623-0049,General Project Signal - California - JLL Arranges $252M Financing for Huntington Beach Seniors Project,100,JLL,JLL,Developer / GP,jll,JLL,Lender / Debt Provider,Financing Relationship,California,General Project Signal,JLL Arranges $252M Financing for Huntington Beach Seniors Project,https://www.connectcre.com/stories/jll-arranges-252m-financing-for-huntington-beach-seniors-project/,96,75,1,96,No,Relevant to LA / California strategy,Track GP relationship history
2026-06-23,20260623-235839-1625a2df,PRJ-20260623-0161,Refinancing - Texas - Berkadia Arranges $124.6M Loan for Refinancing of Irving Mixed-Use Property,100,Blackstone,Blackstone,Developer / GP,Refinancing - Texas - Berkadia Arranges $124.6M Loan for Refinancing of Irving Mixed-Use Property,Berkadia,Project / Deal,Financing Relationship,Texas,Refinancing,Berkadia Arranges $124.6M Loan for Refinancing of Irving Mixed-Use Property,https://rebusinessonline.com/berkadia-arranges-124-6m-loan-for-refinancing-of-irving-mixed-use-property/,95,60,1,95,No,Relevant to capital markets monitoring,Track GP relationship history
2026-06-23,20260623-235839-1625a2df,PRJ-20260623-0161,Refinancing - Texas - Berkadia Arranges $124.6M Loan for Refinancing of Irving Mixed-Use Property,100,Blackstone,Blackstone,Developer / GP,Texas,Texas,Market / Region,Financing Relationship,Texas,Refinancing,Berkadia Arranges $124.6M Loan for Refinancing of Irving Mixed-Use Property,https://rebusinessonline.com/berkadia-arranges-124-6m-loan-for-refinancing-of-irving-mixed-use-property/,95,40,1,95,No,Relevant to capital markets monitoring,Track GP relationship history
2026-06-23,20260623-235839-1625a2df,PRJ-20260623-0055,Refinancing - Dallas / Texas - Harbor Group Lands $124.6M Refi on Las Colinas Mixed-Use Venture,100,Harbor Group International,Harbor Group International,Developer / GP,berkadia,Berkadia,Lender / Debt Provider,Financing Relationship,Dallas / Texas,Refinancing,Harbor Group Lands $124.6M Refi on Las Colinas Mixed-Use Venture,https://www.connectcre.com/stories/harbor-group-lands-124-6m-refi-on-las-colinas-mixed-use-venture/,93,40,1,93,No,Relevant to capital markets monitoring,Track GP relationship history
2026-06-23,20260623-235839-1625a2df,PRJ-20260623-0129,Acquisition - Phoenix / Arizona - Alliance Residential Divests of 258-Unit Multifamily Property in Phoenix,100,Alliance Residential,Alliance Residential,Developer / GP,cbre,CBRE,Lender / Debt Provider,Financing Relationship,Phoenix / Arizona,Acquisition,Alliance Residential Divests of 258-Unit Multifamily Property in Phoenix,https://rebusinessonline.com/alliance-residential-divests-of-258-unit-multifamily-property-in-phoenix/,92,40,1,92,No,Relevant to capital markets monitoring,Track GP relationship history
2026-06-23,20260623-235839-1625a2df,PRJ-20260623-0106,Construction Financing - New York City / New York - Nasser Freres Receives $375M Construction Loan for Jersey City Apartment Tower,100,Walker & Dunlop,Walker & Dunlop,Developer / GP,walker & dunlop,walker & dunlop,Lender / Debt Provider,Financing Relationship,New York City / New York,Construction Financing,Nasser Freres Receives $375M Construction Loan for Jersey City Apartment Tower,https://rebusinessonline.com/nasser-freres-receives-375m-construction-loan-for-jersey-city-apartment-tower/,92,40,1,92,No,Relevant to capital markets monitoring,Track GP relationship history
2026-06-23,20260623-235839-1625a2df,PRJ-20260623-0111,Construction Financing - New York - Walker & Dunlop Arranges $375M Construction Loan for Landmark Jersey City Multifamily Deve...,100,Walker & Dunlop,Walker & Dunlop,Developer / GP,walker & dunlop,walker & dunlop,Lender / Debt Provider,Financing Relationship,New York,Construction Financing,Walker & Dunlop Arranges $375M Loan for Jersey City Mixed-Use,https://www.connectcre.com/stories/walker-dunlop-arranges-375m-loan-for-jersey-city-mixed-use/,92,40,1,92,No,Relevant to capital markets monitoring,Track GP relationship history
2026-06-23,20260623-235839-1625a2df,PRJ-20260623-0050,Acquisition - California - Marcus & Millichap Brokers $19.75M Sale and $13.3M Financing of 64-Unit Multifamily Proper...,100,Marcus & Millichap,Marcus & Millichap,Developer / GP,Acquisition - California - Marcus & Millichap Brokers $19.75M Sale and $13.3M Financing of 64-Unit Multifamily Proper...,California,Project / Deal,Acquisition / Buyer,California,Acquisition,Marcus & Millichap Brokers $19.75M Sale and $13.3M Financing of 64-Unit Multifamily Property in Livermore California,https://yieldpro.com/2026/06/briarwood-apartments-livermore/,91,40,1,91,No,Relevant to LA / California strategy,Track GP relationship history
2026-06-23,20260623-235839-1625a2df,PRJ-20260623-0050,Acquisition - California - Marcus & Millichap Brokers $19.75M Sale and $13.3M Financing of 64-Unit Multifamily Proper...,100,Marcus & Millichap,Marcus & Millichap,Developer / GP,California,California,Market / Region,Acquisition / Buyer,California,Acquisition,Marcus & Millichap Brokers $19.75M Sale and $13.3M Financing of 64-Unit Multifamily Property in Livermore California,https://yieldpro.com/2026/06/briarwood-apartments-livermore/,91,40,1,91,No,Relevant to LA / California strategy,Track GP relationship history
2026-06-23,20260623-235839-1625a2df,PRJ-20260623-0044,Disposition / Exit - California - Former Bank Branch Positioned as Development Opportunity in Garden Grove Sale,100,CBRE,CBRE,Developer / GP,cbre,CBRE,Lender / Debt Provider,Financing Relationship,California,Disposition / Exit,Former Bank Branch Positioned as Development Opportunity in Garden Grove Sale,https://www.connectcre.com/stories/former-bank-branch-positioned-as-development-opportunity-in-garden-grove-sale/,90,75,1,90,No,Relevant to LA / California strategy,Track GP relationship history
2026-06-23,20260623-235839-1625a2df,PRJ-20260623-0116,Acquisition - Other / Unknown - CBRE Arranges Sale of Townhomes in Kenosha,100,CBRE,CBRE,Developer / GP,cbre,CBRE,Lender / Debt Provider,Financing Relationship,Other / Unknown,Acquisition,CBRE Arranges Sale of Townhomes in Kenosha,https://www.connectcre.com/stories/cbre-arranges-sale-of-townhomes-in-kenosha/,89,75,1,89,No,Relevant to capital markets monitoring,Track GP relationship history
