run_date,run_id,canonical_project_id,canonical_project_name,project_identity_confidence,opportunity_id,deal_fingerprint_id,duplicate_cluster_id,opportunity_type,market,residential_sector,gp_or_developer,lender_or_capital_provider,related_project_or_deal,source_article_title,source,url,opportunity_score,opportunity_uniqueness_score,event_materiality_score,repeat_coverage_score,institutional_confirmation_score,opportunity_priority_label,evidence_signals,why_it_matters,potential_woomi_angle,recommended_next_action,confidence_level
2026-05-19,20260519-101015-3b20d522,PRJ-20260519-0054,"Disposition / Exit - Los Angeles - Quarterra Seeks Buyers For Almost 4,000 Apartments",100,OPP-20260519-001,DFP-EACCB786F9,DCL-20260519-001,LA / California Entitlement Opportunity,Los Angeles,Apartment,Quarterra,JLL,"Disposition / Exit - Los Angeles - Quarterra Seeks Buyers For Almost 4,000 Apartments","Quarterra Seeks Buyers For Almost 4,000 Apartments",Bisnow,https://www.bisnow.com/national/news/multifamily/quarterra-seeks-buyers-for-almost-4000-apartments-134586,91,100,93,25,100,Immediate Opportunity Watch,Disposition / Exit,"LA / California Entitlement Opportunity may create a pricing, capital, partnership, or pipeline opening in Los Angeles.","Evaluate LA / California entitlement, zoning, or local GP partnership relevance",Add to executive opportunity review,Low
2026-05-19,20260519-101015-3b20d522,PRJ-20260519-0064,JLL Capital Markets Announced They Arranged a $141.8M Refinancing for Premier Luxury Riverfront Multifamily Tower Wolf Point West in Chicago,100,OPP-20260519-002,DFP-9D4BE7E23D,DCL-20260519-002,Refinancing Gap,New York,Multifamily,Hines,JLL,Refinancing - New York - JLL Capital Markets Announced They Arranged a $141.8M Refinancing for Premier Luxury River...,JLL Capital Markets Announced They Arranged a $141.8M Refinancing for Premier Luxury Riverfront Multifamily Tower Wolf Point West in Chicago,Yield PRO,https://yieldpro.com/2026/05/wolf-point-west/,89,100,91,25,98,Immediate Opportunity Watch,Refinancing; refinancing,"Refinancing Gap may create a pricing, capital, partnership, or pipeline opening in New York.","Track potential rescue capital, debt recapitalization, or capital partner opening",Add to executive opportunity review,Medium
2026-05-19,20260519-101015-3b20d522,PRJ-20260519-0072,Entitlement / Permitting - Other / Unknown - High Street Residential and Camden Property Trust Advance Durham North Carolina Apartment...,100,OPP-20260519-013,DFP-F91931423B,DCL-20260519-013,LA / California Entitlement Opportunity,Other / Unknown,Apartment,Camden Property Trust,camden,Entitlement / Permitting - Other / Unknown - High Street Residential and Camden Property Trust Advance Durham North Carolina Apartment...,High Street Residential and Camden Property Trust Advance Durham North Carolina Apartment Community Toward Construction,Yield PRO,https://yieldpro.com/2026/05/hopson-road/,78,100,79,25,89,Strategic Opportunity Watch,Entitlement / Permitting,"LA / California Entitlement Opportunity may create a pricing, capital, partnership, or pipeline opening in Other / Unknown.","Monitor for underwriting, market-entry, or partnership implications","Review entitlement, zoning, permitting, and local sponsor context",Low
2026-05-19,20260519-101015-3b20d522,PRJ-20260519-0062,Ares Acquires Stake in Rover Pipeline from Blackstone Energy Transition Partners to Serve Growing Energy Demand Centers Across North America,100,OPP-20260519-025,DFP-9987D34F99,DCL-20260519-025,GP Capability Partnership Opportunity,New York,General Residential,Blackstone,Blackstone,General Project Signal - New York - Ares Acquires Stake in Rover Pipeline from Blackstone Energy Transition Partners to Serve...,Ares Acquires Stake in Rover Pipeline from Blackstone Energy Transition Partners to Serve Growing Energy Demand Centers Across North America,Blackstone Real Estate,https://www.blackstone.com/news/press/ares-acquires-stake-in-rover-pipeline-from-blackstone-energy-transition-partners-to-serve-growing-energy-demand-centers-across-north-america/,72,100,69,25,86,Strategic Opportunity Watch,General Project Signal,"GP Capability Partnership Opportunity may create a pricing, capital, partnership, or pipeline opening in New York.",Map possible GP partnership or capability-building relationship,"Map GP, capital partner, and relationship history",Low
2026-05-19,20260519-101015-3b20d522,PRJ-20260519-0032,Office-to-Residential Conversion - California - Silicon Valley Initiative Partnership Receives $74.1M in Financing for Office-to-Residenti...,80,OPP-20260519-003,DFP-E2807E3CD9,DCL-20260519-003,LA / California Entitlement Opportunity,California,Office-to-Residential Conversion,Unknown,cushman,Office-to-Residential Conversion - California - Silicon Valley Initiative Partnership Receives $74.1M in Financing for Office-to-Residenti...,Silicon Valley Initiative Partnership Receives $74.1M in Financing for Office-to-Residential Conversion Project in San Jose,REBusiness Online,https://rebusinessonline.com/silicon-valley-initiative-partnership-receives-74-1m-in-financing-for-office-to-residential-conversion-project-in-san-jose/,67,100,86,25,33,Strategic Opportunity Watch,Office-to-Residential Conversion; conversion; office-to-residential; partnership,"LA / California Entitlement Opportunity may create a pricing, capital, partnership, or pipeline opening in California.","Evaluate LA / California entitlement, zoning, or local GP partnership relevance","Review entitlement, zoning, permitting, and local sponsor context",Medium
2026-05-19,20260519-101015-3b20d522,PRJ-20260519-0056,Disposition / Exit - Los Angeles - Walker & Dunlop Offer High-Profile Ground-Up Mixed-Use Development Opportunity Adjacent to...,80,OPP-20260519-006,DFP-1DCE0BE63E,DCL-20260519-006,LA / California Entitlement Opportunity,Los Angeles,Affordable Housing,Unknown,Unknown,Entitlement / Permitting - Los Angeles - Site prep underway for affordable housing at 4301 S. Vermont Ave.,Site prep underway for affordable housing at 4301 S. Vermont Ave.,Urbanize LA,https://la.urbanize.city/post/site-prep-underway-affordable-housing-4301-s-vermont-ave,67,100,84,25,33,Strategic Opportunity Watch,Entitlement / Permitting,"LA / California Entitlement Opportunity may create a pricing, capital, partnership, or pipeline opening in Los Angeles.","Evaluate LA / California entitlement, zoning, or local GP partnership relevance","Review entitlement, zoning, permitting, and local sponsor context",Low
2026-05-19,20260519-101015-3b20d522,PRJ-20260519-0056,Disposition / Exit - Los Angeles - Walker & Dunlop Offer High-Profile Ground-Up Mixed-Use Development Opportunity Adjacent to...,80,OPP-20260519-007,DFP-76755E00AE,DCL-20260519-007,JV / Partnership Gap,Los Angeles,Mixed-Use Residential,Unknown,Unknown,"JV / Partnership - Los Angeles - Lendlease, Aware Super Open Habitat Mixed-Use Campus in Los Angeles","Lendlease, Aware Super Open Habitat Mixed-Use Campus in Los Angeles",REBusiness Online,https://rebusinessonline.com/lendlease-aware-super-open-habitat-mixed-use-campus-in-los-angeles/,66,100,83,25,33,Strategic Opportunity Watch,JV / Partnership; jv; partnership,"JV / Partnership Gap may create a pricing, capital, partnership, or pipeline opening in Los Angeles.","Evaluate LA / California entitlement, zoning, or local GP partnership relevance","Map GP, capital partner, and relationship history",Medium
2026-05-19,20260519-101015-3b20d522,PRJ-20260519-0032,Office-to-Residential Conversion - California - Silicon Valley Initiative Partnership Receives $74.1M in Financing for Office-to-Residenti...,80,OPP-20260519-008,DFP-94DB6C92EC,DCL-20260519-008,LA / California Entitlement Opportunity,California,Affordable Housing,Unknown,Unknown,Development Start - California - California Transforms Oakland’s Fruitvale Community with Cleanup of Polluted Land for Affo...,California Transforms Oakland’s Fruitvale Community with Cleanup of Polluted Land for Affordable Housing,Yield PRO,https://yieldpro.com/2026/05/2700-international-boulevard/,66,100,83,25,33,Strategic Opportunity Watch,Development Start,"LA / California Entitlement Opportunity may create a pricing, capital, partnership, or pipeline opening in California.","Evaluate LA / California entitlement, zoning, or local GP partnership relevance","Review entitlement, zoning, permitting, and local sponsor context",Low
2026-05-19,20260519-101015-3b20d522,PRJ-20260519-0056,Disposition / Exit - Los Angeles - Walker & Dunlop Offer High-Profile Ground-Up Mixed-Use Development Opportunity Adjacent to...,80,OPP-20260519-005,DFP-E5C1F3D551,DCL-20260519-005,LA / California Entitlement Opportunity,Los Angeles,Mixed-Use Residential,Unknown,Unknown,Entitlement / Permitting - Los Angeles - 96 apartments + retail proposed at 8871 W. Venice Blvd.,96 apartments + retail proposed at 8871 W. Venice Blvd.,Urbanize LA,https://la.urbanize.city/post/96-apartments-retail-proposed-8871-w-venice-blvd,66,100,84,25,33,Strategic Opportunity Watch,Entitlement / Permitting,"LA / California Entitlement Opportunity may create a pricing, capital, partnership, or pipeline opening in Los Angeles.","Evaluate LA / California entitlement, zoning, or local GP partnership relevance","Review entitlement, zoning, permitting, and local sponsor context",Low
2026-05-19,20260519-101015-3b20d522,PRJ-20260519-0067,"Construction Financing - New York - Merchants Capital, New York City Provide $42M for Brooklyn Affordable Housing",80,OPP-20260519-004,DFP-13A7FFFEF3,DCL-20260519-004,Refinancing Gap,New York,Apartment,Unknown,Unknown,Refinancing - New York - Barings Refis Williamsburg Wharf With $374M Loan,Barings Refis Williamsburg Wharf With $374M Loan,Commercial Observer,https://commercialobserver.com/2026/05/barings-naftali-access-industries-williamsburg-brooklyn-wharf/,66,100,84,25,33,Strategic Opportunity Watch,Refinancing; refinancing,"Refinancing Gap may create a pricing, capital, partnership, or pipeline opening in New York.","Track potential rescue capital, debt recapitalization, or capital partner opening","Track debt stack, maturity, lender, and recapitalization details",Medium
