run_date,run_id,canonical_project_id,canonical_project_name,project_identity_confidence,run_timestamp,project_or_deal_name,deal_type,asset_type,residential_sector,market,city_or_submarket,state_or_region,gp_or_developer,canonical_gp_or_developer,institutional_partner,lender_or_debt_provider,canonical_lender_or_debt_provider,capital_partner,canonical_capital_partner,canonical_market,unit_count,dollar_amount,loan_amount,acquisition_price,development_cost,cap_rate,rent_growth,vacancy_rate,concession_signal,construction_start_or_delivery_timing,entitlement_or_permitting_stage,deal_signal_score,deal_priority_label,potential_woomi_use,source_article_title,source,url,relevance_score,deal_fingerprint_id,fingerprint_confidence,canonical_deal_name,canonical_event_name,duplicate_cluster_id,duplicate_count
2026-05-20,20260520-040606-6613d3b9,PRJ-20260520-0091,Refinancing - New York - JLL Arranges $141.8M Refinancing for Wolf Point West Luxury Apartment Tower in Chicago,100,2026-05-20 04:06:06,Refinancing - New York - JLL Arranges $141.8M Refinancing for Wolf Point West Luxury Apartment Tower in Chicago,Refinancing,Apartment,Apartment,New York,New York,New York,Hines,Hines,hines,jll,JLL,hines,hines,New York,509 units,$141.8M; $141.8M; $141.8 million,$141.8M,,,,,,,,,95,High Deal Intelligence,Capital market signal,JLL Arranges $141.8M Refinancing for Wolf Point West Luxury Apartment Tower in Chicago,REBusiness Online,https://rebusinessonline.com/jll-arranges-141-8m-refinancing-for-wolf-point-west-luxury-apartment-tower-in-chicago/,100,DFP-2B77A9DD0E,100,Refinancing - Refinancing - New York - JLL Arranges $141.8M Refinancing for Wolf Point West Luxury Apartment Tower in Chicago,Refinancing - Hines - JLL - New York,DCL-20260520-001,1
2026-05-20,20260520-040606-6613d3b9,PRJ-20260520-0072,Construction Financing - Los Angeles - Seachange Partners Receives $15.6M in Construction Financing for Two Affordable Housing Pr...,80,2026-05-20 04:06:06,Construction Financing - Los Angeles - Seachange Partners Receives $15.6M in Construction Financing for Two Affordable Housing Pr...,Construction Financing,Affordable Housing,Affordable Housing,Los Angeles,Los Angeles,California,Unknown,Unknown,Unknown,berkadia,Berkadia,Unknown,Unknown,Los Angeles,79 units,$15.6M; $15.6M; $15.6 million,$15.6M,,,,,,,,,91,High Deal Intelligence,Capital market signal,Seachange Partners Receives $15.6M in Construction Financing for Two Affordable Housing Projects in Los Angeles,REBusiness Online,https://rebusinessonline.com/seachange-partners-receives-15-6m-in-construction-financing-for-two-affordable-housing-projects-in-los-angeles/,100,DFP-5B3A641092,85,Construction Financing - Construction Financing - Los Angeles - Seachange Partners Receives $15.6M in Construction Financing for Two Affordable Housing Pr...,Construction Financing - Unknown - Berkadia - Los Angeles,DCL-20260520-002,1
2026-05-20,20260520-040606-6613d3b9,PRJ-20260520-0091,Refinancing - New York - JLL Arranges $141.8M Refinancing for Wolf Point West Luxury Apartment Tower in Chicago,100,2026-05-20 04:06:06,Refinancing - New York - JLL Arranges $142M for Luxury River North MF Property,Refinancing,Apartment,Apartment,New York,New York,New York,Hines,Hines,hines,jll,JLL,hines,hines,New York,,$142M; $142M; $141.817 million,$142M,,,,,,,,,85,High Deal Intelligence,Capital market signal,JLL Arranges $142M for Luxury River North MF Property,Connect CRE Apartments,https://www.connectcre.com/stories/jll-arranges-142m-for-luxury-river-north-mf-property/,100,DFP-D225B3459A,90,Refinancing - Refinancing - New York - JLL Arranges $142M for Luxury River North MF Property,Refinancing - Hines - JLL - New York,DCL-20260520-003,1
2026-05-20,20260520-040606-6613d3b9,PRJ-20260520-0054,Acquisition - Sun Belt - Walker & Dunlop Arranges $128.5M Acquisition Financing for Houston Luxury Residential Comm...,80,2026-05-20 04:06:06,Construction Financing - Sun Belt - Hudson Bay Capital Provides $129M to Develop Luxury Apartments in Houston,Construction Financing,Apartment,Apartment,Sun Belt,Houston,Sun Belt,Unknown,Unknown,Unknown,walker & dunlop,walker & dunlop,Unknown,Unknown,Sun Belt,128 units,$129M; $129M; $129m,$129M,$129m,,,,,,,,83,High Deal Intelligence,Pricing benchmark,Hudson Bay Capital Provides $129M to Develop Luxury Apartments in Houston,Commercial Observer,https://commercialobserver.com/2026/05/hudson-bay-capital-luxury-apartments-houston/,100,DFP-D916FBF421,85,Construction Financing - Construction Financing - Sun Belt - Hudson Bay Capital Provides $129M to Develop Luxury Apartments in Houston,Construction Financing - Unknown - walker & dunlop - Sun Belt,DCL-20260520-004,1
2026-05-20,20260520-040606-6613d3b9,PRJ-20260520-0072,Construction Financing - Los Angeles - Seachange Partners Receives $15.6M in Construction Financing for Two Affordable Housing Pr...,80,2026-05-20 04:06:06,Entitlement / Permitting - Los Angeles - Tommy Beadel on why Los Angeles is the easiest place to develop real estate,Entitlement / Permitting,BTR / Single-Family Rental,Affordable Housing,Los Angeles,Los Angeles,California,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Los Angeles,"2,600 units",$1; $26; $50,$1,,,,,,,,entitlement,83,High Deal Intelligence,Capital market signal,Tommy Beadel on why Los Angeles is the easiest place to develop real estate,Urbanize LA,https://la.urbanize.city/post/tommy-beadel-why-los-angeles-easiest-place-develop-real-estate,100,DFP-C07F5F89D7,75,Entitlement / Permitting - Entitlement / Permitting - Los Angeles - Tommy Beadel on why Los Angeles is the easiest place to develop real estate,Entitlement / Permitting - Unknown - Los Angeles,DCL-20260520-005,1
2026-05-20,20260520-040606-6613d3b9,PRJ-20260520-0072,Construction Financing - Los Angeles - Seachange Partners Receives $15.6M in Construction Financing for Two Affordable Housing Pr...,80,2026-05-20 04:06:06,Construction Financing - Los Angeles - Berkadia Lines Up Construction Loan for Seachange Partners,Construction Financing,Affordable Housing,Affordable Housing,Los Angeles,Los Angeles,California,Unknown,Unknown,Unknown,berkadia,Berkadia,Unknown,Unknown,Los Angeles,,$15.6 million; $15.6 million,$15.6 million,,,,,,,completed,,81,High Deal Intelligence,Capital market signal,Berkadia Lines Up Construction Loan for Seachange Partners,Connect CRE,https://www.connectcre.com/stories/berkadia-arranges-financing-for-seachange-partners-inaugural-projects/,100,DFP-8B8989A2ED,75,Construction Financing - Construction Financing - Los Angeles - Berkadia Lines Up Construction Loan for Seachange Partners,Construction Financing - Unknown - Berkadia - Los Angeles,DCL-20260520-006,1
2026-05-20,20260520-040606-6613d3b9,PRJ-20260520-0042,"General Project Signal - California - JLL, HJ Sims Secure $252.1M in Financing for Planned 214-Unit Seniors Housing Project in H...",80,2026-05-20 04:06:06,Construction Financing - California - JLL Lines Up $144M Construction Loan for Santa Ana Multifamily,Construction Financing,Apartment,Apartment,California,California,California,Unknown,Unknown,Unknown,jll,JLL,Unknown,Unknown,California,,$144M; $144M; $144,$144M,,,,,,,,,81,High Deal Intelligence,Capital market signal,JLL Lines Up $144M Construction Loan for Santa Ana Multifamily,Connect CRE Orange County,https://www.connectcre.com/stories/jll-lines-up-144m-construction-loan-for-santa-ana-multifamily/,100,DFP-B52F91F0C5,75,Construction Financing - Construction Financing - California - JLL Lines Up $144M Construction Loan for Santa Ana Multifamily,Construction Financing - Unknown - JLL - California,DCL-20260520-007,1
2026-05-20,20260520-040606-6613d3b9,PRJ-20260520-0031,Disposition / Exit - Sun Belt - Charlotte Apartment Project Fetches $107M,100,2026-05-20 04:06:06,Disposition / Exit - Sun Belt - Charlotte Apartment Project Fetches $107M,Disposition / Exit,Apartment,Apartment,Sun Belt,Atlanta,Sun Belt,Wood Partners,Wood Partners,Unknown,northmarq,northmarq,Unknown,Unknown,Sun Belt,,$107M; $107M; $107 million,,,,,,,,,,81,High Deal Intelligence,Underwriting benchmark,Charlotte Apartment Project Fetches $107M,Connect CRE Charlotte,https://www.connectcre.com/stories/charlotte-apartment-project-fetches-107m/,100,DFP-93359E6D9F,90,Disposition / Exit - Disposition / Exit - Sun Belt - Charlotte Apartment Project Fetches $107M,Disposition / Exit - Wood Partners - Sun Belt,DCL-20260520-008,1
2026-05-20,20260520-040606-6613d3b9,PRJ-20260520-0078,Acquisition - New York - Carmel Partners Seals Acquisition of UWS Multifamily Portfolio Minority Stake,100,2026-05-20 04:06:06,Acquisition - New York - Carmel Partners Seals Acquisition of UWS Multifamily Portfolio Minority Stake,Acquisition,Multifamily,Multifamily,New York,Manhattan,New York,UDR,UDR,udr,Unknown,Unknown,udr,udr,New York,,$485 million; $485 million,,$485 million,,,,,,,,80,High Deal Intelligence,Pricing benchmark,Carmel Partners Seals Acquisition of UWS Multifamily Portfolio Minority Stake,Commercial Observer,https://commercialobserver.com/2026/05/carmel-partners-metlife-uws-newmark/,87,DFP-5F1CB826F7,80,Acquisition - Acquisition - New York - Carmel Partners Seals Acquisition of UWS Multifamily Portfolio Minority Stake,Acquisition - UDR - New York,DCL-20260520-009,1
2026-05-20,20260520-040606-6613d3b9,PRJ-20260520-0072,Construction Financing - Los Angeles - Seachange Partners Receives $15.6M in Construction Financing for Two Affordable Housing Pr...,80,2026-05-20 04:06:06,Office-to-Residential Conversion - Los Angeles - Former IBM offices at 3424 Wilshire to become housing,Office-to-Residential Conversion,Office-to-Residential,Office-to-Residential Conversion,Los Angeles,Los Angeles,California,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Los Angeles,260 apartments,$60,$60,,,,,,,completed,,79,Useful Deal Signal,Capital market signal,Former IBM offices at 3424 Wilshire to become housing,Urbanize LA,https://la.urbanize.city/post/former-ibm-offices-3424-wilshire-become-housing,100,DFP-F6CEB283B1,75,Office-to-Residential Conversion - Office-to-Residential Conversion - Los Angeles - Former IBM offices at 3424 Wilshire to become housing,Office-to-Residential Conversion - Unknown - Los Angeles,DCL-20260520-010,1
