run_date,run_id,canonical_project_id,canonical_project_name,project_identity_confidence,run_timestamp,project_or_deal_name,deal_type,asset_type,residential_sector,market,city_or_submarket,state_or_region,gp_or_developer,canonical_gp_or_developer,institutional_partner,lender_or_debt_provider,canonical_lender_or_debt_provider,capital_partner,canonical_capital_partner,canonical_market,unit_count,dollar_amount,loan_amount,acquisition_price,development_cost,cap_rate,rent_growth,vacancy_rate,concession_signal,construction_start_or_delivery_timing,entitlement_or_permitting_stage,deal_signal_score,deal_priority_label,potential_woomi_use,source_article_title,source,url,relevance_score,deal_fingerprint_id,fingerprint_confidence,canonical_deal_name,canonical_event_name,duplicate_cluster_id,duplicate_count
2026-05-19,20260519-101015-3b20d522,PRJ-20260519-0092,"Disposition / Exit - Los Angeles - Quarterra Seeks Buyers For Almost 4,000 Apartments",100,2026-05-19 10:10:15,"Disposition / Exit - Los Angeles - Quarterra Seeks Buyers For Almost 4,000 Apartments",Disposition / Exit,Apartment,Apartment,Los Angeles,Southern California,California,Quarterra,Quarterra,Unknown,jll,JLL,Unknown,Unknown,Los Angeles,"4,000 Apartments",,,,,,,,,,,89,High Deal Intelligence,Entitlement / zoning watch,"Quarterra Seeks Buyers For Almost 4,000 Apartments",Bisnow,https://www.bisnow.com/national/news/multifamily/quarterra-seeks-buyers-for-almost-4000-apartments-134586,100,DFP-EACCB786F9,90,"Disposition / Exit - Disposition / Exit - Los Angeles - Quarterra Seeks Buyers For Almost 4,000 Apartments",Disposition / Exit - Quarterra - Los Angeles,DCL-20260519-001,1
2026-05-19,20260519-101015-3b20d522,PRJ-20260519-0064,JLL Capital Markets Announced They Arranged a $141.8M Refinancing for Premier Luxury Riverfront Multifamily Tower Wolf Point West in Chicago,100,2026-05-19 10:10:15,Refinancing - New York - JLL Capital Markets Announced They Arranged a $141.8M Refinancing for Premier Luxury River...,Refinancing,Multifamily,Multifamily,New York,New York,New York,Hines,Hines,hines,jll,JLL,hines,hines,New York,,$141.8M; $141.817 million; $141.8m,$141.8M,,,,,,,,,85,High Deal Intelligence,Capital market signal,JLL Capital Markets Announced They Arranged a $141.8M Refinancing for Premier Luxury Riverfront Multifamily Tower Wolf Point West in Chicago,Yield PRO,https://yieldpro.com/2026/05/wolf-point-west/,100,DFP-9D4BE7E23D,90,Refinancing - Refinancing - New York - JLL Capital Markets Announced They Arranged a $141.8M Refinancing for Premier Luxury River...,Refinancing - Hines - JLL - New York,DCL-20260519-002,1
2026-05-19,20260519-101015-3b20d522,PRJ-20260519-0032,Office-to-Residential Conversion - California - Silicon Valley Initiative Partnership Receives $74.1M in Financing for Office-to-Residenti...,80,2026-05-19 10:10:15,Office-to-Residential Conversion - California - Silicon Valley Initiative Partnership Receives $74.1M in Financing for Office-to-Residenti...,Office-to-Residential Conversion,Office-to-Residential,Office-to-Residential Conversion,California,California,California,Unknown,Unknown,Unknown,cushman,cushman,Unknown,Unknown,California,,$74.1M; $74.1M; $74.1 million,$74.1M,,,,,,,,,77,Useful Deal Signal,Capital market signal,Silicon Valley Initiative Partnership Receives $74.1M in Financing for Office-to-Residential Conversion Project in San Jose,REBusiness Online,https://rebusinessonline.com/silicon-valley-initiative-partnership-receives-74-1m-in-financing-for-office-to-residential-conversion-project-in-san-jose/,100,DFP-E2807E3CD9,75,Office-to-Residential Conversion - Office-to-Residential Conversion - California - Silicon Valley Initiative Partnership Receives $74.1M in Financing for Office-to-Residenti...,Office-to-Residential Conversion - Unknown - California,DCL-20260519-003,1
2026-05-19,20260519-101015-3b20d522,PRJ-20260519-0025,"Merchants Capital, New York City Provide $42M for Brooklyn Affordable Housing",80,2026-05-19 10:10:15,Refinancing - New York - Barings Refis Williamsburg Wharf With $374M Loan,Refinancing,Apartment,Apartment,New York,Brooklyn,New York,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,New York,518 apartments,$374M; $374M; $374.35 million,$374M,,,,,,,,,74,Useful Deal Signal,Capital market signal,Barings Refis Williamsburg Wharf With $374M Loan,Commercial Observer,https://commercialobserver.com/2026/05/barings-naftali-access-industries-williamsburg-brooklyn-wharf/,97,DFP-13A7FFFEF3,75,Refinancing - Refinancing - New York - Barings Refis Williamsburg Wharf With $374M Loan,Refinancing - Unknown - New York,DCL-20260519-004,1
2026-05-19,20260519-101015-3b20d522,PRJ-20260519-0040,Entitlement / Permitting - Los Angeles - 96 apartments + retail proposed at 8871 W. Venice Blvd.,80,2026-05-19 10:10:15,Entitlement / Permitting - Los Angeles - 96 apartments + retail proposed at 8871 W. Venice Blvd.,Entitlement / Permitting,Mixed-Use Residential,Mixed-Use Residential,Los Angeles,L.A.,California,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Los Angeles,96 apartments,,,,,,,,,,entitlement,73,Useful Deal Signal,Entitlement / zoning watch,96 apartments + retail proposed at 8871 W. Venice Blvd.,Urbanize LA,https://la.urbanize.city/post/96-apartments-retail-proposed-8871-w-venice-blvd,100,DFP-E5C1F3D551,65,Entitlement / Permitting - Entitlement / Permitting - Los Angeles - 96 apartments + retail proposed at 8871 W. Venice Blvd.,Entitlement / Permitting - Unknown - Los Angeles,DCL-20260519-005,1
2026-05-19,20260519-101015-3b20d522,PRJ-20260519-0056,Disposition / Exit - Los Angeles - Walker & Dunlop Offer High-Profile Ground-Up Mixed-Use Development Opportunity Adjacent to...,80,2026-05-19 10:10:15,Entitlement / Permitting - Los Angeles - Site prep underway for affordable housing at 4301 S. Vermont Ave.,Entitlement / Permitting,Affordable Housing,Affordable Housing,Los Angeles,Los Angeles,California,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Los Angeles,,$35,$35,,,,,,,,permit,73,Useful Deal Signal,Capital market signal,Site prep underway for affordable housing at 4301 S. Vermont Ave.,Urbanize LA,https://la.urbanize.city/post/site-prep-underway-affordable-housing-4301-s-vermont-ave,100,DFP-1DCE0BE63E,65,Entitlement / Permitting - Entitlement / Permitting - Los Angeles - Site prep underway for affordable housing at 4301 S. Vermont Ave.,Entitlement / Permitting - Unknown - Los Angeles,DCL-20260519-006,1
2026-05-19,20260519-101015-3b20d522,PRJ-20260519-0056,Disposition / Exit - Los Angeles - Walker & Dunlop Offer High-Profile Ground-Up Mixed-Use Development Opportunity Adjacent to...,80,2026-05-19 10:10:15,"JV / Partnership - Los Angeles - Lendlease, Aware Super Open Habitat Mixed-Use Campus in Los Angeles",JV / Partnership,Mixed-Use Residential,Mixed-Use Residential,Los Angeles,Los Angeles,California,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Los Angeles,260 apartments,,,,,,,,,opened,,72,Useful Deal Signal,GP partnership reference,"Lendlease, Aware Super Open Habitat Mixed-Use Campus in Los Angeles",REBusiness Online,https://rebusinessonline.com/lendlease-aware-super-open-habitat-mixed-use-campus-in-los-angeles/,97,DFP-76755E00AE,65,"JV / Partnership - JV / Partnership - Los Angeles - Lendlease, Aware Super Open Habitat Mixed-Use Campus in Los Angeles",JV / Partnership - Unknown - Los Angeles,DCL-20260519-007,1
2026-05-19,20260519-101015-3b20d522,PRJ-20260519-0032,Office-to-Residential Conversion - California - Silicon Valley Initiative Partnership Receives $74.1M in Financing for Office-to-Residenti...,80,2026-05-19 10:10:15,Development Start - California - California Transforms Oakland’s Fruitvale Community with Cleanup of Polluted Land for Affo...,Development Start,BTR / Single-Family Rental,Affordable Housing,California,California,California,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,California,22 apartments,,,,,,,,,,,71,Useful Deal Signal,Pipeline / supply signal,California Transforms Oakland’s Fruitvale Community with Cleanup of Polluted Land for Affordable Housing,Yield PRO,https://yieldpro.com/2026/05/2700-international-boulevard/,95,DFP-94DB6C92EC,65,Development Start - Development Start - California - California Transforms Oakland’s Fruitvale Community with Cleanup of Polluted Land for Affo...,Development Start - Unknown - California,DCL-20260519-008,1
2026-05-19,20260519-101015-3b20d522,PRJ-20260519-0085,General Project Signal - Other / Unknown - Walker & Dunlop Arranges Equity Syndication for Colorado Affordable Multifamily Community...,80,2026-05-19 10:10:15,"BTR / Build-to-Rent - Other / Unknown - Cushman & Wakefield Brokers $26.4M Sale of Build-to-Rent Community in Matteson, Illinois",BTR / Build-to-Rent,BTR / Single-Family Rental,BTR / Single-Family Rental,Other / Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,cushman,cushman,Unknown,Unknown,Other / Unknown,108 units,$26.4M; $26.4M; $26.4 million,,$26.4M,,,,,,,,69,Useful Deal Signal,Pricing benchmark,"Cushman & Wakefield Brokers $26.4M Sale of Build-to-Rent Community in Matteson, Illinois",REBusiness Online,https://rebusinessonline.com/cushman-wakefield-brokers-26-4m-sale-of-build-to-rent-community-in-matteson-illinois/,100,DFP-2CAF362E10,75,"BTR / Build-to-Rent - BTR / Build-to-Rent - Other / Unknown - Cushman & Wakefield Brokers $26.4M Sale of Build-to-Rent Community in Matteson, Illinois",BTR / Build-to-Rent - Unknown - Other / Unknown,DCL-20260519-009,1
2026-05-19,20260519-101015-3b20d522,PRJ-20260519-0032,Office-to-Residential Conversion - California - Silicon Valley Initiative Partnership Receives $74.1M in Financing for Office-to-Residenti...,80,2026-05-19 10:10:15,Acquisition - California - WMC Commercial Buys Upland Village Green Multifamily Property in California for $48.5M,Acquisition,Apartment,Apartment,California,California,California,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,California,,$48.5M; $48.5M; $48.5 million,,$48.5M,,,,,,,,67,Useful Deal Signal,Pricing benchmark,WMC Commercial Buys Upland Village Green Multifamily Property in California for $48.5M,REBusiness Online,https://rebusinessonline.com/wmc-commercial-buys-upland-village-green-multifamily-property-in-california-for-48-5m/,82,DFP-FE5D8A76B5,65,Acquisition - Acquisition - California - WMC Commercial Buys Upland Village Green Multifamily Property in California for $48.5M,Acquisition - Unknown - California,DCL-20260519-010,1
