run_date,run_id,watchlist_id,canonical_project_id,canonical_project_name,market,submarket,gp_or_developer,residential_sector,latest_lifecycle_stage,opportunity_score,risk_score,overall_signal_quality_score,institutional_confidence_label,supporting_source_count,recurring_observation_count,strategic_theme,woomi_relevance,recommended_executive_action,supporting_evidence_summary
2026-05-19,20260519-101015-3b20d522,HCW-20260519-001,PRJ-20260519-0064,JLL Capital Markets Announced They Arranged a $141.8M Refinancing for Premier Luxury Riverfront Multifamily Tower Wolf Point West in Chicago,New York,New York,Hines,Multifamily,Refinancing / Recapitalization,88,49,96,Strong Institutional Signal,8,11,Refinancing opportunity,Priority Asset Watch,Review immediately,"8 source file(s), 11 observation(s), latest stage Refinancing / Recapitalization, identity confidence 100"
2026-05-19,20260519-101015-3b20d522,HCW-20260519-002,PRJ-20260519-0092,"Disposition / Exit - Los Angeles - Quarterra Seeks Buyers For Almost 4,000 Apartments",California,Southern California,Quarterra,Apartment,Unknown Stage,100,32,91,Strong Institutional Signal,5,5,LA urban infill opportunity,Priority Asset Watch,Review immediately,"5 source file(s), 5 observation(s), latest stage Unknown Stage, identity confidence 100"
2026-05-19,20260519-101015-3b20d522,HCW-20260519-003,PRJ-20260519-0032,Office-to-Residential Conversion - California - Silicon Valley Initiative Partnership Receives $74.1M in Financing for Office-to-Residenti...,California,California,Unknown,Office-to-Residential Conversion,Site Acquisition / Site Control,85,50,90,Strong Institutional Signal,7,30,Institutional capital movement,Priority Asset Watch,Review immediately,"7 source file(s), 30 observation(s), latest stage Site Acquisition / Site Control, identity confidence 80"
2026-05-19,20260519-101015-3b20d522,HCW-20260519-004,PRJ-20260519-0023,"Office-to-Residential Conversion - Sun Belt - JLL Inks 70,000 SF of New Leases at Westside Paper Adaptive Reuse Development in Atlanta",Sun Belt,Atlanta,Unknown,Office-to-Residential Conversion,Site Acquisition / Site Control,73,63,88,Strong Institutional Signal,5,12,LA urban infill opportunity,Priority Asset Watch,Review immediately,"5 source file(s), 12 observation(s), latest stage Site Acquisition / Site Control, identity confidence 80"
2026-05-19,20260519-101015-3b20d522,HCW-20260519-005,PRJ-20260519-0062,Ares Acquires Stake in Rover Pipeline from Blackstone Energy Transition Partners to Serve Growing Energy Demand Centers Across North America,New York,New York,Blackstone,General Residential,Unknown Stage,67,30,88,Strong Institutional Signal,8,10,Institutional capital movement,Priority Asset Watch,Review immediately,"8 source file(s), 10 observation(s), latest stage Unknown Stage, identity confidence 100"
2026-05-19,20260519-101015-3b20d522,HCW-20260519-006,PRJ-20260519-0069,"Acquisition - Sun Belt - 11North Acquires 285,497 SF Grocery-Anchored Retail Center in Altamonte Springs, Florida",Sun Belt,Orlando,Unknown,General Residential,Site Acquisition / Site Control,53,37,88,Strong Institutional Signal,4,7,LA urban infill opportunity,Priority Asset Watch,Review immediately,"4 source file(s), 7 observation(s), latest stage Site Acquisition / Site Control, identity confidence 80"
2026-05-19,20260519-101015-3b20d522,HCW-20260519-007,PRJ-20260519-0038,General Project Signal - Sun Belt - Grand Opening Celebration for Affordable Housing Development Palladium Park Row in the Kat...,Sun Belt,Houston,Unknown,Affordable Housing,Delivery / Opening,82,33,87,Strong Institutional Signal,4,4,Affordable housing pipeline,Priority Asset Watch,Review immediately,"4 source file(s), 4 observation(s), latest stage Delivery / Opening, identity confidence 80"
2026-05-19,20260519-101015-3b20d522,HCW-20260519-008,PRJ-20260519-0055,Disposition / Exit - Los Angeles - Walker & Dunlop Offer High-Profile Ground-Up Mixed-Use Development Opportunity Adjacent to...,California,Los Angeles,Unknown,Mixed-Use Residential,Site Acquisition / Site Control,84,38,86,Strong Institutional Signal,3,24,LA urban infill opportunity,Priority Asset Watch,Review immediately,"3 source file(s), 24 observation(s), latest stage Site Acquisition / Site Control, identity confidence 80"
2026-05-19,20260519-101015-3b20d522,HCW-20260519-009,PRJ-20260519-0067,"Construction Financing - New York - Merchants Capital, New York City Provide $42M for Brooklyn Affordable Housing",New York,New York,Unknown,Affordable Housing,Refinancing / Recapitalization,73,55,86,Strong Institutional Signal,7,17,Refinancing opportunity,Priority Asset Watch,Review immediately,"7 source file(s), 17 observation(s), latest stage Refinancing / Recapitalization, identity confidence 80"
2026-05-19,20260519-101015-3b20d522,HCW-20260519-010,PRJ-20260519-0025,"Merchants Capital, New York City Provide $42M for Brooklyn Affordable Housing",New York,Brooklyn,Unknown,Apartment,Refinancing / Recapitalization,72,56,86,Strong Institutional Signal,4,6,Refinancing opportunity,Priority Asset Watch,Review immediately,"4 source file(s), 6 observation(s), latest stage Refinancing / Recapitalization, identity confidence 80"
