run_date,run_id,run_timestamp,market,residential_sector,market_article_count,high_priority_count,market_signal_count,average_relevance_score,dominant_strategic_angle,dominant_market_signal,regional_risk_or_opportunity,woomi_market_relevance,recommended_market_action
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Los Angeles,Mixed-Use Residential,12,7,7,78.2,Developer Strategy,Supply / Starts Signal,Supply pressure / lease-up risk,Core Watch Market,Track LA / California entitlement and zoning updates
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,California,Affordable Housing,12,7,5,77.4,Developer Strategy,Supply / Starts Signal,Supply pressure / lease-up risk,Core Watch Market,Track LA / California entitlement and zoning updates
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,National / Other,Multifamily,24,10,8,71.4,Developer Strategy,Rent Growth Signal,Developer capability / execution signal,General Monitoring,Watch GP / developer partnership opportunities
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,New York,Apartment,8,6,5,86.5,Institutional Flow,Supply / Starts Signal,Supply pressure / lease-up risk,General Monitoring,Monitor supply pipeline and concessions
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Sun Belt,Affordable Housing,8,6,1,80.2,Developer Strategy,Deal Size Signal,Institutional capital pricing signal,Strategic Watch Market,Track institutional capital activity
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Southeast,General Residential,5,2,1,66.0,Institutional Flow,Deal Size Signal,Institutional capital pricing signal,Strategic Watch Market,Track institutional capital activity
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Florida,Mixed-Use Residential,2,1,1,76.5,Financing Risk,Deal Size Signal,Financing-sensitive development environment,Strategic Watch Market,Review development underwriting assumptions
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Arizona,Multifamily,1,1,0,95.0,Financing Risk,None detected,Financing-sensitive development environment,Strategic Watch Market,Review development underwriting assumptions
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Austin,Multifamily,1,1,0,95.0,Financing Risk,None detected,Financing-sensitive development environment,Strategic Watch Market,Review development underwriting assumptions
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Dallas,General Residential,0,0,0,0,None detected,None detected,General market monitoring,Low Priority,Monitor only
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Phoenix,General Residential,0,0,0,0,None detected,None detected,General market monitoring,Low Priority,Monitor only
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Seattle,General Residential,0,0,0,0,None detected,None detected,General market monitoring,Low Priority,Monitor only
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Texas,General Residential,0,0,0,0,None detected,None detected,General market monitoring,Low Priority,Monitor only
