run_date,run_id,run_timestamp,submarket_name,parent_market,article_count,deal_count,entitlement_signal_count,opportunity_count,distress_signal_count,timing_signal_count,dominant_residential_sector,dominant_deal_type,dominant_entitlement_signal,site_strategy_theme,submarket_opportunity_score,submarket_risk_score,execution_complexity_score,woomi_site_strategy_relevance,recommended_submarket_action,key_evidence
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,New York,New York,8,5,0,5,4,7,Affordable Housing,Refinancing,General Entitlement Signal,Transit-oriented development,100,97,20,Strategic watch submarket,Monitor refinancing / distress pipeline,"Ares Acquires Stake in Rover Pipeline from Blackstone Energy Transition Partners to Serve Growing Energy Demand Centers Across North America; Barings Refis Williamsburg Wharf With $374M Loan; Blackstone Real Estate Debt Strategies Launches Homebuilder Lending Platform; Construction Financing - New York - Merchants Capital, New York City Provide $42M for Brooklyn Affordable Housing; Dermot Co. Receives $355M Loan for Refinancing of Upper Manhattan Apartment Tower"
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Los Angeles,Los Angeles,10,7,5,0,0,0,Mixed-Use Residential,General Project Signal,Entitlement Approval,Mixed-use corridor,100,44,52,High relevance to Woomi site strategy,Monitor entitlement precedent,"96 apartments + retail proposed at 8871 W. Venice Blvd.; Carson aims for hotel, entertainment, and housing in Civic Center revamp; Cypress Equity Investments gets $170M loan for two Santa Monica projects; Disposition / Exit - Los Angeles - Walker & Dunlop Offer High-Profile Ground-Up Mixed-Use Development Opportunity Adjacent to...; Entitlement / Permitting - Los Angeles - 96 apartments + retail proposed at 8871 W. Venice Blvd."
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Venice,Los Angeles,1,1,1,1,0,1,Mixed-Use Residential,Entitlement / Permitting,Entitlement Approval,Mixed-use corridor,70,11,30,High relevance to Woomi site strategy,Monitor entitlement precedent,96 apartments + retail proposed at 8871 W. Venice Blvd.; Entitlement / Permitting - Los Angeles - 96 apartments + retail proposed at 8871 W. Venice Blvd.
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Chinatown,Los Angeles,1,1,1,1,0,1,Affordable Housing,Entitlement / Permitting,Entitlement Approval,Mixed-use corridor,68,11,30,High relevance to Woomi site strategy,Monitor entitlement precedent,"Demolition Permits Filed For 772 Pacific Avenue in Chinatown, San Francisco; Entitlement / Permitting - California - Demolition Permits Filed For 772 Pacific Avenue in Chinatown, San Francisco"
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Atlanta,Southeast,3,2,1,1,0,1,Office-to-Residential Conversion,Development Start,Office-to-Residential Conversion,Adaptive reuse corridor; Office conversion corridor,63,15,45,Strategic watch submarket,Monitor entitlement precedent,"Development Start - Sun Belt - Struggling To Find Equity, Developers Pull Back On New Builds; JLL Inks 70,000 SF of New Leases at Westside Paper Adaptive Reuse Development in Atlanta; Office-to-Residential Conversion - Sun Belt - JLL Inks 70,000 SF of New Leases at Westside Paper Adaptive Reuse Development in Atlanta; Struggling To Find Equity, Developers Pull Back On New Builds; Woodfield Tops Out and Begins Pre-Leasing at Woodrow House Along Atlanta Beltline"
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DTLA,Los Angeles,1,1,0,1,0,1,General Residential,Development Start,General Entitlement Signal,Downtown infill,62,0,30,High relevance to Woomi site strategy,Review potential acquisition pipeline,Development Start - Los Angeles - The Broad's $100M expansion tops out in DTLA; The Broad's $100M expansion tops out in DTLA
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Santa Monica,Los Angeles,2,1,0,1,1,1,Affordable Housing,Construction Financing,General Entitlement Signal,Mixed-use corridor,61,46,30,High relevance to Woomi site strategy,Review potential acquisition pipeline,Construction Financing - Other / Unknown - Cypress Equity Investments gets $170M loan for two Santa Monica projects; Cypress Equity Investments gets $170M loan for two Santa Monica projects; Soaring above the 17-acre One Beverly Hills site
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Brooklyn,New York,2,2,0,1,1,1,Affordable Housing,Refinancing,General Entitlement Signal,Waterfront redevelopment,57,46,20,Strategic watch submarket,Monitor only,"Barings Refis Williamsburg Wharf With $374M Loan; Construction Financing - New York - Merchants Capital, New York City Provide $42M for Brooklyn Affordable Housing; Merchants Capital, New York City Provide $42M for Brooklyn Affordable Housing; Refinancing - New York - Barings Refis Williamsburg Wharf With $374M Loan"
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Manhattan,New York,1,1,0,1,1,2,Affordable Housing,Refinancing,General Entitlement Signal,General submarket monitoring,55,48,20,Strategic watch submarket,Monitor only,Dermot Co. Receives $355M Loan for Refinancing of Upper Manhattan Apartment Tower; Refinancing - New York - Dermot Co. Receives $355M Loan for Refinancing of Upper Manhattan Apartment Tower
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,California,National / Other,0,3,1,0,0,0,Office-to-Residential Conversion,Office-to-Residential Conversion,Office-to-Residential Conversion,Office conversion corridor,51,15,45,Strategic watch submarket,Monitor entitlement precedent,Acquisition - California - WMC Commercial Buys Upland Village Green Multifamily Property in California for $48.5M; Development Start - California - California Transforms Oakland’s Fruitvale Community with Cleanup of Polluted Land for Affo...; Office-to-Residential Conversion - California - Silicon Valley Initiative Partnership Receives $74.1M in Financing for Office-to-Residenti...; Silicon Valley Initiative Partnership Receives $74.1M in Financing for Office-to-Residential Conversion Project in San Jose
