run_date,run_id,run_timestamp,la_submarket,article_count,deal_count,entitlement_signal_count,opportunity_count,distress_signal_count,timing_signal_count,residential_sector_focus,entitlement_theme,site_strategy_theme,local_gp_or_developer,project_or_deal_reference,la_opportunity_score,la_execution_risk_score,entitlement_precedent_signal,potential_woomi_site_strategy,recommended_local_follow_up,confidence_level
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Los Angeles,10,7,5,0,0,0,Mixed-Use Residential,Entitlement Approval,Mixed-use corridor,Unknown,"96 apartments + retail proposed at 8871 W. Venice Blvd.; Carson aims for hotel, entertainment, and housing in Civic Center revamp; Cypress Equity Investments gets $170M loan for two Santa Monica projects; Disposition / Exit - Los Angeles - Walker & Dunlop Offer High-Profile Ground-Up Mixed-Use Development Opportunity Adjacent to...; Entitlement / Permitting - Los Angeles - 96 apartments + retail proposed at 8871 W. Venice Blvd.",100,52,Yes,Monitor only,Track local planning docket and entitlement precedent,High
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Venice,1,1,1,1,0,1,Mixed-Use Residential,Entitlement Approval,Mixed-use corridor,Unknown,96 apartments + retail proposed at 8871 W. Venice Blvd.; Entitlement / Permitting - Los Angeles - 96 apartments + retail proposed at 8871 W. Venice Blvd.,70,30,Yes,Monitor only,Track local planning docket and entitlement precedent,Medium
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Chinatown,1,1,1,1,0,1,Affordable Housing,Entitlement Approval,Mixed-use corridor,Unknown,"Demolition Permits Filed For 772 Pacific Avenue in Chinatown, San Francisco; Entitlement / Permitting - California - Demolition Permits Filed For 772 Pacific Avenue in Chinatown, San Francisco",68,30,Yes,Monitor only,Track local planning docket and entitlement precedent,Medium
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DTLA,1,1,0,1,0,1,General Residential,General Entitlement Signal,Downtown infill,Unknown,Development Start - Los Angeles - The Broad's $100M expansion tops out in DTLA; The Broad's $100M expansion tops out in DTLA,62,30,No,DTLA adaptive reuse watch,Review potential acquisition pipeline,Medium
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Santa Monica,2,1,0,1,1,1,Affordable Housing,General Entitlement Signal,Mixed-use corridor,Unknown,Construction Financing - Other / Unknown - Cypress Equity Investments gets $170M loan for two Santa Monica projects; Cypress Equity Investments gets $170M loan for two Santa Monica projects; Soaring above the 17-acre One Beverly Hills site,61,46,No,Monitor only,Review potential acquisition pipeline,Medium
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,California,0,3,1,0,0,0,Office-to-Residential Conversion,Office-to-Residential Conversion,Office conversion corridor,Unknown,Acquisition - California - WMC Commercial Buys Upland Village Green Multifamily Property in California for $48.5M; Development Start - California - California Transforms Oakland’s Fruitvale Community with Cleanup of Polluted Land for Affo...; Office-to-Residential Conversion - California - Silicon Valley Initiative Partnership Receives $74.1M in Financing for Office-to-Residenti...; Silicon Valley Initiative Partnership Receives $74.1M in Financing for Office-to-Residential Conversion Project in San Jose,51,45,Yes,Monitor only,Track local planning docket and entitlement precedent,Medium
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Culver City,1,0,0,0,0,0,Mixed-Use Residential,General Entitlement Signal,Mixed-use corridor,Unknown,96 apartments + retail proposed at 8871 W. Venice Blvd.,12,30,No,Monitor only,Monitor only,Low
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Downtown Los Angeles,1,0,0,0,0,0,General Residential,General Entitlement Signal,Downtown infill,Unknown,The Broad's $100M expansion tops out in DTLA,12,30,No,DTLA adaptive reuse watch,Monitor only,Low
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Wilshire,2,0,0,0,0,0,Affordable Housing,General Entitlement Signal,Mixed-use corridor,Unknown,Cypress Equity Investments gets $170M loan for two Santa Monica projects; Soaring above the 17-acre One Beverly Hills site,12,30,No,Koreatown multifamily watch,Monitor only,Low
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Southern California,0,1,0,0,0,0,Apartment,General Entitlement Signal,General submarket monitoring,Unknown,"Disposition / Exit - Los Angeles - Quarterra Seeks Buyers For Almost 4,000 Apartments",8,20,No,Monitor only,Monitor only,Low
