run_date,run_id,la_transition_watch_id,project_or_asset_name,la_submarket,gp_or_developer,residential_sector,previous_stage,current_stage,transition_type,progression_score,stall_risk_score,execution_momentum_label,la_entry_timing_signal,potential_woomi_site_strategy,recommended_local_follow_up,evidence_article_title,url,confidence_level
2026-05-19,20260519-101015-3b20d522,LAT-20260519-001,Development Start - Los Angeles - The Broad's $100M expansion tops out in DTLA,Los Angeles,Unknown,General Residential,Vertical Construction,Vertical Construction,Same Stage Persistence,78,12,Stable,Construction start watch,Monitor only,Monitor for another run to confirm lifecycle direction,The Broad's $100M expansion tops out in DTLA,https://la.urbanize.city/post/broads-100m-expansion-tops-out-dtla,High
2026-05-19,20260519-101015-3b20d522,LAT-20260519-002,General Project Signal - Sun Belt - Grand Opening Celebration for Affordable Housing Development Palladium Park Row in the Kat...,Los Angeles,Unknown,Affordable Housing,Delivery / Opening,Delivery / Opening,Mature / Operating,77,13,Mature,Delivery / lease-up benchmark,Monitor only,"Use as delivery, lease-up, and underwriting benchmark",Grand Opening Celebration for Affordable Housing Development Palladium Park Row in the Katy Area of Houston,https://yieldpro.com/2026/05/palladium-park-row/,High
2026-05-19,20260519-101015-3b20d522,LAT-20260519-003,"JV / Partnership - Los Angeles - Lendlease, Aware Super Open Habitat Mixed-Use Campus in Los Angeles",Los Angeles,Unknown,Mixed-Use Residential,Delivery / Opening,Delivery / Opening,Mature / Operating,77,13,Mature,Delivery / lease-up benchmark,Monitor only,"Use as delivery, lease-up, and underwriting benchmark","Lendlease, Aware Super Open Habitat Mixed-Use Campus in Los Angeles",https://rebusinessonline.com/lendlease-aware-super-open-habitat-mixed-use-campus-in-los-angeles/,High
2026-05-19,20260519-101015-3b20d522,LAT-20260519-004,"Lendlease, Aware Super Open Habitat Mixed-Use Campus in Los Angeles",Los Angeles,Unknown,Mixed-Use Residential,Delivery / Opening,Delivery / Opening,Mature / Operating,77,13,Mature,Delivery / lease-up benchmark,Monitor only,"Use as delivery, lease-up, and underwriting benchmark","Lendlease, Aware Super Open Habitat Mixed-Use Campus in Los Angeles",https://rebusinessonline.com/lendlease-aware-super-open-habitat-mixed-use-campus-in-los-angeles/,High
2026-05-19,20260519-101015-3b20d522,LAT-20260519-005,Development Start - Other / Unknown - Major Development Groundbreaking on Landmark Multifamily Mixed-Use Community The Piazza at...,Los Angeles,Unknown,Mixed-Use Residential,Construction Started,Construction Started,Same Stage Persistence,76,12,Stable,Construction start watch,Monitor only,Monitor for another run to confirm lifecycle direction,Major Development Groundbreaking on Landmark Multifamily Mixed-Use Community The Piazza at Ardmore in Philadelphia,https://yieldpro.com/2026/05/the-piazza-at-ardmore/,High
2026-05-19,20260519-101015-3b20d522,LAT-20260519-006,Major Development Groundbreaking on Landmark Multifamily Mixed-Use Community The Piazza at Ardmore in Philadelphia,Los Angeles,Unknown,Mixed-Use Residential,Construction Started,Construction Started,Same Stage Persistence,75,12,Stable,Construction start watch,Monitor only,Monitor for another run to confirm lifecycle direction,Major Development Groundbreaking on Landmark Multifamily Mixed-Use Community The Piazza at Ardmore in Philadelphia,https://yieldpro.com/2026/05/the-piazza-at-ardmore/,High
2026-05-19,20260519-101015-3b20d522,LAT-20260519-007,Cypress Equity Investments gets $170M loan for two Santa Monica projects,Los Angeles,Unknown,Affordable Housing,Refinancing / Recapitalization,Refinancing / Recapitalization,Same Stage Persistence,63,29,Stable,Refinancing / recap timing watch,Monitor refinancing or recap timing,"Track maturity, lender, recapitalization need, and potential JV angle",Cypress Equity Investments gets $170M loan for two Santa Monica projects,https://la.urbanize.city/post/cypress-equity-investments-gets-170m-loan-two-santa-monica-projects,Medium
2026-05-19,20260519-101015-3b20d522,LAT-20260519-008,"Disposition / Exit - Los Angeles - Quarterra Seeks Buyers For Almost 4,000 Apartments",Los Angeles,Quarterra,Apartment,Unknown Stage,Unknown Stage,Unknown Transition,50,31,Unknown,Monitor only,Monitor only,Monitor for another run to confirm lifecycle direction,"Quarterra Seeks Buyers For Almost 4,000 Apartments",https://www.bisnow.com/national/news/multifamily/quarterra-seeks-buyers-for-almost-4000-apartments-134586,Medium
2026-05-19,20260519-101015-3b20d522,LAT-20260519-009,Entitlement / Permitting - Los Angeles - Site prep underway for affordable housing at 4301 S. Vermont Ave.,Los Angeles,Unknown,Affordable Housing,Site Acquisition / Site Control,Site Acquisition / Site Control,Same Stage Persistence,49,38,Stable,Monitor only,Monitor only,Monitor for another run to confirm lifecycle direction,Site prep underway for affordable housing at 4301 S. Vermont Ave.,https://la.urbanize.city/post/site-prep-underway-affordable-housing-4301-s-vermont-ave,Low
2026-05-19,20260519-101015-3b20d522,LAT-20260519-010,Acquisition - California - WMC Commercial Buys Upland Village Green Multifamily Property in California for $48.5M,Los Angeles,Unknown,Apartment,Site Acquisition / Site Control,Site Acquisition / Site Control,Same Stage Persistence,48,38,Stable,Monitor only,Monitor only,Monitor for another run to confirm lifecycle direction,WMC Commercial Buys Upland Village Green Multifamily Property in California for $48.5M,https://rebusinessonline.com/wmc-commercial-buys-upland-village-green-multifamily-property-in-california-for-48-5m/,Low
2026-05-19,20260519-101015-3b20d522,LAT-20260519-011,California Transforms Oakland’s Fruitvale Community with Cleanup of Polluted Land for Affordable Housing,Los Angeles,Unknown,Affordable Housing,Site Acquisition / Site Control,Site Acquisition / Site Control,Same Stage Persistence,48,38,Stable,Monitor only,Monitor only,Monitor for another run to confirm lifecycle direction,California Transforms Oakland’s Fruitvale Community with Cleanup of Polluted Land for Affordable Housing,https://yieldpro.com/2026/05/2700-international-boulevard/,Low
2026-05-19,20260519-101015-3b20d522,LAT-20260519-012,Development Start - California - California Transforms Oakland’s Fruitvale Community with Cleanup of Polluted Land for Affo...,Los Angeles,Unknown,Affordable Housing,Site Acquisition / Site Control,Site Acquisition / Site Control,Same Stage Persistence,48,38,Stable,Monitor only,Monitor only,Monitor for another run to confirm lifecycle direction,California Transforms Oakland’s Fruitvale Community with Cleanup of Polluted Land for Affordable Housing,https://yieldpro.com/2026/05/2700-international-boulevard/,Low
2026-05-19,20260519-101015-3b20d522,LAT-20260519-013,Entitlement / Permitting - Los Angeles - 96 apartments + retail proposed at 8871 W. Venice Blvd.,Los Angeles,Unknown,Mixed-Use Residential,Early Site Signal,Early Site Signal,Same Stage Persistence,48,38,Stable,Monitor only,Monitor only,Monitor for another run to confirm lifecycle direction,96 apartments + retail proposed at 8871 W. Venice Blvd.,https://la.urbanize.city/post/96-apartments-retail-proposed-8871-w-venice-blvd,Low
2026-05-19,20260519-101015-3b20d522,LAT-20260519-014,General Project Signal - New York - Ares Acquires Stake in Rover Pipeline from Blackstone Energy Transition Partners to Serve...,Los Angeles,Blackstone,General Residential,Unknown Stage,Unknown Stage,Unknown Transition,48,30,Unknown,Monitor only,Monitor only,Monitor for another run to confirm lifecycle direction,Ares Acquires Stake in Rover Pipeline from Blackstone Energy Transition Partners to Serve Growing Energy Demand Centers Across North America,https://www.blackstone.com/news/press/ares-acquires-stake-in-rover-pipeline-from-blackstone-energy-transition-partners-to-serve-growing-energy-demand-centers-across-north-america/,Low
2026-05-19,20260519-101015-3b20d522,LAT-20260519-015,"JLL Inks 70,000 SF of New Leases at Westside Paper Adaptive Reuse Development in Atlanta",Los Angeles,Unknown,Office-to-Residential Conversion,Site Acquisition / Site Control,Site Acquisition / Site Control,Same Stage Persistence,47,41,Stable,Monitor only,Monitor only,Monitor for another run to confirm lifecycle direction,"JLL Inks 70,000 SF of New Leases at Westside Paper Adaptive Reuse Development in Atlanta",https://rebusinessonline.com/jll-inks-70000-sf-of-new-leases-at-westside-paper-adaptive-reuse-development-in-atlanta/,Low
2026-05-19,20260519-101015-3b20d522,LAT-20260519-016,96 apartments + retail proposed at 8871 W. Venice Blvd.,Culver City,Unknown,Mixed-Use Residential,Early Site Signal,Early Site Signal,Same Stage Persistence,47,38,Stable,Monitor only,Monitor only,Monitor for another run to confirm lifecycle direction,96 apartments + retail proposed at 8871 W. Venice Blvd.,https://la.urbanize.city/post/96-apartments-retail-proposed-8871-w-venice-blvd,Low
2026-05-19,20260519-101015-3b20d522,LAT-20260519-017,Disposition / Exit - California - Southern Land Company Launches Mortgage Division,Los Angeles,Unknown,General Residential,Site Acquisition / Site Control,Site Acquisition / Site Control,Same Stage Persistence,47,38,Stable,Monitor only,Monitor only,Monitor for another run to confirm lifecycle direction,Southern Land Company Launches Mortgage Division,https://commercialobserver.com/2026/05/southern-land-company-mortgage-division/,Low
