run_date,run_id,run_timestamp,submarket_name,parent_market,article_count,deal_count,entitlement_signal_count,opportunity_count,distress_signal_count,timing_signal_count,dominant_residential_sector,dominant_deal_type,dominant_entitlement_signal,site_strategy_theme,submarket_opportunity_score,submarket_risk_score,execution_complexity_score,woomi_site_strategy_relevance,recommended_submarket_action,key_evidence
2026-08-24,20260824-232222-e00277dc,2026-08-24 23:22:22,Miami,Florida,5,5,0,5,1,5,Apartment,Refinancing,General Entitlement Signal,General submarket monitoring,100,48,20,Strategic watch submarket,Review potential acquisition pipeline,"Acquisition - Miami / Florida - West Palm Beach Developer Buys Lot, Apartments on Way; Development Start - Miami / Florida - NRP Advancing 312-Unit Port St. Lucie Apartment Venture; General Project Signal - Miami / Florida - Related Planning Apartments on Site at Fort Lauderdale Office Park; Integra Investments, City of North Miami Begin Preleasing for 342-Unit Mixed-Income Apartment Complex; Investor Team Scores $53.5M Refi on Doral Center Offices"
2026-08-24,20260824-232222-e00277dc,2026-08-24 23:22:22,Los Angeles,Los Angeles,11,4,5,0,0,0,Apartment,Acquisition,Entitlement Approval,Mixed-use corridor,100,16,58,High relevance to Woomi site strategy,Monitor entitlement precedent,49 condos up for sale at 127 N. Madison Ave. in Pasadena; Acquisition - Los Angeles / California - Marcus & Millichap Brokers $5.3M Sale of Los Angeles Apartment Building; Affordable housing complex slated for 5922 N. Lemp Ave. in North Hollywood; Affordable housing fully framed at 9033 Ramsgate Ave. in Westchester; City Planning Commission approves townhomes + storage facility at 7528 Bellaire Ave. in Sun Valley
2026-08-24,20260824-232222-e00277dc,2026-08-24 23:22:22,Atlanta,Southeast,5,4,1,4,0,3,Apartment,Acquisition,Office-to-Residential Conversion,Office conversion corridor,100,15,45,Strategic watch submarket,Monitor entitlement precedent,Acquisition - Atlanta / Georgia - ParkProperty Acquires 280-Unit Buckhead Apartment Community; Acquisition - Atlanta / Georgia - Saratoga Capital Pays $98.4M at Auction for Atlanta Apartment Community; Atlanta Beltline Advancing 218-Unit Affordable Apartment Project; General Project Signal - Atlanta / Georgia - Atlanta Beltline Advancing 218-Unit Affordable Apartment Project; JLB Pursuing Buckhead Office-to-Apartments Conversion
2026-08-24,20260824-232222-e00277dc,2026-08-24 23:22:22,Phoenix,Arizona,2,2,0,2,1,2,Apartment,Construction Financing,General Entitlement Signal,General submarket monitoring,85,50,20,Strategic watch submarket,Review potential acquisition pipeline,Acquisition - Phoenix / Arizona - Albany Road Snags Loan for Scottsdale MOB Acquisition; Albany Road Snags Loan for Scottsdale MOB Acquisition; Construction Financing - Phoenix / Arizona - Princeton Developer Obtains Financing for Phase III of 374-Unit Rental Community; Princeton Developer Obtains Financing for Phase III of 374-Unit Rental Community
2026-08-24,20260824-232222-e00277dc,2026-08-24 23:22:22,New York,New York,2,2,0,2,2,3,Apartment,Construction Financing,General Entitlement Signal,Waterfront redevelopment,82,61,20,Strategic watch submarket,Monitor refinancing / distress pipeline,Construction Financing - New York - Newmark Arranges $277M Loan for Urby/Rockpoint JV on Jersey City Apartments; Newmark Arranges $277M Loan for Urby/Rockpoint JV on Jersey City Apartments; Refinancing - New York City / New York - Timber Equities Receives $27.5M Loan for Refinancing of Manhattan Apartment Building; Timber Equities Receives $27.5M Loan for Refinancing of Manhattan Apartment Building
2026-08-24,20260824-232222-e00277dc,2026-08-24 23:22:22,Jersey City,New York,2,2,0,2,2,2,Apartment,Construction Financing,General Entitlement Signal,Waterfront redevelopment,77,61,20,Strategic watch submarket,Monitor refinancing / distress pipeline,Construction Financing - New York - Newmark Arranges $277M Loan for Urby/Rockpoint JV on Jersey City Apartments; Construction Financing - Other / Unknown - Truist Lends $277M on Jersey City Multifamily Tower Build; Newmark Arranges $277M Loan for Urby/Rockpoint JV on Jersey City Apartments; Truist Lends $277M on Jersey City Multifamily Tower Build
2026-08-24,20260824-232222-e00277dc,2026-08-24 23:22:22,Dallas,Texas,2,1,2,1,0,2,BTR / Single-Family Rental,BTR / Build-to-Rent,Planning Approval,General submarket monitoring,67,24,30,Strategic watch submarket,Monitor entitlement precedent,BTR / Build-to-Rent - Dallas / Texas - W Properties Mixing BTR and Garden-Style Apartments in Melissa; Sr. Housing Developer Advancing 242-Unit Plano Independent Living Facility; W Properties Mixing BTR and Garden-Style Apartments in Melissa
2026-08-24,20260824-232222-e00277dc,2026-08-24 23:22:22,Costa Mesa,Orange County,1,1,0,1,0,0,Apartment,Disposition / Exit,General Entitlement Signal,General submarket monitoring,65,0,30,High relevance to Woomi site strategy,Review potential acquisition pipeline,Costa Mesa Multifamily Changes Hands for Value-Add Repositioning; Disposition / Exit - California - Costa Mesa Multifamily Changes Hands for Value-Add Repositioning
2026-08-24,20260824-232222-e00277dc,2026-08-24 23:22:22,Seattle,Seattle,2,2,0,1,1,2,Apartment,Refinancing,General Entitlement Signal,General submarket monitoring,64,49,20,Strategic watch submarket,Review potential acquisition pipeline,Cushman & Wakefield Arranges $250M Refinancing for 506-Unit Seattle MF; Disposition / Exit - Seattle - Kidder Mathews Arranges Sale of Capitol Hill Apartment Building; Kidder Mathews Arranges Sale of Capitol Hill Apartment Building; Refinancing - Seattle - Cushman & Wakefield Arranges $250M Refinancing for 506-Unit Seattle MF
2026-08-24,20260824-232222-e00277dc,2026-08-24 23:22:22,Hollywood,Los Angeles,1,1,0,1,0,0,Affordable Housing,General Project Signal,General Entitlement Signal,General submarket monitoring,55,0,30,High relevance to Woomi site strategy,Monitor only,Affordable housing complex slated for 5922 N. Lemp Ave. in North Hollywood; General Project Signal - Los Angeles / California - Affordable housing complex slated for 5922 N. Lemp Ave. in North Hollywood
