run_date,run_id,timing_signal_id,timing_signal_type,market,residential_sector,gp_or_developer,lender_or_capital_provider,related_project_or_deal,timing_reference,estimated_timing_bucket,timing_urgency_score,timing_confidence,evidence_signals,source_article_title,source,url,potential_woomi_action,recommended_monitoring_frequency
2026-05-19,20260519-101015-3b20d522,TIM-20260519-019,Entitlement / Permitting,Other / Unknown,Apartment,Unknown,Unknown,Entitlement / Permitting - Other / Unknown - Shorter Apartment Construction Time in 2024,in 2024,Immediate / 0-3 Months,78,High,Entitlement / Permitting; permitting,Shorter Apartment Construction Time in 2024,NAHB Eye on Housing - Multifamily,https://eyeonhousing.org/2025/10/shorter-apartment-construction-time-in-2024/,"Track entitlement, zoning, permitting, and public-agency milestones",Weekly
2026-05-19,20260519-101015-3b20d522,TIM-20260519-004,Entitlement / Permitting,Los Angeles,Mixed-Use Residential,Unknown,Unknown,Entitlement / Permitting - Los Angeles - 96 apartments + retail proposed at 8871 W. Venice Blvd.,No explicit timing reference,Unknown Timing,73,Medium,Entitlement / Permitting; permitting,96 apartments + retail proposed at 8871 W. Venice Blvd.,Urbanize LA,https://la.urbanize.city/post/96-apartments-retail-proposed-8871-w-venice-blvd,"Track entitlement, zoning, permitting, and public-agency milestones",Biweekly
2026-05-19,20260519-101015-3b20d522,TIM-20260519-005,Entitlement / Permitting,Los Angeles,Affordable Housing,Unknown,Unknown,Entitlement / Permitting - Los Angeles - Site prep underway for affordable housing at 4301 S. Vermont Ave.,No explicit timing reference,Unknown Timing,73,Medium,Entitlement / Permitting; permitting,Site prep underway for affordable housing at 4301 S. Vermont Ave.,Urbanize LA,https://la.urbanize.city/post/site-prep-underway-affordable-housing-4301-s-vermont-ave,"Track entitlement, zoning, permitting, and public-agency milestones",Biweekly
2026-05-19,20260519-101015-3b20d522,TIM-20260519-002,Office-to-Residential Conversion Timing,California,Office-to-Residential Conversion,Unknown,cushman,Office-to-Residential Conversion - California - Silicon Valley Initiative Partnership Receives $74.1M in Financing for Office-to-Residenti...,No explicit timing reference,Unknown Timing,73,Medium,Office-to-Residential Conversion Timing,Silicon Valley Initiative Partnership Receives $74.1M in Financing for Office-to-Residential Conversion Project in San Jose,REBusiness Online,https://rebusinessonline.com/silicon-valley-initiative-partnership-receives-74-1m-in-financing-for-office-to-residential-conversion-project-in-san-jose/,Monitor sector-specific platform timing and potential partnership relevance,Biweekly
2026-05-19,20260519-101015-3b20d522,TIM-20260519-001,Refinancing / Maturity Window,New York,Multifamily,Hines,JLL,Refinancing - New York - JLL Capital Markets Announced They Arranged a $141.8M Refinancing for Premier Luxury River...,No explicit timing reference,Unknown Timing,71,Medium,Refinancing / Maturity Window,JLL Capital Markets Announced They Arranged a $141.8M Refinancing for Premier Luxury Riverfront Multifamily Tower Wolf Point West in Chicago,Yield PRO,https://yieldpro.com/2026/05/wolf-point-west/,"Track maturity, refinancing options, lender appetite, and recapitalization timing",Biweekly
2026-05-19,20260519-101015-3b20d522,TIM-20260519-010,Refinancing / Maturity Window,New York,Affordable Housing,Unknown,Unknown,Refinancing - New York - Dermot Co. Receives $355M Loan for Refinancing of Upper Manhattan Apartment Tower,No explicit timing reference,Unknown Timing,71,Medium,Refinancing / Maturity Window,Dermot Co. Receives $355M Loan for Refinancing of Upper Manhattan Apartment Tower,REBusiness Online,https://rebusinessonline.com/dermot-co-receives-355m-loan-for-refinancing-of-upper-manhattan-apartment-tower/,"Track maturity, refinancing options, lender appetite, and recapitalization timing",Biweekly
2026-05-19,20260519-101015-3b20d522,TIM-20260519-021,Construction Start,Other / Unknown,Multifamily,Unknown,Unknown,Development Start - Other / Unknown - Fourth Quarter 2025 Multifamily Construction Data,2025,Immediate / 0-3 Months,70,Medium,Construction Start,Fourth Quarter 2025 Multifamily Construction Data,NAHB Eye on Housing - Multifamily,https://eyeonhousing.org/2026/03/fourth-quarter-2025-multifamily-construction-data/,"Monitor delivery, lease-up, concession, and supply pipeline timing",Weekly
2026-05-19,20260519-101015-3b20d522,TIM-20260519-023,Construction Start,Other / Unknown,Multifamily,Unknown,Unknown,Development Start - Other / Unknown - Overall Housing Starts Inch Lower in 2025,in 2025,Immediate / 0-3 Months,70,Medium,Construction Start; starts in,Overall Housing Starts Inch Lower in 2025,NAHB Eye on Housing - Multifamily,https://eyeonhousing.org/2026/02/overall-housing-starts-inch-lower-in-2025/,"Monitor delivery, lease-up, concession, and supply pipeline timing",Weekly
2026-05-19,20260519-101015-3b20d522,TIM-20260519-024,Construction Start,Other / Unknown,Multifamily,Unknown,Unknown,Development Start - Other / Unknown - Third Quarter 2025 Multifamily Construction Data,2025,Immediate / 0-3 Months,70,Medium,Construction Start,Third Quarter 2025 Multifamily Construction Data,NAHB Eye on Housing - Multifamily,https://eyeonhousing.org/2026/01/third-quarter-2025-multifamily-construction-data/,"Monitor delivery, lease-up, concession, and supply pipeline timing",Weekly
2026-05-19,20260519-101015-3b20d522,TIM-20260519-003,Refinancing / Maturity Window,New York,Apartment,Unknown,Unknown,Refinancing - New York - Barings Refis Williamsburg Wharf With $374M Loan,No explicit timing reference,Unknown Timing,70,Medium,Refinancing / Maturity Window,Barings Refis Williamsburg Wharf With $374M Loan,Commercial Observer,https://commercialobserver.com/2026/05/barings-naftali-access-industries-williamsburg-brooklyn-wharf/,"Track maturity, refinancing options, lender appetite, and recapitalization timing",Biweekly
