run_date,run_id,canonical_project_id,canonical_project_name,market,submarket,residential_sector,gp_or_developer,first_seen_date,last_seen_date,observation_count,source_count,lifecycle_stage_history,latest_lifecycle_stage,highest_opportunity_score,highest_risk_score,entitlement_signal_count,timing_signal_count,financing_signal_count,distress_signal_count,relationship_edge_count,progression_status,stall_risk_label,persistent_asset_score,woomi_asset_watch_priority,recommended_asset_memory_follow_up
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0060,Refinancing - California - Greystone Provides Fannie Mae Refi on San Diego Mixed-Income,California,California,Affordable Housing,Greystone,2026-09-01,2026-09-01,15,10,Refinancing / Recapitalization; Unknown Stage,Refinancing / Recapitalization,100,60,0,0,15,1,3,Persistent Same Stage,Medium Stall Risk,94,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0147,Construction Financing - California - CedarSt Lands $80M for San Diego Multifamily Project,California,San Diego,Apartment,JLL,2026-09-01,2026-09-01,5,5,Site Acquisition / Site Control,Site Acquisition / Site Control,100,51,0,5,0,0,0,Newly Detected,Medium Stall Risk,93,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0076,Refinancing - Dallas / Texas - Affinius Capital Provides Loan for Refinancing of 594-Unit Apartment Community in Fort Wor...,Unknown,Fort Worth,Apartment,Greystar,2026-09-01,2026-09-01,5,5,Refinancing / Recapitalization,Refinancing / Recapitalization,99,48,0,0,5,0,0,Newly Detected,Low Stall Risk,92,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0063,Disposition / Exit - California - Waterford Property Company Launches Construction on Santa Clarita Multifamily Affordable H...,California,California,Apartment,Unknown,2026-09-01,2026-09-01,35,7,Unknown Stage; Unknown Stage; Unknown Stage; Unknown Stage; Unknown Stage; Unknown Stage; Environmental Review / CEQA,Unknown Stage,86,63,35,35,0,0,0,Unknown,Medium Stall Risk,90,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0082,Disposition / Exit - Riverside / California - CBRE Brokers Sale of Vintage Redlands Apartments,California,Inland Empire,Apartment,CBRE,2026-09-01,2026-09-01,7,5,Site Acquisition / Site Control; Site Acquisition / Site Control,Site Acquisition / Site Control,99,38,0,0,0,0,0,Newly Detected,Low Stall Risk,90,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0053,Acquisition - California - Vivmark Merger Triggers $742M in Bay Area Apartment Acquisitions,California,California,Apartment,AvalonBay,2026-09-01,2026-09-01,11,9,Unknown Stage,Unknown Stage,100,32,0,0,0,0,3,Unknown,Low Stall Risk,90,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0047,Disposition / Exit - Atlanta / Georgia - Cortland Sells West Palm Apartments For $208M: The South Florida Deal Sheet,California,Atlanta,Apartment,Fairfield Residential,2026-09-01,2026-09-01,12,5,Site Acquisition / Site Control; Site Acquisition / Site Control; Site Acquisition / Site Control,Site Acquisition / Site Control,96,36,0,0,0,0,0,Persistent Same Stage,Low Stall Risk,89,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0097,Disposition / Exit - Riverside / California - CBRE Brokers Sale of Vintage Redlands Apartments,California,Los Angeles,Apartment,CBRE,2026-09-01,2026-09-01,8,6,Unknown Stage,Unknown Stage,99,26,0,0,0,0,0,Newly Detected,Low Stall Risk,89,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0103,Refinancing - Los Angeles / California - Priority Capital Advisory Arranges $13.6M Bridge Loan for Refinancing of Los Angeles Multi...,California,Los Angeles,Student Housing,Unknown,2026-09-01,2026-09-01,15,4,Site Acquisition / Site Control; Entitled / Approved; Refinancing / Recapitalization; Unknown Stage; Unknown Stage,Site Acquisition / Site Control,80,57,15,0,3,0,0,Newly Detected,Medium Stall Risk,88,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-09-01,20260901-014157-7c7e8ccc,PRJ-20260901-0052,"JV / Partnership - California - JV of Affinius, Alliance Residential Divests NorCal Seniors Housing Duo",California,California,Senior Housing,Alliance Residential,2026-09-01,2026-09-01,11,9,Delivery / Opening,Delivery / Opening,97,24,0,0,0,0,3,Mature / Operating,No Clear Stall Risk,88,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
