run_date,run_id,run_timestamp,residential_sector,article_count,high_priority_count,market_signal_count,deal_signal_count,average_relevance_score,dominant_market_focus,dominant_strategic_angle,dominant_gp_or_developer,sector_risk_or_opportunity,woomi_sector_relevance,recommended_sector_action
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Apartment,11,10,5,8,84.5,Other / Unknown,Developer Strategy,Quarterra,Core rental housing underwriting and pipeline signal,Core Strategy Sector,Keep in weekly developer strategy review
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Affordable Housing,12,8,6,10,82.5,Other / Unknown,Developer Strategy,None detected,Affordability and subsidy program monitoring signal,Strategic Expansion Sector,Add to sector watchlist
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Multifamily,13,4,3,8,71.3,National,Developer Strategy,Hines,Core rental housing underwriting and pipeline signal,Core Strategy Sector,Keep in weekly developer strategy review
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Office-to-Residential Conversion,2,2,0,2,86.5,California,Developer Strategy,None detected,"Adaptive reuse, entitlement, and construction feasibility signal",Strategic Expansion Sector,"Track conversion feasibility, policy support, and construction cost assumptions"
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,BTR / Single-Family Rental,2,1,1,2,75.0,Other / Unknown,Institutional Flow,None detected,Potential expansion or product diversification signal,Strategic Expansion Sector,"Monitor BTR / SFR operators, capital flows, and target markets"
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Mixed-Use Residential,7,4,3,6,77.9,Los Angeles,Developer Strategy,None detected,Mixed-use development and placemaking signal,Monitoring Sector,Add to sector watchlist
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,General Residential,6,0,2,5,54.7,New York,Institutional Flow,Blackstone,General residential market monitoring,Monitoring Sector,Add to sector watchlist
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Manufactured Housing,0,0,0,0,0,None detected,None detected,None detected,Lower-cost housing and alternative residential platform signal,Monitoring Sector,Add to sector watchlist
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Senior Housing,0,0,0,0,0,None detected,None detected,None detected,Demographic demand and operating capability signal,Monitoring Sector,Monitor senior housing demand and operating model signals
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Student Housing,0,0,0,0,0,None detected,None detected,None detected,Campus-adjacent demand and partnership signal,Monitoring Sector,Monitor university-market demand and partnership signals
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Workforce Housing,0,0,0,0,0,None detected,None detected,None detected,Affordability and subsidy program monitoring signal,Monitoring Sector,Add to sector watchlist
