run_date,run_id,signal_quality_id,canonical_project_id,canonical_project_name,market,submarket,gp_or_developer,residential_sector,source_quality_score,multi_source_confirmation_score,specificity_score,lifecycle_consistency_score,persistence_score,overall_signal_quality_score,signal_quality_label,institutional_confidence_label,false_positive_risk,signal_decay_risk,supporting_source_count,recurring_observation_count,lifecycle_consistency_flag,multi_source_confirmation_flag,recommended_signal_action,evidence_summary
2026-05-24,20260524-230204-750df6c3,SQ-20260524-015,PRJ-20260524-0088,Refinancing - New York - Dwight Capital Provides $54M HUD-Insured Loan for Refinancing of Queens Apartment Building,New York,New York,Unknown,Apartment,95,100,80,95,90,92,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,7,15,Consistent,Confirmed,Immediate strategic review,"7 source file(s), 15 observation(s), latest stage Delivery / Opening, identity confidence 80"
2026-05-24,20260524-230204-750df6c3,SQ-20260524-014,PRJ-20260524-0052,General Project Signal - Florida - S. Florida Ritz-Carlton Developer Inks $401M Bridge Loan,Florida,Florida,Unknown,Apartment,95,100,80,95,89,92,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,7,7,Consistent,Confirmed,Immediate strategic review,"7 source file(s), 7 observation(s), latest stage Refinancing / Recapitalization, identity confidence 80"
2026-05-24,20260524-230204-750df6c3,SQ-20260524-004,PRJ-20260524-0075,"General Project Signal - National - AvalonBay, Equity Residential Strike Largest REIT Merger In U.S. History",Unknown,National,AvalonBay,Apartment,95,100,95,60,100,91,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,8,10,Needs Review,Confirmed,Immediate strategic review,"8 source file(s), 10 observation(s), latest stage Unknown Stage, identity confidence 100"
2026-05-24,20260524-230204-750df6c3,SQ-20260524-006,PRJ-20260524-0086,JV / Partnership - New York - Blackstone Announces Joint Venture with Google to Create New TPU Cloud,New York,New York,Blackstone,General Residential,95,100,95,60,100,91,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,8,10,Needs Review,Confirmed,Immediate strategic review,"8 source file(s), 10 observation(s), latest stage Unknown Stage, identity confidence 100"
2026-05-24,20260524-230204-750df6c3,SQ-20260524-005,PRJ-20260524-0034,Disposition / Exit - Sun Belt - Charlotte Apartment Project Fetches $107M,Sun Belt,Atlanta,Wood Partners,Apartment,95,100,95,60,96,90,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,5,5,Needs Review,Confirmed,Immediate strategic review,"5 source file(s), 5 observation(s), latest stage Unknown Stage, identity confidence 100"
2026-05-24,20260524-230204-750df6c3,SQ-20260524-013,PRJ-20260524-0076,Acquisition - National - Arbor Realty Trust Lends $125M on Chicago Apartments Acquisition,Unknown,National,Brookfield,Apartment,95,100,95,60,91,89,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,7,9,Needs Review,Confirmed,Immediate strategic review,"7 source file(s), 9 observation(s), latest stage Unknown Stage, identity confidence 100"
2026-05-24,20260524-230204-750df6c3,SQ-20260524-001,PRJ-20260524-0047,Acquisition - California - Hudson Valley Property Group Acquires 387-Unit Mosa Apartment Homes in Elk Grove Californi...,California,California,Unknown,Apartment,95,100,80,65,100,88,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,8,63,Needs Review,Confirmed,Immediate strategic review,"8 source file(s), 63 observation(s), latest stage Refinancing / Recapitalization, identity confidence 80"
2026-05-24,20260524-230204-750df6c3,SQ-20260524-003,PRJ-20260524-0036,Construction Financing - Sun Belt - LV Collective and Kayne Anderson Real Estate Refinance Atlanta Student Housing Community R...,Sun Belt,Atlanta,Unknown,Affordable Housing,95,100,80,65,100,88,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,5,30,Needs Review,Confirmed,Immediate strategic review,"5 source file(s), 30 observation(s), latest stage Early Site Signal, identity confidence 80"
2026-05-24,20260524-230204-750df6c3,SQ-20260524-008,PRJ-20260524-0053,Operational / Property Management Tech - Sun Belt - VoltaGrid Announces $1 Billion Strategic Equity Investment from Blackstone and Halliburton...,Sun Belt,Houston,Blackstone,General Residential,95,100,85,60,94,87,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,5,5,Needs Review,Confirmed,Immediate strategic review,"5 source file(s), 5 observation(s), latest stage Unknown Stage, identity confidence 100"
2026-05-24,20260524-230204-750df6c3,SQ-20260524-010,PRJ-20260524-0074,Construction Financing - Sun Belt - Madison Realty Capital Originates $91.8M Construction Loan for Multifamily Project in Sout...,Sun Belt,Miami,Unknown,Apartment,95,100,80,65,93,87,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,4,30,Needs Review,Confirmed,Immediate strategic review,"4 source file(s), 30 observation(s), latest stage Refinancing / Recapitalization, identity confidence 80"
2026-05-24,20260524-230204-750df6c3,SQ-20260524-019,PRJ-20260524-0106,BTR / Build-to-Rent - Sun Belt - Work Begins on 94-Unit Scottsdale Luxury BTR Community,Sun Belt,Phoenix,Unknown,BTR / Single-Family Rental,95,100,80,65,86,86,Institutional Grade,Strong Institutional Signal,Very Low,Persistent,4,15,Needs Review,Confirmed,Immediate strategic review,"4 source file(s), 15 observation(s), latest stage Site Acquisition / Site Control, identity confidence 80"
2026-05-24,20260524-230204-750df6c3,SQ-20260524-007,PRJ-20260524-0107,Modular / Construction Innovation - California - Modular Apartment Construction Gains Momentum In Bay Area,California,San Francisco,Unknown,Apartment,95,100,60,60,99,83,High Confidence,Institutional Watch,Very Low,Persistent,5,9,Needs Review,Confirmed,Add to executive watchlist,"5 source file(s), 9 observation(s), latest stage Unknown Stage, identity confidence 80"
