run_date,run_id,run_timestamp,deal_fingerprint_id,duplicate_cluster_id,fingerprint_confidence,canonical_project_name,canonical_deal_name,canonical_event_name,deal_type,market,residential_sector,canonical_gp_or_developer,canonical_lender_or_debt_provider,unit_count,dollar_amount,loan_amount,source_count,article_count,duplicate_count,sources,article_titles,markets_detected,highest_deal_signal_score
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DFP-EACCB786F9,DCL-20260519-001,90,"Disposition / Exit - Los Angeles - Quarterra Seeks Buyers For Almost 4,000 Apartments","Disposition / Exit - Disposition / Exit - Los Angeles - Quarterra Seeks Buyers For Almost 4,000 Apartments",Disposition / Exit - Quarterra - Los Angeles,Disposition / Exit,Los Angeles,Apartment,Quarterra,JLL,"4,000 Apartments",,,1,1,1,Bisnow,"Quarterra Seeks Buyers For Almost 4,000 Apartments",Los Angeles,89
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DFP-9D4BE7E23D,DCL-20260519-002,90,Refinancing - New York - JLL Capital Markets Announced They Arranged a $141.8M Refinancing for Premier Luxury River...,Refinancing - Refinancing - New York - JLL Capital Markets Announced They Arranged a $141.8M Refinancing for Premier Luxury River...,Refinancing - Hines - JLL - New York,Refinancing,New York,Multifamily,Hines,JLL,,$141.8M; $141.817 million; $141.8m,$141.8M,1,1,1,Yield PRO,JLL Capital Markets Announced They Arranged a $141.8M Refinancing for Premier Luxury Riverfront Multifamily Tower Wolf Point West in Chicago,New York,85
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DFP-1A7EB24AD5,DCL-20260519-018,75,"Acquisition - Sun Belt - 11North Acquires 285,497 SF Grocery-Anchored Retail Center in Altamonte Springs, Florida","Acquisition - Acquisition - Sun Belt - 11North Acquires 285,497 SF Grocery-Anchored Retail Center in Altamonte Springs, Florida",Acquisition - Unknown - Sun Belt,Acquisition,Sun Belt,General Residential,Unknown,JLL,,$59.5 million,,1,1,1,REBusiness Online,"11North Acquires 285,497 SF Grocery-Anchored Retail Center in Altamonte Springs, Florida",Sun Belt,57
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DFP-2CAF362E10,DCL-20260519-009,75,"BTR / Build-to-Rent - Other / Unknown - Cushman & Wakefield Brokers $26.4M Sale of Build-to-Rent Community in Matteson, Illinois","BTR / Build-to-Rent - BTR / Build-to-Rent - Other / Unknown - Cushman & Wakefield Brokers $26.4M Sale of Build-to-Rent Community in Matteson, Illinois",BTR / Build-to-Rent - Unknown - Other / Unknown,BTR / Build-to-Rent,Other / Unknown,BTR / Single-Family Rental,Unknown,cushman,108 units,$26.4M; $26.4M; $26.4 million,,1,1,1,REBusiness Online,"Cushman & Wakefield Brokers $26.4M Sale of Build-to-Rent Community in Matteson, Illinois",Other / Unknown,69
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DFP-E2807E3CD9,DCL-20260519-003,75,Office-to-Residential Conversion - California - Silicon Valley Initiative Partnership Receives $74.1M in Financing for Office-to-Residenti...,Office-to-Residential Conversion - Office-to-Residential Conversion - California - Silicon Valley Initiative Partnership Receives $74.1M in Financing for Office-to-Residenti...,Office-to-Residential Conversion - Unknown - California,Office-to-Residential Conversion,California,Office-to-Residential Conversion,Unknown,cushman,,$74.1M; $74.1M; $74.1 million,$74.1M,1,1,1,REBusiness Online,Silicon Valley Initiative Partnership Receives $74.1M in Financing for Office-to-Residential Conversion Project in San Jose,California,77
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DFP-13A7FFFEF3,DCL-20260519-004,75,Refinancing - New York - Barings Refis Williamsburg Wharf With $374M Loan,Refinancing - Refinancing - New York - Barings Refis Williamsburg Wharf With $374M Loan,Refinancing - Unknown - New York,Refinancing,New York,Apartment,Unknown,Unknown,518 apartments,$374M; $374M; $374.35 million,$374M,1,1,1,Commercial Observer,Barings Refis Williamsburg Wharf With $374M Loan,New York,74
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DFP-9987D34F99,DCL-20260519-025,70,General Project Signal - New York - Ares Acquires Stake in Rover Pipeline from Blackstone Energy Transition Partners to Serve...,General Project Signal - General Project Signal - New York - Ares Acquires Stake in Rover Pipeline from Blackstone Energy Transition Partners to Serve...,General Project Signal - Blackstone - New York,General Project Signal,New York,General Residential,Blackstone,Unknown,,,,1,1,1,Blackstone Real Estate,Ares Acquires Stake in Rover Pipeline from Blackstone Energy Transition Partners to Serve Growing Energy Demand Centers Across North America,New York,48
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DFP-FE5D8A76B5,DCL-20260519-010,65,Acquisition - California - WMC Commercial Buys Upland Village Green Multifamily Property in California for $48.5M,Acquisition - Acquisition - California - WMC Commercial Buys Upland Village Green Multifamily Property in California for $48.5M,Acquisition - Unknown - California,Acquisition,California,Apartment,Unknown,Unknown,,$48.5M; $48.5M; $48.5 million,,1,1,1,REBusiness Online,WMC Commercial Buys Upland Village Green Multifamily Property in California for $48.5M,California,67
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DFP-9B5E4572DC,DCL-20260519-016,65,Acquisition - Sun Belt - Milburn & Company Acquires Luxury 339-Unit Multifamily Community Ascend at Longbow Highpoi...,Acquisition - Acquisition - Sun Belt - Milburn & Company Acquires Luxury 339-Unit Multifamily Community Ascend at Longbow Highpoi...,Acquisition - Unknown - Sun Belt,Acquisition,Sun Belt,Multifamily,Unknown,CBRE,,,,1,1,1,Yield PRO,Milburn & Company Acquires Luxury 339-Unit Multifamily Community Ascend at Longbow Highpoint in Mesa,Sun Belt,61
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DFP-8AA95D8D20,DCL-20260519-012,65,"Construction Financing - New York - Merchants Capital, New York City Provide $42M for Brooklyn Affordable Housing","Construction Financing - Construction Financing - New York - Merchants Capital, New York City Provide $42M for Brooklyn Affordable Housing",Construction Financing - Unknown - New York,Construction Financing,New York,Affordable Housing,Unknown,Unknown,,$42M; $42M; $10 million,$41.5 million,1,1,1,Commercial Observer,"Merchants Capital, New York City Provide $42M for Brooklyn Affordable Housing",New York,65
