run_date,run_id,canonical_project_id,canonical_project_name,project_identity_confidence,lifecycle_id,canonical_article_id,title,original_url,published,summary,article_integrity_status,article_integrity_reason,primary_display_section,secondary_display_sections,repeat_exposure_status,has_project_anchor,project_anchor_reason,project_anchor_confidence,development_lifecycle_hint,published_date_normalized,collected_date_normalized,article_age_days,freshness_bucket,freshness_status,freshness_reason,freshness_score,access_status,extracted_city,extracted_state,extracted_market_reason,canonical_asset_or_project_name,market,city_or_submarket,residential_sector,gp_or_developer,lender_or_capital_partner,current_lifecycle_stage,primary_development_category,primary_category_reason,previous_lifecycle_stage_if_known,lifecycle_progression_signal,lifecycle_risk_score,lifecycle_opportunity_score,timing_bucket,entitlement_complexity_flag,financing_dependency_flag,construction_execution_flag,lease_up_risk_flag,woomi_lifecycle_relevance,recommended_lifecycle_follow_up,evidence_signals,source_article_title,source,url,confidence_level
2026-07-15,20260715-235936-5ac8e905,PRJ-20260715-0182,Refinancing - Riverside / California - PCCP Provides $61M to Refinance 287-Unit DC Apartment Community,100,LC-20260715-014,art_b2fefb5879814d72,PCCP Provides $61M to Refinance 287-Unit DC Apartment Community,https://www.connectcre.com/stories/pccp-provides-61m-to-refinance-287-unit-dc-apartment-community/,"Wed, 15 Jul 2026 18:46:34 +0000","Washington DC CRE News In Your Inbox. Sign up for Connect emails to stay informed with CRE stories that are 150 words or less. Washington DC & Mid-Atlantic + DC + Apartments | July 15, 2026 By: Jasmine Kilman PCCP Provides $61M to Refinance 287-Unit DC Apartment Community PC C P provided a $61.3 million loan to PGIM and Kennedy Wilson for the refinance of Parc Riverside East, a luxury mid-rise apartment community in the Navy Yard neighborhood of Washington, D.C. Built in 2014 and located at 1011",valid,title/source/url metadata are internally consistent,Development Activity,GP / Capital Activity,new_or_fresh,,,,,2026-07-15,2026-07-15,,fresh_0_3d,fresh,published date parsed; article age 0 day(s),100,open,,,,Refinancing - Riverside / California - PCCP Provides $61M to Refinance 287-Unit DC Apartment Community,Unknown,Washington Dc,Apartment,Kennedy Wilson,pgim,Refinancing / Recapitalization,excluded,transaction / capital guard: refinance,,Mature / Operating,49,100,Unknown Timing,Low,High,Low,Low,Relevant to acquisition / JV timing,"Track lender, maturity, debt terms, and recapitalization need",Refinancing / Recapitalization; Refinancing / Recapitalization; No explicit timing reference,PCCP Provides $61M to Refinance 287-Unit DC Apartment Community,Connect CRE Apartments,https://www.connectcre.com/stories/pccp-provides-61m-to-refinance-287-unit-dc-apartment-community/,High
2026-07-15,20260715-235936-5ac8e905,PRJ-20260715-0049,Acquisition - California - Bascom Acquires Buena Park Apartments as Value-Add Deal,100,LC-20260715-004,art_af936828d39943e9,Bascom Acquires Buena Park Apartments as Value-Add Deal,https://www.connectcre.com/stories/bascom-acquires-buena-park-apartments-as-value-add-deal/,"Wed, 15 Jul 2026 20:53:23 +0000","California CRE News In Your Inbox. Sign up for Connect emails to stay informed with CRE stories that are 150 words or less. California + Orange County + Apartments | July 15, 2026 By: Paul Bubny Bascom Acquires Buena Park Apartments as Value-Add Deal The Bascom Group acquired Castlewood Park Apartments, a low-density, 183-unit value-add apartment community in Buena Park. The purchase price was $53,125,000, or $290,301 per unit. Brian Eisendrath, Cameron Chalfant, Jesse Zarouk, and Jake Vitta of ",valid,title/source/url metadata are internally consistent,Development Activity,GP / Capital Activity,new_or_fresh,,,,,2026-07-15,2026-07-15,,fresh_0_3d,fresh,published date parsed; article age 0 day(s),100,open,,,,Acquisition - California - Bascom Acquires Buena Park Apartments as Value-Add Deal,California,California,Apartment,Bascom Group,Unknown,Unknown Stage,excluded,transaction / capital guard: acquisition,,Reappearing,23,100,Unknown Timing,Unknown,Unknown,Unknown,Unknown,General monitoring,Monitor lifecycle signal for repeated confirmation,Unknown Stage; General Asset Signal; No explicit timing reference,Bascom Acquires Buena Park Apartments as Value-Add Deal,Connect CRE,https://www.connectcre.com/stories/bascom-acquires-buena-park-apartments-as-value-add-deal/,High
2026-07-15,20260715-235936-5ac8e905,PRJ-20260715-0167,"Acquisition - California - CBRE Brokers $77.5M Sale of Apartment Community in Oceanside, California",100,LC-20260715-001,art_50f489f8899b3544,"CBRE Brokers $77.5M Sale of Apartment Community in Oceanside, California",https://rebusinessonline.com/cbre-brokers-77-5m-sale-of-apartment-community-in-oceanside-california/,2026-07-15T13:46:09Z,"Sunterra features a resort-style pool and landscaped courtyards on the California coast in Oceanside. Acquisitions California Multifamily Western CBRE Brokers $77.5M Sale of Apartment Community in Oceanside, California by Amy Works July 15, 2026 July 15, 2026 7 OCEANSIDE, CALIF. — CBRE has brokered the $77.5 million sale of Sunterra, an apartment community located just north of Carlsbad in Southern California. An undisclosed buyer acquired the asset from 29th Street Capital. Rachel Parsons, Derr",valid,title/source/url metadata are internally consistent,Development Activity,GP / Capital Activity,new_or_fresh,,,,,2026-07-15,2026-07-15,,fresh_0_3d,fresh,published date parsed; article age 0 day(s),100,open,,,,"Acquisition - California - CBRE Brokers $77.5M Sale of Apartment Community in Oceanside, California",California,Southern California,Apartment,CBRE,CBRE,Unknown Stage,excluded,transaction / capital guard: sale,,Reappearing,23,100,Unknown Timing,Unknown,Unknown,Unknown,Unknown,General monitoring,Monitor lifecycle signal for repeated confirmation,Unknown Stage; General Asset Signal; No explicit timing reference,"CBRE Brokers $77.5M Sale of Apartment Community in Oceanside, California",REBusiness Online,https://rebusinessonline.com/cbre-brokers-77-5m-sale-of-apartment-community-in-oceanside-california/,High
2026-07-15,20260715-235936-5ac8e905,PRJ-20260715-0050,"Acquisition - California - CBRE Brokers $77.5M Sale of Apartment Community in Oceanside, California",100,LC-20260715-002,art_d7cdfd56f4ab4cc6,Garden-Style Apartments Go for $78M in North County San Diego,https://www.connectcre.com/stories/garden-style-apartments-go-for-78m-in-north-county-san-diego/,"Tue, 14 Jul 2026 20:57:04 +0000","California CRE News In Your Inbox. Sign up for Connect emails to stay informed with CRE stories that are 150 words or less. California + San Diego + Apartments | July 14, 2026 By: Paul Bubny Garden-Style Apartments Go for $78M in North County San Diego CBRE facilitated the $77.5-million sale of Sunterra, a 240-unit multifamily community located at 3851 Sherbourne Dr. in Oceanside. The firm’s Rachel Parsons, Derrek Ostrzyzek, Mike Murphy and Kenji Thomas advised the seller, 29th Street Capital. D",valid,title/source/url metadata are internally consistent,Development Activity,GP / Capital Activity,acceptable_repeat,,,,,2026-07-14,2026-07-15,1,fresh_0_3d,fresh,published date parsed; article age 1 day(s),78,open,,,,Disposition / Exit - California - Garden-Style Apartments Go for $78M in North County San Diego,California,California,Apartment,CBRE,CBRE,Unknown Stage,excluded,transaction / capital guard: disposition,Unknown Stage,Reappearing,23,100,Unknown Timing,Unknown,Unknown,Unknown,Unknown,General monitoring,Monitor lifecycle signal for repeated confirmation,Unknown Stage; General Asset Signal; No explicit timing reference,Garden-Style Apartments Go for $78M in North County San Diego,Connect CRE Apartments,https://www.connectcre.com/stories/garden-style-apartments-go-for-78m-in-north-county-san-diego/,High
2026-07-15,20260715-235936-5ac8e905,PRJ-20260715-0158,"Acquisition - Miami / Florida - Avalon Bay Planning Apartments, Retail in South Miami",100,LC-20260715-003,art_c639cfebdbbe5edf,"Avalon Bay Planning Apartments, Retail in South Miami",https://www.connectcre.com/stories/avalon-bay-planning-apartments-retail-in-south-miami/,"Wed, 08 Jul 2026 14:36:56 +0000","Florida & Gulf Coast CRE News In Your Inbox. Sign up for Connect emails to stay informed with CRE stories that are 150 words or less. Florida & Gulf Coast + South Florida + Apartments | July 8, 2026 By: Mike Boyd Avalon Bay Planning Apartments, Retail in South Miami Avalon Bay Communities purchased a full city block in South Miami, clearing the way for a mixed-use community. AvalonBay acquired the approximately 1.18-acre site from longtime owner Robins Plaza for a base purchase price of $22 mill",valid,title/source/url metadata are internally consistent,Development Activity,GP / Capital Activity,repeat_penalized,,,,,2026-07-08,2026-07-15,7,fresh_0_3d,fresh,published date parsed; article age 7 day(s),58,open,,,,"Acquisition - Miami / Florida - Avalon Bay Planning Apartments, Retail in South Miami",Unknown,South Florida,Mixed-Use Residential,AvalonBay,cushman,Unknown Stage,excluded,transaction / capital guard: acquisition,Unknown Stage,Reappearing,21,100,Unknown Timing,Unknown,Unknown,Unknown,Unknown,General monitoring,Monitor lifecycle signal for repeated confirmation,Unknown Stage; Entitlement Play; No explicit timing reference,"Avalon Bay Planning Apartments, Retail in South Miami",Connect CRE South Florida,https://www.connectcre.com/stories/avalon-bay-planning-apartments-retail-in-south-miami/,High
2026-07-15,20260715-235936-5ac8e905,PRJ-20260715-0040,Development Start - Atlanta / Georgia - Financing Secured for Centennial Yards Mixed-Use Project,100,LC-20260715-007,art_d7d8176bdd750a59,Financing Secured for Centennial Yards Mixed-Use Project,https://www.connectcre.com/stories/financing-secured-for-centennial-yards-mixed-use-project/,"Mon, 13 Jul 2026 14:23:26 +0000","Atlanta & Southeast News In Your Inbox Sign up for Connect emails to stay informed with CRE stories that are 150 words or less. Atlanta & Southeast + Atlanta + Apartments | July 13, 2026 By: Mike Boyd Financing Secured for Centennial Yards Mixed-Use Project Centennial Yards Co. plans to build a 12-story building with approximately 280 apartments, 62,000 square feet of retail space and a 509-space parking garage. A CIM Group subsidiary is still ironing out last minute details before construction ",valid,title/source/url metadata are internally consistent,Development Activity,GP / Capital Activity,acceptable_repeat,,,,,2026-07-13,2026-07-15,2,fresh_0_3d,fresh,published date parsed; article age 2 day(s),74,open,,,,Development Start - Atlanta / Georgia - Financing Secured for Centennial Yards Mixed-Use Project,Unknown,Atlanta,Mixed-Use Residential,CIM Group,Unknown,Construction Ready,excluded,transaction / capital guard: financing,Construction Ready,Reappearing,13,100,Unknown Timing,Low,Medium,Medium,Low,High relevance to development timing,"Monitor permit issuance, financing, and construction-start timing",Construction Ready; Development Start; No explicit timing reference,Financing Secured for Centennial Yards Mixed-Use Project,Connect CRE Atlanta,https://www.connectcre.com/stories/financing-secured-for-centennial-yards-mixed-use-project/,High
2026-07-15,20260715-235936-5ac8e905,PRJ-20260715-0040,Development Start - Atlanta / Georgia - Financing Secured for Centennial Yards Mixed-Use Project,100,LC-20260715-043,art_d7d8176bdd750a59,Financing Secured for Centennial Yards Mixed-Use Project,https://www.connectcre.com/stories/financing-secured-for-centennial-yards-mixed-use-project/,"Mon, 13 Jul 2026 14:23:26 +0000","Atlanta & Southeast News In Your Inbox Sign up for Connect emails to stay informed with CRE stories that are 150 words or less. Atlanta & Southeast + Atlanta + Apartments | July 13, 2026 By: Mike Boyd Financing Secured for Centennial Yards Mixed-Use Project Centennial Yards Co. plans to build a 12-story building with approximately 280 apartments, 62,000 square feet of retail space and a 509-space parking garage. A CIM Group subsidiary is still ironing out last minute details before construction ",valid,title/source/url metadata are internally consistent,Development Activity,GP / Capital Activity,acceptable_repeat,True,unit/site count: 12-story; execution milestone: construction start; project/asset term: project,high,Construction Start,2026-07-13,2026-07-15,2,fresh_0_3d,fresh,published date parsed; article age 2 day(s),74,open,,,,Financing Secured for Centennial Yards Mixed-Use Project,Atlanta / Georgia,Atlanta,Mixed-Use Residential,CIM Group,Unknown,Site Acquisition / Site Control,site_parcel_activity,site/parcel signal with project anchor: plans to build,Site Acquisition / Site Control,Reappearing,10,100,Unknown Timing,Low,Low,Low,Low,Relevant to acquisition / JV timing,Monitor lifecycle signal for repeated confirmation,Site Acquisition / Site Control; Acquisition / Site Control; 2026,Financing Secured for Centennial Yards Mixed-Use Project,Connect CRE Atlanta,https://www.connectcre.com/stories/financing-secured-for-centennial-yards-mixed-use-project/,High
2026-07-15,20260715-235936-5ac8e905,PRJ-20260715-0041,Disposition / Exit - Atlanta / Georgia - UDR Offloads Nashville Apartments After 31-Year Hold,100,LC-20260715-005,art_2fe7fa67804ad370,UDR Offloads Nashville Apartments After 31-Year Hold,https://www.connectcre.com/stories/covenant/,"Mon, 13 Jul 2026 15:00:34 +0000","Atlanta & Southeast News In Your Inbox Sign up for Connect emails to stay informed with CRE stories that are 150 words or less. Atlanta & Southeast + Tennessee + Texas + Apartments | July 13, 2026 By: Mike Boyd UDR Offloads Nashville Apartments After 31-Year Hold Covenant Capital Group paid $41.5 million for Legacy Hill, a 206-unit multifamily community in Nashville. Multihousing News reports UDR sold the property after 31 years of ownership. Walker & Dunlop facilitated the transaction through a",valid,title/source/url metadata are internally consistent,Development Activity,GP / Capital Activity,acceptable_repeat,,,,,2026-07-13,2026-07-15,2,fresh_0_3d,fresh,published date parsed; article age 2 day(s),74,open,,,,Disposition / Exit - Atlanta / Georgia - UDR Offloads Nashville Apartments After 31-Year Hold,Unknown,Atlanta,Apartment,UDR,Freddie Mac,Unknown Stage,excluded,transaction / capital guard: disposition,Unknown Stage,Reappearing,21,99,Unknown Timing,Unknown,Unknown,Unknown,Unknown,General monitoring,Monitor lifecycle signal for repeated confirmation,Unknown Stage; General Asset Signal; No explicit timing reference,UDR Offloads Nashville Apartments After 31-Year Hold,Connect CRE Texas,https://www.connectcre.com/stories/covenant/,High
2026-07-15,20260715-235936-5ac8e905,PRJ-20260715-0063,"General Project Signal - Dallas / Texas - Cushman & Wakefield Arranges $95.7M in Financing for Metro Houston, Dallas Affordable Hous...",100,LC-20260715-006,art_0a3d302ef501cf32,"Cushman & Wakefield Arranges $95.7M in Financing for Metro Houston, Dallas Affordable Housing Portfolio",https://rebusinessonline.com/cushman-wakefield-arranges-95-7m-in-financing-for-metro-houston-dallas-affordable-housing-portfolio/,2026-07-15T15:10:06Z,"Jennifer Campbell and Josh Hoffman of Cushman & Wakefield’s Houston office provided transactional support for Grove East (pictured). Grant Raymond and Asher Hall of the firm’s Dallas office did the same for Rowlett Station, along with Richard Kourbage of Greystone. Affordable Housing Loans Multifamily Texas Cushman & Wakefield Arranges $95.7M in Financing for Metro Houston, Dallas Affordable Housing Portfolio by Taylor Williams July 15, 2026 July 15, 2026 2 HUMBLE AND ROWLETT, TEXAS — Cushman & ",valid,title/source/url metadata are internally consistent,GP / Capital Activity,,new_or_fresh,,,,,2026-07-15,2026-07-15,,fresh_0_3d,fresh,published date parsed; article age 0 day(s),100,open,,,,"General Project Signal - Dallas / Texas - Cushman & Wakefield Arranges $95.7M in Financing for Metro Houston, Dallas Affordable Hous...",Unknown,Dallas,Affordable Housing,Greystone,cushman,Unknown Stage,excluded,transaction / capital guard: financing,,Reappearing,21,99,Unknown Timing,Unknown,Unknown,Unknown,Unknown,General monitoring,Monitor lifecycle signal for repeated confirmation,Unknown Stage; Affordable / Density Bonus Strategy; No explicit timing reference,"Cushman & Wakefield Arranges $95.7M in Financing for Metro Houston, Dallas Affordable Housing Portfolio",REBusiness Online,https://rebusinessonline.com/cushman-wakefield-arranges-95-7m-in-financing-for-metro-houston-dallas-affordable-housing-portfolio/,High
2026-07-15,20260715-235936-5ac8e905,PRJ-20260715-0095,JV / Partnership - Los Angeles / California - R.D. Olson Construction Builds Affordable Developments Advancing Warner Center 2035 Plan i...,80,LC-20260715-024,art_267b706ea9093533,Affordable housing starts work at 11031 Aqua Vista Street in Studio City,https://la.urbanize.city/post/affordable-housing-starts-work-11031-aqua-vista-street-studio-city,"Mon, 13 Jul 2026 13:10:00 +0000","Affordable housing starts work at 11031 Aqua Vista Street in Studio City | Urbanize LA Skip to main content Advertisement Advertisement One block north of the Los Angeles River in Studio City , two single-family homes have given way to a new affordable housing development, according to construction permits recently issued by the Department of Building and Safety. Rendering of Aqua Vista Street project Kevin Tsai Architecture The project site, located at 11031-11035 W. Aqua Vista Street , was app",valid,title/source/url metadata are internally consistent,Development Activity,Market Intelligence,acceptable_repeat,True,address/street: 11031 aqua vista street; site/parcel signal: site; project/asset term: project,high,Approval / Entitlement,2026-07-13,2026-07-15,2,fresh_0_3d,fresh,published date parsed; article age 2 day(s),62,access_limited,,,,Affordable housing starts work at 11031 Aqua Vista Street in Studio City,Los Angeles / California,Los Angeles,Affordable Housing,,Unknown,Building Permit / Construction Permit,approval_watch,matched permit,Building Permit / Construction Permit,Reappearing,10,99,Unknown Timing,Low,Low,Low,Low,High relevance to development timing,"Monitor permit issuance, financing, and construction-start timing",Building Permit / Construction Permit; Construction permit signal; Affordable / Density Bonus Strategy; No explicit timing reference,Affordable housing starts work at 11031 Aqua Vista Street in Studio City,Urbanize LA,https://la.urbanize.city/post/affordable-housing-starts-work-11031-aqua-vista-street-studio-city,High
