run_date,run_id,canonical_project_id,canonical_project_name,market,submarket,residential_sector,gp_or_developer,first_seen_date,last_seen_date,observation_count,source_count,lifecycle_stage_history,latest_lifecycle_stage,highest_opportunity_score,highest_risk_score,entitlement_signal_count,timing_signal_count,financing_signal_count,distress_signal_count,relationship_edge_count,progression_status,stall_risk_label,persistent_asset_score,woomi_asset_watch_priority,recommended_asset_memory_follow_up
2026-05-19,20260519-101015-3b20d522,PRJ-20260519-0092,"Disposition / Exit - Los Angeles - Quarterra Seeks Buyers For Almost 4,000 Apartments",California,Southern California,Apartment,Quarterra,2026-05-19,2026-05-19,5,5,Unknown Stage,Unknown Stage,100,32,0,0,0,0,0,Unknown,Low Stall Risk,90,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-05-19,20260519-101015-3b20d522,PRJ-20260519-0032,Office-to-Residential Conversion - California - Silicon Valley Initiative Partnership Receives $74.1M in Financing for Office-to-Residenti...,California,California,Office-to-Residential Conversion,Unknown,2026-05-19,2026-05-19,30,7,Site Acquisition / Site Control; Site Acquisition / Site Control; Site Acquisition / Site Control; Unknown Stage; Unknown Stage,Site Acquisition / Site Control,85,50,30,0,0,0,0,Persistent Same Stage,Medium Stall Risk,88,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-05-19,20260519-101015-3b20d522,PRJ-20260519-0023,"Office-to-Residential Conversion - Sun Belt - JLL Inks 70,000 SF of New Leases at Westside Paper Adaptive Reuse Development in Atlanta",Sun Belt,Atlanta,Office-to-Residential Conversion,Unknown,2026-05-19,2026-05-19,12,5,Site Acquisition / Site Control; Unknown Stage; Unknown Stage,Site Acquisition / Site Control,73,63,1,0,0,0,0,Persistent Same Stage,Medium Stall Risk,86,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-05-19,20260519-101015-3b20d522,PRJ-20260519-0055,Disposition / Exit - Los Angeles - Walker & Dunlop Offer High-Profile Ground-Up Mixed-Use Development Opportunity Adjacent to...,California,Los Angeles,Mixed-Use Residential,Unknown,2026-05-19,2026-05-19,24,3,Site Acquisition / Site Control; Site Acquisition / Site Control; Vertical Construction; Delivery / Opening; Unknown Stage; Delivery / Opening; Site Acquisition / Site Control; Planning Filed,Site Acquisition / Site Control,84,38,24,0,0,0,0,Persistent Same Stage,Low Stall Risk,83,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-05-19,20260519-101015-3b20d522,PRJ-20260519-0057,"Office-to-Residential Conversion - Sun Belt - JLL Inks 70,000 SF of New Leases at Westside Paper Adaptive Reuse Development in Atlanta",Other / Unknown,Los Angeles,Apartment,Unknown,2026-05-19,2026-05-19,53,7,Refinancing / Recapitalization; Unknown Stage; Site Acquisition / Site Control,Refinancing / Recapitalization,63,38,53,53,4,0,0,Persistent Same Stage,Low Stall Risk,80,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-05-19,20260519-101015-3b20d522,PRJ-20260519-0062,Ares Acquires Stake in Rover Pipeline from Blackstone Energy Transition Partners to Serve Growing Energy Demand Centers Across North America,New York,New York,General Residential,Blackstone,2026-05-19,2026-05-19,10,8,Unknown Stage,Unknown Stage,67,30,0,0,0,0,3,Unknown,Low Stall Risk,80,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-05-19,20260519-101015-3b20d522,PRJ-20260519-0064,JLL Capital Markets Announced They Arranged a $141.8M Refinancing for Premier Luxury Riverfront Multifamily Tower Wolf Point West in Chicago,New York,New York,Multifamily,Hines,2026-05-19,2026-05-19,11,8,Refinancing / Recapitalization,Refinancing / Recapitalization,88,49,0,0,11,1,4,Persistent Same Stage,Low Stall Risk,79,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-05-19,20260519-101015-3b20d522,PRJ-20260519-0089,"Entitlement / Permitting - California - Formal Application Filed For Outer Richmond Safeway Redevelopment, San Francisco",California,San Francisco,Affordable Housing,Unknown,2026-05-19,2026-05-19,9,5,Planning Filed; Unknown Stage,Planning Filed,62,38,9,0,0,0,0,Persistent Same Stage,Low Stall Risk,79,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-05-19,20260519-101015-3b20d522,PRJ-20260519-0038,General Project Signal - Sun Belt - Grand Opening Celebration for Affordable Housing Development Palladium Park Row in the Kat...,Sun Belt,Houston,Affordable Housing,Unknown,2026-05-19,2026-05-19,4,4,Delivery / Opening,Delivery / Opening,82,33,0,0,0,0,0,Mature / Operating,Low Stall Risk,79,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
2026-05-19,20260519-101015-3b20d522,PRJ-20260519-0069,"Acquisition - Sun Belt - 11North Acquires 285,497 SF Grocery-Anchored Retail Center in Altamonte Springs, Florida",Sun Belt,Orlando,General Residential,Unknown,2026-05-19,2026-05-19,7,4,Site Acquisition / Site Control; Unknown Stage,Site Acquisition / Site Control,53,37,0,0,0,0,0,Persistent Same Stage,Low Stall Risk,76,Priority Asset Watch,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes"
