run_date,run_id,run_timestamp,pattern_type,entity_name,market_or_region,residential_sector,first_seen_date,last_seen_date,observation_count,current_run_signal_count,recurring_lender_score,recurring_capital_partner_score,refinancing_frequency,construction_financing_frequency,capital_flow_direction,debt_market_stress_label,capital_rotation_signal,capital_flow_strength_score
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Market-Level Capital Concentration,Arizona,Arizona,Apartment,2026-05-22,2026-06-01,10,1,0,0,0,0,Stable,No Clear Stress,Stable capital pattern,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Recurring Lender,Berkadia,Sun Belt,Apartment,2026-05-19,2026-06-01,19,1,100,0,0,0,Stable,No Clear Stress,Stable capital pattern,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Recurring Lender,Berkadia,Florida,Multifamily,2026-05-29,2026-06-01,4,1,80,0,4,0,Stable,Refinancing Stress Watch,Stable capital pattern,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Recurring Lender,Berkadia,Florida,Apartment,2026-05-19,2026-06-01,19,1,100,0,0,0,Stable,No Clear Stress,Stable capital pattern,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Institutional Capital Flow,Blackstone,New York,General Residential,2026-05-19,2026-06-01,8,1,0,100,0,0,Stable,No Clear Stress,Stable capital pattern,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Recurring Capital Partner,Blackstone,Sun Belt,General Residential,2026-05-20,2026-05-27,11,0,0,100,0,0,Fading,No Clear Stress,Capital flow fading,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Recurring Capital Partner,Blackstone,New York,General Residential,2026-05-19,2026-05-28,19,0,0,100,0,0,Fading,No Clear Stress,Capital flow fading,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Market-Level Capital Concentration,California,California,General Residential,2026-05-19,2026-06-01,24,1,0,0,0,0,Stable,No Clear Stress,Stable capital pattern,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Market-Level Capital Concentration,California,California,Affordable Housing,2026-05-19,2026-06-01,41,1,0,0,3,0,Stable,Refinancing Stress Watch,Stable capital pattern,100
2026-06-01,20260601-003555-0e25506b,2026-06-01 00:35:55,Market-Level Capital Concentration,California,California,Apartment,2026-05-19,2026-06-01,74,3,0,0,4,19,Stable,Refinancing Stress Watch,Stable capital pattern,100
