run_date,run_id,run_timestamp,duplicate_cluster_id,deal_fingerprint_id,duplicate_count,primary_reference_article,duplicate_articles,deduplicated_opportunity_score,deduplicated_distress_score,opportunities_before_deduplication,distress_before_deduplication,opportunities_removed_via_deduplication,distress_inflation_prevented,multi_source_confirmation,strongest_opportunity_type,strongest_distress_type,market,residential_sector
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DCL-20260519-002,DFP-9D4BE7E23D,2,JLL Capital Markets Announced They Arranged a $141.8M Refinancing for Premier Luxury Riverfront Multifamily Tower Wolf Point West in Chicago,JLL Capital Markets Announced They Arranged a $141.8M Refinancing for Premier Luxury Riverfront Multifamily Tower Wolf Point West in Chicago,89,67,1,1,0,0,Yes,Refinancing Gap,,New York,Multifamily
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DCL-20260519-004,DFP-13A7FFFEF3,2,Barings Refis Williamsburg Wharf With $374M Loan,Barings Refis Williamsburg Wharf With $374M Loan,66,63,1,1,0,0,Yes,Refinancing Gap,,New York,Apartment
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DCL-20260519-014,DFP-B423548E0E,2,Dermot Co. Receives $355M Loan for Refinancing of Upper Manhattan Apartment Tower,Dermot Co. Receives $355M Loan for Refinancing of Upper Manhattan Apartment Tower,64,60,1,1,0,0,Yes,Refinancing Gap,,New York,Affordable Housing
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DCL-20260519-011,DFP-8FE3CCA55B,2,Cypress Equity Investments gets $170M loan for two Santa Monica projects,Cypress Equity Investments gets $170M loan for two Santa Monica projects,61,56,1,1,0,0,Yes,Construction Financing Gap,,Other / Unknown,Affordable Housing
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DCL-20260519-012,DFP-8AA95D8D20,2,"Merchants Capital, New York City Provide $42M for Brooklyn Affordable Housing","Merchants Capital, New York City Provide $42M for Brooklyn Affordable Housing",60,57,1,1,0,0,Yes,Construction Financing Gap,,New York,Affordable Housing
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DCL-20260519-001,DFP-EACCB786F9,1,"Quarterra Seeks Buyers For Almost 4,000 Apartments","Quarterra Seeks Buyers For Almost 4,000 Apartments",91,0,1,0,0,0,No,LA / California Entitlement Opportunity,,Los Angeles,Apartment
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DCL-20260519-013,DFP-F91931423B,1,High Street Residential and Camden Property Trust Advance Durham North Carolina Apartment Community Toward Construction,High Street Residential and Camden Property Trust Advance Durham North Carolina Apartment Community Toward Construction,78,0,1,0,0,0,No,LA / California Entitlement Opportunity,,Other / Unknown,Apartment
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DCL-20260519-025,DFP-9987D34F99,1,Ares Acquires Stake in Rover Pipeline from Blackstone Energy Transition Partners to Serve Growing Energy Demand Centers Across North America,Ares Acquires Stake in Rover Pipeline from Blackstone Energy Transition Partners to Serve Growing Energy Demand Centers Across North America,72,0,1,0,0,0,No,GP Capability Partnership Opportunity,,New York,General Residential
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DCL-20260519-003,DFP-E2807E3CD9,1,Silicon Valley Initiative Partnership Receives $74.1M in Financing for Office-to-Residential Conversion Project in San Jose,Silicon Valley Initiative Partnership Receives $74.1M in Financing for Office-to-Residential Conversion Project in San Jose,67,0,1,0,0,0,No,LA / California Entitlement Opportunity,,California,Office-to-Residential Conversion
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DCL-20260519-006,DFP-1DCE0BE63E,1,Site prep underway for affordable housing at 4301 S. Vermont Ave.,Site prep underway for affordable housing at 4301 S. Vermont Ave.,67,0,1,0,0,0,No,LA / California Entitlement Opportunity,,Los Angeles,Affordable Housing
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DCL-20260519-007,DFP-76755E00AE,1,"Lendlease, Aware Super Open Habitat Mixed-Use Campus in Los Angeles","Lendlease, Aware Super Open Habitat Mixed-Use Campus in Los Angeles",66,0,1,0,0,0,No,JV / Partnership Gap,,Los Angeles,Mixed-Use Residential
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DCL-20260519-008,DFP-94DB6C92EC,1,California Transforms Oakland’s Fruitvale Community with Cleanup of Polluted Land for Affordable Housing,California Transforms Oakland’s Fruitvale Community with Cleanup of Polluted Land for Affordable Housing,66,0,1,0,0,0,No,LA / California Entitlement Opportunity,,California,Affordable Housing
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DCL-20260519-005,DFP-E5C1F3D551,1,96 apartments + retail proposed at 8871 W. Venice Blvd.,96 apartments + retail proposed at 8871 W. Venice Blvd.,66,0,1,0,0,0,No,LA / California Entitlement Opportunity,,Los Angeles,Mixed-Use Residential
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DCL-20260519-010,DFP-FE5D8A76B5,1,WMC Commercial Buys Upland Village Green Multifamily Property in California for $48.5M,WMC Commercial Buys Upland Village Green Multifamily Property in California for $48.5M,65,0,1,0,0,0,No,Acquisition Opportunity,,California,Apartment
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DCL-20260519-015,DFP-D23B30B939,1,New proposal emerges for affordable housing at 1316 Linwood Ave. in Westlake,New proposal emerges for affordable housing at 1316 Linwood Ave. in Westlake,64,0,1,0,0,0,No,LA / California Entitlement Opportunity,,Los Angeles,Affordable Housing
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DCL-20260519-009,DFP-2CAF362E10,1,"Cushman & Wakefield Brokers $26.4M Sale of Build-to-Rent Community in Matteson, Illinois","Cushman & Wakefield Brokers $26.4M Sale of Build-to-Rent Community in Matteson, Illinois",62,0,1,0,0,0,No,BTR / SFR Platform Opportunity,,Other / Unknown,BTR / Single-Family Rental
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DCL-20260519-017,DFP-5DBE6B5616,1,Walker & Dunlop Offer High-Profile Ground-Up Mixed-Use Development Opportunity Adjacent to USC Los Angeles,Walker & Dunlop Offer High-Profile Ground-Up Mixed-Use Development Opportunity Adjacent to USC Los Angeles,62,0,1,0,0,0,No,LA / California Entitlement Opportunity,,Los Angeles,Mixed-Use Residential
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DCL-20260519-019,DFP-042A2574DE,1,The Broad's $100M expansion tops out in DTLA,The Broad's $100M expansion tops out in DTLA,62,0,1,0,0,0,No,LA / California Entitlement Opportunity,,Los Angeles,General Residential
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DCL-20260519-026,DFP-9F410DFCA7,1,"Demolition Permits Filed For 772 Pacific Avenue in Chinatown, San Francisco","Demolition Permits Filed For 772 Pacific Avenue in Chinatown, San Francisco",60,0,1,0,0,0,No,LA / California Entitlement Opportunity,,California,Affordable Housing
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DCL-20260519-027,DFP-7A232CDB3F,1,"Formal Application Filed For Outer Richmond Safeway Redevelopment, San Francisco","Formal Application Filed For Outer Richmond Safeway Redevelopment, San Francisco",60,0,1,0,0,0,No,LA / California Entitlement Opportunity,,California,Affordable Housing
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DCL-20260519-024,DFP-151B6BFC0E,1,"Taylor Yard wetland takes shape, General Hospital update, and more","Taylor Yard wetland takes shape, General Hospital update, and more",60,0,1,0,0,0,No,LA / California Entitlement Opportunity,,Los Angeles,Mixed-Use Residential
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DCL-20260519-016,DFP-9B5E4572DC,1,Milburn & Company Acquires Luxury 339-Unit Multifamily Community Ascend at Longbow Highpoint in Mesa,Milburn & Company Acquires Luxury 339-Unit Multifamily Community Ascend at Longbow Highpoint in Mesa,59,0,1,0,0,0,No,Acquisition Opportunity,,Sun Belt,Multifamily
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DCL-20260519-028,DFP-F1AB7E0BEA,1,Soaring above the 17-acre One Beverly Hills site,Soaring above the 17-acre One Beverly Hills site,59,0,1,0,0,0,No,LA / California Entitlement Opportunity,,Los Angeles,General Residential
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DCL-20260519-029,DFP-881AC4FB21,1,Southern Land Company Launches Mortgage Division,Southern Land Company Launches Mortgage Division,58,0,1,0,0,0,No,LA / California Entitlement Opportunity,,California,General Residential
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DCL-20260519-018,DFP-1A7EB24AD5,1,"11North Acquires 285,497 SF Grocery-Anchored Retail Center in Altamonte Springs, Florida","11North Acquires 285,497 SF Grocery-Anchored Retail Center in Altamonte Springs, Florida",57,0,1,0,0,0,No,Acquisition Opportunity,,Sun Belt,General Residential
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DCL-20260519-021,DFP-24D7ED898F,1,Grand Opening Celebration for Affordable Housing Development Palladium Park Row in the Katy Area of Houston,Grand Opening Celebration for Affordable Housing Development Palladium Park Row in the Katy Area of Houston,57,0,1,0,0,0,No,Affordable / Workforce Housing Opportunity,,Sun Belt,Affordable Housing
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DCL-20260519-020,DFP-D6F2B10DF2,1,13th Floor Secures $47M Loan and Breaks Ground on 222-Unit Venture on the Trail Multifamily Development in Greenville South Carolina,13th Floor Secures $47M Loan and Breaks Ground on 222-Unit Venture on the Trail Multifamily Development in Greenville South Carolina,57,0,1,0,0,0,No,Land / Pipeline Opportunity,,Sun Belt,Mixed-Use Residential
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DCL-20260519-022,DFP-FC4009DE78,1,"Struggling To Find Equity, Developers Pull Back On New Builds","Struggling To Find Equity, Developers Pull Back On New Builds",56,0,1,0,0,0,No,Land / Pipeline Opportunity,,Sun Belt,Multifamily
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DCL-20260519-023,DFP-B6B185818D,1,"JLL Inks 70,000 SF of New Leases at Westside Paper Adaptive Reuse Development in Atlanta","JLL Inks 70,000 SF of New Leases at Westside Paper Adaptive Reuse Development in Atlanta",56,0,1,0,0,0,No,Office-to-Residential Conversion Opportunity,,Sun Belt,Office-to-Residential Conversion
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DCL-20260519-030,DFP-2F6D8F65F6,1,Missing Middle Weakness,Missing Middle Weakness,55,0,1,0,0,0,No,Land / Pipeline Opportunity,,Other / Unknown,Apartment
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DCL-20260519-031,DFP-57A3A9A4F0,1,Shorter Apartment Construction Time in 2024,Shorter Apartment Construction Time in 2024,54,0,1,0,0,0,No,LA / California Entitlement Opportunity,,Other / Unknown,Apartment
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DCL-20260519-032,DFP-9BE950B8DB,1,Walker & Dunlop Arranges Equity Syndication for Colorado Affordable Multifamily Community Verrbena in Denver,Walker & Dunlop Arranges Equity Syndication for Colorado Affordable Multifamily Community Verrbena in Denver,53,0,1,0,0,0,No,Affordable / Workforce Housing Opportunity,,Other / Unknown,Affordable Housing
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DCL-20260519-033,DFP-C96F67339E,1,Builders Stay Cautious as Single-Family Permits Weaken,Builders Stay Cautious as Single-Family Permits Weaken,53,0,1,0,0,0,No,LA / California Entitlement Opportunity,,Other / Unknown,Multifamily
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DCL-20260519-038,DFP-BE4F6DEBA7,1,"Preliminary Permits Filed For 3350 West Bayshore Road, Palo Alto","Preliminary Permits Filed For 3350 West Bayshore Road, Palo Alto",52,0,1,0,0,0,No,LA / California Entitlement Opportunity,,Other / Unknown,Apartment
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DCL-20260519-034,DFP-B90543DC0D,1,Fourth Quarter 2025 Multifamily Construction Data,Fourth Quarter 2025 Multifamily Construction Data,52,0,1,0,0,0,No,Land / Pipeline Opportunity,,Other / Unknown,Multifamily
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DCL-20260519-035,DFP-6508E5D9F9,1,Major Development Groundbreaking on Landmark Multifamily Mixed-Use Community The Piazza at Ardmore in Philadelphia,Major Development Groundbreaking on Landmark Multifamily Mixed-Use Community The Piazza at Ardmore in Philadelphia,52,0,1,0,0,0,No,Land / Pipeline Opportunity,,Other / Unknown,Mixed-Use Residential
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DCL-20260519-036,DFP-929C698B57,1,Overall Housing Starts Inch Lower in 2025,Overall Housing Starts Inch Lower in 2025,52,0,1,0,0,0,No,Land / Pipeline Opportunity,,Other / Unknown,Multifamily
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DCL-20260519-037,DFP-9635218EA1,1,Third Quarter 2025 Multifamily Construction Data,Third Quarter 2025 Multifamily Construction Data,52,0,1,0,0,0,No,Land / Pipeline Opportunity,,Other / Unknown,Multifamily
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DCL-20260519-039,DFP-AE0C2C64AA,1,Multifamily Absorption Rate Remains Below 50%,Multifamily Absorption Rate Remains Below 50%,51,0,1,0,0,0,No,Land / Pipeline Opportunity,,Other / Unknown,Apartment
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,DCL-20260519-041,DFP-428AB2DAAB,1,Build-to-rent sale mandate cut from House’s ROAD to Housing bill,Build-to-rent sale mandate cut from House’s ROAD to Housing bill,50,0,1,0,0,0,No,BTR / SFR Platform Opportunity,,Other / Unknown,BTR / Single-Family Rental
