run_date,run_id,run_timestamp,deal_fingerprint_id,duplicate_cluster_id,fingerprint_confidence,canonical_project_name,canonical_deal_name,canonical_event_name,deal_type,market,residential_sector,canonical_gp_or_developer,canonical_lender_or_debt_provider,unit_count,dollar_amount,loan_amount,source_count,article_count,duplicate_count,sources,article_titles,markets_detected,highest_deal_signal_score
2026-09-02,20260902-005110-60e6acea,2026-09-02 00:51:10,DFP-7BF2FDE2D0,DCL-20260902-004,90,Acquisition - California - Tishman Speyer Acquires 376-Unit Anaheim Rental Community,Acquisition - Acquisition - California - Tishman Speyer Acquires 376-Unit Anaheim Rental Community,Acquisition - Freddie Mac - California,Acquisition,California,Apartment,Freddie Mac,Freddie Mac,,$88 million,$88 million,1,1,1,Connect CRE Apartments,Tishman Speyer Acquires 376-Unit Anaheim Rental Community,California,89
2026-09-02,20260902-005110-60e6acea,2026-09-02 00:51:10,DFP-1896018B02,DCL-20260902-019,90,"Construction Financing - Miami / Florida - Gatsby Florida Inks $118.6M Construction Loan for Palm Beach Gardens Offices, Retail","Construction Financing - Construction Financing - Miami / Florida - Gatsby Florida Inks $118.6M Construction Loan for Palm Beach Gardens Offices, Retail",Construction Financing - Berkadia - Berkadia - Sun Belt,Construction Financing,Miami / Florida,General Residential,Berkadia,Berkadia,,$118.6M; $118.6M; $118.6 million,$118.6M,1,1,1,Connect CRE South Florida,"Gatsby Florida Inks $118.6M Construction Loan for Palm Beach Gardens Offices, Retail",Miami / Florida,69
2026-09-02,20260902-005110-60e6acea,2026-09-02 00:51:10,DFP-2FDB9F2F5E,DCL-20260902-006,90,Disposition / Exit - Riverside / California - CBRE Brokers Sale of Vintage Redlands Apartments,Disposition / Exit - Disposition / Exit - Riverside / California - CBRE Brokers Sale of Vintage Redlands Apartments,Disposition / Exit - CBRE - California,Disposition / Exit,Riverside / California,Apartment,CBRE,CBRE,,$12; $228; $144,,1,1,1,Connect CRE California,CBRE Brokers Sale of Vintage Redlands Apartments,Riverside / California,81
2026-09-02,20260902-005110-60e6acea,2026-09-02 00:51:10,DFP-546DB6C89D,DCL-20260902-007,90,Disposition / Exit - Los Angeles / California - Torrance Apartments Trade for $350K/Unit,Disposition / Exit - Disposition / Exit - Los Angeles / California - Torrance Apartments Trade for $350K/Unit,Disposition / Exit - CBRE - Los Angeles,Disposition / Exit,Los Angeles / California,Apartment,CBRE,CBRE,,$350; $350; $21 million,,1,1,1,Connect CRE California,Torrance Apartments Trade for $350K/Unit,Los Angeles / California,81
2026-09-02,20260902-005110-60e6acea,2026-09-02 00:51:10,DFP-0238CFD982,DCL-20260902-015,90,Disposition / Exit - Miami / Florida - Cortland Offloads 812 West Palm Beach Apartment Units for $208M,Disposition / Exit - Disposition / Exit - Miami / Florida - Cortland Offloads 812 West Palm Beach Apartment Units for $208M,Disposition / Exit - Fairfield Residential - Sun Belt,Disposition / Exit,Miami / Florida,Apartment,Fairfield Residential,Unknown,812 apartments,$208M; $208M; $208 million,,1,1,1,Connect CRE South Florida,Cortland Offloads 812 West Palm Beach Apartment Units for $208M,Miami / Florida,72
2026-09-02,20260902-005110-60e6acea,2026-09-02 00:51:10,DFP-0B7CCD610A,DCL-20260902-010,90,General Project Signal - Miami / Florida - SCALE Lending Provides $245M Loan for First Phase of Upland Park Apartments in Miami,General Project Signal - General Project Signal - Miami / Florida - SCALE Lending Provides $245M Loan for First Phase of Upland Park Apartments in Miami,General Project Signal - Greystar - Sun Belt,General Project Signal,Miami / Florida,Mixed-Use Residential,Greystar,Unknown,"2,000 apartments",$245M; $245M; $245 million,$245M,1,1,1,REBusiness Online,SCALE Lending Provides $245M Loan for First Phase of Upland Park Apartments in Miami,Miami / Florida,77
2026-09-02,20260902-005110-60e6acea,2026-09-02 00:51:10,DFP-B273300EB5,DCL-20260902-003,90,JV / Partnership - California - Newmark Arranges Fannie Mae Loan on San Clemente Active-Adult Complex,JV / Partnership - JV / Partnership - California - Newmark Arranges Fannie Mae Loan on San Clemente Active-Adult Complex,JV / Partnership - Fannie Mae - California,JV / Partnership,California,Apartment,Fannie Mae,Fannie Mae,,$58; $58,$58,1,1,1,Connect CRE Orange County,Newmark Arranges Fannie Mae Loan on San Clemente Active-Adult Complex,California,90
2026-09-02,20260902-005110-60e6acea,2026-09-02 00:51:10,DFP-C95FAF698D,DCL-20260902-005,90,Refinancing - Tampa / Florida - Walton Street Capital Refis Tampa-Area Apartments With $44M Loan,Refinancing - Refinancing - Tampa / Florida - Walton Street Capital Refis Tampa-Area Apartments With $44M Loan,Refinancing - Berkadia - Berkadia - Sun Belt,Refinancing,Tampa / Florida,Apartment,Berkadia,Berkadia,,$44M; $44M; $44m,$44M,1,1,1,Commercial Observer,Walton Street Capital Refis Tampa-Area Apartments With $44M Loan,Tampa / Florida,85
2026-09-02,20260902-005110-60e6acea,2026-09-02 00:51:10,DFP-1D30DF7BD9,DCL-20260902-021,90,Refinancing - Miami / Florida - Investor Team Scores $53.5M Refi on Doral Center Offices,Refinancing - Refinancing - Miami / Florida - Investor Team Scores $53.5M Refi on Doral Center Offices,Refinancing - CBRE - CBRE - Sun Belt,Refinancing,Miami / Florida,General Residential,CBRE,CBRE,,$53.5M; $53.5M; $53.5 million,$53.5M,1,1,1,Connect CRE South Florida,Investor Team Scores $53.5M Refi on Doral Center Offices,Miami / Florida,68
2026-09-02,20260902-005110-60e6acea,2026-09-02 00:51:10,DFP-DE4934F3DE,DCL-20260902-001,90,Refinancing - California - Greystone Provides Fannie Mae Refi on San Diego Mixed-Income,Refinancing - Refinancing - California - Greystone Provides Fannie Mae Refi on San Diego Mixed-Income,Refinancing - Greystone - Fannie Mae - California,Refinancing,California,Affordable Housing,Greystone,Fannie Mae,,$46.79; $46.79,$46.79,1,1,1,Connect CRE California,Greystone Provides Fannie Mae Refi on San Diego Mixed-Income,California,93
