run_date,run_id,run_timestamp,canonical_source_entity,canonical_target_entity,relationship_type,market,deal_type,first_seen_date,last_seen_date,repeat_interaction_count,relationship_persistence_score,partnership_stability_label,strategic_relationship_label,capital_alignment_label,relationship_momentum,current_run_signal_count
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Acquisition - National - Core Spaces Closes $1.6B Student Housing Fund,U.S.,Acquisition / Buyer,National,Acquisition,2026-05-18,2026-05-18,19,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,"Acquisition - Other / Unknown - Chozick Realty Arranges $3M Sale of Student Housing Building in Mansfield, Connecticut","Acquisition - Other / Unknown - Chozick Realty Arranges $3M Sale of Student Housing Building in Mansfield, Connecticut",Acquisition / Buyer,Other / Unknown,Acquisition,2026-05-18,2026-05-18,17,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,"Acquisition - Other / Unknown - Colliers Brokers Sale of 321,000 SF Office Building in Kansas City","Acquisition - Other / Unknown - Colliers Brokers Sale of 321,000 SF Office Building in Kansas City",Acquisition / Buyer,Other / Unknown,Acquisition,2026-05-18,2026-05-18,17,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Acquisition - Other / Unknown - Mapletree Pays $100M for 97-Acre Future Logistics Site in Central Jersey,JLL,Financing Relationship,Other / Unknown,Acquisition,2026-05-14,2026-05-14,24,100,Durable,Strategic Relationship Watch,Aligned Capital Relationship,Fading,0
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,Alliance Residential,Sun Belt,Acquisition / Buyer,Sun Belt,Acquisition,2026-05-18,2026-05-18,51,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,BTR / Build-to-Rent - National - Cushman & Wakefield Brokers $26.4M Sale of 108-Home Built-to-Rent Multifamily Community Th...,cushman,Financing Relationship,National,BTR / Build-to-Rent,2026-05-18,2026-05-18,19,100,Durable,Strategic Relationship Watch,Aligned Capital Relationship,Fading,0
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,BTR / Build-to-Rent - National - Cushman & Wakefield Brokers $26.4M Sale of 108-Home Built-to-Rent Multifamily Community Th...,National,Market Expansion,National,BTR / Build-to-Rent,2026-05-18,2026-05-18,19,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,BTR / Build-to-Rent - National - Trump Pushes House To Pass Housing Bill With BTR Forced-Sale Provision,National,Market Expansion,National,BTR / Build-to-Rent,2026-05-14,2026-05-14,24,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,BTR / Build-to-Rent - Other / Unknown - Build-to-rent sale mandate cut from House’s ROAD to Housing bill,BTR / Build-to-Rent - Other / Unknown - Build-to-rent sale mandate cut from House’s ROAD to Housing bill,Innovation / Construction Strategy,Other / Unknown,BTR / Build-to-Rent,2026-05-18,2026-05-19,26,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Stable,1
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,"BTR / Build-to-Rent - Other / Unknown - Cushman & Wakefield Brokers $26.4M Sale of Build-to-Rent Community in Matteson, Illinois",cushman,Financing Relationship,Other / Unknown,BTR / Build-to-Rent,2026-05-19,2026-05-19,7,100,Durable,Strategic Relationship Watch,Aligned Capital Relationship,Stable,1
2026-05-19,20260519-101015-3b20d522,2026-05-19 10:10:15,BTR / Build-to-Rent - Other / Unknown - JV Breaks Ground on South Carolina BTR Community,BTR / Build-to-Rent - Other / Unknown - JV Breaks Ground on South Carolina BTR Community,Innovation / Construction Strategy,Other / Unknown,BTR / Build-to-Rent,2026-05-14,2026-05-18,6,100,Durable,Strategic Relationship Watch,No Clear Capital Alignment,Fading,0
