run_date,run_id,run_timestamp,la_submarket,article_count,deal_count,entitlement_signal_count,opportunity_count,distress_signal_count,timing_signal_count,residential_sector_focus,entitlement_theme,site_strategy_theme,local_gp_or_developer,project_or_deal_reference,la_opportunity_score,la_execution_risk_score,entitlement_precedent_signal,potential_woomi_site_strategy,recommended_local_follow_up,confidence_level
2026-06-12,20260612-002041-06ed6325,2026-06-12 00:20:41,Los Angeles,10,5,3,0,0,0,Affordable Housing,CEQA / Environmental Review,Downtown infill,Unknown,230 apartments unwrapped at 640 S. St. Andrews Pl. in Koreatown; 77-unit affordable housing complex proposed at 8811 Reading Ave. in Westchester; Acquisition - Los Angeles / California - High-rise senior housing complex pitched for 6400 Canoga Ave. in Warner Center; Acquisition - Los Angeles / California - Rockpoint Scores Mid-Rise Apartment Property in Westwood; Affordable housing coming to 1150 Sunset Blvd. in Echo Park,89,52,Yes,Monitor only,Track local planning docket and entitlement precedent,High
2026-06-12,20260612-002041-06ed6325,2026-06-12 00:20:41,Santa Ana,1,1,0,1,1,1,Apartment,General Entitlement Signal,General submarket monitoring,Unknown,Construction Financing - California - JLL Lines Up $144M Construction Loan for Santa Ana Multifamily; JLL Lines Up $144M Construction Loan for Santa Ana Multifamily,74,59,No,Orange County suburban apartment watch,Review potential acquisition pipeline,Medium
2026-06-12,20260612-002041-06ed6325,2026-06-12 00:20:41,Koreatown,1,1,1,1,0,2,Office-to-Residential Conversion,Office-to-Residential Conversion,Office conversion corridor,Unknown,230 apartments unwrapped at 640 S. St. Andrews Pl. in Koreatown; Office-to-Residential Conversion - Los Angeles / California - 230 apartments unwrapped at 640 S. St. Andrews Pl. in Koreatown,73,55,Yes,Koreatown multifamily watch,Track local planning docket and entitlement precedent,Medium
2026-06-12,20260612-002041-06ed6325,2026-06-12 00:20:41,Pasadena,1,1,1,1,0,1,Apartment,Entitlement Approval,General submarket monitoring,Unknown,Entitlement / Permitting - Other / Unknown - Infill housing slated for two sites in Pasadena; Infill housing slated for two sites in Pasadena,67,40,Yes,Pasadena entitlement precedent watch,Track local planning docket and entitlement precedent,Medium
2026-06-12,20260612-002041-06ed6325,2026-06-12 00:20:41,Glendale,1,1,1,1,0,1,Apartment,Entitlement Approval,Downtown infill,Unknown,Entitlement / Permitting - Los Angeles / California - Hotel Indigo on the rise at 515 N. Central Ave. in Glendale; Hotel Indigo on the rise at 515 N. Central Ave. in Glendale,67,30,Yes,Monitor only,Track local planning docket and entitlement precedent,Medium
2026-06-12,20260612-002041-06ed6325,2026-06-12 00:20:41,Chinatown,1,1,0,1,0,1,Affordable Housing,General Entitlement Signal,General submarket monitoring,Unknown,Modular / Construction Innovation - Los Angeles - Rendering vs. Reality: Modular housing complex at 1457 N. Main St. in Chinatown; Rendering vs. Reality: Modular housing complex at 1457 N. Main St. in Chinatown,63,30,No,Monitor only,Review potential acquisition pipeline,Medium
2026-06-12,20260612-002041-06ed6325,2026-06-12 00:20:41,Riverside,1,1,0,1,0,1,Mixed-Use Residential,General Entitlement Signal,Downtown infill,Unknown,Development Start - Riverside / California - Riverside Investment & Development Breaks Ground on West Loop Multifamily Development; Riverside Investment & Development Breaks Ground on West Loop Multifamily Development,61,30,No,Inland Empire BTR / rental housing watch,Review potential acquisition pipeline,Medium
2026-06-12,20260612-002041-06ed6325,2026-06-12 00:20:41,Echo Park,1,1,0,1,0,0,Affordable Housing,General Entitlement Signal,General submarket monitoring,Unknown,Affordable housing coming to 1150 Sunset Blvd. in Echo Park; General Project Signal - Los Angeles / California - Affordable housing coming to 1150 Sunset Blvd. in Echo Park,56,30,No,Monitor only,Review potential acquisition pipeline,Medium
2026-06-12,20260612-002041-06ed6325,2026-06-12 00:20:41,California,0,7,0,0,0,0,Affordable Housing,General Entitlement Signal,General submarket monitoring,Unknown,Disposition / Exit - California - Former Bank Branch Positioned as Development Opportunity in Garden Grove Sale; Disposition / Exit - California - Yorba Linda Parking Lot Sells for Townhome Redevelopment; General Project Signal - California - Here are California's affordable housing income limits for 2026; General Project Signal - California - JLL Arranges $252M Financing for Huntington Beach Seniors Project; General Project Signal - California - More housing added to proposed affordable development at 7220 Owensmouth Ave. in Canoga Pa...,56,20,No,Monitor only,Monitor only,Medium
2026-06-12,20260612-002041-06ed6325,2026-06-12 00:20:41,Orange County,5,0,0,0,0,0,Apartment,General Entitlement Signal,General submarket monitoring,Unknown,"Former Bank Branch Positioned as Development Opportunity in Garden Grove Sale; JLL Arranges $252M Financing for Huntington Beach Seniors Project; JLL Lines Up $144M Construction Loan for Santa Ana Multifamily; PEF Advisors, Freestone Capital Form JV to Recapitalize Affordable Properties; Yorba Linda Parking Lot Sells for Townhome Redevelopment",12,30,No,Orange County suburban apartment watch,Monitor only,Low
2026-06-12,20260612-002041-06ed6325,2026-06-12 00:20:41,Wilshire,2,0,0,0,0,0,Office-to-Residential Conversion,General Entitlement Signal,General submarket monitoring,Unknown,230 apartments unwrapped at 640 S. St. Andrews Pl. in Koreatown; Rockpoint Scores Mid-Rise Apartment Property in Westwood,12,30,No,Koreatown multifamily watch,Monitor only,Low
