run_date,run_id,canonical_project_id,canonical_project_name,project_identity_confidence,asset_signal_id,canonical_asset_or_project_name,raw_project_or_property_name,address_or_location_clue,intersection_or_corridor,neighborhood_or_submarket,city,state_or_region,residential_sector,asset_type,gp_or_developer,owner_or_sponsor,lender_or_capital_partner,entitlement_status,permit_status,construction_status,delivery_or_timing_reference,unit_count,dollar_amount,site_size_or_area,deal_or_project_type,asset_strategy_signal,site_control_signal,execution_stage,primary_development_category,primary_category_reason,asset_opportunity_score,asset_risk_score,woomi_asset_relevance,recommended_asset_follow_up,evidence_article_title,source,url,confidence_level
2026-05-23,20260523-230152-45df883f,PRJ-20260523-0112,"General Project Signal - California - AvalonBay, Equity Residential Merging to Form $69B Multifamily Giant",100,AST-20260523-025,"General Project Signal - California - AvalonBay, Equity Residential Merging to Form $69B Multifamily Giant","General Project Signal - California - AvalonBay, Equity Residential Merging to Form $69B Multifamily Giant",San Francisco,General submarket monitoring,San Francisco,Los Angeles,California,Apartment,Apartment,AvalonBay,AvalonBay,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,,$69B; $69B; $69b,,General Project Signal,General Asset Signal,Unknown site control,Unknown,excluded,no clear development milestone,100,32,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent","AvalonBay, Equity Residential Merging to Form $69B Multifamily Giant",Commercial Observer,https://commercialobserver.com/2026/05/avalonbay-equity-residential-merge-multifamily/,Medium
2026-05-23,20260523-230152-45df883f,PRJ-20260523-0071,Construction Financing - Other / Unknown - Eastern Bank Leads Financing for Wood Partners’ First Rhode Island Project,100,AST-20260523-040,Construction Financing - Other / Unknown - Eastern Bank Leads Financing for Wood Partners’ First Rhode Island Project,Construction Financing - Other / Unknown - Eastern Bank Leads Financing for Wood Partners’ First Rhode Island Project,Unknown,General submarket monitoring,Unknown,Los Angeles,Unknown,Apartment,Apartment,Wood Partners,Wood Partners,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,,$31; $31,,Construction Financing,General Asset Signal,Land / parcel referenced,Site Search / Early Signal,excluded,no clear development milestone,98,38,Relevant to underwriting benchmark,Monitor asset-level signal for repeated confirmation,Eastern Bank Leads Financing for Wood Partners’ First Rhode Island Project,Connect CRE,https://www.connectcre.com/stories/eastern-bank-leads-financing-for-wood-partners-first-rhode-island-project/,Medium
2026-05-23,20260523-230152-45df883f,PRJ-20260523-0080,"General Project Signal - National - AvalonBay, Equity Residential Strike Largest REIT Merger In U.S. History",100,AST-20260523-050,"General Project Signal - National - AvalonBay, Equity Residential Strike Largest REIT Merger In U.S. History","General Project Signal - National - AvalonBay, Equity Residential Strike Largest REIT Merger In U.S. History",National,General submarket monitoring,National,Los Angeles,Unknown,Apartment,Apartment,AvalonBay,AvalonBay,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,,$69B; $69b,,General Project Signal,General Asset Signal,Unknown site control,Unknown,excluded,no clear development milestone,96,24,Relevant to underwriting benchmark,Monitor asset-level signal for repeated confirmation,"AvalonBay, Equity Residential Strike Largest REIT Merger In U.S. History",Bisnow,https://www.bisnow.com/national/news/capital-markets/avalonbay-equity-residential-all-stock-merger-creating-180000-apartment-giant-134679,Medium
2026-05-23,20260523-230152-45df883f,PRJ-20260523-0029,Entitlement / Permitting - California - Affordable housing unwrapped at 611 S. Hobart Blvd. in Koreatown,80,AST-20260523-035,Entitlement / Permitting - California - Affordable housing unwrapped at 611 S. Hobart Blvd. in Koreatown,Entitlement / Permitting - California - Affordable housing unwrapped at 611 S. Hobart Blvd. in Koreatown,611 S. Hobart Blvd,General submarket monitoring,California,Los Angeles,California,Affordable Housing,Affordable Housing,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,301 apartments,,,Entitlement / Permitting,Affordable / Density Bonus Strategy,Project under entitlement,Unknown,approval_watch,matched permit,95,40,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",Affordable housing unwrapped at 611 S. Hobart Blvd. in Koreatown,Urbanize LA,https://la.urbanize.city/post/affordable-housing-unwrapped-611-s-hobart-blvd-koreatown,High
2026-05-23,20260523-230152-45df883f,PRJ-20260523-0081,Acquisition - National - Arbor Realty Trust Lends $125M on Chicago Apartments Acquisition,100,AST-20260523-030,Acquisition - National - Arbor Realty Trust Lends $125M on Chicago Apartments Acquisition,Acquisition - National - Arbor Realty Trust Lends $125M on Chicago Apartments Acquisition,National,General submarket monitoring,National,National,Unknown,Apartment,Apartment,Brookfield,Brookfield,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,,$125M; $125M; $125.3 million,,Acquisition,General Asset Signal,Existing asset sale,Unknown,excluded,no clear development milestone,87,26,Relevant to underwriting benchmark,Monitor asset-level signal for repeated confirmation,Arbor Realty Trust Lends $125M on Chicago Apartments Acquisition,Commercial Observer,https://commercialobserver.com/2026/05/arbor-realty-trust-chicago-apartments-ohare-airport/,Medium
2026-05-23,20260523-230152-45df883f,PRJ-20260523-0038,Disposition / Exit - Sun Belt - Charlotte Apartment Project Fetches $107M,100,AST-20260523-027,Disposition / Exit - Sun Belt - Charlotte Apartment Project Fetches $107M,Disposition / Exit - Sun Belt - Charlotte Apartment Project Fetches $107M,Atlanta,General submarket monitoring,Atlanta,Sun Belt,Sun Belt,Apartment,Apartment,Wood Partners,Wood Partners,northmarq,Unknown,Unknown,Unknown,No explicit timing reference,,$107M; $107M; $107 million,,Disposition / Exit,General Asset Signal,Existing asset sale,Unknown,excluded,excluded operating-asset disposition,87,26,Relevant to underwriting benchmark,Monitor asset-level signal for repeated confirmation,Charlotte Apartment Project Fetches $107M,Connect CRE Charlotte,https://www.connectcre.com/stories/charlotte-apartment-project-fetches-107m/,Medium
2026-05-23,20260523-230152-45df883f,PRJ-20260523-0052,Office-to-Residential Conversion - California - Historic Bank of Italy Building in San Jose to be Converted into Residential and Retail To...,80,AST-20260523-026,Construction Financing - California - JLL Lines Up $144M Construction Loan for Santa Ana Multifamily,Construction Financing - California - JLL Lines Up $144M Construction Loan for Santa Ana Multifamily,California,General submarket monitoring,California,Los Angeles,California,Apartment,Apartment,Unknown,Unknown,JLL,Unknown,Unknown,Unknown,No explicit timing reference,,$144M; $144M; $144,,Construction Financing,Refinancing / Recapitalization,Unknown site control,Unknown,excluded,excluded financing-only article: construction loan,86,67,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",JLL Lines Up $144M Construction Loan for Santa Ana Multifamily,Connect CRE Orange County,https://www.connectcre.com/stories/jll-lines-up-144m-construction-loan-for-santa-ana-multifamily/,Low
2026-05-23,20260523-230152-45df883f,PRJ-20260523-0005,Office-to-Residential Conversion - Los Angeles - Adaptive reuse planned for Westwood office tower at 10900 Wilshire Blvd.,80,AST-20260523-055,Office-to-Residential Conversion - Los Angeles - Adaptive reuse planned for Westwood office tower at 10900 Wilshire Blvd.,Office-to-Residential Conversion - Los Angeles - Adaptive reuse planned for Westwood office tower at 10900 Wilshire Blvd.,10900 Wilshire Blvd,Adaptive reuse corridor; Office conversion corridor,Los Angeles,Los Angeles,California,Office-to-Residential Conversion,Office-to-Residential,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,,,,Office-to-Residential Conversion,Office-to-Residential Conversion,Project under entitlement,Unknown,approval_watch,matched entitlement,86,50,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",Adaptive reuse planned for Westwood office tower at 10900 Wilshire Blvd.,Urbanize LA,https://la.urbanize.city/post/adaptive-reuse-planned-westwood-office-tower-10900-wilshire-blvd,Medium
2026-05-23,20260523-230152-45df883f,PRJ-20260523-0072,Office-to-Residential Conversion - Los Angeles - Adaptive reuse planned for Westwood office tower at 10900 Wilshire Blvd.,80,AST-20260523-028,Office-to-Residential Conversion - Los Angeles - Former IBM offices at 3424 Wilshire to become housing,Office-to-Residential Conversion - Los Angeles - Former IBM offices at 3424 Wilshire to become housing,Los Angeles,Office conversion corridor,Los Angeles,Los Angeles,California,Office-to-Residential Conversion,Office-to-Residential,Unknown,Unknown,Unknown,Unknown,Unknown,Completed / opened,completed,260 apartments,$60,,Office-to-Residential Conversion,Office-to-Residential Conversion,Unknown site control,Delivered / Lease-Up,construction_delivery_watch,matched completed,85,42,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",Former IBM offices at 3424 Wilshire to become housing,Urbanize LA,https://la.urbanize.city/post/former-ibm-offices-3424-wilshire-become-housing,Medium
2026-05-23,20260523-230152-45df883f,PRJ-20260523-0052,Office-to-Residential Conversion - California - Historic Bank of Italy Building in San Jose to be Converted into Residential and Retail To...,80,AST-20260523-033,Acquisition - California - Hudson Valley Property Group Expands California Presence with Elk Grove Acquisition,Acquisition - California - Hudson Valley Property Group Expands California Presence with Elk Grove Acquisition,California,General submarket monitoring,California,Los Angeles,California,Apartment,BTR / Single-Family Rental,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,,$83.6 million; $83.6 million,,Acquisition,General Asset Signal,Existing asset sale,Unknown,excluded,no clear development milestone,85,40,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",Hudson Valley Property Group Expands California Presence with Elk Grove Acquisition,Connect CRE,https://www.connectcre.com/stories/hudson-valley-property-group-expands-california-presence-with-elk-grove-acquisition/,Low
