run_date,run_id,canonical_project_id,canonical_project_name,project_identity_confidence,asset_signal_id,canonical_article_id,title,original_url,published,summary,article_integrity_status,article_integrity_reason,primary_display_section,secondary_display_sections,repeat_exposure_status,published_date_normalized,collected_date_normalized,article_age_days,freshness_bucket,freshness_status,freshness_reason,freshness_score,access_status,canonical_asset_or_project_name,raw_project_or_property_name,address_or_location_clue,intersection_or_corridor,neighborhood_or_submarket,city,state_or_region,residential_sector,asset_type,gp_or_developer,owner_or_sponsor,lender_or_capital_partner,entitlement_status,permit_status,construction_status,delivery_or_timing_reference,unit_count,dollar_amount,site_size_or_area,deal_or_project_type,asset_strategy_signal,site_control_signal,execution_stage,primary_development_category,primary_category_reason,asset_opportunity_score,asset_risk_score,woomi_asset_relevance,recommended_asset_follow_up,evidence_article_title,source,url,confidence_level
2026-06-01,20260601-020308-c84a5578,PRJ-20260601-0006,Entitlement / Permitting - California - Updated plan for apartments at 1238 Lincoln Blvd. in Santa Monica,100,AST-20260601-033,art_7ffcfcf412093268,Updated plan for apartments at 1238 Lincoln Blvd. in Santa Monica,https://la.urbanize.city/post/updated-plan-apartments-1238-lincoln-blvd-santa-monica,"Thu, 28 May 2026 13:10:00 +0000","Updated plan for apartments at 1238 Lincoln Blvd. in Santa Monica | Urbanize LA Skip to main content Advertisement Advertisement Lincoln Property Company is revamping its plans to building housing on the longtime site of the Boys & Girls Clubs of Santa Monica . A filing made in April for the property at 1238 Lincoln Boulevard reveals a new look for the project, with Patrick Tighe Architecture taking of design work for the new building. Plans now call for the construction of an eight-story buildi",valid,title/source/url metadata are internally consistent,Development Activity,,acceptable_repeat,2026-05-28,2026-06-01,4,recent_4_14d,usable_recent,published date parsed; article age 4 day(s),81,accessible,Entitlement / Permitting - California - Updated plan for apartments at 1238 Lincoln Blvd. in Santa Monica,Entitlement / Permitting - California - Updated plan for apartments at 1238 Lincoln Blvd. in Santa Monica,1238 Lincoln Blvd,General submarket monitoring,California,Los Angeles,California,Apartment,Apartment,Lincoln Property Company,Lincoln Property Company,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,,,,Entitlement / Permitting,Entitlement Play,Project under entitlement,Unknown,approval_watch,matched permit,100,32,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",Updated plan for apartments at 1238 Lincoln Blvd. in Santa Monica,Urbanize LA,https://la.urbanize.city/post/updated-plan-apartments-1238-lincoln-blvd-santa-monica,High
2026-06-01,20260601-020308-c84a5578,PRJ-20260601-0038,"JV / Partnership - California - PCCP, Alliance Residential Snap Up Garden-Style Riverside Complex",100,AST-20260601-028,art_fe740a152ba7cd5a,"PCCP, Alliance Residential Snap Up Garden-Style Riverside Complex",https://www.connectcre.com/stories/pccp-alliance-residential-snap-up-garden-style-riverside-complex/,"Fri, 29 May 2026 21:34:26 +0000","California CRE News In Your Inbox. Sign up for Connect emails to stay informed with CRE stories that are 150 words or less. California + Inland Empire + Apartments | May 29, 2026 By: Paul Bubny PCCP, Alliance Residential Snap Up Garden-Style Riverside Complex A joint venture between PCCP and Alliance Residential Company completed the $65.3-million acquisition of The Hawthorne, a 184-unit multifamily community located at 9170 Indiana Ave. in Riverside. The seller was not disclosed. Delivered in 2",valid,title/source/url metadata are internally consistent,Development Activity,GP / Capital Activity,repeat_penalized,2026-05-29,2026-06-01,3,fresh_0_3d,current,published date parsed; article age 3 day(s),40,accessible,"JV / Partnership - California - PCCP, Alliance Residential Snap Up Garden-Style Riverside Complex","JV / Partnership - California - PCCP, Alliance Residential Snap Up Garden-Style Riverside Complex",California,General submarket monitoring,California,Los Angeles,California,Apartment,Apartment,Alliance Residential,Alliance Residential,Unknown,Unknown,Unknown,Completed / opened,completed,,$65.3; $65.3,,JV / Partnership,Lease-Up / Delivery,Unknown site control,Delivered / Lease-Up,construction_delivery_watch,matched completed,98,23,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent","PCCP, Alliance Residential Snap Up Garden-Style Riverside Complex",Connect CRE,https://www.connectcre.com/stories/pccp-alliance-residential-snap-up-garden-style-riverside-complex/,Medium
2026-06-01,20260601-020308-c84a5578,PRJ-20260601-0028,Construction Financing - Los Angeles - Developer scores construction loan for mixed-use project at 8025 Santa Monica Blvd. in Wes...,80,AST-20260601-026,art_94ddbfdf53356ba5,Developer scores construction loan for mixed-use project at 8025 Santa Monica Blvd. in West Hollywood,https://la.urbanize.city/post/developer-scores-construction-loan-mixed-use-project-8025-santa-monica-blvd-west-hollywood,"Wed, 27 May 2026 13:15:00 +0000","Developer scores construction loan for mixed-use project at 8025 Santa Monica Blvd. in West Hollywood | Urbanize LA Skip to main content Advertisement Advertisement A local development firm has reportedly nabbed a $48-million construction loan for a new mixed-use building in West Hollywood. The project from Los Angeles-based Massachi , slated cor a corner lot at 8025 Santa Monica Boulevard, calls for the construction of a new seven-story building featuring 115 studio, one-, and two-bedroom dwell",valid,title/source/url metadata are internally consistent,Development Activity,GP / Capital Activity,acceptable_repeat,2026-05-27,2026-06-01,5,recent_4_14d,usable_recent,published date parsed; article age 5 day(s),62,accessible,Construction Financing - Los Angeles - Developer scores construction loan for mixed-use project at 8025 Santa Monica Blvd. in Wes...,Construction Financing - Los Angeles - Developer scores construction loan for mixed-use project at 8025 Santa Monica Blvd. in Wes...,8025 Santa Monica Blvd,Mixed-use corridor,Los Angeles,Los Angeles,California,Affordable Housing,Mixed-Use Residential,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,115 apartments,$48; $48,,Construction Financing,Refinancing / Recapitalization,Project under entitlement,Unknown,approval_watch,matched entitlement,96,67,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",Developer scores construction loan for mixed-use project at 8025 Santa Monica Blvd. in West Hollywood,Urbanize LA,https://la.urbanize.city/post/developer-scores-construction-loan-mixed-use-project-8025-santa-monica-blvd-west-hollywood,High
2026-06-01,20260601-020308-c84a5578,PRJ-20260601-0020,Entitlement / Permitting - Los Angeles - 150 apartments debut at 549 S. Harvard Blvd. in Koreatown,80,AST-20260601-027,art_da529bee74e42944,150 apartments debut at 549 S. Harvard Blvd. in Koreatown,https://la.urbanize.city/post/150-apartments-debut-549-s-harvard-blvd-koreatown,"Fri, 29 May 2026 13:05:00 +0000","150 apartments debut at 549 S. Harvard Blvd. in Koreatown | Urbanize LA Skip to main content Advertisement Advertisement In Koreatown , work is largely complete for a new mixed-use development from Jamison Services, Inc. at the intersection of 6th and Harvard. The Maru apartments, located 549 S. Harvard Boulevard , consists of a seven-story building featuring 150 studio, one-, and two-bedroom apartments atop 12,900 square feet of ground-floor commercial space. Parking for 192 vehicles is provide",valid,title/source/url metadata are internally consistent,Development Activity,,acceptable_repeat,2026-05-29,2026-06-01,3,fresh_0_3d,current,published date parsed; article age 3 day(s),70,accessible,Entitlement / Permitting - Los Angeles - 150 apartments debut at 549 S. Harvard Blvd. in Koreatown,Entitlement / Permitting - Los Angeles - 150 apartments debut at 549 S. Harvard Blvd. in Koreatown,549 S. Harvard Blvd,General submarket monitoring,Los Angeles,Los Angeles,California,Affordable Housing,Mixed-Use Residential,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,150 apartments,$2; $3; $3,,Entitlement / Permitting,Entitlement Play,Project under entitlement,Unknown,approval_watch,matched permit,95,40,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",150 apartments debut at 549 S. Harvard Blvd. in Koreatown,Urbanize LA,https://la.urbanize.city/post/150-apartments-debut-549-s-harvard-blvd-koreatown,High
2026-06-01,20260601-020308-c84a5578,PRJ-20260601-0009,General Project Signal - Los Angeles - Affordable housing slated for 1418 S. Mansfield Ave. in Mid-City,80,AST-20260601-043,art_f775b4e9c4c3ac78,Affordable housing slated for 1418 S. Mansfield Ave. in Mid-City,https://la.urbanize.city/post/affordable-housing-slated-1418-s-mansfield-ave-mid-city,"Wed, 27 May 2026 13:10:00 +0000","Affordable housing slated for 1418 S. Mansfield Ave. in Mid-City | Urbanize LA Skip to main content Advertisement Advertisement A series of small residential buildings located just south of Pico Boulevard in Mid-City are set to give way to affordable housing, per a recent application to the Los Angeles Department of City Planning. The property, located at 1418 S. Mansfield Avenue, calls for the construction of a five-story building featuring 81 one- and two-bedroom apartments without on-site par",valid,title/source/url metadata are internally consistent,Development Activity,,acceptable_repeat,2026-05-27,2026-06-01,5,recent_4_14d,usable_recent,published date parsed; article age 5 day(s),62,accessible,General Project Signal - Los Angeles - Affordable housing slated for 1418 S. Mansfield Ave. in Mid-City,General Project Signal - Los Angeles - Affordable housing slated for 1418 S. Mansfield Ave. in Mid-City,1418 S. Mansfield Ave,General submarket monitoring,Los Angeles,Los Angeles,California,Affordable Housing,Affordable Housing,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,81 apartments,,,General Project Signal,Affordable / Density Bonus Strategy,Unknown site control,Unknown,excluded,no clear development milestone,95,40,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",Affordable housing slated for 1418 S. Mansfield Ave. in Mid-City,Urbanize LA,https://la.urbanize.city/post/affordable-housing-slated-1418-s-mansfield-ave-mid-city,High
2026-06-01,20260601-020308-c84a5578,PRJ-20260601-0016,Entitlement / Permitting - Los Angeles - Infill housing slated for 349 N. Oakhurst Ave. in Beverly Hills,80,AST-20260601-042,art_a7fdd8493624e02a,Infill housing slated for 349 N. Oakhurst Ave. in Beverly Hills,https://la.urbanize.city/post/infill-housing-slated-349-n-oakhurst-ave-beverly-hills,"Fri, 29 May 2026 13:10:00 +0000","Infill housing slated for 349 N. Oakhurst Ave. in Beverly Hills | Urbanize LA Skip to main content Advertisement Advertisement A fourplex near the Los Angeles - Beverly Hills border is set to give way to a larger multifamily residential complex, according to a report to the Beverly Hills Planning Commission. The project from Oakhurst Investment Group, LLC, which would rise from a property at 349 N. Oakhurst Avenue , calls for the construction of a seven-story building featuring 14 one- and two-b",valid,title/source/url metadata are internally consistent,Development Activity,,acceptable_repeat,2026-05-29,2026-06-01,3,fresh_0_3d,current,published date parsed; article age 3 day(s),70,accessible,Entitlement / Permitting - Los Angeles - Infill housing slated for 349 N. Oakhurst Ave. in Beverly Hills,Entitlement / Permitting - Los Angeles - Infill housing slated for 349 N. Oakhurst Ave. in Beverly Hills,349 N. Oakhurst Ave,General submarket monitoring,Los Angeles,Los Angeles,California,Apartment,Apartment,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,,,,Entitlement / Permitting,Entitlement Play,Project under entitlement,Unknown,approval_watch,matched permit,87,40,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",Infill housing slated for 349 N. Oakhurst Ave. in Beverly Hills,Urbanize LA,https://la.urbanize.city/post/infill-housing-slated-349-n-oakhurst-ave-beverly-hills,Medium
2026-06-01,20260601-020308-c84a5578,PRJ-20260601-0066,Modular / Construction Innovation - Los Angeles - Modular housing manufacturing proposed for city-owned site at 10901 S. Clovis St. in South...,80,AST-20260601-045,art_b7482369fd1a0600,"Logos Faith, St. Rest Break Ground on 138-Unit Affordable Housing",https://www.connectcre.com/stories/logos-faith-st-rest-break-ground-on-138-unit-affordable-housing/,"Thu, 28 May 2026 22:25:27 +0000","California CRE News In Your Inbox. Sign up for Connect emails to stay informed with CRE stories that are 150 words or less. California + Los Angeles + Apartments | May 28, 2026 By: Paul Bubny Logos Faith, St. Rest Break Ground on 138-Unit Affordable Housing Logos Faith Development, a Los Angeles–based for-profit impact developer, in partnership with St Rest Friendship Baptist Church, broke ground on Phase One of a 138-unit affordable housing community at 709 W. Manchester Ave. in Los Angeles, ma",valid,title/source/url metadata are internally consistent,Development Activity,GP / Capital Activity,acceptable_repeat,2026-05-28,2026-06-01,4,recent_4_14d,usable_recent,published date parsed; article age 4 day(s),66,accessible,"JV / Partnership - Los Angeles - Logos Faith, St. Rest Break Ground on 138-Unit Affordable Housing","JV / Partnership - Los Angeles - Logos Faith, St. Rest Break Ground on 138-Unit Affordable Housing",Los Angeles,General submarket monitoring,Los Angeles,Los Angeles,California,Affordable Housing,Affordable Housing,Unknown,Unknown,Unknown,Unknown,Unknown,Construction started,broke ground,,,,JV / Partnership,Affordable / Density Bonus Strategy,Unknown site control,Under Construction,construction_delivery_watch,matched broke ground,87,32,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent","Logos Faith, St. Rest Break Ground on 138-Unit Affordable Housing",Connect CRE Apartments,https://www.connectcre.com/stories/logos-faith-st-rest-break-ground-on-138-unit-affordable-housing/,Low
2026-06-01,20260601-020308-c84a5578,PRJ-20260601-0034,"Acquisition - Arizona - Wood Partners Sells 278-Unit Alta Rise Multifamily Community in Gilbert, Arizona",100,AST-20260601-032,art_d531bfb6e423e504,"Wood Partners Sells 278-Unit Alta Rise Multifamily Community in Gilbert, Arizona",https://rebusinessonline.com/wood-partners-sells-278-unit-alta-rise-multifamily-community-in-gilbert-arizona/,2026-05-29T13:55:49Z,"Located in Gilbert, Ariz., Alta Rise features 278 apartments, a swimming pool, spa, fitness center and a fourth-floor lounge and Skydeck. Acquisitions Arizona Multifamily Western Wood Partners Sells 278-Unit Alta Rise Multifamily Community in Gilbert, Arizona by Amy Works May 29, 2026 May 29, 2026 4 GILBERT, ARIZ. — Wood Partners has completed the disposition of Alta Rise, an apartment property in Gilbert. Steve Gebing and Cliff David of Institutional Property Advisors (IPA), a division of Marcu",valid,title/source/url metadata are internally consistent,Development Activity,GP / Capital Activity,repeat_penalized,2026-05-29,2026-06-01,3,fresh_0_3d,current,published date parsed; article age 3 day(s),40,accessible,"Acquisition - Arizona - Wood Partners Sells 278-Unit Alta Rise Multifamily Community in Gilbert, Arizona","Acquisition - Arizona - Wood Partners Sells 278-Unit Alta Rise Multifamily Community in Gilbert, Arizona",Arizona,General submarket monitoring,Arizona,Arizona,Arizona,Apartment,Apartment,Wood Partners,Wood Partners,Unknown,Unknown,Unknown,Completed / opened,completed,278 apartments,,,Acquisition,Lease-Up / Delivery,Existing asset sale,Delivered / Lease-Up,construction_delivery_watch,matched completed,87,18,Relevant to underwriting benchmark,Monitor asset-level signal for repeated confirmation,"Wood Partners Sells 278-Unit Alta Rise Multifamily Community in Gilbert, Arizona",REBusiness Online,https://rebusinessonline.com/wood-partners-sells-278-unit-alta-rise-multifamily-community-in-gilbert-arizona/,High
2026-06-01,20260601-020308-c84a5578,PRJ-20260601-0071,Refinancing - New York - PNC Bank Refis West Village Apartment Building With $404M Loan,80,AST-20260601-036,art_0301e5b5e4f10e49,PNC Bank Refis West Village Apartment Building With $404M Loan,https://commercialobserver.com/2026/05/pnc-bank-rockrose-west-village-apartment-building/,"Fri, 29 May 2026 15:26:11 +0000","Residential · Multifamily Greenwich Village Finance · Refinance PNC Bank Refis West Village Apartment Building With $404M Loan By Andrew Coen May 29, 2026 11:26 am reprints Avison Young's Scott Singer (top) and Andy Singer, and 666 Greenwich Street. PHOTOS: Courtesy Avison Young; Kidfly182/CC by-SA 4.0 via Wikimedia Commons Affiliates of Rockrose Development have sealed $404 million of agency debt to refinance a landmarked luxury apartment building in Manhattan’s West Village neighborhood, Comme",valid,title/source/url metadata are internally consistent,GP / Capital Activity,,acceptable_repeat,2026-05-29,2026-06-01,3,fresh_0_3d,current,published date parsed; article age 3 day(s),70,accessible,Refinancing - New York - PNC Bank Refis West Village Apartment Building With $404M Loan,Refinancing - New York - PNC Bank Refis West Village Apartment Building With $404M Loan,Manhattan,General submarket monitoring,Manhattan,Los Angeles,New York,Apartment,Apartment,Unknown,Unknown,Freddie Mac,Unknown,Unknown,Unknown,No explicit timing reference,,$404M; $404M; $404 million,,Refinancing,Refinancing / Recapitalization,Existing asset refinance,Unknown,excluded,excluded financing-only article: refinancing,85,56,Relevant to acquisition / JV sourcing,"Review acquisition, financing, ownership, and comparable transaction details",PNC Bank Refis West Village Apartment Building With $404M Loan,Commercial Observer,https://commercialobserver.com/2026/05/pnc-bank-rockrose-west-village-apartment-building/,Low
2026-06-01,20260601-020308-c84a5578,PRJ-20260601-0074,Construction Financing - Sun Belt - Alta Developers Lands $91.8M Construction Loan for Miami Apartments,80,AST-20260601-040,art_86d3cff087fb1b43,Alta Developers Lands $91.8M Construction Loan for Miami Apartments,https://www.connectcre.com/stories/alta-developers-lands-91-8m-construction-loan-for-miami-apartments/,"Thu, 21 May 2026 14:05:25 +0000","Florida & Gulf Coast CRE News In Your Inbox. Sign up for Connect emails to stay informed with CRE stories that are 150 words or less. Florida & Gulf Coast + South Florida + Apartments | May 21, 2026 By: Mike Boyd Alta Developers Lands $91.8M Construction Loan for Miami Apartments Madison Realty Capital originated a $91.8 million construction loan to Alta Developers for the development of Alta Sunset, a 314-unit multifamily project located at 6075 Sunset Drive in South Miami, Florida. Upon comple",valid,title/source/url metadata are internally consistent,GP / Capital Activity,,repeat_penalized,2026-05-21,2026-06-01,11,recent_4_14d,usable_recent,published date parsed; article age 11 day(s),55,accessible,Construction Financing - Sun Belt - Alta Developers Lands $91.8M Construction Loan for Miami Apartments,Construction Financing - Sun Belt - Alta Developers Lands $91.8M Construction Loan for Miami Apartments,Miami,General submarket monitoring,Miami,Los Angeles,Sun Belt,Apartment,Apartment,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,,$91.8M; $91.8M; $91.8 million,,Construction Financing,Refinancing / Recapitalization,Land / parcel referenced,Site Search / Early Signal,excluded,excluded financing-only article: construction loan,85,47,Relevant to acquisition / JV sourcing,"Review acquisition, financing, ownership, and comparable transaction details",Alta Developers Lands $91.8M Construction Loan for Miami Apartments,Connect CRE South Florida,https://www.connectcre.com/stories/alta-developers-lands-91-8m-construction-loan-for-miami-apartments/,Low
