run_date,run_id,card_id,card_type,card_title,card_priority,card_score,market,residential_sector,gp_or_developer,summary,why_it_matters,recommended_action,source_report,source_url_if_available
2026-07-14,20260714-235420-7185f37b,CARD-20260714-035,Capital Flow,Alliance Residential,Critical,100,Alliance Residential,Apartment,Alliance Residential,Stable,"Capital-flow memory can identify repeated lenders, refinancing stress, and capital concentration.",Track capital flow pattern and related relationships,capital_flow_report.md,
2026-07-14,20260714-235420-7185f37b,CARD-20260714-036,Capital Flow,Arizona,Critical,100,Arizona,Apartment,Arizona,Fading,"Capital-flow memory can identify repeated lenders, refinancing stress, and capital concentration.",Track capital flow pattern and related relationships,capital_flow_report.md,
2026-07-14,20260714-235420-7185f37b,CARD-20260714-037,Capital Flow,Atlanta / Georgia,Critical,100,Atlanta / Georgia,Apartment,Atlanta / Georgia,Stable,"Capital-flow memory can identify repeated lenders, refinancing stress, and capital concentration.",Track capital flow pattern and related relationships,capital_flow_report.md,
2026-07-14,20260714-235420-7185f37b,CARD-20260714-016,LA Asset Watch,Construction Financing - California - Dwight Provides Largest Construction Loan in Company History for Gilroy Multifamily,Critical,100,Los Angeles,Apartment,Dwight Mortgage Trust,Review acquisition comparables,LA / Southern California project-level watch item.,"Review parcel clue, entitlement path, sponsor, and comparable sites",la_asset_watch_report.md,https://www.connectcre.com/stories/dwight-provides-largest-construction-loan-in-company-history-for-gilroy-multifamily/
2026-07-14,20260714-235420-7185f37b,CARD-20260714-018,LA Asset Watch,"Construction Financing - Miami / Florida - Fort Lauderdale Developer Inks Financing for Condos, Apartments, Retail",Critical,100,Los Angeles,Apartment,IPA,Track local sponsor activity,LA / Southern California project-level watch item.,Monitor asset for repeated local confirmation,la_asset_watch_report.md,https://www.connectcre.com/stories/fort-lauderdale-developer-inks-financing-for-condos-apartments-retail/
2026-07-14,20260714-235420-7185f37b,CARD-20260714-020,LA Asset Watch,"Entitlement / Permitting - California - Meeting Tomorrow For 470 West San Carlos Street, San Jose",Critical,100,Los Angeles,Apartment,Unknown,Monitor entitlement path,LA / Southern California project-level watch item.,"Review parcel clue, entitlement path, sponsor, and comparable sites",la_asset_watch_report.md,https://sfyimby.com/2026/07/meeting-tomorrow-for-470-west-san-carlos-street-san-jose.html
2026-07-14,20260714-235420-7185f37b,CARD-20260714-019,LA Asset Watch,Entitlement / Permitting - Los Angeles / California - Affordable housing commences work at 5637 S. Broadway,Critical,100,Los Angeles,Affordable Housing,Unknown,Benchmark density bonus use,LA / Southern California project-level watch item.,"Track entitlement docket, density bonus use, and affordability requirement",la_asset_watch_report.md,https://la.urbanize.city/post/affordable-housing-commences-work-5637-s-broadway
2026-07-14,20260714-235420-7185f37b,CARD-20260714-017,LA Asset Watch,Refinancing - California - Northmarq Secures $34M Refinance Loan for Owner of Upland California Apartment Community,Critical,100,Los Angeles,Apartment,Freddie Mac,Track site control precedent,LA / Southern California project-level watch item.,"Review parcel clue, entitlement path, sponsor, and comparable sites",la_asset_watch_report.md,https://yieldpro.com/2026/07/northwoods-apartments/
2026-07-14,20260714-235420-7185f37b,CARD-20260714-001,Signal Quality,Construction Financing - California - Dwight Provides Largest Construction Loan in Company History for Gilroy Multifamily,Critical,97,California,Apartment,Dwight Mortgage Trust,"9 source file(s), 10 observation(s), latest stage Refinancing / Recapitalization, identity confidence 100",High-confidence calibrated signal with multi-layer support.,Review immediately,high_confidence_watchlist_report.md,
2026-07-14,20260714-235420-7185f37b,CARD-20260714-002,Signal Quality,Development Start - Atlanta / Georgia - Financing Secured for Centennial Yards Mixed-Use Project,Critical,95,Unknown,Mixed-Use Residential,CIM Group,"5 source file(s), 9 observation(s), latest stage Construction Ready, identity confidence 100",High-confidence calibrated signal with multi-layer support.,Review immediately,high_confidence_watchlist_report.md,
2026-07-14,20260714-235420-7185f37b,CARD-20260714-006,Opportunity,Refinancing Gap,Critical,95,California,Apartment,Freddie Mac,"Refinancing Gap may create a pricing, capital, partnership, or pipeline opening in California.","Evaluate LA / California entitlement, zoning, or local GP partnership relevance",Add to executive opportunity review,opportunity_radar_report.md,https://yieldpro.com/2026/07/northwoods-apartments/
2026-07-14,20260714-235420-7185f37b,CARD-20260714-003,Signal Quality,Refinancing - California - Northmarq Secures $34M Refinance Loan for Owner of Upland California Apartment Community,Critical,93,California,Apartment,Freddie Mac,"9 source file(s), 11 observation(s), latest stage Refinancing / Recapitalization, identity confidence 100",High-confidence calibrated signal with multi-layer support.,Review immediately,high_confidence_watchlist_report.md,
2026-07-14,20260714-235420-7185f37b,CARD-20260714-004,Signal Quality,Construction Financing - Miami / Florida - S3 Originates $111M Construction Loan for Edgewater Rental Community,Critical,92,Unknown,Mixed-Use Residential,JLL,"4 source file(s), 4 observation(s), latest stage Refinancing / Recapitalization, identity confidence 100",High-confidence calibrated signal with multi-layer support.,Review immediately,high_confidence_watchlist_report.md,
2026-07-14,20260714-235420-7185f37b,CARD-20260714-007,Opportunity,Construction Financing Gap,Critical,92,California,Apartment,Dwight Mortgage Trust,"Construction Financing Gap may create a pricing, capital, partnership, or pipeline opening in California.","Evaluate LA / California entitlement, zoning, or local GP partnership relevance",Add to executive opportunity review,opportunity_radar_report.md,https://www.connectcre.com/stories/dwight-provides-largest-construction-loan-in-company-history-for-gilroy-multifamily/
2026-07-14,20260714-235420-7185f37b,CARD-20260714-005,Signal Quality,Refinancing - New York - JLL Secures $332M Refinancing for Luxury Multifamily Tower in Chicago,Critical,92,New York,Multifamily,JLL,"8 source file(s), 12 observation(s), latest stage Refinancing / Recapitalization, identity confidence 100",High-confidence calibrated signal with multi-layer support.,Review immediately,high_confidence_watchlist_report.md,
2026-07-14,20260714-235420-7185f37b,CARD-20260714-008,Opportunity,Refinancing Gap,Critical,92,New York,Multifamily,JLL,"Refinancing Gap may create a pricing, capital, partnership, or pipeline opening in New York.","Track potential rescue capital, debt recapitalization, or capital partner opening",Add to executive opportunity review,opportunity_radar_report.md,https://rebusinessonline.com/jll-secures-332m-refinancing-for-luxury-multifamily-tower-in-chicago/
2026-07-14,20260714-235420-7185f37b,CARD-20260714-009,Opportunity,LA / California Entitlement Opportunity,Critical,91,California,Apartment,CBRE,"LA / California Entitlement Opportunity may create a pricing, capital, partnership, or pipeline opening in California.","Evaluate LA / California entitlement, zoning, or local GP partnership relevance",Add to executive opportunity review,opportunity_radar_report.md,https://www.connectcre.com/stories/garden-style-apartments-go-for-78m-in-north-county-san-diego/
2026-07-14,20260714-235420-7185f37b,CARD-20260714-010,Opportunity,Construction Financing Gap,Critical,89,Miami / Florida,Mixed-Use Residential,JLL,"Construction Financing Gap may create a pricing, capital, partnership, or pipeline opening in Miami / Florida.","Track potential rescue capital, debt recapitalization, or capital partner opening",Add to executive opportunity review,opportunity_radar_report.md,https://www.connectcre.com/stories/s3-originates-111m-construction-loan-for-edgewater-rental-community/
2026-07-14,20260714-235420-7185f37b,CARD-20260714-026,Market Entry Window,California,Critical,87,California,90,Unknown,Active Watch Window,active opportunity radar signals; possible distress or recapitalization watch; capital-flow or institutional activity signal; core Woomi California / LA strategic relevance,Actively source opportunities,market_entry_window_report.md,
2026-07-14,20260714-235420-7185f37b,CARD-20260714-027,Market Entry Window,New York,Critical,81,New York,65,Unknown,Active Watch Window,active opportunity radar signals; possible distress or recapitalization watch; capital-flow or institutional activity signal,Actively source opportunities,market_entry_window_report.md,
