run_date,run_id,canonical_project_id,canonical_project_name,project_identity_confidence,asset_signal_id,canonical_asset_or_project_name,raw_project_or_property_name,address_or_location_clue,intersection_or_corridor,neighborhood_or_submarket,city,state_or_region,residential_sector,asset_type,gp_or_developer,owner_or_sponsor,lender_or_capital_partner,entitlement_status,permit_status,construction_status,delivery_or_timing_reference,unit_count,dollar_amount,site_size_or_area,deal_or_project_type,asset_strategy_signal,site_control_signal,execution_stage,primary_development_category,primary_category_reason,asset_opportunity_score,asset_risk_score,woomi_asset_relevance,recommended_asset_follow_up,evidence_article_title,source,url,confidence_level
2026-05-19,20260519-101015-3b20d522,PRJ-20260519-0092,"Disposition / Exit - Los Angeles - Quarterra Seeks Buyers For Almost 4,000 Apartments",100,AST-20260519-017,"Disposition / Exit - Los Angeles - Quarterra Seeks Buyers For Almost 4,000 Apartments","Disposition / Exit - Los Angeles - Quarterra Seeks Buyers For Almost 4,000 Apartments",Southern California,General submarket monitoring,Southern California,Los Angeles,California,Apartment,Apartment,Quarterra,Quarterra,JLL,Unknown,Unknown,Unknown,No explicit timing reference,"4,000 Apartments",,,Disposition / Exit,General Asset Signal,Existing asset sale,Unknown,excluded,excluded operating-asset disposition,100,32,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent","Quarterra Seeks Buyers For Almost 4,000 Apartments",Bisnow,https://www.bisnow.com/national/news/multifamily/quarterra-seeks-buyers-for-almost-4000-apartments-134586,High
2026-05-19,20260519-101015-3b20d522,PRJ-20260519-0020,Entitlement / Permitting - Los Angeles - 96 apartments + retail proposed at 8871 W. Venice Blvd.,80,AST-20260519-021,Entitlement / Permitting - Los Angeles - 96 apartments + retail proposed at 8871 W. Venice Blvd.,Entitlement / Permitting - Los Angeles - 96 apartments + retail proposed at 8871 W. Venice Blvd.,8871 W. Venice Blvd,General submarket monitoring,L.A.,Los Angeles,California,Mixed-Use Residential,Mixed-Use Residential,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,96 apartments,,,Entitlement / Permitting,Entitlement Play,Project under entitlement,Unknown,approval_watch,matched permit,95,40,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",96 apartments + retail proposed at 8871 W. Venice Blvd.,Urbanize LA,https://la.urbanize.city/post/96-apartments-retail-proposed-8871-w-venice-blvd,High
2026-05-19,20260519-101015-3b20d522,PRJ-20260519-0001,General Project Signal - Los Angeles - New proposal emerges for affordable housing at 1316 Linwood Ave. in Westlake,80,AST-20260519-031,General Project Signal - Los Angeles - New proposal emerges for affordable housing at 1316 Linwood Ave. in Westlake,General Project Signal - Los Angeles - New proposal emerges for affordable housing at 1316 Linwood Ave. in Westlake,1316 Linwood Ave,General submarket monitoring,Los Angeles,Los Angeles,California,Affordable Housing,Affordable Housing,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,150 units,,,General Project Signal,Affordable / Density Bonus Strategy,Unknown site control,Unknown,excluded,no clear development milestone,95,40,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",New proposal emerges for affordable housing at 1316 Linwood Ave. in Westlake,Urbanize LA,https://la.urbanize.city/post/new-proposal-emerges-affordable-housing-1316-linwood-ave-westlake,High
2026-05-19,20260519-101015-3b20d522,PRJ-20260519-0014,Entitlement / Permitting - Los Angeles - Site prep underway for affordable housing at 4301 S. Vermont Ave.,80,AST-20260519-022,Entitlement / Permitting - Los Angeles - Site prep underway for affordable housing at 4301 S. Vermont Ave.,Entitlement / Permitting - Los Angeles - Site prep underway for affordable housing at 4301 S. Vermont Ave.,4301 S. Vermont Ave,General submarket monitoring,Los Angeles,Los Angeles,California,Affordable Housing,Affordable Housing,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,,$35,,Entitlement / Permitting,Affordable / Density Bonus Strategy,Land / parcel referenced,Site Search / Early Signal,approval_watch,matched permit,95,32,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",Site prep underway for affordable housing at 4301 S. Vermont Ave.,Urbanize LA,https://la.urbanize.city/post/site-prep-underway-affordable-housing-4301-s-vermont-ave,Medium
2026-05-19,20260519-101015-3b20d522,PRJ-20260519-0064,JLL Capital Markets Announced They Arranged a $141.8M Refinancing for Premier Luxury Riverfront Multifamily Tower Wolf Point West in Chicago,100,AST-20260519-018,Refinancing - New York - JLL Capital Markets Announced They Arranged a $141.8M Refinancing for Premier Luxury River...,Refinancing - New York - JLL Capital Markets Announced They Arranged a $141.8M Refinancing for Premier Luxury River...,New York,General submarket monitoring,New York,New York,New York,Multifamily,Multifamily,Hines,Hines,JLL,Unknown,Unknown,Unknown,No explicit timing reference,,$141.8M; $141.817 million; $141.8m,,Refinancing,Refinancing / Recapitalization,Existing asset refinance,Unknown,excluded,excluded financing-only article: refinancing,88,49,Relevant to acquisition / JV sourcing,"Review acquisition, financing, ownership, and comparable transaction details",JLL Capital Markets Announced They Arranged a $141.8M Refinancing for Premier Luxury Riverfront Multifamily Tower Wolf Point West in Chicago,Yield PRO,https://yieldpro.com/2026/05/wolf-point-west/,Medium
2026-05-19,20260519-101015-3b20d522,PRJ-20260519-0032,Office-to-Residential Conversion - California - Silicon Valley Initiative Partnership Receives $74.1M in Financing for Office-to-Residenti...,80,AST-20260519-019,Office-to-Residential Conversion - California - Silicon Valley Initiative Partnership Receives $74.1M in Financing for Office-to-Residenti...,Office-to-Residential Conversion - California - Silicon Valley Initiative Partnership Receives $74.1M in Financing for Office-to-Residenti...,California,Office conversion corridor,California,Los Angeles,California,Office-to-Residential Conversion,Office-to-Residential,Unknown,Unknown,cushman,Unknown,Unknown,Unknown,No explicit timing reference,,$74.1M; $74.1M; $74.1 million,,Office-to-Residential Conversion,Office-to-Residential Conversion,Unknown site control,Unknown,excluded,no clear development milestone,85,50,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",Silicon Valley Initiative Partnership Receives $74.1M in Financing for Office-to-Residential Conversion Project in San Jose,REBusiness Online,https://rebusinessonline.com/silicon-valley-initiative-partnership-receives-74-1m-in-financing-for-office-to-residential-conversion-project-in-san-jose/,Low
2026-05-19,20260519-101015-3b20d522,PRJ-20260519-0059,Development Start - Other / Unknown - Major Development Groundbreaking on Landmark Multifamily Mixed-Use Community The Piazza at...,80,AST-20260519-027,Construction Financing - Other / Unknown - Cypress Equity Investments gets $170M loan for two Santa Monica projects,Construction Financing - Other / Unknown - Cypress Equity Investments gets $170M loan for two Santa Monica projects,Unknown,General submarket monitoring,Unknown,Los Angeles,Unknown,Affordable Housing,Mixed-Use Residential,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,600 apartments,$170M; $170M; $170,,Construction Financing,General Asset Signal,Unknown site control,Unknown,approval_watch,matched permit,84,54,Relevant to underwriting benchmark,Monitor asset-level signal for repeated confirmation,Cypress Equity Investments gets $170M loan for two Santa Monica projects,Urbanize LA,https://la.urbanize.city/post/cypress-equity-investments-gets-170m-loan-two-santa-monica-projects,Medium
2026-05-19,20260519-101015-3b20d522,PRJ-20260519-0055,Disposition / Exit - Los Angeles - Walker & Dunlop Offer High-Profile Ground-Up Mixed-Use Development Opportunity Adjacent to...,80,AST-20260519-023,"JV / Partnership - Los Angeles - Lendlease, Aware Super Open Habitat Mixed-Use Campus in Los Angeles","JV / Partnership - Los Angeles - Lendlease, Aware Super Open Habitat Mixed-Use Campus in Los Angeles",Los Angeles,University-adjacent; Mixed-use corridor,Los Angeles,Los Angeles,California,Mixed-Use Residential,Mixed-Use Residential,Unknown,Unknown,Unknown,Unknown,Unknown,Completed / opened,opened,260 apartments,,,JV / Partnership,Lease-Up / Delivery,Unknown site control,Delivered / Lease-Up,excluded,no clear development milestone,84,31,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent","Lendlease, Aware Super Open Habitat Mixed-Use Campus in Los Angeles",REBusiness Online,https://rebusinessonline.com/lendlease-aware-super-open-habitat-mixed-use-campus-in-los-angeles/,Medium
2026-05-19,20260519-101015-3b20d522,PRJ-20260519-0032,Office-to-Residential Conversion - California - Silicon Valley Initiative Partnership Receives $74.1M in Financing for Office-to-Residenti...,80,AST-20260519-024,Development Start - California - California Transforms Oakland’s Fruitvale Community with Cleanup of Polluted Land for Affo...,Development Start - California - California Transforms Oakland’s Fruitvale Community with Cleanup of Polluted Land for Affo...,California,General submarket monitoring,California,Los Angeles,California,Affordable Housing,BTR / Single-Family Rental,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,22 apartments,,,Development Start,Affordable / Density Bonus Strategy,Land / parcel referenced,Site Search / Early Signal,excluded,no clear development milestone,83,31,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",California Transforms Oakland’s Fruitvale Community with Cleanup of Polluted Land for Affordable Housing,Yield PRO,https://yieldpro.com/2026/05/2700-international-boulevard/,Medium
2026-05-19,20260519-101015-3b20d522,PRJ-20260519-0038,General Project Signal - Sun Belt - Grand Opening Celebration for Affordable Housing Development Palladium Park Row in the Kat...,80,AST-20260519-037,General Project Signal - Sun Belt - Grand Opening Celebration for Affordable Housing Development Palladium Park Row in the Kat...,General Project Signal - Sun Belt - Grand Opening Celebration for Affordable Housing Development Palladium Park Row in the Kat...,Houston,General submarket monitoring,Houston,Los Angeles,Sun Belt,Affordable Housing,BTR / Single-Family Rental,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,,$33 million; $33 million,,General Project Signal,Affordable / Density Bonus Strategy,Unknown site control,Unknown,construction_delivery_watch,matched opening,82,33,Relevant to entitlement monitoring,"Track entitlement, permit, density bonus, and construction-readiness milestones",Grand Opening Celebration for Affordable Housing Development Palladium Park Row in the Katy Area of Houston,Yield PRO,https://yieldpro.com/2026/05/palladium-park-row/,Low
