run_date,run_id,raw_project_reference,canonical_project_id,canonical_project_name,canonical_location_key,address_or_location_clue,market,submarket,gp_or_developer,lender_or_capital_partner,residential_sector,source_file,occurrence_count,identity_confidence,matched_by,duplicate_project_cluster_id,needs_manual_review,notes
2026-06-21,20260621-000747-ec7072ff,Norris & Stevens Arranges Sale of Slabtown Multifamily Building in Portland Oregon,PRJ-20260621-0091,"Acquisition - New York City / New York - Tredway Buys 168-Unit Affordable Seniors Housing Complex in Peekskill, New York, Plans Reh...",los angeles,Los Angeles,Other / Unknown,Unknown,Unknown,Unknown,Apartment,asset_parcel_intelligence.csv,48,80,address/location + market match,DUP-0091,No,"Matched across 7 source file(s): asset_parcel_intelligence.csv, development_lifecycle.csv, entitlement_intelligence.csv, la_asset_watch.csv"
2026-06-21,20260621-000747-ec7072ff,"Housing Approved For 220 West 20th Avenue, San Mateo",PRJ-20260621-0091,"Acquisition - New York City / New York - Tredway Buys 168-Unit Affordable Seniors Housing Complex in Peekskill, New York, Plans Reh...",los angeles,Los Angeles,Other / Unknown,Los Angeles,Unknown,Unknown,Apartment,asset_parcel_intelligence.csv,48,80,address/location + market match,DUP-0091,No,"Matched across 7 source file(s): asset_parcel_intelligence.csv, development_lifecycle.csv, entitlement_intelligence.csv, la_asset_watch.csv"
2026-06-21,20260621-000747-ec7072ff,Developer retools plan for mixed-use project at 3800 W. 6th St. in Koreatown,PRJ-20260621-0091,"Acquisition - New York City / New York - Tredway Buys 168-Unit Affordable Seniors Housing Complex in Peekskill, New York, Plans Reh...",los angeles,Los Angeles,Other / Unknown,Los Angeles,Unknown,Unknown,Affordable Housing,la_asset_watch.csv,48,80,address/location + market match,DUP-0091,No,"Matched across 7 source file(s): asset_parcel_intelligence.csv, development_lifecycle.csv, entitlement_intelligence.csv, la_asset_watch.csv"
2026-06-21,20260621-000747-ec7072ff,Chandler $58M Affordable Multifamily Housing Project Replaces Dated Development,PRJ-20260621-0091,"Acquisition - New York City / New York - Tredway Buys 168-Unit Affordable Seniors Housing Complex in Peekskill, New York, Plans Reh...",los angeles,Los Angeles,Other / Unknown,Los Angeles,Unknown,Unknown,Affordable Housing,la_asset_watch.csv,48,80,address/location + market match,DUP-0091,No,"Matched across 7 source file(s): asset_parcel_intelligence.csv, development_lifecycle.csv, entitlement_intelligence.csv, la_asset_watch.csv"
2026-06-21,20260621-000747-ec7072ff,Kidder Closes Hollywood Multifamily Sale Despite Softening Rental Trends,PRJ-20260621-0091,"Acquisition - New York City / New York - Tredway Buys 168-Unit Affordable Seniors Housing Complex in Peekskill, New York, Plans Reh...",los angeles,Los Angeles,Other / Unknown,Los Angeles,Unknown,Unknown,Apartment,la_asset_watch.csv,48,80,address/location + market match,DUP-0091,No,"Matched across 7 source file(s): asset_parcel_intelligence.csv, development_lifecycle.csv, entitlement_intelligence.csv, la_asset_watch.csv"
2026-06-21,20260621-000747-ec7072ff,Norris & Stevens Arranges Sale of Slabtown Multifamily Building in Portland Oregon,PRJ-20260621-0091,"Acquisition - New York City / New York - Tredway Buys 168-Unit Affordable Seniors Housing Complex in Peekskill, New York, Plans Reh...",los angeles,Los Angeles,Other / Unknown,Los Angeles,Unknown,Unknown,Apartment,la_asset_watch.csv,48,80,address/location + market match,DUP-0091,No,"Matched across 7 source file(s): asset_parcel_intelligence.csv, development_lifecycle.csv, entitlement_intelligence.csv, la_asset_watch.csv"
2026-06-21,20260621-000747-ec7072ff,Norris & Stevens Arranges Sale of Slabtown Multifamily Building in Portland Oregon,PRJ-20260621-0091,"Acquisition - New York City / New York - Tredway Buys 168-Unit Affordable Seniors Housing Complex in Peekskill, New York, Plans Reh...",los angeles,Los Angeles,Other / Unknown,Los Angeles,Unknown,Unknown,Apartment,la_asset_watch.csv,48,80,address/location + market match,DUP-0091,No,"Matched across 7 source file(s): asset_parcel_intelligence.csv, development_lifecycle.csv, entitlement_intelligence.csv, la_asset_watch.csv"
2026-06-21,20260621-000747-ec7072ff,Developer rolls out new plan for stalled Robertson Lane site in West Hollywood,PRJ-20260621-0091,"Acquisition - New York City / New York - Tredway Buys 168-Unit Affordable Seniors Housing Complex in Peekskill, New York, Plans Reh...",los angeles,Los Angeles,Other / Unknown,Los Angeles,Unknown,Unknown,Mixed-Use Residential,la_asset_watch.csv,48,80,address/location + market match,DUP-0091,No,"Matched across 7 source file(s): asset_parcel_intelligence.csv, development_lifecycle.csv, entitlement_intelligence.csv, la_asset_watch.csv"
2026-06-21,20260621-000747-ec7072ff,"Housing Approved For 220 West 20th Avenue, San Mateo",PRJ-20260621-0091,"Acquisition - New York City / New York - Tredway Buys 168-Unit Affordable Seniors Housing Complex in Peekskill, New York, Plans Reh...",los angeles,Los Angeles,Other / Unknown,Los Angeles,Unknown,Unknown,Apartment,la_asset_watch.csv,48,80,address/location + market match,DUP-0091,No,"Matched across 7 source file(s): asset_parcel_intelligence.csv, development_lifecycle.csv, entitlement_intelligence.csv, la_asset_watch.csv"
2026-06-21,20260621-000747-ec7072ff,"Housing Approved For 220 West 20th Avenue, San Mateo",PRJ-20260621-0091,"Acquisition - New York City / New York - Tredway Buys 168-Unit Affordable Seniors Housing Complex in Peekskill, New York, Plans Reh...",los angeles,Los Angeles,Other / Unknown,Los Angeles,Unknown,Unknown,Apartment,development_lifecycle.csv,48,80,address/location + market match,DUP-0091,No,"Matched across 7 source file(s): asset_parcel_intelligence.csv, development_lifecycle.csv, entitlement_intelligence.csv, la_asset_watch.csv"
2026-06-21,20260621-000747-ec7072ff,"Housing Approved For 220 West 20th Avenue, San Mateo",PRJ-20260621-0091,"Acquisition - New York City / New York - Tredway Buys 168-Unit Affordable Seniors Housing Complex in Peekskill, New York, Plans Reh...",los angeles,Los Angeles,Other / Unknown,Los Angeles,Unknown,Unknown,Apartment,lifecycle_transition.csv,48,80,address/location + market match,DUP-0091,No,"Matched across 7 source file(s): asset_parcel_intelligence.csv, development_lifecycle.csv, entitlement_intelligence.csv, la_asset_watch.csv"
2026-06-21,20260621-000747-ec7072ff,Development Start - Miami / Florida - Related Urban Starts Work on $167M S. Miami Affordable Housing Venture,PRJ-20260621-0091,"Acquisition - New York City / New York - Tredway Buys 168-Unit Affordable Seniors Housing Complex in Peekskill, New York, Plans Reh...",los angeles,Los Angeles,Other / Unknown,Los Angeles,Unknown,Unknown,Affordable Housing,la_lifecycle_transition_watch.csv,48,80,address/location + market match,DUP-0091,No,"Matched across 7 source file(s): asset_parcel_intelligence.csv, development_lifecycle.csv, entitlement_intelligence.csv, la_asset_watch.csv"
2026-06-21,20260621-000747-ec7072ff,Mixed-use project could replace Beverly Hills gas station at 8555 Wilshire Blvd.,PRJ-20260621-0091,"Acquisition - New York City / New York - Tredway Buys 168-Unit Affordable Seniors Housing Complex in Peekskill, New York, Plans Reh...",los angeles,Los Angeles,Other / Unknown,Los Angeles,Unknown,Unknown,Mixed-Use Residential,la_lifecycle_transition_watch.csv,48,80,address/location + market match,DUP-0091,No,"Matched across 7 source file(s): asset_parcel_intelligence.csv, development_lifecycle.csv, entitlement_intelligence.csv, la_asset_watch.csv"
2026-06-21,20260621-000747-ec7072ff,Disposition / Exit - Other / Unknown - Norris & Stevens Arranges Sale of Slabtown Multifamily Building in Portland Oregon,PRJ-20260621-0091,"Acquisition - New York City / New York - Tredway Buys 168-Unit Affordable Seniors Housing Complex in Peekskill, New York, Plans Reh...",los angeles,Los Angeles,Other / Unknown,Los Angeles,Unknown,Unknown,Apartment,la_lifecycle_transition_watch.csv,48,80,address/location + market match,DUP-0091,No,"Matched across 7 source file(s): asset_parcel_intelligence.csv, development_lifecycle.csv, entitlement_intelligence.csv, la_asset_watch.csv"
2026-06-21,20260621-000747-ec7072ff,Norris & Stevens Arranges Sale of Slabtown Multifamily Building in Portland Oregon,PRJ-20260621-0091,"Acquisition - New York City / New York - Tredway Buys 168-Unit Affordable Seniors Housing Complex in Peekskill, New York, Plans Reh...",los angeles,Los Angeles,Other / Unknown,Los Angeles,Unknown,Unknown,Apartment,la_lifecycle_transition_watch.csv,48,80,address/location + market match,DUP-0091,No,"Matched across 7 source file(s): asset_parcel_intelligence.csv, development_lifecycle.csv, entitlement_intelligence.csv, la_asset_watch.csv"
2026-06-21,20260621-000747-ec7072ff,Construction Financing - Miami / Florida - 13th Floor Obtains $134M Construction Loan for Douglas Final Phase,PRJ-20260621-0091,"Acquisition - New York City / New York - Tredway Buys 168-Unit Affordable Seniors Housing Complex in Peekskill, New York, Plans Reh...",los angeles,Los Angeles,Other / Unknown,Los Angeles,Unknown,Unknown,Apartment,la_lifecycle_transition_watch.csv,48,80,address/location + market match,DUP-0091,No,"Matched across 7 source file(s): asset_parcel_intelligence.csv, development_lifecycle.csv, entitlement_intelligence.csv, la_asset_watch.csv"
2026-06-21,20260621-000747-ec7072ff,Refinancing - Atlanta / Georgia - Red Oak Capital Holdings Completes $5.85M Core-Plus Bridge Loan for 68-Unit Suburban Atlan...,PRJ-20260621-0091,"Acquisition - New York City / New York - Tredway Buys 168-Unit Affordable Seniors Housing Complex in Peekskill, New York, Plans Reh...",los angeles,Los Angeles,Other / Unknown,Los Angeles,Unknown,Unknown,Apartment,la_lifecycle_transition_watch.csv,48,80,address/location + market match,DUP-0091,No,"Matched across 7 source file(s): asset_parcel_intelligence.csv, development_lifecycle.csv, entitlement_intelligence.csv, la_asset_watch.csv"
2026-06-21,20260621-000747-ec7072ff,"Entitlement / Permitting - Los Angeles / California - 250,000sf studio complex approved at 3701 S. Stocker St. in Baldwin Hills",PRJ-20260621-0091,"Acquisition - New York City / New York - Tredway Buys 168-Unit Affordable Seniors Housing Complex in Peekskill, New York, Plans Reh...",los angeles,Los Angeles,Other / Unknown,Los Angeles,Unknown,Unknown,General Residential,la_lifecycle_transition_watch.csv,48,80,address/location + market match,DUP-0091,No,"Matched across 7 source file(s): asset_parcel_intelligence.csv, development_lifecycle.csv, entitlement_intelligence.csv, la_asset_watch.csv"
2026-06-21,20260621-000747-ec7072ff,"250,000sf studio complex approved at 3701 S. Stocker St. in Baldwin Hills",PRJ-20260621-0091,"Acquisition - New York City / New York - Tredway Buys 168-Unit Affordable Seniors Housing Complex in Peekskill, New York, Plans Reh...",los angeles,Los Angeles,Other / Unknown,Los Angeles,Unknown,Unknown,General Residential,la_lifecycle_transition_watch.csv,48,80,address/location + market match,DUP-0091,No,"Matched across 7 source file(s): asset_parcel_intelligence.csv, development_lifecycle.csv, entitlement_intelligence.csv, la_asset_watch.csv"
2026-06-21,20260621-000747-ec7072ff,"Housing Approved For 220 West 20th Avenue, San Mateo",PRJ-20260621-0091,"Acquisition - New York City / New York - Tredway Buys 168-Unit Affordable Seniors Housing Complex in Peekskill, New York, Plans Reh...",los angeles,Los Angeles,Other / Unknown,Los Angeles,Unknown,Unknown,Apartment,la_lifecycle_transition_watch.csv,48,80,address/location + market match,DUP-0091,No,"Matched across 7 source file(s): asset_parcel_intelligence.csv, development_lifecycle.csv, entitlement_intelligence.csv, la_asset_watch.csv"
2026-06-21,20260621-000747-ec7072ff,Construction begins for 47 apartments at 7337 Fountain Ave. in Hollywood,PRJ-20260621-0091,"Acquisition - New York City / New York - Tredway Buys 168-Unit Affordable Seniors Housing Complex in Peekskill, New York, Plans Reh...",los angeles,Los Angeles,Other / Unknown,Los Angeles,Unknown,Unknown,Affordable Housing,la_lifecycle_transition_watch.csv,48,80,address/location + market match,DUP-0091,No,"Matched across 7 source file(s): asset_parcel_intelligence.csv, development_lifecycle.csv, entitlement_intelligence.csv, la_asset_watch.csv"
2026-06-21,20260621-000747-ec7072ff,Infill housing in progress at 3676 S. Kelton Ave. in Palms,PRJ-20260621-0091,"Acquisition - New York City / New York - Tredway Buys 168-Unit Affordable Seniors Housing Complex in Peekskill, New York, Plans Reh...",los angeles,Los Angeles,Other / Unknown,Los Angeles,Unknown,Unknown,Affordable Housing,la_lifecycle_transition_watch.csv,48,80,address/location + market match,DUP-0091,No,"Matched across 7 source file(s): asset_parcel_intelligence.csv, development_lifecycle.csv, entitlement_intelligence.csv, la_asset_watch.csv"
2026-06-21,20260621-000747-ec7072ff,"Tredway Buys 168-Unit Affordable Seniors Housing Complex in Peekskill, New York, Plans Rehabilitation",PRJ-20260621-0091,"Acquisition - New York City / New York - Tredway Buys 168-Unit Affordable Seniors Housing Complex in Peekskill, New York, Plans Reh...",los angeles,Los Angeles,Other / Unknown,Los Angeles,Unknown,Unknown,Affordable Housing,la_lifecycle_transition_watch.csv,48,80,address/location + market match,DUP-0091,No,"Matched across 7 source file(s): asset_parcel_intelligence.csv, development_lifecycle.csv, entitlement_intelligence.csv, la_asset_watch.csv"
2026-06-21,20260621-000747-ec7072ff,Developer rolls out new plan for stalled Robertson Lane site in West Hollywood,PRJ-20260621-0091,"Acquisition - New York City / New York - Tredway Buys 168-Unit Affordable Seniors Housing Complex in Peekskill, New York, Plans Reh...",los angeles,Los Angeles,Other / Unknown,Los Angeles,Unknown,Unknown,Mixed-Use Residential,la_lifecycle_transition_watch.csv,48,80,address/location + market match,DUP-0091,No,"Matched across 7 source file(s): asset_parcel_intelligence.csv, development_lifecycle.csv, entitlement_intelligence.csv, la_asset_watch.csv"
2026-06-21,20260621-000747-ec7072ff,"Acquisition - New York City / New York - Tredway Buys 168-Unit Affordable Seniors Housing Complex in Peekskill, New York, Plans Reh...",PRJ-20260621-0091,"Acquisition - New York City / New York - Tredway Buys 168-Unit Affordable Seniors Housing Complex in Peekskill, New York, Plans Reh...",los angeles,Los Angeles,Other / Unknown,Los Angeles,Unknown,Unknown,Affordable Housing,la_lifecycle_transition_watch.csv,48,80,address/location + market match,DUP-0091,No,"Matched across 7 source file(s): asset_parcel_intelligence.csv, development_lifecycle.csv, entitlement_intelligence.csv, la_asset_watch.csv"
2026-06-21,20260621-000747-ec7072ff,Developer Duo Chooses Savannah Highlands for 336-Unit Rental Community,PRJ-20260621-0091,"Acquisition - New York City / New York - Tredway Buys 168-Unit Affordable Seniors Housing Complex in Peekskill, New York, Plans Reh...",los angeles,Los Angeles,Other / Unknown,Los Angeles,Unknown,Unknown,Apartment,la_lifecycle_transition_watch.csv,48,80,address/location + market match,DUP-0091,No,"Matched across 7 source file(s): asset_parcel_intelligence.csv, development_lifecycle.csv, entitlement_intelligence.csv, la_asset_watch.csv"
2026-06-21,20260621-000747-ec7072ff,Development Start - Tampa / Florida - Related Group Breaks Ground on 24-Story Apartment Tower in Downtown Tampa,PRJ-20260621-0091,"Acquisition - New York City / New York - Tredway Buys 168-Unit Affordable Seniors Housing Complex in Peekskill, New York, Plans Reh...",los angeles,Los Angeles,Other / Unknown,Los Angeles,Unknown,Unknown,Apartment,la_lifecycle_transition_watch.csv,48,80,address/location + market match,DUP-0091,No,"Matched across 7 source file(s): asset_parcel_intelligence.csv, development_lifecycle.csv, entitlement_intelligence.csv, la_asset_watch.csv"
2026-06-21,20260621-000747-ec7072ff,"Entitlement / Permitting - California - Seven-story, 82-unit apartment building pitched for 402 Atlantic Ave. in Long Beach",PRJ-20260621-0091,"Acquisition - New York City / New York - Tredway Buys 168-Unit Affordable Seniors Housing Complex in Peekskill, New York, Plans Reh...",los angeles,Los Angeles,Other / Unknown,Los Angeles,Unknown,Unknown,Affordable Housing,la_lifecycle_transition_watch.csv,48,80,address/location + market match,DUP-0091,No,"Matched across 7 source file(s): asset_parcel_intelligence.csv, development_lifecycle.csv, entitlement_intelligence.csv, la_asset_watch.csv"
2026-06-21,20260621-000747-ec7072ff,Entitlement / Permitting - Los Angeles / California - Construction begins for 47 apartments at 7337 Fountain Ave. in Hollywood,PRJ-20260621-0091,"Acquisition - New York City / New York - Tredway Buys 168-Unit Affordable Seniors Housing Complex in Peekskill, New York, Plans Reh...",los angeles,Los Angeles,Other / Unknown,Los Angeles,Unknown,Unknown,Affordable Housing,la_lifecycle_transition_watch.csv,48,80,address/location + market match,DUP-0091,No,"Matched across 7 source file(s): asset_parcel_intelligence.csv, development_lifecycle.csv, entitlement_intelligence.csv, la_asset_watch.csv"
2026-06-21,20260621-000747-ec7072ff,Entitlement / Permitting - Los Angeles / California - Developer retools plan for mixed-use project at 3800 W. 6th St. in Koreatown,PRJ-20260621-0091,"Acquisition - New York City / New York - Tredway Buys 168-Unit Affordable Seniors Housing Complex in Peekskill, New York, Plans Reh...",los angeles,Los Angeles,Other / Unknown,Los Angeles,Unknown,Unknown,Affordable Housing,la_lifecycle_transition_watch.csv,48,80,address/location + market match,DUP-0091,No,"Matched across 7 source file(s): asset_parcel_intelligence.csv, development_lifecycle.csv, entitlement_intelligence.csv, la_asset_watch.csv"
