run_date,run_id,la_persistent_watch_id,canonical_project_id,canonical_project_name,la_submarket,address_or_location_clue,gp_or_developer,residential_sector,latest_lifecycle_stage,progression_status,stall_risk_label,entitlement_signal_count,timing_signal_count,financing_signal_count,opportunity_score,risk_score,woomi_site_strategy_relevance,potential_woomi_strategy_angle,recommended_local_follow_up,confidence_level
2026-05-19,20260519-101015-3b20d522,LAP-20260519-001,PRJ-20260519-0092,"Disposition / Exit - Los Angeles - Quarterra Seeks Buyers For Almost 4,000 Apartments",Los Angeles,Southern California,Quarterra,Apartment,Unknown Stage,Unknown,Low Stall Risk,0,0,0,100,32,High relevance to LA site strategy,Track repeat project updates,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes",High
2026-05-19,20260519-101015-3b20d522,LAP-20260519-013,PRJ-20260519-0020,Entitlement / Permitting - Los Angeles - 96 apartments + retail proposed at 8871 W. Venice Blvd.,Los Angeles,8871 W. Venice Blvd,Unknown,Mixed-Use Residential,Unknown Stage,Newly Detected,Low Stall Risk,2,0,0,95,40,Relevant to California site monitoring,Track repeat project updates,Monitor for repeated project updates,Medium
2026-05-19,20260519-101015-3b20d522,LAP-20260519-014,PRJ-20260519-0001,General Project Signal - Los Angeles - New proposal emerges for affordable housing at 1316 Linwood Ave. in Westlake,Los Angeles,1316 Linwood Ave,Unknown,Affordable Housing,Unknown Stage,Newly Detected,Low Stall Risk,0,0,0,95,40,Relevant to California site monitoring,Track repeat project updates,Monitor for repeated project updates,Medium
2026-05-19,20260519-101015-3b20d522,LAP-20260519-016,PRJ-20260519-0014,Entitlement / Permitting - Los Angeles - Site prep underway for affordable housing at 4301 S. Vermont Ave.,Los Angeles,4301 S. Vermont Ave,Unknown,Affordable Housing,Unknown Stage,Newly Detected,Low Stall Risk,2,0,0,95,32,Relevant to California site monitoring,Track repeat project updates,Monitor for repeated project updates,Medium
2026-05-19,20260519-101015-3b20d522,LAP-20260519-002,PRJ-20260519-0032,Office-to-Residential Conversion - California - Silicon Valley Initiative Partnership Receives $74.1M in Financing for Office-to-Residenti...,California,California,Unknown,Office-to-Residential Conversion,Site Acquisition / Site Control,Persistent Same Stage,Medium Stall Risk,30,0,0,85,50,High relevance to LA site strategy,Track repeat project updates,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes",High
2026-05-19,20260519-101015-3b20d522,LAP-20260519-015,PRJ-20260519-0059,Development Start - Other / Unknown - Major Development Groundbreaking on Landmark Multifamily Mixed-Use Community The Piazza at...,Los Angeles,Los Angeles,Unknown,Affordable Housing,Unknown Stage,Newly Detected,Medium Stall Risk,0,2,1,84,54,Relevant to California site monitoring,Track repeat project updates,Monitor for repeated project updates,Medium
2026-05-19,20260519-101015-3b20d522,LAP-20260519-004,PRJ-20260519-0055,Disposition / Exit - Los Angeles - Walker & Dunlop Offer High-Profile Ground-Up Mixed-Use Development Opportunity Adjacent to...,Los Angeles,Los Angeles,Unknown,Mixed-Use Residential,Site Acquisition / Site Control,Persistent Same Stage,Low Stall Risk,24,0,0,84,38,High relevance to LA site strategy,Track repeat project updates,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes",High
2026-05-19,20260519-101015-3b20d522,LAP-20260519-008,PRJ-20260519-0038,General Project Signal - Sun Belt - Grand Opening Celebration for Affordable Housing Development Palladium Park Row in the Kat...,Los Angeles,Houston,Unknown,Affordable Housing,Delivery / Opening,Mature / Operating,Low Stall Risk,0,0,0,82,33,High relevance to LA site strategy,Track repeat project updates,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes",High
2026-05-19,20260519-101015-3b20d522,LAP-20260519-017,PRJ-20260519-0003,Cypress Equity Investments gets $170M loan for two Santa Monica projects,Los Angeles,2025 Wilshire Boulevard,Unknown,Affordable Housing,Unknown Stage,Newly Detected,Low Stall Risk,0,0,2,75,34,Relevant to California site monitoring,Track repeat project updates,Monitor for repeated project updates,Medium
2026-05-19,20260519-101015-3b20d522,LAP-20260519-025,PRJ-20260519-0006,California Transforms Oakland’s Fruitvale Community with Cleanup of Polluted Land for Affordable Housing,Los Angeles,2700 International Boulevard,Unknown,Affordable Housing,Unknown Stage,Newly Detected,Low Stall Risk,0,0,0,74,31,General LA / California monitoring,Monitor only,Monitor for repeated project updates,Low
2026-05-19,20260519-101015-3b20d522,LAP-20260519-026,PRJ-20260519-0012,"Lendlease, Aware Super Open Habitat Mixed-Use Campus in Los Angeles",Los Angeles,3411 S. La Cienega Blvd,Unknown,Mixed-Use Residential,Unknown Stage,Newly Detected,Low Stall Risk,0,0,0,74,31,General LA / California monitoring,Monitor only,Monitor for repeated project updates,Low
2026-05-19,20260519-101015-3b20d522,LAP-20260519-003,PRJ-20260519-0023,"Office-to-Residential Conversion - Sun Belt - JLL Inks 70,000 SF of New Leases at Westside Paper Adaptive Reuse Development in Atlanta",Los Angeles,Atlanta,Unknown,Office-to-Residential Conversion,Site Acquisition / Site Control,Persistent Same Stage,Medium Stall Risk,1,0,0,73,63,High relevance to LA site strategy,Track repeat project updates,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes",High
2026-05-19,20260519-101015-3b20d522,LAP-20260519-011,PRJ-20260519-0042,"General Project Signal - Los Angeles - Taylor Yard wetland takes shape, General Hospital update, and more",Los Angeles,La County,Unknown,Mixed-Use Residential,Site Acquisition / Site Control,Persistent Same Stage,Low Stall Risk,0,0,0,72,38,Relevant to California site monitoring,Track repeat project updates,Monitor for repeated project updates,Medium
2026-05-19,20260519-101015-3b20d522,LAP-20260519-020,PRJ-20260519-0016,"Entitlement / Permitting - California - Demolition Permits Filed For 772 Pacific Avenue in Chinatown, San Francisco",California,772 Pacific Avenue,Unknown,Affordable Housing,Unknown Stage,Newly Detected,Low Stall Risk,2,0,0,72,32,General LA / California monitoring,Track repeat project updates,Monitor for repeated project updates,Medium
2026-05-19,20260519-101015-3b20d522,LAP-20260519-006,PRJ-20260519-0062,Ares Acquires Stake in Rover Pipeline from Blackstone Energy Transition Partners to Serve Growing Energy Demand Centers Across North America,Los Angeles,New York,Blackstone,General Residential,Unknown Stage,Unknown,Low Stall Risk,0,0,0,67,30,High relevance to LA site strategy,Track repeat project updates,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes",High
2026-05-19,20260519-101015-3b20d522,LAP-20260519-005,PRJ-20260519-0057,"Office-to-Residential Conversion - Sun Belt - JLL Inks 70,000 SF of New Leases at Westside Paper Adaptive Reuse Development in Atlanta",Los Angeles,Los Angeles,Unknown,Apartment,Refinancing / Recapitalization,Persistent Same Stage,Low Stall Risk,53,53,4,63,38,High relevance to LA site strategy,Track repeat project updates,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes",High
2026-05-19,20260519-101015-3b20d522,LAP-20260519-007,PRJ-20260519-0089,"Entitlement / Permitting - California - Formal Application Filed For Outer Richmond Safeway Redevelopment, San Francisco",California,San Francisco,Unknown,Affordable Housing,Planning Filed,Persistent Same Stage,Low Stall Risk,9,0,0,62,38,High relevance to LA site strategy,Track repeat project updates,"Create or refresh a project watch file with sponsor, site, entitlement, financing, and timing notes",High
2026-05-19,20260519-101015-3b20d522,LAP-20260519-028,PRJ-20260519-0018,"Formal Application Filed For Outer Richmond Safeway Redevelopment, San Francisco",Los Angeles,850 La Playa Street,Unknown,Affordable Housing,Unknown Stage,Newly Detected,Low Stall Risk,0,0,0,62,32,General LA / California monitoring,Monitor only,Monitor for repeated project updates,Low
