run_date,run_id,run_timestamp,market,residential_sector,market_article_count,high_priority_count,market_signal_count,average_relevance_score,dominant_strategic_angle,dominant_market_signal,regional_risk_or_opportunity,woomi_market_relevance,recommended_market_action
2026-06-05,20260605-114113-2df19a72,2026-06-05 11:41:13,California,Affordable Housing,23,18,10,87.3,Developer Strategy,Deal Size Signal,Institutional capital pricing signal,Core Watch Market,Track LA / California entitlement and zoning updates
2026-06-05,20260605-114113-2df19a72,2026-06-05 11:41:13,Los Angeles,Affordable Housing,15,14,8,92.2,Developer Strategy,Supply / Starts Signal,Supply pressure / lease-up risk,Core Watch Market,Track LA / California entitlement and zoning updates
2026-06-05,20260605-114113-2df19a72,2026-06-05 11:41:13,National / Other,Multifamily,31,13,5,68.6,Developer Strategy,Rent Growth Signal,Developer capability / execution signal,General Monitoring,Watch GP / developer partnership opportunities
2026-06-05,20260605-114113-2df19a72,2026-06-05 11:41:13,Texas,Apartment,7,5,2,75.0,Financing Risk,Financing Cost Signal,Financing-sensitive development environment,Strategic Watch Market,Review development underwriting assumptions
2026-06-05,20260605-114113-2df19a72,2026-06-05 11:41:13,Southeast,Apartment,7,4,4,76.6,Financing Risk,Financing Cost Signal,Financing-sensitive development environment,Strategic Watch Market,Review development underwriting assumptions
2026-06-05,20260605-114113-2df19a72,2026-06-05 11:41:13,Florida,Apartment,9,4,4,75.4,Institutional Flow,Financing Cost Signal,Financing-sensitive development environment,Strategic Watch Market,Review development underwriting assumptions
2026-06-05,20260605-114113-2df19a72,2026-06-05 11:41:13,Arizona,Apartment,4,3,3,87.0,Financing Risk,Rent Growth Signal,Financing-sensitive development environment,Strategic Watch Market,Review development underwriting assumptions
2026-06-05,20260605-114113-2df19a72,2026-06-05 11:41:13,New York,Apartment,3,3,2,88.7,Developer Strategy,Supply / Starts Signal,Supply pressure / lease-up risk,General Monitoring,Monitor supply pipeline and concessions
2026-06-05,20260605-114113-2df19a72,2026-06-05 11:41:13,Phoenix,Apartment,3,2,3,87.0,Financing Risk,Rent Growth Signal,Financing-sensitive development environment,Strategic Watch Market,Review development underwriting assumptions
2026-06-05,20260605-114113-2df19a72,2026-06-05 11:41:13,Austin,Multifamily,1,1,1,89.0,Financing Risk,Financing Cost Signal,Financing-sensitive development environment,Strategic Watch Market,Review development underwriting assumptions
2026-06-05,20260605-114113-2df19a72,2026-06-05 11:41:13,Seattle,Affordable Housing,1,1,0,84.0,Institutional Flow,None detected,Institutional capital pricing signal,Strategic Watch Market,Track institutional capital activity
2026-06-05,20260605-114113-2df19a72,2026-06-05 11:41:13,Sun Belt,Apartment,1,1,0,81.0,Rent Growth / Demand,None detected,General market monitoring,Strategic Watch Market,Monitor only
2026-06-05,20260605-114113-2df19a72,2026-06-05 11:41:13,Dallas,Apartment,2,1,0,68.0,Developer Strategy,None detected,Developer capability / execution signal,Strategic Watch Market,Watch GP / developer partnership opportunities
