run_date,run_id,canonical_project_id,canonical_project_name,project_identity_confidence,asset_signal_id,canonical_article_id,article_integrity_status,primary_display_section,secondary_display_sections,repeat_exposure_status,freshness_score,access_status,canonical_asset_or_project_name,raw_project_or_property_name,address_or_location_clue,intersection_or_corridor,neighborhood_or_submarket,city,state_or_region,residential_sector,asset_type,gp_or_developer,owner_or_sponsor,lender_or_capital_partner,entitlement_status,permit_status,construction_status,delivery_or_timing_reference,unit_count,dollar_amount,site_size_or_area,deal_or_project_type,asset_strategy_signal,site_control_signal,execution_stage,primary_development_category,primary_category_reason,asset_opportunity_score,asset_risk_score,woomi_asset_relevance,recommended_asset_follow_up,evidence_article_title,source,url,confidence_level
2026-05-29,20260529-230138-14a22af3,PRJ-20260529-0006,Entitlement / Permitting - California - Updated plan for apartments at 1238 Lincoln Blvd. in Santa Monica,100,AST-20260529-035,art_7ffcfcf412093268,valid,Development Activity,,acceptable_repeat,93,accessible,Entitlement / Permitting - California - Updated plan for apartments at 1238 Lincoln Blvd. in Santa Monica,Entitlement / Permitting - California - Updated plan for apartments at 1238 Lincoln Blvd. in Santa Monica,1238 Lincoln Blvd,General submarket monitoring,California,Los Angeles,California,Apartment,Apartment,Lincoln Property Company,Lincoln Property Company,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,,,,Entitlement / Permitting,Entitlement Play,Project under entitlement,Unknown,approval_watch,matched permit,100,32,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",Updated plan for apartments at 1238 Lincoln Blvd. in Santa Monica,Urbanize LA,https://la.urbanize.city/post/updated-plan-apartments-1238-lincoln-blvd-santa-monica,High
2026-05-29,20260529-230138-14a22af3,PRJ-20260529-0048,JV / Partnership - California - Joint Venture of PCCP and Alliance Residential Company Acquires 184-Unit Multifamily Commu...,100,AST-20260529-029,art_fe740a152ba7cd5a,valid,Development Activity,GP / Capital Activity,new_or_fresh,100,accessible,"JV / Partnership - California - PCCP, Alliance Residential Snap Up Garden-Style Riverside Complex","JV / Partnership - California - PCCP, Alliance Residential Snap Up Garden-Style Riverside Complex",California,General submarket monitoring,California,Los Angeles,California,Apartment,Apartment,Alliance Residential,Alliance Residential,Unknown,Unknown,Unknown,Completed / opened,completed,,$65.3; $65.3,,JV / Partnership,Lease-Up / Delivery,Unknown site control,Delivered / Lease-Up,construction_delivery_watch,matched completed,99,23,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent","PCCP, Alliance Residential Snap Up Garden-Style Riverside Complex",Connect CRE,https://www.connectcre.com/stories/pccp-alliance-residential-snap-up-garden-style-riverside-complex/,Medium
2026-05-29,20260529-230138-14a22af3,PRJ-20260529-0048,JV / Partnership - California - Joint Venture of PCCP and Alliance Residential Company Acquires 184-Unit Multifamily Commu...,100,AST-20260529-032,art_f5f23d41de26db37,valid,Development Activity,GP / Capital Activity,new_or_fresh,100,accessible,JV / Partnership - California - Joint Venture of PCCP and Alliance Residential Company Acquires 184-Unit Multifamily Commu...,JV / Partnership - California - Joint Venture of PCCP and Alliance Residential Company Acquires 184-Unit Multifamily Commu...,California,General submarket monitoring,California,Los Angeles,California,Multifamily,Multifamily,Alliance Residential,Alliance Residential,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,,$65.3 million; $65.3 million,,JV / Partnership,General Asset Signal,Unknown site control,Unknown,excluded,no clear development milestone,97,30,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",Joint Venture of PCCP and Alliance Residential Company Acquires 184-Unit Multifamily Community in Riverside California,Yield PRO,https://yieldpro.com/2026/05/the-hawthorne/,Medium
2026-05-29,20260529-230138-14a22af3,PRJ-20260529-0037,Construction Financing - Los Angeles - Developer scores construction loan for mixed-use project at 8025 Santa Monica Blvd. in Wes...,80,AST-20260529-027,art_94ddbfdf53356ba5,valid,Development Activity,GP / Capital Activity,acceptable_repeat,74,accessible,Construction Financing - Los Angeles - Developer scores construction loan for mixed-use project at 8025 Santa Monica Blvd. in Wes...,Construction Financing - Los Angeles - Developer scores construction loan for mixed-use project at 8025 Santa Monica Blvd. in Wes...,8025 Santa Monica Blvd,Mixed-use corridor,Los Angeles,Los Angeles,California,Affordable Housing,Mixed-Use Residential,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,115 apartments,$48; $48,,Construction Financing,Refinancing / Recapitalization,Project under entitlement,Unknown,approval_watch,matched entitlement,96,66,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",Developer scores construction loan for mixed-use project at 8025 Santa Monica Blvd. in West Hollywood,Urbanize LA,https://la.urbanize.city/post/developer-scores-construction-loan-mixed-use-project-8025-santa-monica-blvd-west-hollywood,High
2026-05-29,20260529-230138-14a22af3,PRJ-20260529-0025,Entitlement / Permitting - Los Angeles - 150 apartments debut at 549 S. Harvard Blvd. in Koreatown,80,AST-20260529-028,art_da529bee74e42944,valid,Development Activity,,new_or_fresh,100,accessible,Entitlement / Permitting - Los Angeles - 150 apartments debut at 549 S. Harvard Blvd. in Koreatown,Entitlement / Permitting - Los Angeles - 150 apartments debut at 549 S. Harvard Blvd. in Koreatown,549 S. Harvard Blvd,General submarket monitoring,Los Angeles,Los Angeles,California,Affordable Housing,Mixed-Use Residential,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,150 apartments,$2; $3; $3,,Entitlement / Permitting,Entitlement Play,Project under entitlement,Unknown,approval_watch,matched permit,95,40,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",150 apartments debut at 549 S. Harvard Blvd. in Koreatown,Urbanize LA,https://la.urbanize.city/post/150-apartments-debut-549-s-harvard-blvd-koreatown,High
2026-05-29,20260529-230138-14a22af3,PRJ-20260529-0009,General Project Signal - Los Angeles - Affordable housing slated for 1418 S. Mansfield Ave. in Mid-City,80,AST-20260529-046,art_f775b4e9c4c3ac78,valid,Development Activity,,acceptable_repeat,74,accessible,General Project Signal - Los Angeles - Affordable housing slated for 1418 S. Mansfield Ave. in Mid-City,General Project Signal - Los Angeles - Affordable housing slated for 1418 S. Mansfield Ave. in Mid-City,1418 S. Mansfield Ave,General submarket monitoring,Los Angeles,Los Angeles,California,Affordable Housing,Affordable Housing,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,81 apartments,,,General Project Signal,Affordable / Density Bonus Strategy,Unknown site control,Unknown,excluded,no clear development milestone,94,40,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",Affordable housing slated for 1418 S. Mansfield Ave. in Mid-City,Urbanize LA,https://la.urbanize.city/post/affordable-housing-slated-1418-s-mansfield-ave-mid-city,High
2026-05-29,20260529-230138-14a22af3,PRJ-20260529-0022,Entitlement / Permitting - Southeast - 40 apartments slated for 4080 Lafayette Place in Culver City,80,AST-20260529-044,art_82090a3f0a0d769e,valid,Development Activity,,acceptable_repeat,74,accessible,Entitlement / Permitting - Southeast - 40 apartments slated for 4080 Lafayette Place in Culver City,Entitlement / Permitting - Southeast - 40 apartments slated for 4080 Lafayette Place in Culver City,4080 Lafayette Place,General submarket monitoring,Southeast,Los Angeles,Southeast,Apartment,Apartment,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,40 apartments,,,Entitlement / Permitting,Entitlement Play,Project under entitlement,Unknown,approval_watch,matched permit,92,33,Relevant to entitlement monitoring,"Track entitlement, permit, density bonus, and construction-readiness milestones",40 apartments slated for 4080 Lafayette Place in Culver City,Urbanize LA,https://la.urbanize.city/post/40-apartments-slated-4080-lafayette-place-culver-city,High
2026-05-29,20260529-230138-14a22af3,PRJ-20260529-0045,Disposition / Exit - Sun Belt - Charlotte Apartment Project Fetches $107M,100,AST-20260529-031,art_60303e6c9069cb7f,valid,GP / Capital Activity,,repeat_penalized,55,accessible,Disposition / Exit - Sun Belt - Charlotte Apartment Project Fetches $107M,Disposition / Exit - Sun Belt - Charlotte Apartment Project Fetches $107M,Atlanta,General submarket monitoring,Atlanta,Sun Belt,Sun Belt,Apartment,Apartment,Wood Partners,Wood Partners,northmarq,Unknown,Unknown,Unknown,No explicit timing reference,,$107M; $107M; $107 million,,Disposition / Exit,General Asset Signal,Existing asset sale,Unknown,excluded,excluded operating-asset disposition,87,26,Relevant to underwriting benchmark,Monitor asset-level signal for repeated confirmation,Charlotte Apartment Project Fetches $107M,Connect CRE Charlotte,https://www.connectcre.com/stories/charlotte-apartment-project-fetches-107m/,Medium
2026-05-29,20260529-230138-14a22af3,PRJ-20260529-0043,"Acquisition - Arizona - Wood Partners Sells 278-Unit Alta Rise Multifamily Community in Gilbert, Arizona",100,AST-20260529-034,art_d531bfb6e423e504,valid,Development Activity,GP / Capital Activity,new_or_fresh,100,accessible,"Acquisition - Arizona - Wood Partners Sells 278-Unit Alta Rise Multifamily Community in Gilbert, Arizona","Acquisition - Arizona - Wood Partners Sells 278-Unit Alta Rise Multifamily Community in Gilbert, Arizona",Arizona,General submarket monitoring,Arizona,Arizona,Arizona,Apartment,Apartment,Wood Partners,Wood Partners,Unknown,Unknown,Unknown,Completed / opened,completed,278 apartments,,,Acquisition,Lease-Up / Delivery,Existing asset sale,Delivered / Lease-Up,construction_delivery_watch,matched completed,87,18,Relevant to underwriting benchmark,Monitor asset-level signal for repeated confirmation,"Wood Partners Sells 278-Unit Alta Rise Multifamily Community in Gilbert, Arizona",REBusiness Online,https://rebusinessonline.com/wood-partners-sells-278-unit-alta-rise-multifamily-community-in-gilbert-arizona/,High
2026-05-29,20260529-230138-14a22af3,PRJ-20260529-0055,"Recapitalization - California - PEF Advisors, Freestone Capital Form JV to Recapitalize Affordable Properties",80,AST-20260529-030,art_317a006b785fbe0a,valid,GP / Capital Activity,,repeat_penalized,55,accessible,Construction Financing - California - JLL Lines Up $144M Construction Loan for Santa Ana Multifamily,Construction Financing - California - JLL Lines Up $144M Construction Loan for Santa Ana Multifamily,California,General submarket monitoring,California,Los Angeles,California,Apartment,Apartment,Unknown,Unknown,JLL,Unknown,Unknown,Unknown,No explicit timing reference,,$144M; $144M; $144,,Construction Financing,Refinancing / Recapitalization,Unknown site control,Unknown,excluded,excluded financing-only article: construction loan,86,67,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",JLL Lines Up $144M Construction Loan for Santa Ana Multifamily,Connect CRE Orange County,https://www.connectcre.com/stories/jll-lines-up-144m-construction-loan-for-santa-ana-multifamily/,Low
