run_date,run_id,run_timestamp,entity_type,entity_name,signal_type,market_or_region,residential_sector,first_seen_date,last_seen_date,observation_count,current_run_signal_count,persistence_score,momentum_direction,signal_acceleration,recurring_signal_label,historical_importance_score,longitudinal_conviction_score,institutional_persistence_score,capital_flow_strength_score
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Lender / Debt Provider,Berkadia,Construction Financing,Los Angeles,Affordable Housing,2026-05-20,2026-05-20,2,2,62,Accelerating,2,Accelerating,77,68,74,74
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Lender / Debt Provider,JLL,Construction Financing,California,Apartment,2026-05-19,2026-05-20,2,1,60,Stable,0,Emerging,76,66,72,73
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Relationship Edge,Los Angeles -> Los Angeles,Market Expansion,Los Angeles,,2026-05-19,2026-05-20,9,5,88,Stable,1,Persistent,73,82,86,64
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Relationship Edge,JLL -> JLL,Financing Relationship,California,,2026-05-19,2026-05-20,4,3,69,Accelerating,2,Accelerating,73,71,77,77
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Relationship Edge,JLL -> California,Financing Relationship,California,,2026-05-19,2026-05-20,2,1,59,Stable,0,Emerging,70,63,72,73
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Relationship Edge,California -> JLL,Financing Relationship,California,,2026-05-19,2026-05-20,2,1,57,Stable,0,Emerging,69,62,71,72
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Relationship Edge,Los Angeles -> Berkadia,Financing Relationship,Los Angeles,,2026-05-20,2026-05-20,1,1,57,Stable,1,Emerging,69,62,71,72
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Relationship Edge,Berkadia -> Berkadia,Financing Relationship,Los Angeles,,2026-05-20,2026-05-20,1,1,56,Stable,1,Emerging,69,61,70,71
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Relationship Edge,Los Angeles -> Los Angeles,Entitlement / Permitting,Los Angeles,,2026-05-19,2026-05-20,6,3,76,Stable,0,Persistent,68,73,80,59
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Deal / Project,Construction Financing - California - JLL Lines Up $144M Construction Loan for Santa Ana Multifamily,Construction Financing,California,Apartment,2026-05-19,2026-05-20,2,1,60,Stable,0,Emerging,68,63,52,65
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Deal / Project,Construction Financing - Los Angeles - Seachange Partners Receives $15.6M in Construction Financing for Two Affordable Housing Pr...,Construction Financing,Los Angeles,Affordable Housing,2026-05-20,2026-05-20,1,1,58,Stable,1,Emerging,68,62,52,64
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Lender / Debt Provider,JLL,General Project Signal,California,Senior Housing,2026-05-20,2026-05-20,2,2,58,Accelerating,2,Accelerating,68,62,72,52
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Relationship Edge,Los Angeles -> Los Angeles,Financing Relationship,Los Angeles,,2026-05-20,2026-05-20,1,1,55,Stable,1,Emerging,68,60,70,71
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Relationship Edge,Berkadia -> Los Angeles,Financing Relationship,Los Angeles,,2026-05-20,2026-05-20,1,1,54,Stable,1,Emerging,68,60,70,71
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Relationship Edge,California -> cushman,Financing Relationship,California,,2026-05-19,2026-05-19,2,0,54,Weakening,-2,Fading,68,60,70,71
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Deal / Project,Construction Financing - Los Angeles - Berkadia Lines Up Construction Loan for Seachange Partners,Construction Financing,Los Angeles,Affordable Housing,2026-05-20,2026-05-20,1,1,56,Stable,1,Emerging,67,60,50,63
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Relationship Edge,Los Angeles -> walker & dunlop,Financing Relationship,Los Angeles,,2026-05-19,2026-05-19,1,0,50,Weakening,-1,Fading,67,57,68,69
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Relationship Edge,Quarterra -> JLL,Financing Relationship,Los Angeles,,2026-05-19,2026-05-19,1,0,50,Weakening,-1,Fading,67,57,68,69
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Lender / Debt Provider,JLL,Disposition / Exit,Los Angeles,Apartment,2026-05-19,2026-05-19,1,0,50,Weakening,-1,Fading,65,56,68,49
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Institutional Capital Partner,Quarterra,Capital Inflow,Los Angeles,Apartment,2026-05-19,2026-05-19,1,0,50,Weakening,-1,Fading,65,56,68,49
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Lender / Debt Provider,cushman,Office-to-Residential Conversion,California,Office-to-Residential Conversion,2026-05-19,2026-05-19,1,0,49,Weakening,-1,Fading,65,55,67,49
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Lender / Debt Provider,cushman,Office-to-Residential Conversion,California,Mixed-Use Residential,2026-05-19,2026-05-19,1,0,49,Weakening,-1,Fading,65,55,67,49
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Lender / Debt Provider,walker & dunlop,Disposition / Exit,Los Angeles,Mixed-Use Residential,2026-05-19,2026-05-19,1,0,49,Weakening,-1,Fading,65,55,67,49
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Relationship Edge,Hines -> JLL,Financing Relationship,New York,,2026-05-19,2026-05-20,6,4,82,Accelerating,2,Accelerating,63,74,84,82
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Relationship Edge,California -> California,Market Expansion,California,,2026-05-19,2026-05-20,4,1,62,Stable,-2,Persistent,63,62,74,54
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Relationship Edge,Sun Belt -> Sun Belt,Financing Relationship,Sun Belt,,2026-05-19,2026-05-20,7,5,80,Accelerating,3,Accelerating,62,73,82,81
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Lender / Debt Provider,JLL,Refinancing,New York,Apartment,2026-05-20,2026-05-20,2,2,63,Accelerating,2,Accelerating,62,63,74,74
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Institutional Capital Partner,hines,Refinancing,New York,Apartment,2026-05-20,2026-05-20,2,2,63,Accelerating,2,Accelerating,62,63,74,74
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Relationship Edge,Los Angeles -> California,Disposition / Seller,California,,2026-05-19,2026-05-19,3,0,58,Weakening,-3,Fading,62,60,72,52
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Relationship Edge,PMG -> Sun Belt,Financing Relationship,Sun Belt,,2026-05-19,2026-05-20,6,3,77,Stable,0,Persistent,61,71,81,80
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Institutional Capital Partner,Hines,Refinancing / Recapitalization,New York,Apartment,2026-05-20,2026-05-20,1,1,60,Stable,1,Emerging,61,60,72,73
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Residential Sector,Office-to-Residential Conversion,"Adaptive reuse, entitlement, and construction feasibility signal",Los Angeles,Office-to-Residential Conversion,2026-05-20,2026-05-20,1,1,60,Stable,1,Emerging,61,60,52,45
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Relationship Edge,JLL -> California,Market Expansion,California,,2026-05-20,2026-05-20,2,2,56,Accelerating,2,Accelerating,61,58,70,51
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Lender / Debt Provider,CBRE,JV / Partnership,California,General Residential,2026-05-20,2026-05-20,1,1,55,Stable,1,Emerging,61,57,70,51
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Lender / Debt Provider,JLL,General Project Signal,California,General Residential,2026-05-19,2026-05-20,2,1,55,Stable,0,Emerging,61,57,70,51
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Relationship Edge,Los Angeles -> CBRE,JV / Partnership,California,,2026-05-20,2026-05-20,1,1,55,Stable,1,Emerging,61,57,70,51
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Deal / Project,Entitlement / Permitting - Los Angeles - 96 apartments + retail proposed at 8871 W. Venice Blvd.,Entitlement / Permitting,Los Angeles,Mixed-Use Residential,2026-05-19,2026-05-20,2,1,59,Stable,0,Emerging,60,59,52,45
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Residential Sector,Mixed-Use Residential,Mixed-use development and placemaking signal,Los Angeles,Mixed-Use Residential,2026-05-19,2026-05-20,2,1,59,Stable,0,Emerging,60,59,52,45
2026-05-20,20260520-040606-6613d3b9,2026-05-20 04:06:06,Residential Sector,Senior Housing,Demographic demand and operating capability signal,California,Senior Housing,2026-05-20,2026-05-20,1,1,58,Stable,1,Emerging,60,59,52,44
