run_date,run_id,la_asset_watch_id,asset_or_project_name,address_or_location_clue,la_submarket,gp_or_developer,residential_sector,entitlement_status,construction_status,asset_strategy_signal,site_control_signal,execution_stage,la_asset_opportunity_score,la_asset_risk_score,woomi_site_relevance,potential_woomi_strategy_angle,recommended_local_follow_up,source_article_title,url,confidence_level
2026-05-19,20260519-101015-3b20d522,LAA-20260519-002,Entitlement / Permitting - Los Angeles - 96 apartments + retail proposed at 8871 W. Venice Blvd.,8871 W. Venice Blvd,Los Angeles,Unknown,Mixed-Use Residential,Unknown,Unknown,Entitlement Play,Project under entitlement,Unknown,100,40,High relevance to Woomi site strategy,Monitor entitlement path,"Review parcel clue, entitlement path, sponsor, and comparable sites",96 apartments + retail proposed at 8871 W. Venice Blvd.,https://la.urbanize.city/post/96-apartments-retail-proposed-8871-w-venice-blvd,High
2026-05-19,20260519-101015-3b20d522,LAA-20260519-003,General Project Signal - Los Angeles - New proposal emerges for affordable housing at 1316 Linwood Ave. in Westlake,1316 Linwood Ave,Los Angeles,Unknown,Affordable Housing,Unknown,Unknown,Affordable / Density Bonus Strategy,Unknown site control,Unknown,100,40,High relevance to Woomi site strategy,Benchmark density bonus use,"Review parcel clue, entitlement path, sponsor, and comparable sites",New proposal emerges for affordable housing at 1316 Linwood Ave. in Westlake,https://la.urbanize.city/post/new-proposal-emerges-affordable-housing-1316-linwood-ave-westlake,High
2026-05-19,20260519-101015-3b20d522,LAA-20260519-001,"Disposition / Exit - Los Angeles - Quarterra Seeks Buyers For Almost 4,000 Apartments",Southern California,Los Angeles,Quarterra,Apartment,Unknown,Unknown,General Asset Signal,Existing asset sale,Unknown,100,32,High relevance to Woomi site strategy,Track local sponsor activity,"Review parcel clue, entitlement path, sponsor, and comparable sites","Quarterra Seeks Buyers For Almost 4,000 Apartments",https://www.bisnow.com/national/news/multifamily/quarterra-seeks-buyers-for-almost-4000-apartments-134586,High
2026-05-19,20260519-101015-3b20d522,LAA-20260519-004,Entitlement / Permitting - Los Angeles - Site prep underway for affordable housing at 4301 S. Vermont Ave.,4301 S. Vermont Ave,Los Angeles,Unknown,Affordable Housing,Unknown,Unknown,Affordable / Density Bonus Strategy,Land / parcel referenced,Site Search / Early Signal,100,32,High relevance to Woomi site strategy,Track site control precedent,"Review parcel clue, entitlement path, sponsor, and comparable sites",Site prep underway for affordable housing at 4301 S. Vermont Ave.,https://la.urbanize.city/post/site-prep-underway-affordable-housing-4301-s-vermont-ave,Medium
2026-05-19,20260519-101015-3b20d522,LAA-20260519-008,Development Start - California - California Transforms Oakland’s Fruitvale Community with Cleanup of Polluted Land for Affo...,California,Los Angeles,Unknown,Affordable Housing,Unknown,Unknown,Affordable / Density Bonus Strategy,Land / parcel referenced,Site Search / Early Signal,98,31,High relevance to Woomi site strategy,Track site control precedent,"Review parcel clue, entitlement path, sponsor, and comparable sites",California Transforms Oakland’s Fruitvale Community with Cleanup of Polluted Land for Affordable Housing,https://yieldpro.com/2026/05/2700-international-boulevard/,Medium
2026-05-19,20260519-101015-3b20d522,LAA-20260519-009,General Project Signal - Sun Belt - Grand Opening Celebration for Affordable Housing Development Palladium Park Row in the Kat...,Houston,Los Angeles,Unknown,Affordable Housing,Unknown,Unknown,Affordable / Density Bonus Strategy,Unknown site control,Unknown,97,33,High relevance to Woomi site strategy,Benchmark density bonus use,"Track entitlement docket, density bonus use, and affordability requirement",Grand Opening Celebration for Affordable Housing Development Palladium Park Row in the Katy Area of Houston,https://yieldpro.com/2026/05/palladium-park-row/,Low
2026-05-19,20260519-101015-3b20d522,LAA-20260519-005,Office-to-Residential Conversion - California - Silicon Valley Initiative Partnership Receives $74.1M in Financing for Office-to-Residenti...,California,Los Angeles,Unknown,Office-to-Residential Conversion,Unknown,Unknown,Office-to-Residential Conversion,Unknown site control,Unknown,90,50,High relevance to Woomi site strategy,Monitor office conversion feasibility,"Review parcel clue, entitlement path, sponsor, and comparable sites",Silicon Valley Initiative Partnership Receives $74.1M in Financing for Office-to-Residential Conversion Project in San Jose,https://rebusinessonline.com/silicon-valley-initiative-partnership-receives-74-1m-in-financing-for-office-to-residential-conversion-project-in-san-jose/,Low
2026-05-19,20260519-101015-3b20d522,LAA-20260519-012,96 apartments + retail proposed at 8871 W. Venice Blvd.,8871 W. Venice Blvd,Los Angeles,Unknown,Mixed-Use Residential,Unknown,Unknown,Entitlement Play,Unknown site control,Unknown,90,40,High relevance to Woomi site strategy,Monitor entitlement path,"Review parcel clue, entitlement path, sponsor, and comparable sites",96 apartments + retail proposed at 8871 W. Venice Blvd.,https://la.urbanize.city/post/96-apartments-retail-proposed-8871-w-venice-blvd,Medium
2026-05-19,20260519-101015-3b20d522,LAA-20260519-013,New proposal emerges for affordable housing at 1316 Linwood Ave. in Westlake,1316 Linwood Ave,Los Angeles,Unknown,Affordable Housing,Unknown,Unknown,Affordable / Density Bonus Strategy,Unknown site control,Unknown,90,40,High relevance to Woomi site strategy,Benchmark density bonus use,"Review parcel clue, entitlement path, sponsor, and comparable sites",New proposal emerges for affordable housing at 1316 Linwood Ave. in Westlake,https://la.urbanize.city/post/new-proposal-emerges-affordable-housing-1316-linwood-ave-westlake,Medium
2026-05-19,20260519-101015-3b20d522,LAA-20260519-015,Site prep underway for affordable housing at 4301 S. Vermont Ave.,4301 S. Vermont Ave,Los Angeles,Unknown,Affordable Housing,Unknown,Unknown,Affordable / Density Bonus Strategy,Land / parcel referenced,Site Search / Early Signal,90,32,High relevance to Woomi site strategy,Track site control precedent,"Review parcel clue, entitlement path, sponsor, and comparable sites",Site prep underway for affordable housing at 4301 S. Vermont Ave.,https://la.urbanize.city/post/site-prep-underway-affordable-housing-4301-s-vermont-ave,Medium
