run_date,run_id,card_id,card_type,card_title,card_priority,card_score,market,residential_sector,gp_or_developer,summary,why_it_matters,recommended_action,source_report,source_url_if_available
2026-05-19,20260519-101015-3b20d522,CARD-20260519-035,Capital Flow,Alliance Residential,Critical,100,Alliance Residential,Mixed-Use Residential,Alliance Residential,Fading,"Capital-flow memory can identify repeated lenders, refinancing stress, and capital concentration.",Track capital flow pattern and related relationships,capital_flow_report.md,
2026-05-19,20260519-101015-3b20d522,CARD-20260519-036,Capital Flow,Berkadia,Critical,100,Berkadia,Multifamily,Berkadia,Fading,"Capital-flow memory can identify repeated lenders, refinancing stress, and capital concentration.",Track capital flow pattern and related relationships,capital_flow_report.md,
2026-05-19,20260519-101015-3b20d522,CARD-20260519-037,Capital Flow,Blackstone,Critical,100,Blackstone,General Residential,Blackstone,Stable,"Capital-flow memory can identify repeated lenders, refinancing stress, and capital concentration.",Track capital flow pattern and related relationships,capital_flow_report.md,
2026-05-19,20260519-101015-3b20d522,CARD-20260519-018,LA Asset Watch,"Disposition / Exit - Los Angeles - Quarterra Seeks Buyers For Almost 4,000 Apartments",Critical,100,Los Angeles,Apartment,Quarterra,Track local sponsor activity,LA / Southern California project-level watch item.,"Review parcel clue, entitlement path, sponsor, and comparable sites",la_asset_watch_report.md,https://www.bisnow.com/national/news/multifamily/quarterra-seeks-buyers-for-almost-4000-apartments-134586
2026-05-19,20260519-101015-3b20d522,CARD-20260519-016,LA Asset Watch,Entitlement / Permitting - Los Angeles - 96 apartments + retail proposed at 8871 W. Venice Blvd.,Critical,100,Los Angeles,Mixed-Use Residential,Unknown,Monitor entitlement path,LA / Southern California project-level watch item.,"Review parcel clue, entitlement path, sponsor, and comparable sites",la_asset_watch_report.md,https://la.urbanize.city/post/96-apartments-retail-proposed-8871-w-venice-blvd
2026-05-19,20260519-101015-3b20d522,CARD-20260519-019,LA Asset Watch,Entitlement / Permitting - Los Angeles - Site prep underway for affordable housing at 4301 S. Vermont Ave.,Critical,100,Los Angeles,Affordable Housing,Unknown,Track site control precedent,LA / Southern California project-level watch item.,"Review parcel clue, entitlement path, sponsor, and comparable sites",la_asset_watch_report.md,https://la.urbanize.city/post/site-prep-underway-affordable-housing-4301-s-vermont-ave
2026-05-19,20260519-101015-3b20d522,CARD-20260519-017,LA Asset Watch,General Project Signal - Los Angeles - New proposal emerges for affordable housing at 1316 Linwood Ave. in Westlake,Critical,100,Los Angeles,Affordable Housing,Unknown,Benchmark density bonus use,LA / Southern California project-level watch item.,"Review parcel clue, entitlement path, sponsor, and comparable sites",la_asset_watch_report.md,https://la.urbanize.city/post/new-proposal-emerges-affordable-housing-1316-linwood-ave-westlake
2026-05-19,20260519-101015-3b20d522,CARD-20260519-020,LA Asset Watch,Development Start - California - California Transforms Oakland’s Fruitvale Community with Cleanup of Polluted Land for Affo...,Critical,98,Los Angeles,Affordable Housing,Unknown,Track site control precedent,LA / Southern California project-level watch item.,"Review parcel clue, entitlement path, sponsor, and comparable sites",la_asset_watch_report.md,https://yieldpro.com/2026/05/2700-international-boulevard/
2026-05-19,20260519-101015-3b20d522,CARD-20260519-001,Signal Quality,JLL Capital Markets Announced They Arranged a $141.8M Refinancing for Premier Luxury Riverfront Multifamily Tower Wolf Point West in Chicago,Critical,96,New York,Multifamily,Hines,"8 source file(s), 11 observation(s), latest stage Refinancing / Recapitalization, identity confidence 100",High-confidence calibrated signal with multi-layer support.,Review immediately,high_confidence_watchlist_report.md,
2026-05-19,20260519-101015-3b20d522,CARD-20260519-002,Signal Quality,"Disposition / Exit - Los Angeles - Quarterra Seeks Buyers For Almost 4,000 Apartments",Critical,91,California,Apartment,Quarterra,"5 source file(s), 5 observation(s), latest stage Unknown Stage, identity confidence 100",High-confidence calibrated signal with multi-layer support.,Review immediately,high_confidence_watchlist_report.md,
2026-05-19,20260519-101015-3b20d522,CARD-20260519-006,Opportunity,LA / California Entitlement Opportunity,Critical,91,Los Angeles,Apartment,Quarterra,"LA / California Entitlement Opportunity may create a pricing, capital, partnership, or pipeline opening in Los Angeles.","Evaluate LA / California entitlement, zoning, or local GP partnership relevance",Add to executive opportunity review,opportunity_radar_report.md,https://www.bisnow.com/national/news/multifamily/quarterra-seeks-buyers-for-almost-4000-apartments-134586
2026-05-19,20260519-101015-3b20d522,CARD-20260519-003,Signal Quality,Office-to-Residential Conversion - California - Silicon Valley Initiative Partnership Receives $74.1M in Financing for Office-to-Residenti...,Critical,90,California,Office-to-Residential Conversion,Unknown,"7 source file(s), 30 observation(s), latest stage Site Acquisition / Site Control, identity confidence 80",High-confidence calibrated signal with multi-layer support.,Review immediately,high_confidence_watchlist_report.md,
2026-05-19,20260519-101015-3b20d522,CARD-20260519-007,Opportunity,Refinancing Gap,Critical,89,New York,Multifamily,Hines,"Refinancing Gap may create a pricing, capital, partnership, or pipeline opening in New York.","Track potential rescue capital, debt recapitalization, or capital partner opening",Add to executive opportunity review,opportunity_radar_report.md,https://yieldpro.com/2026/05/wolf-point-west/
2026-05-19,20260519-101015-3b20d522,CARD-20260519-005,Signal Quality,Ares Acquires Stake in Rover Pipeline from Blackstone Energy Transition Partners to Serve Growing Energy Demand Centers Across North America,Critical,88,New York,General Residential,Blackstone,"8 source file(s), 10 observation(s), latest stage Unknown Stage, identity confidence 100",High-confidence calibrated signal with multi-layer support.,Review immediately,high_confidence_watchlist_report.md,
2026-05-19,20260519-101015-3b20d522,CARD-20260519-004,Signal Quality,"Office-to-Residential Conversion - Sun Belt - JLL Inks 70,000 SF of New Leases at Westside Paper Adaptive Reuse Development in Atlanta",Critical,88,Sun Belt,Office-to-Residential Conversion,Unknown,"5 source file(s), 12 observation(s), latest stage Site Acquisition / Site Control, identity confidence 80",High-confidence calibrated signal with multi-layer support.,Review immediately,high_confidence_watchlist_report.md,
