run_date,run_id,canonical_project_id,canonical_project_name,project_identity_confidence,lifecycle_transition_id,canonical_asset_or_project_name,market,city_or_submarket,residential_sector,gp_or_developer,previous_stage,current_stage,previous_stage_rank,current_stage_rank,transition_type,stage_change,days_since_first_seen,days_since_last_seen,observation_count,progression_score,stall_risk_score,execution_momentum_label,woomi_timing_relevance,recommended_transition_follow_up,evidence_article_title,source,url,confidence_level
2026-05-19,20260519-101015-3b20d522,PRJ-20260519-0055,Disposition / Exit - Los Angeles - Walker & Dunlop Offer High-Profile Ground-Up Mixed-Use Development Opportunity Adjacent to...,80,LCT-20260519-011,Development Start - Los Angeles - The Broad's $100M expansion tops out in DTLA,California,Los Angeles,General Residential,Unknown,Vertical Construction,Vertical Construction,11,11,Same Stage Persistence,0,0,0,2,78,12,Stable,Relevant to construction timing,Monitor for another run to confirm lifecycle direction,The Broad's $100M expansion tops out in DTLA,Urbanize LA,https://la.urbanize.city/post/broads-100m-expansion-tops-out-dtla,High
2026-05-19,20260519-101015-3b20d522,PRJ-20260519-0038,General Project Signal - Sun Belt - Grand Opening Celebration for Affordable Housing Development Palladium Park Row in the Kat...,80,LCT-20260519-017,General Project Signal - Sun Belt - Grand Opening Celebration for Affordable Housing Development Palladium Park Row in the Kat...,Sun Belt,Houston,Affordable Housing,Unknown,Delivery / Opening,Delivery / Opening,13,13,Mature / Operating,0,0,0,2,77,13,Mature,Relevant to construction timing,"Use as delivery, lease-up, and underwriting benchmark",Grand Opening Celebration for Affordable Housing Development Palladium Park Row in the Katy Area of Houston,Yield PRO,https://yieldpro.com/2026/05/palladium-park-row/,High
2026-05-19,20260519-101015-3b20d522,PRJ-20260519-0055,Disposition / Exit - Los Angeles - Walker & Dunlop Offer High-Profile Ground-Up Mixed-Use Development Opportunity Adjacent to...,80,LCT-20260519-013,"JV / Partnership - Los Angeles - Lendlease, Aware Super Open Habitat Mixed-Use Campus in Los Angeles",California,Los Angeles,Mixed-Use Residential,Unknown,Delivery / Opening,Delivery / Opening,13,13,Mature / Operating,0,0,0,2,77,13,Mature,Relevant to construction timing,"Use as delivery, lease-up, and underwriting benchmark","Lendlease, Aware Super Open Habitat Mixed-Use Campus in Los Angeles",REBusiness Online,https://rebusinessonline.com/lendlease-aware-super-open-habitat-mixed-use-campus-in-los-angeles/,High
2026-05-19,20260519-101015-3b20d522,PRJ-20260519-0055,Disposition / Exit - Los Angeles - Walker & Dunlop Offer High-Profile Ground-Up Mixed-Use Development Opportunity Adjacent to...,80,LCT-20260519-018,"Lendlease, Aware Super Open Habitat Mixed-Use Campus in Los Angeles",California,Los Angeles,Mixed-Use Residential,Unknown,Delivery / Opening,Delivery / Opening,13,13,Mature / Operating,0,0,0,2,77,13,Mature,Relevant to construction timing,"Use as delivery, lease-up, and underwriting benchmark","Lendlease, Aware Super Open Habitat Mixed-Use Campus in Los Angeles",REBusiness Online,https://rebusinessonline.com/lendlease-aware-super-open-habitat-mixed-use-campus-in-los-angeles/,High
2026-05-19,20260519-101015-3b20d522,PRJ-20260519-0101,General Project Signal - Other / Unknown - Walker & Dunlop Arranges Equity Syndication for Colorado Affordable Multifamily Community...,80,LCT-20260519-032,Development Start - Other / Unknown - Major Development Groundbreaking on Landmark Multifamily Mixed-Use Community The Piazza at...,Unknown,Unknown,Mixed-Use Residential,Unknown,Construction Started,Construction Started,10,10,Same Stage Persistence,0,0,0,2,76,12,Stable,Relevant to construction timing,Monitor for another run to confirm lifecycle direction,Major Development Groundbreaking on Landmark Multifamily Mixed-Use Community The Piazza at Ardmore in Philadelphia,Yield PRO,https://yieldpro.com/2026/05/the-piazza-at-ardmore/,High
2026-05-19,20260519-101015-3b20d522,PRJ-20260519-0085,General Project Signal - Other / Unknown - Walker & Dunlop Arranges Equity Syndication for Colorado Affordable Multifamily Community...,80,LCT-20260519-043,Major Development Groundbreaking on Landmark Multifamily Mixed-Use Community The Piazza at Ardmore in Philadelphia,Other / Unknown,Unknown,Mixed-Use Residential,Unknown,Construction Started,Construction Started,10,10,Same Stage Persistence,0,0,0,2,75,12,Stable,Relevant to construction timing,Monitor for another run to confirm lifecycle direction,Major Development Groundbreaking on Landmark Multifamily Mixed-Use Community The Piazza at Ardmore in Philadelphia,Yield PRO,https://yieldpro.com/2026/05/the-piazza-at-ardmore/,High
2026-05-19,20260519-101015-3b20d522,PRJ-20260519-0024,Acquisition - Sun Belt - Milburn & Company Acquires Luxury 339-Unit Multifamily Community Ascend at Longbow Highpoi...,80,LCT-20260519-044,Acquisition - Sun Belt - Milburn & Company Acquires Luxury 339-Unit Multifamily Community Ascend at Longbow Highpoi...,Sun Belt,Austin,Multifamily,Unknown,Delivery / Opening,Delivery / Opening,13,13,Mature / Operating,0,0,0,2,67,13,Mature,Relevant to construction timing,"Use as delivery, lease-up, and underwriting benchmark",Milburn & Company Acquires Luxury 339-Unit Multifamily Community Ascend at Longbow Highpoint in Mesa,Yield PRO,https://yieldpro.com/2026/05/ascend-at-longbow/,Medium
2026-05-19,20260519-101015-3b20d522,PRJ-20260519-0101,General Project Signal - Other / Unknown - Walker & Dunlop Arranges Equity Syndication for Colorado Affordable Multifamily Community...,80,LCT-20260519-053,General Project Signal - Other / Unknown - Multifamily Absorption Rate Remains Below 50%,Unknown,Unknown,Apartment,Unknown,Delivery / Opening,Delivery / Opening,13,13,Mature / Operating,0,0,0,2,65,12,Mature,Relevant to construction timing,"Use as delivery, lease-up, and underwriting benchmark",Multifamily Absorption Rate Remains Below 50%,NAHB Eye on Housing - Multifamily,https://eyeonhousing.org/2026/03/multifamily-absorption-rate-remains-below-50/,Medium
2026-05-19,20260519-101015-3b20d522,PRJ-20260519-0057,"Office-to-Residential Conversion - Sun Belt - JLL Inks 70,000 SF of New Leases at Westside Paper Adaptive Reuse Development in Atlanta",80,LCT-20260519-010,Cypress Equity Investments gets $170M loan for two Santa Monica projects,Other / Unknown,Los Angeles,Affordable Housing,Unknown,Refinancing / Recapitalization,Refinancing / Recapitalization,16,16,Same Stage Persistence,0,0,0,2,63,29,Stable,Relevant to refinancing / recap timing,"Track maturity, lender, recapitalization need, and potential JV angle",Cypress Equity Investments gets $170M loan for two Santa Monica projects,Urbanize LA,https://la.urbanize.city/post/cypress-equity-investments-gets-170m-loan-two-santa-monica-projects,Medium
2026-05-19,20260519-101015-3b20d522,PRJ-20260519-0064,JLL Capital Markets Announced They Arranged a $141.8M Refinancing for Premier Luxury Riverfront Multifamily Tower Wolf Point West in Chicago,100,LCT-20260519-002,Refinancing - New York - JLL Capital Markets Announced They Arranged a $141.8M Refinancing for Premier Luxury River...,New York,New York,Multifamily,Hines,Refinancing / Recapitalization,Refinancing / Recapitalization,16,16,Same Stage Persistence,0,0,0,2,57,29,Stable,Relevant to refinancing / recap timing,"Track maturity, lender, recapitalization need, and potential JV angle",JLL Capital Markets Announced They Arranged a $141.8M Refinancing for Premier Luxury Riverfront Multifamily Tower Wolf Point West in Chicago,Yield PRO,https://yieldpro.com/2026/05/wolf-point-west/,Medium
